timestep,obs,human_obs,actions,rewards,avg_action_dist,logstd_action_dist,original_rewards
0,"[ 1.02356441  1.43539346  0.05822477 -0.90834058  1.36428295  0.29126163
  0.18876631 -0.32506931  0.07263324 -0.37384075  0.        ]","[[ 0.01454929  0.08398738  0.15700894  0.03205696]
 [ 0.00149648 -0.00028266  0.          0.        ]]",[-0.42832005  1.5384402 ],-0.0560530762924,[ 0.15381964  1.81915712],[-0.59526879 -0.43432152],-0.0560530762924
1,"[ 1.02371551  1.43026282  0.0328813  -0.80469941  1.36428     0.29126139
 -0.03333793  0.31503391  0.07014924 -0.36462698  0.        ]","[[ -2.43675443e-03   1.23716228e-01   1.57008940e-01   3.20569610e-02]
 [ -1.69444855e+00   3.95996582e+00   0.00000000e+00   0.00000000e+00]]",[ 0.26317911  0.63248176],-0.0555318434665,[ 0.34741879  1.0862391 ],[-0.59526879 -0.43432152],-0.0555318434665
2,"[ 1.02323379  1.40776472 -0.00160545 -0.5374158   1.36427705  0.29126115
  0.10727692  0.70708084  0.05646653 -0.28958336  0.        ]","[[-0.02555301  0.2272519   0.15700894  0.03205696]
 [-0.62074107  6.38551954  0.          0.        ]]",[-1.00007188  0.26619364],-0.052264665311,[-0.18355031  0.51301146],[-0.59526879 -0.43432152],-0.052264665311
3,"[ 1.01925712  1.35807219 -0.07906022 -0.19385688  1.3642741   0.29126091
 -0.40923934  0.85724876  0.03266254 -0.24409827  0.        ]","[[-0.07753913  0.36428419  0.15700894  0.03205696]
 [-4.56475572  7.31459759  0.          0.        ]]",[ 0.68127354  1.24144951],-0.0489758573994,[ 0.80448079  0.26344538],[-0.59526879 -0.43432152],-0.0489758573994
4,"[ 1.00900613  1.25691191 -0.17302118  0.24003308  1.36427115  0.29126068
 -0.04462577  1.47366826 -0.01649705 -0.17130461  0.        ]","[[ -0.14090109   0.54884044   0.15700894   0.03205696]
 [ -1.78064349  11.12833302   0.           0.        ]]",[-0.25963435 -0.65380163],-0.0430451717182,[-0.14367865 -0.69195139],[-0.59526879 -0.43432152],-0.0430451717182
5,"[ 0.9979881   1.11143968 -0.24007627  0.64651372  1.3642682   0.29126044
 -0.17439042  1.01967791 -0.09489013 -0.05431325  0.        ]","[[-0.18645506  0.74322581  0.15700894  0.03205696]
 [-2.77149936  8.31955641  0.          0.        ]]",[ 0.00475439 -0.18792994],-0.0354535216297,[ 0.01356678 -0.67591524],[-0.59526879 -0.43432152],-0.0354535216297
6,"[ 0.98076667  0.96817261 -0.31980581  0.92709385  1.36426525  0.2912602
 -0.16470101  0.87277209 -0.1664326  -0.00855001  0.        ]","[[-0.24114266  0.90049782  0.15700894  0.03205696]
 [-2.69751413  7.41067405  0.          0.        ]]",[-0.15911515 -0.39340984],-0.0293639029321,[-0.01761325 -0.77622986],[-0.59526879 -0.43432152],-0.0293639029321
7,"[ 0.95703767  0.8339778  -0.4056554   1.12248222  1.3642623   0.29125996
 -0.24009312  0.59729849 -0.22878881 -0.00531356  0.        ]","[[-0.30086866  1.03161136  0.15700894  0.03205696]
 [-3.27319259  5.70635445  0.          0.        ]]",[-0.18198255 -0.1940893 ],-0.0235410655655,[ 0.21779957 -0.63705993],[-0.59526879 -0.43432152],-0.0235410655655
8,"[ 0.92170151  0.71815957 -0.50707473  1.25154518  1.36425935  0.29125972
 -0.32588769  0.45484194 -0.27457683 -0.05344802  0.        ]","[[-0.37290527  1.13689554  0.15700894  0.03205696]
 [-3.92830205  4.8249952   0.          0.        ]]",[ 0.26801856 -1.36630547],-0.0173096754315,[ 0.55819267 -0.57098007],[-0.59526879 -0.43432152],-0.0173096754315
9,"[ 0.88231049  0.65433004 -0.59906608  1.30934933  1.3642564   0.29125948
 -0.17668917 -0.20064982 -0.2914935  -0.13614621  0.        ]","[[-0.44004094  1.19270572  0.15700894  0.03205696]
 [-2.78905875  0.76954665  0.          0.        ]]",[  1.34251547e+00  -4.87204736e-04],-0.0137596609591,[ 0.7270664   0.18714064],[-0.59526879 -0.43432152],-0.0137596609591
10,"[ 0.87233143  0.63667914 -0.61994707  1.32379002  1.36425345  0.29125924
  0.34875343 -0.20358716 -0.29757874 -0.1528542   0.        ]","[[-0.45556703  1.20791421  0.15700894  0.03205696]
 [ 1.22309519  0.7513727   0.          0.        ]]",[-0.61464842 -0.5938728 ],-0.01313236501,[-0.44860512  0.01905546],[-0.59526879 -0.43432152],-0.01313236501
11,"[ 0.87221434  0.64679842 -0.62018425  1.31558562  1.3642505   0.291259
  0.02714023 -0.58597051 -0.29141121 -0.16135971  0.        ]","[[-0.45574453  1.19920524  0.15700894  0.03205696]
 [-1.23266308 -1.61438667  0.          0.        ]]",[ 0.38946984  0.79623112],-0.0138522228506,[ 0.54623872  0.66293979],[-0.59526879 -0.43432152],-0.0138522228506
12,"[ 0.86631051  0.64719037 -0.63215353  1.31526039  1.36424755  0.29125877
  0.2320595  -0.07128113 -0.28865514 -0.17963807  0.        ]","[[-0.46469856  1.19886675  0.15700894  0.03205696]
 [ 0.3320497   1.56992719  0.          0.        ]]",[-0.06375371  0.6259382 ],-0.0144054951835,[-0.2024651  -0.09237382],[-0.59526879 -0.43432152],-0.0144054951835
13,"[ 0.86898459  0.58161326 -0.62676114  1.36474277  1.3642446   0.29125853
  0.19808691  0.32430514 -0.32992219 -0.11967188  0.        ]","[[-0.4606604   1.25482126  0.15700894  0.03205696]
 [ 0.07264503  4.01736624  0.          0.        ]]",[ 0.7764152 -0.4484832],-0.00985944337226,[-0.35105062 -0.64486814],[-0.59526879 -0.43432152],-0.00985944337226
14,"[ 0.88957914  0.50787726 -0.58329338  1.41027022  1.36424165  0.29125829
  0.60033103  0.02430317 -0.38936702 -0.00501766  0.        ]","[[-0.42839095  1.31654601  0.15700894  0.03205696]
 [ 3.14407904  2.16129705  0.          0.        ]]",[-1.66164817 -0.56176548],-0.0122182440836,[-1.30440295 -0.52765727],[-0.59526879 -0.43432152],-0.0122182440836
