timestep,obs,human_obs,actions,rewards,avg_action_dist,logstd_action_dist,original_rewards
0,"[ 1.07123518  1.31753417  0.01114883 -1.11816818 -0.4705148  -0.32040833
  0.16751386 -0.31670252  2.32645951  0.46163899  0.        ]","[[-0.01402145  0.06703008 -0.05369416 -0.0381    ]
 [ 0.00474153  0.00113752  0.          0.        ]]",[-0.04073212  2.86347557],-0.266939011097,[-0.21101449  2.3497901 ],[-0.92951405 -0.78470117],-0.266939011097
1,"[ 1.07120104  1.31307643  0.00886899 -1.01592147 -0.4705145  -0.32040815
  0.14378247  0.38161128  2.32329666  0.51648643  0.        ]","[[-0.01555965  0.10678108 -0.05369416 -0.0381    ]
 [-0.15801335  3.96076533  0.          0.        ]]",[-0.16794325  2.51365427],-0.267311476248,[-0.35987049  2.15239906],[-0.92951405 -0.78470117],-0.267311476248
2,"[ 1.07090911  1.28789324 -0.00566875 -0.71518851 -0.47051421 -0.32040797
  0.04715224  1.0661331   2.30522581  0.66331717  0.        ]","[[-0.02536924  0.22494003 -0.05369416 -0.0381    ]
 [-0.82072552  7.84219259  0.          0.        ]]",[ 0.30661993  2.27798556],-0.267698553635,[-0.4839133   2.01376009],[-0.92951405 -0.78470117],-0.267698553635
3,"[ 1.07074533  1.20820492 -0.01173658 -0.23836768 -0.47051391 -0.32040779
  0.22619426  1.73697373  2.24202754  0.9303288   0.        ]","[[ -0.02946428   0.41994926  -0.05369416  -0.0381    ]
 [  0.40718603  11.64605784   0.           0.        ]]",[-0.02662756  1.51951242],-0.26673359205,[-0.36470532  1.86411655],[-0.92951405 -0.78470117],-0.26673359205
4,"[  1.07100726e+00   1.02474322e+00  -1.36953294e-03   3.53037138e-01
  -4.70513620e-01  -3.20407606e-01   2.09531411e-01   2.39461641e+00
   2.08339235e+00   1.29651100e+00   0.00000000e+00]","[[ -0.02246807   0.6902853   -0.05369416  -0.0381    ]
 [  0.29290924  15.37511761   0.           0.        ]]",[ 0.24533106  2.21872993],-0.261589475707,[-0.24995832  1.5993799 ],[-0.92951405 -0.78470117],-0.261589475707
5,"[ 1.07133686  0.68884201  0.02165711  0.92839497 -0.47051332 -0.32040743
  0.35020641  3.03916902  1.77835626  1.67145254  0.        ]","[[ -6.93194076e-03   1.03445825e+00  -5.36941572e-02  -3.80999959e-02]
 [  1.25769069e+00   1.90300055e+01   0.00000000e+00   0.00000000e+00]]",[ 0.3063667   0.69919361],-0.248282571879,[-0.04600611  1.29689801],[-0.92951405 -0.78470117],-0.248282571879
6,"[ 1.07071231  0.19852684  0.07661342  1.26857762 -0.47051303 -0.32040724
  0.52354784  3.46089725  1.3050156   1.92931167  0.        ]","[[  0.03014743   1.43905253  -0.05369416  -0.0381    ]
 [  2.44650613  21.42146582   0.           0.        ]]",[ 0.15736336  1.34247118],-0.223216231612,[ 0.1696403   1.00374079],[-0.92951405 -0.78470117],-0.223216231612
7,"[ 1.06615691 -0.39229426  0.15757286  1.1498188  -0.47051274 -0.32040706
  0.60763684  4.08434423  0.72537214  1.88315401  0.        ]","[[  0.08486171   1.90295326  -0.05369416  -0.0381    ]
 [  3.02320939  24.95683318   0.           0.        ]]",[ 0.17184552 -0.46506657],-0.182993245759,[-0.06322956  0.38045844],[-0.92951405 -0.78470117],-0.182993245759
8,"[ 1.05475969 -0.90469216  0.25576219  0.49321418 -0.47051244 -0.32040688
  0.69849989  3.67241574  0.24623319  1.46449678  0.        ]","[[  0.15158038   2.3786556   -0.05369416  -0.0381    ]
 [  3.64637109  22.62119376   0.           0.        ]]",[-0.52856161 -0.14658016],-0.132048992956,[ 0.05740272  0.09651706],[-0.92951405 -0.78470117],-0.132048992956
9,"[ 1.04168192 -1.19679701  0.3304943  -0.4768506  -0.47051215 -0.3204067
  0.38304607  3.49104853  0.03866991  0.85113611  0.        ]","[[  0.20280388   2.82076238  -0.05369416  -0.0381    ]
 [  1.48292406  21.59289872   0.           0.        ]]",[ 1.18420215  0.77428263],-0.0828682397041,[ 0.52466613  0.57588106],[-0.92951405 -0.78470117],-0.0828682397041
10,"[ 1.01815611 -1.26261955  0.43001395 -1.31973528 -0.47051185 -0.32040652
  0.95600407  0.58073089  0.06469675  0.32506135  0.        ]","[[ 0.27189229  3.15267645 -0.05369416 -0.0381    ]
 [ 5.41239509  5.09007266  0.          0.        ]]",[ 1.03927534  0.85782476],-0.0554338122296,[ 0.80845201  1.14758718],[-0.92951405 -0.78470117],-0.0554338122296
11,"[ 0.94619453 -1.26264704  0.63471599 -1.31387215 -0.47051156 -0.32040634
  1.517636   -0.79781167  0.06700184  0.32854395  0.        ]","[[ 0.41878541  3.15040634 -0.05369416 -0.0381    ]
 [ 9.26420066 -2.72689349  0.          0.        ]]",[ 0.37268749  1.63123342],-0.0557645969021,[ 0.03665992  0.55856866],[-0.92951405 -0.78470117],-0.0557645969021
12,"[ 0.80426624 -1.26108164  0.88962553 -1.16207282 -0.47051126 -0.32040616
  1.70604641 -0.79074208  0.03977981  0.38385744  0.        ]","[[  0.61703412   3.09159614  -0.05369416  -0.0381    ]
 [ 10.55638256  -2.68680946   0.           0.        ]]",[-0.50990779  0.24421605],-0.056232646147,[-0.39974278  0.22303316],[-0.92951405 -0.78470117],-0.056232646147
13,"[ 0.62600344 -1.25699342  1.10125839 -1.0487867  -0.47051097 -0.32040598
  1.38120418 -0.61566574  0.01019591  0.40537039  0.        ]","[[ 0.80580926  3.04760492 -0.05369416 -0.0381    ]
 [ 8.32855778 -1.69404996  0.          0.        ]]",[-0.08028181  0.36036306],-0.0551923140724,[-0.09459159  0.20547542],[-0.92951405 -0.78470117],-0.0551923140724
14,"[ 0.44465856 -1.25361234  1.25260081 -0.98547858 -0.47051067 -0.32040579
  1.3108187  -0.46654223 -0.00975852  0.39871818  0.        ]","[[ 0.96753729  3.02294709 -0.05369416 -0.0381    ]
 [ 7.8458511  -0.8484542   0.          0.        ]]",[ 0.2199626  -0.36959599],-0.0534751596656,[-0.14295448  0.04358035],[-0.92951405 -0.78470117],-0.0534751596656
15,"[ 0.23876429 -1.24816271  1.37358056 -0.9049206  -0.47051038 -0.32040561
  1.41514372 -0.72166391 -0.03718634  0.38876527  0.        ]","[[ 1.13163318  2.99146325 -0.05369416 -0.0381    ]
 [ 8.56135039 -2.29511156  0.          0.        ]]",[-1.02157262 -0.22666656],-0.0511038165953,[-0.50577396 -0.05218178],[-0.92951405 -0.78470117],-0.0511038165953
16,"[ 0.06389002 -1.23575446  1.44386998 -0.76654009 -0.47051008 -0.32040543
  0.81311877 -0.87196402 -0.08908383  0.39418855  0.        ]","[[ 1.26143436  2.93700981 -0.05369416 -0.0381    ]
 [ 4.43253119 -3.14738478  0.          0.        ]]",[ 0.88194325  0.38557965],-0.0481111505219,[ 0.3701551   0.47564173],[-0.92951405 -0.78470117],-0.0481111505219
17,"[-0.10844002 -1.22202745  1.48851591 -0.6483282  -0.47050979 -0.32040525
  1.30947503 -0.59171333 -0.13552931  0.38322575  0.        ]","[[ 1.38423983  2.89000662 -0.05369416 -0.0381    ]
 [ 7.8366672  -1.55824076  0.          0.        ]]",[-0.30978109 -0.78170151],-0.04477688684,[-0.60308653 -0.2162109 ],[-0.92951405 -0.78470117],-0.04477688684
