timestep,obs,human_obs,actions,rewards,avg_action_dist,logstd_action_dist,original_rewards
0,"[ 1.06894985  1.32555427 -0.04060397 -1.1581359  -0.58803311  1.02485914
  0.15753501 -0.31692605  2.46272788 -1.76278039  0.        ]","[[-0.04007752  0.05745841 -0.06826062  0.11697727]
 [ 0.00201724  0.00435096  0.          0.        ]]",[ 3.13286628  3.24741558],-0.302577632337,[ 2.82959223  3.19745278],[-0.94347829 -0.79228413],-0.302577632337
1,"[ 1.07010858  1.32157477  0.01835972 -1.0550686  -0.58803271  1.02485807
  0.74043717  0.3819762   2.45840852 -1.58934362  0.        ]","[[ -3.62444311e-04   9.72569696e-02  -6.82606208e-02   1.16977268e-01]
 [  3.95633382e+00   3.96231882e+00   0.00000000e+00   0.00000000e+00]]",[ 1.38810361  1.77289684],-0.297419508083,[ 2.02057767  2.33554101],[-0.94347829 -0.79228413],-0.297419508083
2,"[ 1.06012067  1.29778884  0.19322121 -0.75202088 -0.58803231  1.024857
  1.31182704  1.06704355  2.39436463 -1.08251868  0.        ]","[[ 0.11765519  0.21542888 -0.06826062  0.11697727]
 [ 7.83256038  7.84194159  0.          0.        ]]",[ 1.53485012  1.96709505],-0.280223560259,[ 1.33822227  1.60162735],[-0.94347829 -0.79228413],-0.280223560259
3,"[ 1.00017349  1.22027329  0.47536882 -0.27086021 -0.5880319   1.02485594
  1.87197658  1.73853739  2.13069337 -0.32017531  0.        ]","[[  0.31243166   0.41042229  -0.06826062   0.11697727]
 [ 11.63255257  11.64470981   0.           0.        ]]",[-0.10759537  0.99063361],-0.246282559067,[ 0.26804459  0.67981744],[-0.94347829 -0.79228413],-0.246282559067
4,"[ 0.86566937  1.03971259  0.78051307  0.32679203 -0.5880315   1.02485487
  1.77527571  2.39045058  1.57595172  0.37712154  0.        ]","[[  0.53849948   0.68035884  -0.06826062   0.11697727]
 [ 10.97657418  15.33662037   0.           0.        ]]",[ 0.71444557  0.17789082],-0.195668410035,[ 0.23443356  0.15805092],[-0.94347829 -0.79228413],-0.195668410035
5,"[ 0.64819381  0.74278773  1.06777202  0.86594808 -0.5880311   1.0248538
  2.16021298  2.46097254  0.80059595  0.70216066  0.        ]","[[  0.78422995   0.99109914  -0.06826062   0.11697727]
 [ 13.58797421  15.73604577   0.           0.        ]]",[-0.91301558 -1.59518414],-0.131859259913,[-0.94520283 -0.97285569],[-0.94347829 -0.79228413],-0.131859259913
6,"[ 0.38516745  0.42619439  1.28205907  1.16822406 -0.5880307   1.02485274
  1.58849644  1.70685863  0.10557334  0.56820321  0.        ]","[[  1.01707877   1.26297122  -0.06826062   0.11697727]
 [  9.70954534  11.4654042    0.           0.        ]]",[-1.50849606 -1.2327734 ],-0.0712634251807,[-1.01371479 -1.17750728],[-0.94347829 -0.79228413],-0.0712634251807
7,"[ 0.18959075  0.18981735  1.38607449  1.27148354 -0.5880303   1.02485167
  0.97712445  0.96770534 -0.2780983   0.27235495  0.        ]","[[ 1.16965927  1.45028031 -0.06826062  0.11697727]
 [ 5.56208332  7.27946896  0.          0.        ]]",[-1.38254639 -0.21530762],-0.0321903209823,[-1.03399587 -1.15560675],[-0.94347829 -0.79228413],-0.0321903209823
8,"[ 0.09459497  0.01482018  1.42349281  1.29002778 -0.5880299   1.0248506
  0.37761774  0.79183705 -0.4404664   0.02440894  0.        ]","[[ 1.24009673  1.58587686 -0.06826062  0.11697727]
 [ 1.49510878  6.28350308  0.          0.        ]]",[-0.79844065 -1.46922306],-0.0123581544513,[-0.64343655 -1.24579239],[-0.94347829 -0.79228413],-0.0123581544513
9,"[ 0.09745179 -0.09451296  1.42247891  1.27740115 -0.58802949  1.02484953
 -0.09244513  0.07077432 -0.46376086 -0.09600194  0.        ]","[[ 1.23800502  1.67057605 -0.06826062  0.11697727]
 [-1.69373588  2.20001324  0.          0.        ]]",[-0.18043031 -0.57795845],-0.00676902758456,[ 0.15054625 -0.34978166],[-0.94347829 -0.79228413],-0.00676902758456
