timestep,obs,human_obs,actions,rewards,avg_action_dist,logstd_action_dist,original_rewards
39,"[-0.32452108 -0.69451689 -1.4675038  -0.46358154 -0.81719877 -0.747117
 -0.17688512  0.14134322  0.49983109  0.79741825  0.        ]","[[-1.47296138  3.01823005 -0.09371664 -0.08838602]
 [-4.22978945  3.47739435  0.          0.        ]]",[-0.14629389  1.62373394],-0.144207110087,[-0.17097092  0.61611032],[-0.28459194 -0.16123588],-0.144207110087
40,"[-0.45429671 -0.69764823 -1.47482159 -0.52787092 -0.81719667 -0.74711521
 -0.22789074 -0.39942894  0.49687699  0.78896374  0.        ]","[[-1.5625307   3.03994319 -0.09371664 -0.08838602]
 [-4.72544298 -0.25544756  0.          0.        ]]",[ 0.56211045  1.26000873],-0.143298304171,[-0.24871972  0.61187804],[-0.28459194 -0.16123588],-0.143298304171
41,"[-0.55763544 -0.69607627 -1.47180883 -0.49408481 -0.81719456 -0.74711341
  0.01075943 -0.45788978  0.51279589  0.77951584  0.        ]","[[-1.63377145  3.02853942 -0.09371664 -0.08838602]
 [-2.40634998 -0.65899584  0.          0.        ]]",[ 0.39248127 -0.63652463],-0.144088006251,[-0.29462901  0.62507504],[-0.28459194 -0.16123588],-0.144088006251
42,"[-0.604018   -0.68957947 -1.46789832 -0.38085422 -0.81719246 -0.74711161
  0.17556253 -0.82111263  0.54741689  0.76695523  0.        ]","[[-1.66583028  2.99020334 -0.09371664 -0.08838602]
 [-0.80486887 -3.16625548  0.          0.        ]]",[-0.80739217 -0.62918079],-0.146482848978,[-0.32599968  0.69218659],[-0.28459194 -0.16123588],-0.146482848978
43,"[-0.67320211 -0.66772024 -1.45909537 -0.12459072 -0.81719035 -0.74710981
 -0.15176561 -1.17295966  0.62130377  0.73010625  0.        ]","[[-1.713842    2.9025098  -0.09371664 -0.08838602]
 [-3.98568618 -5.59500416  0.          0.        ]]",[-0.08911746  0.28341825],-0.151269796574,[-0.28675798  0.72123802],[-0.28459194 -0.16123588],-0.151269796574
44,"[-0.7908264  -0.63129683 -1.43578399  0.15958413 -0.81718825 -0.74710801
 -0.1799423  -0.99433888  0.69733868  0.66079325  0.        ]","[[-1.79630294  2.8029804  -0.09371664 -0.08838602]
 [-4.25949583 -4.36204645  0.          0.        ]]",[-0.99741724  0.17863079],-0.154852739563,[-0.24537599  0.72161937],[-0.28459194 -0.16123588],-0.154852739563
45,"[-0.96325343 -0.59367698 -1.38158444  0.37906512 -0.81718614 -0.74710622
 -0.5776274  -0.87938517  0.74183603  0.56711686  0.        ]","[[-1.92026688  2.72370085 -0.09371664 -0.08838602]
 [-8.12400529 -3.56856364  0.          0.        ]]",[-0.11906272  1.24358395],-0.154501848328,[-0.16900542  0.67132545],[-0.28459194 -0.16123588],-0.154501848328
46,"[-1.18124026 -0.57698047 -1.27467426  0.4627229  -0.81718404 -0.74710442
 -0.60956992 -0.29554623  0.73376312  0.48039807  0.        ]","[[-2.08586121  2.69276495 -0.09371664 -0.08838602]
 [-8.43441842  0.46153956  0.          0.        ]]",[ 0.97515249 -0.10458804],-0.149275114364,[-0.05161422  0.60117066],[-0.28459194 -0.16123588],-0.149275114364
47,"[-1.33694549 -0.57974437 -1.16641992  0.44932535 -0.81718193 -0.74710262
 -0.19508775 -0.35686085  0.7047329   0.43871186  0.        ]","[[-2.21413827  2.69774903 -0.09371664 -0.08838602]
 [-4.40670634  0.03829508  0.          0.        ]]",[-0.29057844 -0.46948886],-0.143993054416,[-0.1305227   0.62613761],[-0.28459194 -0.16123588],-0.143993054416
48,"[-1.44724236 -0.56968219 -1.06910632  0.49727206 -0.81717983 -0.74710082
 -0.30450181 -0.62629     0.68663801  0.38966562  0.        ]","[[-2.31294022  2.67985486 -0.09371664 -0.08838602]
 [-5.46993686 -1.82151686  0.          0.        ]]",[-0.75559416  1.98255522],-0.13972553409,[-0.09463481  0.63620079],[-0.28459194 -0.16123588],-0.13972553409
49,"[-1.58536354 -0.57176772 -0.91446679  0.48750391 -0.81717772 -0.74709902
 -0.60119677 -0.04746363  0.64625653  0.35207051  0.        ]","[[-2.45126611  2.68351272 -0.09371664 -0.08838602]
 [-8.353063    2.17397383  0.          0.        ]]",[ 0.05671429 -0.01764411],-0.133395176756,[ 0.13809006  0.58957583],[-0.28459194 -0.16123588],-0.133395176756
