timestep,obs,human_obs,actions,rewards,avg_action_dist,logstd_action_dist,original_rewards
0,"[ 1.00065834  1.54229502 -0.01753714 -1.22149868  1.17999494  0.50049569
  0.22295119 -0.33677192  0.22858916 -0.90672989  0.        ]","[[-0.0388236  -0.08092128  0.1360706   0.05646575]
 [ 0.0041999  -0.00348092  0.          0.        ]]",[ 1.06010075  2.84413539],-0.103629734545,[ 0.75163317  1.69817328],[-0.39704382 -0.26268804],-0.103629734545
1,"[ 1.00179072  1.54527255  0.04196134 -1.11486193  1.17999221  0.50049509
  0.69597615  0.27248128  0.23547399 -0.77256047  0.        ]","[[  9.34671699e-04  -4.12777756e-02   1.36070600e-01   5.64657542e-02]
 [  3.95846321e+00   3.95464501e+00   0.00000000e+00   0.00000000e+00]]",[-1.65602801  0.40275113],-0.0956590773585,[-0.5600462   0.73808998],[-0.39704382 -0.26268804],-0.0956590773585
2,"[ 1.00060732  1.54458389  0.09985573 -0.86075378  1.17998949  0.50049448
  0.21332006  0.50613854  0.23137016 -0.57680207  0.        ]","[[ 0.03962192  0.05304577  0.1360706   0.05646575]
 [-0.07629945  5.47264447  0.          0.        ]]",[ 0.59507088  0.30225607],-0.084709341654,[ 0.13681796  0.69525129],[-0.39704382 -0.26268804],-0.084709341654
3,"[ 0.9989191   1.52783178  0.13289914 -0.5386378   1.17998676  0.50049388
  0.49505303  0.6735389   0.2076322  -0.38994347  0.        ]","[[ 0.06172573  0.17341038  0.1360706   0.05646575]
 [ 2.27885062  6.56019569  0.          0.        ]]",[-1.56536101 -0.62081895],-0.0748931126407,[-0.64094532  0.26439676],[-0.39704382 -0.26268804],-0.0748931126407
4,"[ 0.99838906  1.49877448  0.14103141 -0.26232146  1.17998404  0.50049328
  0.01655699  0.27540553  0.17627217 -0.26067247  0.        ]","[[ 0.06716996  0.27866279  0.1360706   0.05646575]
 [-1.72113118  3.97365733  0.          0.        ]]",[-0.06519067  0.437659  ],-0.0683358599888,[ 0.17377388  0.70372963],[-0.39704382 -0.26268804],-0.0683358599888
5,"[ 1.00108337  1.46079468  0.08620211 -0.01719305  1.17998131  0.50049267
 -0.01029428  0.53005236  0.15654694 -0.23516344  0.        ]","[[ 0.03049517  0.37473467  0.1360706   0.05646575]
 [-1.94559393  5.62801598  0.          0.        ]]",[ 1.03473474  0.81203311],-0.0657474083985,[ 0.20118642  0.39401948],[-0.39704382 -0.26268804],-0.0657474083985
6,"[ 1.00102737  1.38439139  0.0879307   0.33177406  1.17997859  0.50049207
  0.46742647  1.00759215  0.09137851 -0.08431864  0.        ]","[[ 0.03165058  0.5184225   0.1360706   0.05646575]
 [ 2.04790384  8.73044113  0.          0.        ]]",[-0.44301753  1.28325974],-0.0578071098078,[-0.93120825 -0.45583183],[-0.39704382 -0.26268804],-0.0578071098078
7,"[ 0.99953468  1.2314543   0.12226103  0.79566351  1.17997587  0.50049146
  0.25280231  1.59055761 -0.05205233  0.15489503  0.        ]","[[  0.05460707   0.73103125   0.1360706    0.05646575]
 [  0.25376273  12.51780331   0.           0.        ]]",[-1.76159069 -2.55539209],-0.0494343736321,[-0.89080536 -1.26108336],[-0.39704382 -0.26268804],-0.0494343736321
8,"[ 1.00147806  1.04164462  0.07042624  1.17145763  1.17997314  0.50049086
 -0.22090155  0.94311923 -0.18090235  0.2480259   0.        ]","[[ 0.01995285  0.93918568  0.1360706   0.05646575]
 [-3.70614671  8.31162281  0.          0.        ]]",[ 0.35053158 -0.55225063],-0.0447156478599,[-0.07877074 -0.76385289],[-0.39704382 -0.26268804],-0.0447156478599
9,"[ 1.00060037  0.8928864  -0.01856813  1.3755709   1.17997042  0.50049026
 -0.04613336  0.58113474 -0.24994777  0.23729848  0.        ]","[[-0.03951179  1.08182276  0.1360706   0.05646575]
 [-2.24518103  5.95993522  0.          0.        ]]",[-0.16412151  0.14867658],-0.0396060778587,[-0.28575972 -0.58071262],[-0.39704382 -0.26268804],-0.0396060778587
10,"[ 0.99561206  0.75398876 -0.09470185  1.51379536  1.17996769  0.50048965
 -0.11851676  0.65360731 -0.3158438   0.22358199  0.        ]","[[-0.09048637  1.20574556  0.1360706   0.05646575]
 [-2.85026692  6.43077086  0.          0.        ]]",[ 1.37984584 -1.38790911],-0.0353492595988,[-0.14826578 -0.72972065],[-0.39704382 -0.26268804],-0.0353492595988
11,"[ 0.99312381  0.65160243 -0.11961775  1.58831119  1.17996497  0.50048905
  0.36171522  0.0243811  -0.38067414  0.23959422  0.        ]","[[-0.10721343  1.29334586  0.1360706   0.05646575]
 [ 1.16420421  2.34290305  0.          0.        ]]",[-0.13705984 -0.20362614],-0.0351004868506,[-0.90804768 -0.39182264],[-0.39704382 -0.26268804],-0.0351004868506
12,"[ 0.99572831  0.60597195 -0.09338001  1.61467296  1.17996225  0.50048844
  0.29410514 -0.1068457  -0.43044434  0.28090792  0.        ]","[[-0.08959988  1.33165016  0.1360706   0.05646575]
 [ 0.59902516  1.49036744  0.          0.        ]]",[-1.93841528 -0.82160629],-0.0387078197663,[-0.81855977 -0.30814391],[-0.39704382 -0.26268804],-0.0387078197663
13,"[ 0.99139441  0.6097054  -0.1348211   1.61266252  1.17995952  0.50048784
 -0.18060488 -0.6120074  -0.40448945  0.23945935  0.        ]","[[-0.11743463  1.32852962  0.1360706   0.05646575]
 [-3.36927676 -1.79149464  0.          0.        ]]",[ 0.27044627 -0.88388227],-0.0348358205112,[ 0.15814254  0.29285201],[-0.39704382 -0.26268804],-0.0348358205112
