timestep,obs,human_obs,actions,rewards,avg_action_dist,logstd_action_dist,original_rewards
0,"[ 1.02444676  2.02634554  0.22877369 -0.90716195 -0.76059927  1.01077392
  0.29897453 -0.37194672  1.93229348 -0.92592221  0.        ]","[[ 0.09522435 -0.03749988 -0.0865984   0.11606755]
 [ 0.00131967 -0.00331988  0.          0.        ]]",[ 0.91620693  1.14477519],-0.312468087841,[ 1.5273788   1.69313025],[-0.23267058 -0.12499861],-0.312468087841
1,"[ 1.01861568  2.02725663  0.28426826 -0.78357059 -0.76059655  1.0107693
  0.63831173  0.18835951  1.92334154 -0.82425095  0.        ]","[[  1.31599751e-01   2.14807768e-03  -8.65984042e-02   1.16067554e-01]
 [  3.62416259e+00   3.95492862e+00   0.00000000e+00   0.00000000e+00]]",[ 0.05973278  1.67367218],-0.307688897416,[ 1.06608677  1.5478456 ],[-0.23267058 -0.12499861],-0.307688897416
2,"[ 1.00100461  2.01761621  0.39644339 -0.41644063 -0.76059384  1.01076469
  0.65358967  0.73776129  1.87865665 -0.58686355  0.        ]","[[ 0.20571959  0.12018822 -0.0865984   0.11606755]
 [ 3.78729471  7.83615001  0.          0.        ]]",[ 0.99698536  1.44072695],-0.294955516608,[ 0.76659626  1.4205029 ],[-0.23267058 -0.12499861],-0.294955516608
3,"[ 0.95887108  1.9615704   0.56620467  0.17589178 -0.76059113  1.01076007
  1.0158725   1.27607662  1.74100875 -0.23652647  0.        ]","[[  0.32027178   0.31506731  -0.0865984    0.11606755]
 [  7.65512696  11.63908348   0.           0.        ]]",[-0.14136812  1.46016389],-0.270741236297,[ 0.14550141  1.17450356],[-0.23267058 -0.12499861],-0.270741236297
4,"[ 0.8797686   1.80524456  0.77304932  0.93209552 -0.76058842  1.01075546
  0.94924081  1.80396111  1.44920693  0.13579215  0.        ]","[[  0.46623613   0.58526657  -0.0865984    0.11606755]
 [  6.94380112  15.36840345   0.           0.        ]]",[-0.02952875  0.37963229],-0.231801515372,[-0.20674634  0.93743944],[-0.23267058 -0.12499861],-0.231801515372
5,"[ 0.78155579  1.51769782  0.9530694   1.661022   -0.76058571  1.01075084
  0.92552076  1.97364418  1.04666769  0.35736902  0.        ]","[[  0.60257064   0.90466341  -0.0865984    0.11606755]
 [  6.690604    16.56727614   0.           0.        ]]",[ 0.91066758  0.57644185],-0.183045549044,[-0.48786765  0.69479185],[-0.23267058 -0.12499861],-0.183045549044
6,"[ 0.63035409  1.10701864  1.15307347  2.17394234 -0.76058299  1.01074622
  1.25079275  2.25010093  0.55875644  0.37446058  0.        ]","[[  0.77122246   1.25560654  -0.0865984    0.11606755]
 [ 10.16332925  18.52052308   0.           0.        ]]",[-0.44552937  2.19433902],-0.121717755451,[-0.8168025   0.41867357],[-0.23267058 -0.12499861],-0.121717755451
7,"[ 0.43319336  0.57207353  1.33609097  2.3145233  -0.76058028  1.01074161
  1.06705278  2.75863391  0.11083566  0.10406503  0.        ]","[[  0.95480672   1.66206625  -0.0865984    0.11606755]
 [  8.20174893  22.11346718   0.           0.        ]]",[-1.83478254  0.23250832],-0.0533376598044,[-0.81701553  0.29459175],[-0.23267058 -0.12499861],-0.0533376598044
8,"[ 0.28561205  0.00983382  1.4352657   1.88642961 -0.76057757  1.01073699
  0.68139503  2.82695983 -0.07451864 -0.35277207  0.        ]","[[  1.0775344    2.10918302  -0.0865984    0.11606755]
 [  4.0844321   22.59657304   0.           0.        ]]",[-0.05857125  0.25153063],-0.0407997228884,[-0.77182049  0.23866689],[-0.23267058 -0.12499861],-0.0407997228884
9,"[ 0.18568522 -0.42551266  1.4881543   0.9051907  -0.76057486  1.01073238
  0.65230402  2.90454373  0.00583204 -0.79569605  0.        ]","[[  1.15610867   2.56661826  -0.0865984    0.11606755]
 [  3.77387478  23.14512391   0.           0.        ]]",[-0.41064176  1.21939004],-0.0918387952306,[-0.79723984  0.20008591],[-0.23267058 -0.12499861],-0.0918387952306
10,"[ 0.1090608  -0.63599407  1.52187371 -0.55064003 -0.76057214  1.01072776
  0.49310769  2.69450946  0.30364678 -1.11314982  0.        ]","[[  1.21453829   3.06465041  -0.0865984    0.11606755]
 [  2.07428948  21.66160757   0.           0.        ]]",[-1.68849388  1.1616521 ],-0.143523671322,[-0.7108109   0.24672145],[-0.23267058 -0.12499861],-0.143523671322
11,"[ 0.10728784 -0.63705702  1.52257651 -0.99509769 -0.76056943  1.01072314
  0.11831029 -0.52415492  0.41986368 -1.16306232  0.        ]","[[ 1.21587428  3.20733121 -0.0865984   0.11606755]
 [-1.92708491 -1.07827415  0.          0.        ]]",[-1.40711642  1.06140918],-0.157112371795,[-0.32751527  0.42843401],[-0.23267058 -0.12499861],-0.157112371795
12,"[ 0.20906398 -0.63992527  1.4766803  -0.80249435 -0.76056672  1.01071853
 -0.24898469 -0.89910873  0.36065793 -1.14078184  0.        ]","[[ 1.1379885   3.14550891 -0.0865984   0.11606755]
 [-5.84836331 -3.72734525  0.          0.        ]]",[ 0.44933426 -0.42226197],-0.150417302696,[-0.14308426  0.49276212],[-0.23267058 -0.12499861],-0.150417302696
13,"[ 0.33188378 -0.63492852  1.40700054 -0.52041907 -0.76056401  1.01071391
 -0.07150642 -1.12530396  0.29062696 -1.09039252  0.        ]","[[ 1.040032    3.05492768 -0.0865984   0.11606755]
 [-3.95359615 -5.32545248  0.          0.        ]]",[-1.28950559 -0.81427823],-0.140326562004,[-0.19493842  0.48522073],[-0.23267058 -0.12499861],-0.140326562004
14,"[ 0.47062446 -0.60647598  1.30626492 -0.09630467 -0.7605613   1.0107093
 -0.43503521 -1.5667593   0.21076843 -0.98411116  0.        ]","[[ 0.92201978  2.91712509 -0.0865984   0.11606755]
 [-7.83465552 -8.44441724  0.          0.        ]]",[-0.68496679  2.15964597],-0.12406301744,[ 0.01407945  0.56620473],[-0.23267058 -0.12499861],-0.12406301744
15,"[ 0.66096556 -0.5581838   1.11773206  0.28451372 -0.76055859  1.01070468
 -0.67449534 -0.98266985  0.18063078 -0.84100007  0.        ]","[[  0.73967648   2.78964011  -0.0865984    0.11606755]
 [-10.39115977  -4.31784732   0.           0.        ]]",[-0.57363995 -0.07266115],-0.107623043029,[ 0.1134945   0.59685898],[-0.23267058 -0.12499861],-0.107623043029
16,"[ 0.84993283 -0.51271397  0.83382923  0.53866451 -0.76055587  1.01070007
 -0.86793892 -1.01132803  0.22093914 -0.71046566  0.        ]","[[  0.51113186   2.70125157  -0.0865984    0.11606755]
 [-12.45640092  -4.52035042   0.           0.        ]]",[ 0.12662054  0.98466154],-0.0986035301729,[ 0.35477495  0.71210283],[-0.23267058 -0.12499861],-0.0986035301729
