timestep,obs,human_obs,actions,rewards,avg_action_dist,logstd_action_dist,original_rewards
0,"[ 1.06356453  1.33140568  0.04806793 -1.5225509   0.07640206 -0.10795529
  0.16187372 -0.31831576  1.64469792 -0.04711942  0.        ]","[[ 0.016626   -0.09158044  0.00851734 -0.01330411]
 [ 0.00172008 -0.00036843  0.          0.        ]]",[ 0.24858683  3.73034324],-0.201272508817,[ 0.37158442  3.37553167],[-0.91557932 -0.75879025],-0.201272508817
1,"[ 1.06325459  1.33506418  0.06276072 -1.41977693  0.07640202 -0.10795524
  0.30451547  0.37373209  1.64726199  0.03906467  0.        ]","[[ 0.02651118 -0.05186372  0.00851734 -0.01330411]
 [ 0.98353279  3.95884616  0.          0.        ]]",[ 0.24636959  3.36882258],-0.201841836828,[ 0.1087023   3.18161917],[-0.91557932 -0.75879025],-0.201841836828
2,"[ 1.06151242  1.33396998  0.10619174 -1.11351828  0.07640198 -0.10795518
  0.44306623  1.05207995  1.63807283  0.29485151  0.        ]","[[ 0.05575003  0.06625093  0.00851734 -0.01330411]
 [ 1.93718726  7.83968663  0.          0.        ]]",[-0.32149089  2.20463346],-0.20308861438,[-0.37306279  2.95281839],[-0.91557932 -0.75879025],-0.20308861438
3,"[ 1.05897379  1.29315568  0.14413851 -0.61523387  0.07640194 -0.10795512
  0.25252851  1.71714812  1.57953608  0.64465823  0.        ]","[[  8.13350102e-02   2.61220318e-01   8.51734226e-03  -1.33041120e-02]
 [  6.25707219e-01   1.16445681e+01   0.00000000e+00   0.00000000e+00]]",[-0.60146307  2.76103607],-0.203321928868,[-0.71000034  2.56552267],[-0.91557932 -0.75879025],-0.203321928868
4,"[ 1.06022958  1.15932917  0.12709815  0.02974269  0.0764019  -0.10795506
 -0.09511922  2.36911063  1.44898928  0.9680214   0.        ]","[[  6.98403147e-02   5.31535469e-01   8.51734226e-03  -1.33041120e-02]
 [ -1.76716942e+00   1.53745030e+01   0.00000000e+00   0.00000000e+00]]",[-0.85650021  1.93618095],-0.199779019405,[-0.90498763  2.09331846],[-0.91557932 -0.75879025],-0.199779019405
5,"[ 1.06375811  0.8743308   0.0246022   0.70726252  0.07640186 -0.107955
 -0.58245298  3.00819185  1.24453575  1.17442976  0.        ]","[[  8.41734504e-04   8.75710772e-01   8.51734226e-03  -1.33041120e-02]
 [ -5.12151260e+00   1.90307976e+01   0.00000000e+00   0.00000000e+00]]",[-0.9172224   1.37282831],-0.189180060882,[-0.92577058  1.60623181],[-0.91557932 -0.75879025],-0.189180060882
6,"[ 1.05019107  0.40418779 -0.17967479  1.20920135  0.07640182 -0.10795494
 -1.09506778  3.634551    0.97049378  1.20605479  0.        ]","[[ -1.36989086e-01   1.29228296e+00   8.51734226e-03  -1.33041120e-02]
 [ -8.64987101e+00   2.26143897e+01   0.00000000e+00   0.00000000e+00]]",[-1.04501242  0.9505234 ],-0.168133605355,[-0.92348379  0.68030369],[-0.91557932 -0.75879025],-0.168133605355
7,"[ 0.97696299 -0.21383597 -0.48361063  1.25376424  0.07640178 -0.10795488
 -1.64520389  4.21414653  0.62422596  1.04298301  0.        ]","[[ -3.47977589e-01   1.77784415e+00   8.51734226e-03  -1.33041120e-02]
 [ -1.24365042e+01   2.59305504e+01   0.00000000e+00   0.00000000e+00]]",[-0.79551034 -0.64158476],-0.133989866464,[-0.42831045 -0.4272725 ],[-0.91557932 -0.75879025],-0.133989866464
8,"[ 0.78930621 -0.77311392 -0.84751468  0.7073766   0.07640173 -0.10795483
 -2.06693272  3.68025599  0.25749977  0.72619904  0.        ]","[[ -6.25829974e-01   2.26581106e+00   8.51734226e-03  -1.33041120e-02]
 [ -1.53393249e+01   2.28762507e+01   0.00000000e+00   0.00000000e+00]]",[-0.22368885 -0.91870824],-0.0914923041273,[ 0.14249249 -1.01343358],[-0.91557932 -0.75879025],-0.0914923041273
9,"[ 0.47152329 -1.10233706 -1.17589499 -0.1350913   0.07640169 -0.10795477
 -2.15155254  2.96513457 -0.08135236  0.41185704  0.        ]","[[ -9.38460486e-01   2.68228678e+00   8.51734226e-03  -1.33041120e-02]
 [ -1.59218129e+01   1.87850009e+01   0.00000000e+00   0.00000000e+00]]",[ 0.24770174 -1.47602776],-0.0517893011183,[ 0.77458292 -1.00021195],[-0.91557932 -0.75879025],-0.0517893011183
