timestep,obs,human_obs,actions,rewards,avg_action_dist,logstd_action_dist,original_rewards
0,"[ 1.07064511  1.3203079   0.05016208 -1.4415038   0.97698485  0.13848053
  0.1682384  -0.31668349  0.60020697 -0.37159759  0.        ]","[[ 0.01171173 -0.0595531   0.11293754  0.01473198]
 [ 0.00481344  0.00199747  0.          0.        ]]",[-0.37128636  2.72386541],-0.0987401600524,[-0.13759127  3.16356874],[-0.92530864 -0.77428633],-0.0987401600524
1,"[ 1.07073703  1.32234145  0.02843731 -1.33892127  0.97698386  0.13848045
 -0.04563572  0.38041233  0.60127905 -0.35406217  0.        ]","[[ -2.94494360e-03  -1.97799770e-02   1.12937539e-01   1.47319777e-02]
 [ -1.46557974e+00   3.96211530e+00   0.00000000e+00   0.00000000e+00]]",[-0.88052216  2.97358578],-0.0986037468546,[-0.15767545  2.75478673],[-0.92530864 -0.77428633],-0.0986037468546
2,"[ 1.06749756  1.31634693 -0.06633071 -1.03422748  0.97698288  0.13848038
 -0.54828822  1.06384143  0.59870261 -0.35987278  0.        ]","[[-0.0669292   0.09841661  0.11293754  0.01473198]
 [-4.92133619  7.84459782  0.          0.        ]]",[ 0.92930588  3.21034074],-0.098435638699,[ 0.49217892  2.31341791],[-0.92530864 -0.77428633],-0.098435638699
3,"[  1.05897628e+00   1.26741520e+00  -1.55688728e-01  -5.41160910e-01
   9.76981889e-01   1.38480307e-01   3.89427741e-04   1.73324628e+00
   5.77590425e-01  -2.42412240e-01   0.00000000e+00]","[[ -0.12750899   0.29346346   0.11293754   0.01473198]
 [ -1.1491591   11.64742433   0.           0.        ]]",[-1.23513186  1.66362093],-0.0951933464789,[-0.83844346  1.47374249],[-0.92530864 -0.77428633],-0.0951933464789
4,"[ 1.04466974  1.12281876 -0.2470914   0.09169943  0.9769809   0.13848023
 -0.57189945  2.38989995  0.50453186 -0.02785402  0.        ]","[[ -1.89968204e-01   5.63840766e-01   1.12937539e-01   1.47319777e-02]
 [ -5.08366486e+00   1.53778435e+01   0.00000000e+00   0.00000000e+00]]",[ 0.18278804  0.24037384],-0.0879101744525,[-0.40091324  0.43357816],[-0.92530864 -0.77428633],-0.0879101744525
5,"[ 1.01294154  0.85640138 -0.38163945  0.6982009   0.97697991  0.13848016
 -0.45207404  2.50378021  0.36549284  0.13949207  0.        ]","[[ -2.83376602e-01   8.77889083e-01   1.12937539e-01   1.47319777e-02]
 [ -4.25986385e+00   1.60248389e+01   0.00000000e+00   0.00000000e+00]]",[-0.34631762  0.30333722],-0.0765746654742,[-0.75489199 -0.54901403],[-0.92530864 -0.77428633],-0.0765746654742
6,"[ 0.9665669   0.49091988 -0.51903225  1.12477164  0.97697893  0.13848009
 -0.63910576  2.65939569  0.1615577   0.27463691  0.        ]","[[ -3.81475039e-01   1.20725659e+00   1.12937539e-01   1.47319777e-02]
 [ -5.54571466e+00   1.69089397e+01   0.00000000e+00   0.00000000e+00]]",[-0.06214274 -1.79176464],-0.0616454146673,[-0.55895966 -1.57354212],[-0.92530864 -0.77428633],-0.0616454146673
7,"[ 0.89765631  0.1202789  -0.66968338  1.28743156  0.97697794  0.13848001
 -0.65874651  1.90344906 -0.05220697  0.30237381  0.        ]","[[ -0.4937431    1.50234776   0.11293754   0.01473198]
 [ -5.68074866  12.61448627   0.           0.        ]]",[ 0.25987433 -1.97493463],-0.0457915757196,[-0.17758998 -1.61620235],[-0.92530864 -0.77428633],-0.0457915757196
8,"[ 0.8209609  -0.15013196 -0.79913233  1.26763745  0.97697695  0.13847994
 -0.49269509  1.16243855 -0.21387178  0.26227103  0.        ]","[[-0.59590367  1.71240075  0.11293754  0.01473198]
 [-4.53914392  8.40486029  0.          0.        ]]",[ 1.01492257 -1.45249422],-0.0333265193557,[-0.01265994 -1.38728023],[-0.92530864 -0.77428633],-0.0333265193557
9,"[ 0.77866665 -0.31011144 -0.85960132  1.2011212   0.97697596  0.13847987
  0.09615101  0.43605692 -0.32350131  0.25306475  0.        ]","[[-0.64606871  1.83909481  0.11293754  0.01473198]
 [-0.49081618  4.27833279  0.          0.        ]]",[-1.00496151 -1.04999504],-0.0283114336281,[-0.98001146 -0.9104802 ],[-0.92530864 -0.77428633],-0.0283114336281
10,"[ 0.73414677 -0.36573593 -0.91698537  1.16782283  0.97697498  0.1384798
 -0.47809524 -0.27577902 -0.35056115  0.19824057  0.        ]","[[-0.69549578  1.88408796  0.11293754  0.01473198]
 [-4.4387694   0.23443775  0.          0.        ]]",[ 0.75802081  0.12215651],-0.0237593500124,[ 0.6831314  -0.02265596],[-0.92530864 -0.77428633],-0.0237593500124
11,"[ 0.67865521 -0.37737087 -0.98112843  1.16016     0.97697399  0.13847972
 -0.02891358 -0.19151627 -0.33968046  0.11114304  0.        ]","[[-0.75328702  1.89357942  0.11293754  0.01473198]
 [-1.35064045  0.7131282   0.          0.        ]]",[ 0.53258062 -0.13657714],-0.0178344803398,[-0.08029842 -0.11864936],[-0.92530864 -0.77428633],-0.0178344803398
12,"[ 0.67309339 -0.38799441 -0.98715949  1.15294839  0.976973    0.13847965
  0.28160459 -0.28923354 -0.34685054  0.10756137  0.        ]","[[-0.75888057  1.90227221  0.11293754  0.01473198]
 [ 0.78417552  0.15800228  0.          0.        ]]",[-0.54587937 -0.60685297],-0.0173640034225,[-0.85955107 -0.06102872],[-0.92530864 -0.77428633],-0.0173640034225
13,"[ 0.66694199 -0.36230353 -0.99375203  1.17003164  0.97697201  0.13847958
 -0.03489369 -0.71271938 -0.32338177  0.08432489  0.        ]","[[-0.76502894  1.88129412  0.11293754  0.01473198]
 [-1.39175179 -2.24779318  0.          0.        ]]",[ 0.33087503  0.43573215],-0.0166285556936,[ 0.34427428  0.80876601],[-0.92530864 -0.77428633],-0.0166285556936
14,"[ 0.65236061 -0.32873617 -1.0090628   1.19057066  0.97697103  0.1384795
  0.15957926 -0.4012077  -0.2917163   0.04192757  0.        ]","[[-0.7794493   1.85409396  0.11293754  0.01473198]
 [-0.05474943 -0.47811974  0.          0.        ]]",[-0.45928148  0.66009832],-0.0157704506155,[-0.29018563  0.35316148],[-0.92530864 -0.77428633],-0.0157704506155
15,"[ 0.63248308 -0.34945089 -1.02924245  1.17812946  0.97697004  0.13847943
 -0.10472341  0.06057938 -0.30331729  0.02168438  0.        ]","[[-0.79877561  1.87085281  0.11293754  0.01473198]
 [-1.87183005  2.14525748  0.          0.        ]]",[-0.61343661 -0.30962758],-0.013908958416,[ 0.12119576 -0.33944821],[-0.92530864 -0.77428633],-0.013908958416
16,"[ 0.56683651 -0.38648132 -1.09071285  1.1539816   0.97696905  0.13847936
 -0.45249207 -0.16266996 -0.31921354 -0.05735893  0.        ]","[[-0.86020087  1.90103321  0.11293754  0.01473198]
 [-4.26273943  0.87699526  0.          0.        ]]",[ 1.12375261  0.17275451],-0.0090304902518,[ 1.22362137  0.09395519],[-0.92530864 -0.77428633],-0.0090304902518
17,"[ 0.51681331 -0.41592975 -1.13278994  1.13298891  0.97696806  0.13847928
  0.13550106 -0.04539153 -0.33490432 -0.11153622  0.        ]","[[-0.90489663  1.92525763  0.11293754  0.01473198]
 [-0.22029137  1.54324423  0.          0.        ]]",[ 0.22802846 -0.53061838],-0.00638753166175,[-0.15628567 -0.27161777],[-0.92530864 -0.77428633],-0.00638753166175
18,"[ 0.52215434 -0.42737991 -1.12847576  1.12438801  0.97696708  0.13847921
  0.26744949 -0.42062467 -0.34489213 -0.09665021  0.        ]","[[-0.90020077  1.93473478  0.11293754  0.01473198]
 [ 0.68685354 -0.5884247   0.          0.        ]]",[-0.44561724  0.60004162],-0.00560811527612,[-0.24124098  0.27908921],[-0.92530864 -0.77428633],-0.00560811527612
19,"[  5.17492899e-01  -4.42045055e-01  -1.13224031e+00   1.11300852e+00
   9.76966088e-01   1.38479139e-01   8.87991541e-03  -3.16814965e-04
  -3.56115010e-01  -9.39720021e-02   0.00000000e+00]","[[-0.90429954  1.9469232   0.11293754  0.01473198]
 [-1.09080826  1.79930736  0.          0.        ]]",[-0.37100961 -1.02632572],-0.00463685454024,[ 0.12591253 -0.36920339],[-0.92530864 -0.77428633],-0.00463685454024
20,"[ 0.47552908 -0.43712185 -1.1647557   1.11687259  0.9769651   0.13847907
 -0.20153185 -0.70356507 -0.34685595 -0.15505479  0.        ]","[[-0.94062978  1.94282532  0.11293754  0.01473198]
 [-2.53738587 -2.19578536  0.          0.        ]]",[ 1.16479695  1.12391937],-0.00593714829783,[ 1.2534585   0.89369071],[-0.92530864 -0.77428633],-0.00593714829783
21,"[  4.63148681e-01  -4.32602940e-01  -1.17388843e+00   1.12037831e+00
   9.76964113e-01   1.38478993e-01   3.81460121e-01   1.01867213e-03
  -3.42028611e-01  -1.75053056e-01   0.00000000e+00]","[[-0.95116334  1.93906973  0.11293754  0.01473198]
 [ 1.47067236  1.80689001  0.          0.        ]]",[-0.19248942 -0.14616645],-0.00713367893468,[-0.70813787 -0.37861997],[-0.92530864 -0.77428633],-0.00713367893468
22,"[ 0.48829077 -0.46847727 -1.15512191  1.09144613  0.97696313  0.13847892
  0.26641274 -0.10714453 -0.37373233 -0.11733741  0.        ]","[[-0.92968565  1.96904239  0.11293754  0.01473198]
 [ 0.67972558  1.19242482  0.          0.        ]]",[ 0.02918534 -1.12679232],-0.00261640612337,[-0.42295855 -0.31795228],[-0.92530864 -0.77428633],-0.00261640612337
