timestep,obs,human_obs,actions,rewards,avg_action_dist,logstd_action_dist,original_rewards
0,"[ 0.98675616  1.83488402 -0.02179585 -0.56665078  1.49137528 -0.42191809
  0.2704473  -0.36161804 -0.03998865  0.34752764  0.        ]","[[-0.05823199  0.08878629  0.17247511 -0.05042286]
 [-0.000332    0.00467015  0.          0.        ]]",[-0.01965712  0.58807257],-0.0607624896731,[-0.74850279  0.10827312],[-0.29610267 -0.15870734],-0.0607624896731
1,"[ 0.98668507  1.83186464 -0.02301402 -0.49783276  1.49136799 -0.42191734
  0.26237879 -0.02401756 -0.04085394  0.36951565  0.        ]","[[-0.05902782  0.11224192  0.17247511 -0.05042286]
 [-0.07898587  2.33313281  0.          0.        ]]",[-1.57989166  0.42408838],-0.0626174294229,[-0.8210268  -0.07062787],[-0.29610267 -0.15870734],-0.0626174294229
2,"[ 0.98188523  1.82030972 -0.08607696 -0.3138172   1.49136069 -0.42191658
 -0.14331024  0.21297282 -0.0446809   0.35385937  0.        ]","[[-0.10028886  0.17530459  0.17247511 -0.05042286]
 [-4.03395148  3.96767809  0.          0.        ]]",[ 1.59369982  1.00461789],-0.0609541263192,[-0.36738765 -0.12899995],[-0.29610267 -0.15870734],-0.0609541263192
3,"[ 0.97482819  1.78521205 -0.14727158  0.02523057  1.4913534  -0.42191583
  0.27051199  0.77545417 -0.05627246  0.39520521  0.        ]","[[ -1.40491369e-01   2.93582228e-01   1.72475107e-01  -5.04228598e-02]
 [  2.98856743e-04   7.84716742e+00   0.00000000e+00   0.00000000e+00]]",[-1.40140643  1.49041664],-0.0638111771627,[-0.962502   -0.56779063],[-0.29610267 -0.15870734],-0.0638111771627
4,"[ 0.96556528  1.69030107 -0.20735984  0.55633557  1.4913461  -0.42191508
 -0.13542143  1.32723221 -0.09233293  0.51122244  0.        ]","[[ -0.18019048   0.48870953   0.17247511  -0.05042286]
 [ -3.95703767  11.65285831   0.           0.        ]]",[-0.2121936  -0.56140337],-0.0727090447764,[-0.67345089 -0.86220694],[-0.29610267 -0.15870734],-0.0727090447764
5,"[ 0.93746262  1.54173985 -0.33705572  1.06516075  1.49133881 -0.42191432
 -0.21341092  0.97151234 -0.14595755  0.54785919  0.        ]","[[-0.2669592   0.69715093  0.17247511 -0.05042286]
 [-4.71733812  9.1994499   0.          0.        ]]",[-1.54970372 -1.23938608],-0.0739107356524,[-0.58342588 -0.82910872],[-0.29610267 -0.15870734],-0.0739107356524
6,"[ 0.8738486   1.41535346 -0.52974853  1.36693749  1.49133151 -0.42191357
 -0.60954725  0.37117067 -0.18397519  0.44173735  0.        ]","[[-0.40005202  0.83959642  0.17247511 -0.05042286]
 [-8.57916453  5.05885051  0.          0.        ]]",[-0.2419981  -0.58811914],-0.0613610435954,[ 0.05891539 -0.54443794],[-0.29610267 -0.15870734],-0.0613610435954
7,"[ 0.75064316  1.33985326 -0.77227619  1.51155543  1.49132422 -0.42191281
 -0.69029265  0.01900794 -0.21699648  0.20204825  0.        ]","[[-0.57953327  0.91640371  0.17247511 -0.05042286]
 [-9.36634149  2.62995988  0.          0.        ]]",[-0.08252683  0.34651335],-0.0353651645955,[ 0.56052446 -0.31312746],[-0.29610267 -0.15870734],-0.0353651645955
8,"[ 0.57879677  1.27146533 -0.99809014  1.62456967  1.49131692 -0.42191206
 -0.704837    0.21035163 -0.28121139 -0.05098298  0.        ]","[[-0.76828278  0.98224404  0.17247511 -0.05042286]
 [-9.50814528  3.94967089  0.          0.        ]]",[ 0.97942975 -0.23824625],-0.00814745191763,[ 0.92194766 -0.32143867],[-0.29610267 -0.15870734],-0.00814745191763
9,"[ 0.41597502  1.19680292 -1.15033439  1.73119644  1.49130963 -0.4219113
 -0.28800553  0.06203891 -0.35754516 -0.22131755  0.        ]","[[-0.91767522  1.05097369  0.17247511 -0.05042286]
 [-5.44459541  2.92675143  0.          0.        ]]",[ 0.74296889 -0.58939769],-0.0146277900126,[ 0.82319236 -0.29828823],[-0.29610267 -0.15870734],-0.0146277900126
