timestep,human_obs,obs,original_rewards,logstd_action_dist,rewards,avg_action_dist,actions
0,"[[-0.09693294 -0.04534212  0.10817295  0.03224529]
 [-0.00328787  0.00016783  0.          0.        ]]","[ 0.96666005  1.72334446  0.09372359 -1.03324871  0.92239434  0.28228983
 -0.33673472 -0.33212495  0.43866952 -0.62891036  0.        ]",-0.115576603453,[-0.35398975 -0.19340044],-0.99243,[ 0.8314358   2.66783643],[-0.09139918  2.76698885]
1,"[[-0.10064117 -0.00560955  0.10817295  0.03224529]
 [-0.36632117  3.9598926   0.          0.        ]]","[ 0.96609072  1.72461419  0.08804052 -0.92192872  0.9223933   0.28228964
 -0.35849732  0.23649047  0.44268722 -0.59521749  0.        ]",-0.1142463672,[-0.35398975 -0.19340044],-0.997098,[ 0.549927    2.02127123],[ 0.06057828  1.90694368]
2,"[[-0.1055056   0.11252859  0.10817295  0.03224529]
 [-0.12092868  7.84098714  0.          0.        ]]","[ 0.965312    1.71666884  0.08058876 -0.59147607  0.92239227  0.28228946
 -0.34378647  0.79381429  0.4477071  -0.48212942  0.        ]",-0.109634615653,[-0.35398975 -0.19340044],-0.939906,[ 0.01600373  1.1467464 ],[-0.19472537  2.06444891]
3,"[[ -0.1156431    0.30752162   0.10817295   0.03224529]
 [ -0.89023082  11.64563345   0.           0.        ]]","[ 0.96357293  1.66557495  0.06507186 -0.05780552  0.92239123  0.28228927
 -0.3899038   1.34015878  0.42889301 -0.30050551  0.        ]",-0.101730317091,[-0.35398975 -0.19340044],-0.878451,[-0.35072729  0.12945907],[-0.66336028  0.93089031]
4,"[[ -0.15961196   0.57511295   0.10817295   0.03224529]
 [ -3.49795192  15.10196164   0.           0.        ]]","[ 0.95420091  1.52213263 -0.00199684  0.61831974  0.92239019  0.28228909
 -0.54622932  1.836482    0.35864767 -0.12008759  0.        ]",-0.0912733692997,[-0.35398975 -0.19340044],-0.845715,[-0.22538441 -0.61269289],[-0.39400183 -0.60281979]
5,"[[ -0.24450482   0.85020827   0.10817295   0.03224529]
 [ -4.98645013  12.41650077   0.           0.        ]]","[ 0.92773945  1.29643566 -0.13003809  1.19986668  0.92238916  0.2822889
 -0.63546033  1.45084813  0.253297   -0.0263014   0.        ]",-0.0795232810953,[-0.35398975 -0.19340044],-0.700954,[ 0.03877777 -0.9582994 ],[-0.1032097  0.7349596]
6,"[[ -0.34734779   1.12527027   0.10817295   0.03224529]
 [ -5.29676532  15.08081134   0.           0.        ]]","[ 0.88116405  1.00831972 -0.28147043  1.6229916   0.92238812  0.28228872
 -0.65406235  1.83343698  0.12007002  0.01849305  0.        ]",-0.0651372261449,[-0.35398975 -0.19340044],-0.653543,[-0.05237323 -1.39119637],[ 0.15558648 -1.44224153]
7,"[[ -0.44604206   1.38416019   0.10817295   0.03224529]
 [ -4.57512582  10.82238392   0.           0.        ]]","[ 0.82194441  0.6994554  -0.4216045   1.84791095  0.92238708  0.28228853
 -0.61080142  1.2219279  -0.03141723  0.04132163  0.        ]",-0.0489345742704,[-0.35398975 -0.19340044],-0.609265,[-0.08242804 -1.60712779],[ 0.23069964 -2.07064971]
8,"[[-0.52746751  1.55872751  0.10817295  0.03224529]
 [-3.57079614  6.64827205  0.          0.        ]]","[ 0.76278728  0.48108377 -0.53240879  1.89637496  0.92238605  0.28228835
 -0.55059399  0.62252799 -0.14053884  0.02684598  0.        ]",-0.0366925671529,[-0.35398975 -0.19340044],-0.64528,[-0.01211095 -1.44545341],[ 1.78144165 -1.42682903]
9,"[[-0.55845933  1.65063753  0.10817295  0.03224529]
 [ 0.45821282  2.55639221  0.          0.        ]]","[ 0.73791027  0.36550106 -0.57327153  1.88764523  0.92238501  0.28228816
 -0.30906494  0.03493682 -0.20642637  0.03261897  0.        ]",-0.0299808782028,[-0.35398975 -0.19340044],-0.588405,[-0.57569808 -1.08434618],[-0.72668867 -1.16827243]
10,"[[-0.57823612  1.66153412  0.10817295  0.03224529]
 [-2.42628851 -1.45337723  0.          0.        ]]","[ 0.72137234  0.35183492 -0.59893986  1.88503838  0.92238397  0.28228798
 -0.4819832  -0.54086326 -0.20820025  0.01259531  0.        ]",-0.028981212054,[-0.35398975 -0.19340044],-0.624738,[ 0.47410607 -0.31435472],[ 0.92312448 -0.91007198]
11,"[[-0.58961766  1.59659421  0.10817295  0.03224529]
 [ 1.27579363 -5.02870146  0.          0.        ]]","[ 0.71162339  0.4334232  -0.61356315  1.8956307   0.92238294  0.28228779
 -0.26005238 -1.05427656 -0.14953702 -0.03626811  0.        ]",-0.0341145130801,[-0.35398975 -0.19340044],-0.599713,[ 0.14083791  0.38687748],[ 0.05412197 -0.32013667]
12,"[[-0.56220334  1.48430033  0.10817295  0.03224529]
 [ 1.46501582 -6.19679437  0.          0.        ]]","[ 0.7348169   0.57463091 -0.57815429  1.88608006  0.9223819   0.28228761
 -0.24870882 -1.22201221 -0.06850331 -0.06481771  0.        ]",-0.0429431084529,[-0.35398975 -0.19340044],-0.607267,[ 0.29829246  0.80643958],[-0.65350579 -0.93590974]
13,"[[-0.55913234  1.32441894  0.10817295  0.03224529]
 [-1.14909159 -9.77939159  0.          0.        ]]","[ 0.73735325  0.7728852  -0.57414839  1.81191609  0.92238087  0.28228742
 -0.40541796 -1.73646684  0.04677074 -0.17069032  0.        ]",-0.056660617904,[-0.35398975 -0.19340044],-0.703635,[ 1.47977626  1.90739357],[ 1.52359994  1.84302737]
14,"[[-0.54219044  1.17049202  0.10817295  0.03224529]
 [ 2.82988515 -5.62716123  0.          0.        ]]","[ 0.75112482  0.95641467 -0.55191356  1.67496929  0.92237983  0.28228724
 -0.16688768 -1.14020813  0.14007927 -0.26634244  0.        ]",-0.0691954286954,[-0.35398975 -0.19340044],-0.753247,[ 0.43899149  1.50952637],[ 0.19189273  3.62512995]
15,"[[-0.47854721  1.09879218  0.10817295  0.03224529]
 [ 3.53208423 -1.55639289  0.          0.        ]]","[ 0.79941678  1.03819752 -0.46640371  1.59008804  0.92237879  0.28228705
 -0.12479241 -0.55564857  0.17214522 -0.22059406  0.        ]",-0.0715613515053,[-0.35398975 -0.19340044],-0.703634,[-0.20085326  0.85183412],[ 0.3307198   0.75351671]
16,"[[-0.39548546  1.09790509  0.10817295  0.03224529]
 [ 4.76998727  1.4576336   0.          0.        ]]","[ 0.85401685  1.03919049 -0.35053868  1.5889532   0.92237776  0.28228687
 -0.05058295 -0.12283649  0.15414441 -0.08195042  0.        ]",-0.0680706428884,[-0.35398975 -0.19340044],-0.668956,[-1.05959761  0.08310455],[-2.21362864  0.58496753]
17,"[[-0.34073805  1.15001813  0.10817295  0.03224529]
 [ 0.71824245  3.74604718  0.          0.        ]]","[ 0.8846197   0.9800401  -0.27188222  1.65205694  0.92237672  0.28228668
 -0.29347565  0.2057781   0.10029189  0.04729083  0.        ]",-0.0635317264806,[-0.35398975 -0.19340044],-0.63934,[-0.66418821 -0.4926306 ],[-0.39376227 -0.09128625]
18,"[[-0.34214687  1.22057238  0.10817295  0.03224529]
 [-0.85390658  3.31082343  0.          0.        ]]","[ 0.88388585  0.89776515 -0.27392647  1.72639468  0.92237568  0.2822865
 -0.38772219  0.14328013  0.04962459  0.093838    0.        ]",-0.0593328038156,[-0.35398975 -0.19340044],-0.654302,[-0.39873001 -0.59141916],[ 0.48871786 -0.57408258]
19,"[[-0.33964645  1.26331937  0.10817295  0.03224529]
 [ 1.0974478   0.97167544  0.          0.        ]]","[ 0.88518365  0.84684455 -0.27029709  1.76508038  0.92237465  0.28228631
 -0.27074263 -0.19262029  0.01586254  0.12527824  0.        ]",-0.0569379787311,[-0.35398975 -0.19340044],-0.629591,[-0.7100054  -0.40662363],[-0.98278612  0.18725173]
20,"[[-0.35693625  1.2900082   0.10817295  0.03224529]
 [-2.81341446  1.69478555  0.          0.        ]]","[ 0.87601522  0.8146934  -0.29532521  1.78676106  0.92237361  0.28228613
 -0.50518993 -0.08878191  0.00332302  0.11579267  0.        ]",-0.0552424791344,[-0.35398975 -0.19340044],-0.626607,[ 0.09588194 -0.44987845],[-0.16900195 -0.92766952]
21,"[[-0.4193474   1.28671399  0.10817295  0.03224529]
 [-3.42564695 -2.01185594  0.          0.        ]]","[ 0.83932316  0.81867479 -0.38427802  1.78418338  0.92237257  0.28228594
 -0.54189153 -0.62105398  0.03249575  0.0186566   0.        ]",-0.0554018434126,[-0.35398975 -0.19340044],-0.626016,[ 0.80349886  0.38867554],[-0.55225975  0.96001823]
22,"[[-0.50911531  1.28502021  0.10817295  0.03224529]
 [-5.544109    1.8296599   0.          0.        ]]","[ 0.77690056  0.82072002 -0.50785332  1.78284446  0.92237154  0.28228576
 -0.66888825 -0.06941322  0.06211096 -0.12206531  0.        ]",-0.0577971172169,[-0.35398975 -0.19340044],-0.651651,[ 1.25088024  0.06981758],[ 0.99463917 -1.36647805]
23,"[[-0.57939768  1.28151194  0.10817295  0.03224529]
 [-1.49758944 -2.1671436   0.          0.        ]]","[ 0.72037446  0.82495385 -0.6004341   1.78005154  0.9223705   0.28228557
 -0.4263076  -0.643353    0.07825563 -0.23569884  0.        ]",-0.0615910039285,[-0.35398975 -0.19340044],-0.696637,[ 0.99904454  0.8279826 ],[ 0.32522295  0.48759731]
24,"[[-0.59614439  1.25796756  0.10817295  0.03224529]
 [-0.18147528 -0.19386876  0.          0.        ]]","[ 0.70594695  0.8532554  -0.62189612  1.76048002  0.92236946  0.28228539
 -0.34740905 -0.35999071  0.09475932 -0.28143407  0.        ]",-0.0647814713658,[-0.35398975 -0.19340044],-0.725822,[ 0.63552153  0.57368052],[ 1.43237614 -0.73079024]
25,"[[-0.56002867  1.22508636  0.10817295  0.03224529]
 [ 3.7798359  -3.08462888  0.          0.        ]]","[ 0.73660408  0.8924178  -0.57531531  1.73067797  0.92236843  0.2822852
 -0.10993646 -0.77510301  0.11026099 -0.25016919  0.        ]",-0.0654853045656,[-0.35398975 -0.19340044],-0.708698,[-0.042602    0.95261413],[-1.11010302  1.36008057]
26,"[[-0.52489422  1.20374411  0.10817295  0.03224529]
 [-0.25294363  0.93701051  0.          0.        ]]","[ 0.76478117  0.91759245 -0.52897572  1.7098052   0.92236739  0.28228502
 -0.35169327 -0.19759547  0.11796025 -0.21043958  0.        ]",-0.0653432683052,[-0.35398975 -0.19340044],-0.704256,[ 0.38238239  0.35784948],[-0.83207956 -1.58135948]
27,"[[-0.56292762  1.1825785   0.10817295  0.03224529]
 [-3.53942524 -3.04032519  0.          0.        ]]","[ 0.73420465  0.94235552 -0.57909358  1.68792848  0.92236635  0.28228483
 -0.54871092 -0.76874046  0.13534818 -0.29026837  0.        ]",-0.0694309100325,[-0.35398975 -0.19340044],-0.777987,[ 1.65244615  1.26084948],[ 2.08322052  1.59690268]
28,"[[-0.59332236  1.16209316  0.10817295  0.03224529]
 [ 0.48651855  0.97840674  0.          0.        ]]","[ 0.70840064  0.96611945 -0.61829445  1.66564814  0.92236532  0.28228465
 -0.30736323 -0.19164996  0.14838645 -0.35829726  0.        ]",-0.0733583018659,[-0.35398975 -0.19340044],-0.799073,[ 0.5517174   0.62399709],[ 0.39589909  2.00292684]
