timestep,logstd_action_dist,obs,avg_action_dist,human_obs,rewards,original_rewards,actions
16,[-0.52539724 -0.02163391],"[-1.45064146  0.88534981 -0.29705672 -0.02169959 -1.16777418 -1.00038275
  0.15596483 -0.13772573 -0.52221259  0.5916369   0.        ]",[-2.27045774 -0.60607642],"[[ -9.15216667  -0.22153657  -0.13496939  -0.1151041 ]
 [-54.7178878    0.66671965   0.           0.        ]]",-0.266237,-0.10901668688,[-2.26813448 -2.20629128]
17,[-0.52539724 -0.02163391],"[-1.03091587  0.87725458  1.19962724 -0.06983282 -1.16777325 -1.00038207
  0.07982896 -0.57133187  0.0086951   1.86147768  0.        ]",[-2.45949793  2.12181354],"[[-10.27534182  -0.24802146  -0.13496939  -0.1151041 ]
 [-57.59015174  -3.30187378   0.           0.        ]]",1.75428,-0.288853205156,[-2.34914947  3.10201645]
18,[-0.52539724 -0.02163391],"[ 0.49493409  0.86857919  1.41142005 -0.11605988 -1.16777231 -1.0003814
  0.00511763 -0.13101369  1.38654863  1.85036509  0.        ]",[-2.47691488  1.95153165],"[[-11.45542487  -0.27362563  -0.13496939  -0.1151041 ]
 [-60.40867458   0.7281481    0.           0.        ]]",-0.0634511,-0.382159844526,[-1.73716715  2.35734897]
19,[-0.52539724 -0.02163391],"[ 1.25329994  0.88595454 -0.08502539 -0.01785191 -1.16777138 -1.00038072
 -0.06810142  0.30060066  1.88549359  0.4863453   0.        ]",[-2.307863   -0.70208639],"[[-12.69131339  -0.21942654  -0.13496939  -0.1151041 ]
 [-63.17090017   4.67850801   0.           0.        ]]",-0.389152,-0.344025771097,[-3.50944801 -0.65409801]
20,[-0.52539724 -0.02163391],"[ 0.09507983  0.90216381 -1.35073091  0.10461552 -1.16777045 -1.00038004
 -0.13980502  0.00797134  0.78440526 -0.49657509  0.        ]",[-2.19432092 -1.92487764],"[[-13.98187139  -0.15272704  -0.13496939  -0.1151041 ]
 [-65.87595451   2.00021321   0.           0.        ]]",-1.03047,-0.17746973682,[-1.8707923  -1.82509838]
21,[-0.52539724 -0.02163391],"[-1.40204685  0.90214678 -0.44879773  0.1044633  -1.16776952 -1.00037937
 -0.21008553 -0.42855501 -0.48543396  0.40812287  0.        ]",[-2.26573205 -0.43541092],"[[-15.32599181  -0.15280944  -0.13496939  -0.1151041 ]
 [-68.52732252  -1.99510193   0.           0.        ]]",-0.0404496,-0.0837250557395,[-2.53619712 -1.23549314]
22,[-0.52539724 -0.02163391],"[-0.84886281  0.88225667  1.34277955 -0.04074639 -1.16776858 -1.00037869
 -0.27898961 -0.85632478  0.17451899  1.96072128  0.        ]",[-2.4903338   2.73951054],"[[-16.72261799  -0.2319969   -0.13496939  -0.1151041 ]
 [-71.12676442  -5.91027422   0.           0.        ]]",1.05812,-0.307933517529,[-1.83995315  1.81375715]
23,[-0.52539724 -0.02163391],"[ 0.95752648  0.85513578  1.0181441  -0.17978863 -1.16776765 -1.00037801
 -0.34661726 -0.41013     1.75385543  1.42554471  0.        ]",[-2.43845701  2.05727673],"[[-18.17075203  -0.30923179  -0.13496939  -0.1151041 ]
 [-73.67805234  -1.82647324   0.           0.        ]]",-0.175506,-0.383172791422,[-2.96051856  1.58978583]
24,[-0.52539724 -0.02163391],"[ 0.82478452  0.85658456 -0.97406466 -0.17329573 -1.16776672 -1.00037734
 -0.41288792  0.02736845  1.3724108  -0.27169594  0.        ]",[-2.2437706  -1.20871639],"[[-19.66939866  -0.30558638  -0.13496939  -0.1151041 ]
 [-76.17814798   2.17773497   0.           0.        ]]",-1.01105,-0.257050780728,[-2.95556126 -1.63532897]
25,[-0.52539724 -0.02163391],"[-1.10810836  0.85795174 -0.92670867 -0.16709185 -1.16776578 -1.00037666
 -0.47776778 -0.4090335  -0.30653806  0.05262928  0.        ]",[-2.2528801  -0.28275988],"[[-21.21751802  -0.30210717  -0.13496939  -0.1151041 ]
 [-78.62577557  -1.81643751   0.           0.        ]]",-0.390095,-0.0348864175825,[-1.25742759 -0.58779741]
