timestep,logstd_action_dist,obs,avg_action_dist,human_obs,rewards,original_rewards,actions
0,[-0.47278363 -0.02772259],"[ 1.24255909  0.95260411  0.06836253  0.41330335  1.45107896 -1.2383523
  1.46112708 -0.19528207  0.1306241   0.98690136  0.        ]",[-1.93234086 -1.28359663],"[[-0.02419072  0.06609845  0.16846705 -0.14294799]
 [ 0.00061808 -0.00036919  0.          0.        ]]",-1.35805,-0.150928748495,[-2.03828763 -1.18525828]
1,[-0.47278363 -0.02772259],"[ 1.24014927  0.9550167   0.00993512  0.34303534  1.4510765  -1.23835059
  1.35258099 -0.65793303  0.12970823  0.90800287  0.        ]",[-1.9261508  -0.81266022],"[[-0.06385356  0.02637872  0.16846705 -0.14294799]
 [-3.95373928 -3.95841774  0.          0.        ]]",-1.15159,-0.138726371217,[-3.72814889 -1.16250473]
2,[-0.47278363 -0.02772259],"[ 1.22021675  0.94994736 -0.16260928  0.13411064  1.45107405 -1.23834888
  1.24618085 -1.11142641  0.09746153  0.67606737  0.        ]",[-1.91817141 -0.38733011],"[[-0.18181915 -0.09171602  0.16846705 -0.14294799]
 [-7.82993196 -7.83812789  0.          0.        ]]",-1.34285,-0.101666352601,[-2.45255245 -0.93574204]
3,[-0.47278363 -0.02772259],"[ 1.1462974   0.9027774  -0.43819998 -0.20007524  1.45107159 -1.23834717
  1.1418749  -1.52619587 -0.04680838  0.32487269  0.        ]",[-1.92053747 -0.08368552],"[[ -0.37654256  -0.28408132   0.16846705  -0.14294799]
 [-11.62984366 -11.38656208   0.           0.        ]]",-1.42702,-0.0403253724316,[-2.10460484  0.6503635 ]
4,[-0.47278363 -0.02772259],"[ 0.96449441  0.80464856 -0.78432459 -0.52733774  1.45106914 -1.23834546
  1.03955389 -1.19863776 -0.36080529 -0.02011758  0.        ]",[-1.92002094 -0.36296493],"[[ -0.64653921  -0.48369661   0.16846705  -0.14294799]
 [-15.35745195  -8.58426845   0.           0.        ]]",-1.5987,-0.044989583636,[-1.67782028  1.93336178]
5,[-0.47278363 -0.02772259],"[ 0.61986951  0.71538944 -1.12908079 -0.72398113  1.45106668 -1.23834375
  0.93924204 -0.71570931 -0.8074568  -0.23045327  0.        ]",[-1.92571628 -0.76561344],"[[ -0.99035446  -0.61392968   0.16846705  -0.14294799]
 [-19.01187257  -4.45274926   0.           0.        ]]",-1.60623,-0.127761765373,[-2.53428906 -0.29968369]
6,[-0.47278363 -0.02772259],"[ 0.08888757  0.63436132 -1.35073856 -0.86348135  1.45106423 -1.23834205
  0.8409618  -0.84382827 -1.35279324 -0.22354918  0.        ]",[-1.94806266 -0.51686627],"[[ -1.40651453  -0.71398282   0.16846705  -0.14294799]
 [-22.59228641  -5.54883232   0.           0.        ]]",-1.62362,-0.215343610019,[-2.05958576  1.10758759]
7,[-0.47278363 -0.02772259],"[-0.5744259   0.57160064 -1.29443018 -0.95440879  1.45106177 -1.23834034
  0.74457869 -0.36781419 -1.87872826  0.07742011  0.        ]",[-1.98728287 -0.399057  ],"[[ -1.89359115  -0.78410105   0.16846705  -0.14294799]
 [-26.10359046  -1.47646533   0.           0.        ]]",-1.73692,-0.298564173862,[-1.23783345 -1.45441988]
8,[-0.47278363 -0.02772259],"[-1.19960218  0.50544314 -0.83623471 -1.03780548  1.45105932 -1.23833863
  0.65016857 -0.82681383 -2.20677969  0.68678842  0.        ]",[-2.04300332  0.70396584],"[[ -2.45017006  -0.85303053   0.16846705  -0.14294799]
 [-29.54302068  -5.40327795   0.           0.        ]]",-1.33027,-0.367082244197,[-1.24946569  0.54572307]
9,[-0.47278363 -0.02772259],"[-1.51339582  0.41795628  0.00573569 -1.13216382  1.45105687 -1.23833692
  0.55756168 -0.56122311 -2.1179689   1.45538068  0.        ]",[-2.09984684  1.18232727],"[[ -3.07488078  -0.93830021   0.16846705  -0.14294799]
 [-32.91676048  -3.13111598   0.           0.        ]]",0.219451,-0.404420673203,[-2.15017256  2.80021407]
10,[-0.47278363 -0.02772259],"[-1.25580488  0.3942023   0.96660382 -1.15507389  1.45105441 -1.23833521
  0.46679031 -0.09053572 -1.57973663  2.02105338  0.        ]",[-2.12259436  1.16333008],"[[ -3.76639651  -0.96052181   0.16846705  -0.14294799]
 [-36.22363242   0.89567784   0.           0.        ]]",0.0343097,-0.39809640246,[-2.35732293  0.98686845]
11,[-0.47278363 -0.02772259],"[-0.39597483  0.45435804  1.55240214 -1.09489068  1.45105196 -1.2383335
  0.37784333  0.3648442  -0.79484726  2.1008541   0.        ]",[-2.11548495  0.80698937],"[[ -4.5233829   -0.90352115   0.16846705  -0.14294799]
 [-39.46404153   4.79151449   0.           0.        ]]",-0.0312281,-0.344110391212,[-1.85757915  0.87508749]
12,[-0.47278363 -0.02772259],"[ 0.6784769   0.58110176  1.29371632 -0.94143557  1.4510495  -1.23833179
  0.29068503  0.75952788 -0.11925358  1.58726034  0.        ]",[-2.07550025 -0.10757509],"[[ -5.34452326  -0.77381302   0.16846705  -0.14294799]
 [-42.63928823   8.16808893   0.           0.        ]]",-0.61092,-0.24167849151,[-1.19942081 -0.15441772]
13,[-0.47278363 -0.02772259],"[ 1.24089905  0.71218605  0.18460377 -0.73006349  1.45104705 -1.23833008
  0.20529527  0.6699099   0.02999118  0.64187883  0.        ]",[-1.99199665 -1.01333892],"[[ -6.22852046  -0.61814333   0.16846705  -0.14294799]
 [-45.75010607   7.4014005    0.           0.        ]]",-0.961582,-0.0929154324268,[-1.60682865 -1.20723962]
14,[-0.47278363 -0.02772259],"[ 0.7306638   0.78735817 -1.04271392 -0.57021294  1.45104459 -1.23832837
  0.12161272  0.19067399 -0.62908467 -0.18471683  0.        ]",[-1.94054401 -1.49672771],"[[ -7.17410897  -0.51125084   0.16846705  -0.14294799]
 [-48.79872888   3.30147969   0.           0.        ]]",-1.95075,-0.0972789572119,[-1.12139266 -1.13374934]
15,[-0.47278363 -0.02772259],"[-0.57873407  0.80351367 -1.29288115 -0.53022082  1.45104214 -1.23832667
  0.03956369 -0.27906716 -1.77073454 -0.08672901  0.        ]",[-1.97089434 -0.86574793],"[[ -8.18007284  -0.4855427    0.16846705  -0.14294799]
 [-51.78784113  -0.71721249   0.           0.        ]]",-1.73251,-0.281639093282,[-1.68893806 -1.1209698 ]
16,[-0.47278363 -0.02772259],"[-1.49428542  0.76879516 -0.15930328 -0.61334932  1.45103968 -1.23832496
 -0.04088798 -0.73941892 -2.29983115  1.10308355  0.        ]",[-2.08647823  0.6214056 ],"[[ -9.24523458  -0.53940389   0.16846705  -0.14294799]
 [-54.71876021  -4.65557928   0.           0.        ]]",-0.104334,-0.404475356111,[-2.73322059  0.53274983]
17,[-0.47278363 -0.02772259],"[-0.94637851  0.71809386  1.29807803 -0.71877198  1.45103723 -1.23832325
 -0.11981899 -0.48107748 -1.4675268   2.16081046  0.        ]",[-2.12964869  1.16430664],"[[-10.3684615   -0.61034303   0.16846705  -0.14294799]
 [-57.59428084  -2.44544228   0.           0.        ]]",-0.177497,-0.404883071402,[-0.46216113  0.21941689]
18,[-0.47278363 -0.02772259],"[ 0.56275894  0.68740159  1.37508531 -0.77545963  1.45103478 -1.23832154
 -0.13876022 -0.37283252 -0.20860536  1.76883735  0.        ]",[-2.07657099  1.04705906],"[[-11.52727098  -0.64996167   0.16846705  -0.14294799]
 [-58.28432699  -1.51939697   0.           0.        ]]",-0.265764,-0.271347507121,[-2.33828385  0.90055226]
19,[-0.47278363 -0.02772259],"[ 1.22647819  0.69199273 -0.12322144 -0.76727247  1.45103232 -1.23831983
 -0.21574022  0.04869859 -0.07234314  0.38722772  0.        ]",[-1.97664785 -0.56121004],"[[-12.72109727  -0.64416833   0.16846705  -0.14294799]
 [-61.08876959   2.08684555   0.           0.        ]]",-1.07536,-0.0492229040747,[-2.62809727 -0.42569226]
20,[-0.47278363 -0.02772259],"[ 0.09223033  0.711033   -1.35014189 -0.7322324   1.45102987 -1.23831812
 -0.29113875 -0.15188129 -1.2961751  -0.25511667  0.        ]",[-1.96467638 -0.96391314],"[[-13.97043154  -0.61964931   0.16846705  -0.14294799]
 [-63.83559854   0.3708641    0.           0.        ]]",-1.86328,-0.207314697877,[-1.81140983 -0.87852653]
21,[-0.47278363 -0.02772259],"[-1.38866503  0.68967881 -0.51578923 -0.77140695  1.45102741 -1.23831641
 -0.36505255 -0.55797741 -2.28148276  0.85664531  0.        ]",[-2.09023571  0.57066035],"[[-15.27415843  -0.64709191   0.16846705  -0.14294799]
 [-66.52833837  -3.10332996   0.           0.        ]]",-0.211285,-0.387172073883,[-1.91858014  1.46569336]
22,[-0.47278363 -0.02772259],"[-0.96901106  0.67232112  1.28016705 -0.80166563  1.45102496 -1.2383147
 -0.43757345 -0.08641727 -1.45254931  2.15319085  0.        ]",[-2.14626074  0.98750871],"[[-16.63123562  -0.6686838    0.16846705  -0.14294799]
 [-69.17033451   0.93090961   0.           0.        ]]",0.377628,-0.402443961739,[-1.62505483  0.98941407]
23,[-0.47278363 -0.02772259],"[ 0.81561574  0.71774284  1.17101035 -0.7194373   1.4510225  -1.238313
 -0.50861947  0.37098096 -0.06439789  1.55788991  0.        ]",[-2.06547141  0.12338176],"[[-18.04061347  -0.61080428   0.16846705  -0.14294799]
 [-71.75860136   4.84399302   0.           0.        ]]",0.141584,-0.237105894059,[-2.36551215  0.77590784]
24,[-0.47278363 -0.02772259],"[ 0.96021748  0.8044976  -0.79035307 -0.52768512  1.45102005 -1.23831129
 -0.57822431  0.72040737 -0.36577503 -0.02424013  0.        ]",[-1.96072376 -1.45104527],"[[-19.50122861  -0.48392825   0.16846705  -0.14294799]
 [-74.2943664    7.83336987   0.           0.        ]]",-1.65878,-0.0460213587251,[-1.53128754 -1.29507871]
