timestep,logstd_action_dist,obs,avg_action_dist,human_obs,rewards,original_rewards,actions
0,[-0.64757478 -0.40566844],"[ 1.28796743  1.01931072  0.18377621  0.58467012 -0.44659602  0.70886833
  1.84396036 -0.22535592  1.46618881 -0.36967129  0.        ]",[-3.37470913 -2.45535588],"[[ 0.06815775 -0.04013238 -0.05081368  0.08201773]
 [ 0.0030692   0.00342769  0.          0.        ]]",-2.78197,-0.270337199554,[-3.37381416 -2.1041901 ]
1,[-0.64757478 -0.40566844],"[ 1.29062965  1.01611043  0.12633459  0.50870948 -0.44659597  0.70886822
  1.73889454 -0.5716542   1.46672713 -0.44862686  0.        ]",[-3.38412046 -1.79084468],"[[ 0.02854343 -0.07977691 -0.05081368  0.08201773]
 [-3.95134394 -3.95469362  0.          0.        ]]",-2.63503,-0.274074772027,[-4.01586085 -1.56643733]
2,[-0.64757478 -0.40566844],"[ 1.28564491  0.99412633 -0.04468296  0.28446316 -0.44659591  0.70886811
  1.63590396 -0.91109779  1.43862297 -0.68114714  0.        ]",[-3.37024355 -1.2035203 ],"[[-0.08937528 -0.19779783 -0.05081368  0.08201773]
 [-7.82765462 -7.83446799  0.          0.        ]]",-2.78067,-0.283544777024,[-2.65336721 -2.18691083]
3,[-0.64757478 -0.40566844],"[ 1.23546439  0.91787162 -0.32196964 -0.07281841 -0.44659586  0.708868
  1.53493953 -1.24381712  1.29957876 -1.03536899  0.        ]",[-3.32771301 -0.56645846],"[[ -0.28405431  -0.39264329  -0.05081368   0.08201773]
 [-11.62770944 -11.63738702   0.           0.        ]]",-2.95001,-0.293431738943,[-3.24208455  0.68379384]
4,[-0.64757478 -0.40566844],"[ 1.08316921  0.78819302 -0.67890225 -0.415699   -0.4465958   0.70886789
  1.43589165 -0.98662341  0.99118087 -1.3850759   0.        ]",[-3.18884325 -2.25111961],"[[ -0.55401147  -0.59589676  -0.05081368   0.08201773]
 [-15.35563333  -8.69771655   0.           0.        ]]",-2.11859,-0.29652316958,[-4.12724983 -1.98854487]
5,[-0.64757478 -0.40566844],"[ 0.76737999  0.60419055 -1.05032716 -0.72579182 -0.44659574  0.70886778
  1.33884525 -1.31780368  0.50014405 -1.59816911  0.        ]",[-3.18061924 -1.58618879],"[[ -0.89776921  -0.80783125  -0.05081368   0.08201773]
 [-19.00822849 -12.48304524   0.           0.        ]]",-1.97212,-0.286622417442,[-2.92232959 -2.02816007]
6,[-0.64757478 -0.40566844],"[ 0.25384993  0.29059736 -1.31925742 -1.04446289 -0.44659569  0.70886767
  1.2436668  -1.64238029 -0.11873716 -1.49298876  0.        ]",[-3.29140997  0.38283974],"[[ -1.31387192  -1.0947154   -0.05081368   0.08201773]
 [-22.59052104 -16.19289863   0.           0.        ]]",-2.13968,-0.252399487174,[-2.52504582  0.16937381]
7,[-0.64757478 -0.40566844],"[-0.41680386 -0.10927465 -1.32863133 -1.23273196 -0.44659563  0.70886756
  1.15029022 -1.55536879 -0.57280016 -0.99168066  0.        ]",[-3.40738201  2.04950571],"[[ -1.80094258  -1.40859624  -0.05081368   0.08201773]
 [-26.10499732 -15.19838054   0.           0.        ]]",-2.44251,-0.190358695587,[-3.71894815  1.44237944]
8,[-0.64757478 -0.40566844],"[-1.08434722 -0.45997351 -0.94022561 -1.2485318  -0.44659558  0.70886744
  1.05874338 -1.18226987 -0.61954251 -0.34048222  0.        ]",[-3.51775432  3.29505467],"[[ -2.35761501  -1.66977837  -0.05081368   0.08201773]
 [-29.55060797 -10.93393602   0.           0.        ]]",-4.07587,-0.112137350363,[-3.52994425  3.06434903]
9,[-0.64757478 -0.40566844],"[-1.472728   -0.69360474 -0.14509072 -1.18542454 -0.44659552  0.70886733
  0.96903704 -0.8165031  -0.29508095  0.1509098   0.        ]",[-3.79292798  5.89892769],"[[ -2.98250503  -1.84651238  -0.05081368   0.08201773]
 [-32.92694798  -6.75329464   0.           0.        ]]",-3.35131,-0.0369241456515,[-3.7010355   4.45796544]
