timestep,logstd_action_dist,obs,avg_action_dist,human_obs,rewards,original_rewards,actions
0,[-0.45791259 -0.01503578],"[ 1.23618458  0.9604652   0.19490452  0.16837004  0.59981366  1.2104003
  1.43278704 -0.19116911  0.70897574 -0.75461099  0.        ]",[-1.79627872 -2.63158679],"[[ 0.06112457 -0.0625115   0.06988083  0.14038462]
 [-0.00125514  0.0015414   0.          0.        ]]",-0.42707,-0.19404144162,[-1.74578883 -2.51955414]
1,[-0.45791259 -0.01503578],"[ 1.23844232  0.95617239  0.13636276  0.09899074  0.59981318  1.21039853
  1.32288565 -0.65940456  0.70782614 -0.83358244  0.        ]",[-1.7586484  -2.44291711],"[[ 0.02142457 -0.10219338  0.06988083  0.14038462]
 [-3.95558801 -3.95654332  0.          0.        ]]",-0.290082,-0.202900471983,[-1.54770036 -2.66269799]
2,[-0.45791259 -0.01503578],"[ 1.23232866  0.93126755 -0.03758041 -0.10533019  0.59981269  1.21039675
  1.2151549  -1.11837079  0.67497982 -1.06508899  0.        ]",[-1.74239874 -2.1048274 ],"[[-0.09657833 -0.22025093  0.06988083  0.14038462]
 [-7.8318333  -7.8362803   0.          0.        ]]",-0.0547256,-0.227965445022,[-2.08207745 -2.20605379]
3,[-0.45791259 -0.01503578],"[ 1.18062423  0.85134937 -0.31920493 -0.42961587  0.59981221  1.21039498
  1.10954308 -1.5682431   0.52961498 -1.41512071  0.        ]",[-1.74344468 -1.79951644],"[[ -0.29134048  -0.41513224   0.06988083   0.14038462]
 [-11.63184872 -11.63915992   0.           0.        ]]",0.149951,-0.264297925165,[-1.8363584  -2.82907169]
4,[-0.45791259 -0.01503578],"[ 1.02705102  0.66615892 -0.68096206 -0.832446    0.59981173  1.21039321
  1.00598927 -2.00918433  0.17641281 -1.77236995  0.        ]",[-1.76162004 -1.49323416],"[[ -0.5613586   -0.68531422   0.06988083   0.14038462]
 [-15.35782442 -15.36657025   0.           0.        ]]",0.136705,-0.302023762464,[-2.05829958 -0.75234195]
5,[-0.45791259 -0.01503578],"[ 0.7111694   0.33692101 -1.05614762 -1.21651047  0.59981124  1.21039143
  0.90441924 -2.32534194 -0.39115493 -1.92388567  0.        ]",[-1.78198469 -1.13881159],"[[ -0.90517887  -1.01946168   0.06988083   0.14038462]
 [-19.01242859 -18.03918997   0.           0.        ]]",0.68101,-0.32552412467,[-2.12849639 -1.38174187]
6,[-0.45791259 -0.01503578],"[ 0.19977827 -0.14958866 -1.32554257 -1.45559165  0.59981076  1.21038966
  0.8047867  -2.75117779 -0.98272213 -1.66420535  0.        ]",[-1.83409941 -0.47715452],"[[ -1.32139016  -1.41636444   0.06988083   0.14038462]
 [-22.59732546 -21.63899521   0.           0.        ]]",0.876126,-0.316397857677,[-1.3816599  -0.65058019]
7,[-0.45791259 -0.01503578],"[-0.46570197 -0.74024164 -1.32966335 -1.3981788   0.59981027  1.21038789
  0.70703682 -3.00485194 -1.22837522 -1.04603437  0.        ]",[-1.88171566  0.37954959],"[[ -1.80862171  -1.87066155   0.06988083   0.14038462]
 [-26.11448669 -23.78351993   0.           0.        ]]",0.794252,-0.261073741559,[-1.52840069  0.39862497]
8,[-0.45791259 -0.01503578],"[-1.1251896  -1.25285028 -0.92913928 -0.99980253  0.59980979  1.21038612
  0.61120019 -2.76205325 -0.96632087 -0.54308832  0.        ]",[-1.89839721  0.7801919 ],"[[ -2.36551217  -2.32573964   0.06988083   0.14038462]
 [-29.56280998 -21.73118959   0.           0.        ]]",0.0871201,-0.17522810713,[-2.48849317  1.2513599 ]
9,[-0.45791259 -0.01503578],"[-1.50449522 -1.5495714  -0.11716994 -0.44589358  0.5998093   1.21038434
  0.51732451 -2.242463   -0.57001073 -0.51212979  0.        ]",[-1.89187479  0.49436566],"[[ -2.99066342  -2.71629338   0.06988083   0.14038462]
 [-32.94057769 -17.3389881    0.           0.        ]]",-0.873216,-0.122355704605,[-1.03844364  0.57555333]
10,[-0.45791259 -0.01503578],"[-1.32312113 -1.65948251  0.8649614   0.09437442  0.59980882  1.21038257
  0.42537484 -1.64818457 -0.44823494 -0.76038094  0.        ]",[-1.88308787 -0.29499966],"[[ -3.68267424  -3.03674923   0.06988083   0.14038462]
 [-36.24904699 -12.31537338   0.           0.        ]]",-0.482732,-0.146445811027,[-3.53337192 -0.4722729 ]
11,[-0.45791259 -0.01503578],"[-0.51159852 -1.66632562  1.52635652  0.23618451  0.59980833  1.2103808
  0.33529432 -0.11798405 -0.50367325 -0.84821015  0.        ]",[-1.85885739 -1.09109771],"[[ -4.44017438  -3.11776789   0.06988083   0.14038462]
 [-39.49026279   0.61996469   0.           0.        ]]",-0.915212,-0.163097979885,[-1.92225778 -1.50777956]
12,[-0.45791259 -0.01503578],"[ 0.57969903 -1.66444288  1.36344284  0.17533701  0.59980785  1.21037902
  0.24698619  0.05538998 -0.52943193 -0.86429309  0.        ]",[-1.85398901 -1.43538547],"[[ -5.26185968  -3.08305496   0.06988083   0.14038462]
 [-42.66770624   2.08555749   0.           0.        ]]",-0.140384,-0.167236154918,[-1.84950593 -2.974655  ]
13,[-0.45791259 -0.01503578],"[ 1.22588437 -1.66078895  0.30591276  0.11192898  0.59980736  1.21037725
  0.16042447 -0.01958726 -0.57814978 -0.86384839  0.        ]",[-1.85505152 -1.83615887],"[[ -6.14646364  -3.04680531   0.06988083   0.14038462]
 [-45.78231162   1.45174839   0.           0.        ]]",0.943631,-0.170770300959,[-2.43527953 -1.4882245 ]
14,[-0.45791259 -0.01503578],"[ 0.8108735  -1.65773218 -0.96381785  0.07356191  0.59980688  1.21037548
  0.0755763  -0.0982745  -0.62341842 -0.80504851  0.        ]",[-1.85854006 -1.94344473],"[[ -7.09274111  -3.02481355   0.06988083   0.14038462]
 [-48.83526146   0.78657741   0.           0.        ]]",1.10309,-0.166232591111,[-3.07619933 -2.45098249]
15,[-0.45791259 -0.01503578],"[-0.47596441 -1.65591654 -1.32695664  0.0539114   0.59980639  1.21037371
 -0.00759226 -0.14606253 -0.59835582 -0.71545684  0.        ]",[-1.87344718 -1.42926979],"[[ -8.09947121  -3.01352869   0.06988083   0.14038462]
 [-51.82777669   0.38260812   0.           0.        ]]",-0.798444,-0.151759428606,[-1.45622056 -0.8718247 ]
16,[-0.45791259 -0.01503578],"[-1.47405266 -1.65497523 -0.27372225  0.04440074  0.59980591  1.21037193
 -0.08911446 -0.16948443 -0.50153356 -0.68911816  0.        ]",[-1.88947487 -0.63873339],"[[ -9.16545726  -3.00806113   0.06988083   0.14038462]
 [-54.76105375   0.184614     0.           0.        ]]",-1.60702,-0.139888918112,[-1.76087826 -0.29116155]
17,[-0.45791259 -0.01503578],"[-1.03574951 -1.65440787  1.22784975  0.03886824  0.59980542  1.21037016
 -0.16902279 -0.17633723 -0.42904688 -0.773631    0.        ]",[-1.8971467  -0.31285271],"[[-10.28952622  -3.00487873   0.06988083   0.14038462]
 [-57.6362615    0.12668408   0.           0.        ]]",-0.869884,-0.147223719144,[-2.43577178 -0.2399387 ]
18,[-0.45791259 -0.01503578],"[ 0.4901192  -1.65404895  1.41733322  0.03544762  0.59980494  1.21036839
 -0.24734929 -0.18280111 -0.47511306 -0.88449422  0.        ]",[-1.89486837 -0.87376797],"[[-11.47052828  -3.00291044   0.06988083   0.14038462]
 [-60.45455328   0.0720418    0.           0.        ]]",-0.530432,-0.166642058196,[-0.99960866 -0.18504594]
19,[-0.45791259 -0.01503578],"[ 1.22507776 -1.6538438  -0.10260273  0.0335292   0.59980446  1.21036661
 -0.32408216 -0.18660094 -0.59580882 -0.87834815  0.        ]",[-1.88466311 -1.45831656],"[[ -1.27073209e+01  -3.00180631e+00   6.98808342e-02   1.40384622e-01]
 [ -6.32155050e+01   3.99196719e-02   0.00000000e+00   0.00000000e+00]]",0.896228,-0.174213813646,[-2.34596588 -0.66943468]
20,[-0.45791259 -0.01503578],"[ 0.04955513 -1.65382872 -1.35710239  0.03342102  0.59980397  1.21036484
 -0.39933917 -0.19319851 -0.62789272 -0.74980001  0.        ]",[-1.90006697 -1.13569987],"[[ -1.39987997e+01  -3.00174405e+00   6.98808342e-02   1.40384622e-01]
 [ -6.59233540e+01  -1.58526861e-02   0.00000000e+00   0.00000000e+00]]",-0.240466,-0.159100382417,[-1.04155171 -1.8723486 ]
21,[-0.45791259 -0.01503578],"[-1.4297607  -1.6539555  -0.42080547  0.03466072  0.59980349  1.21036307
 -0.47310637 -0.19620857 -0.5136148  -0.68308146  0.        ]",[-1.91291487 -0.21079738],"[[ -1.53438977e+01  -3.00245759e+00   6.98808342e-02   1.40384622e-01]
 [ -6.85775990e+01  -4.12986479e-02   0.00000000e+00   0.00000000e+00]]",-1.55428,-0.139997862341,[-1.55529454 -1.11776426]
22,[-0.45791259 -0.01503578],"[-0.84663255 -1.65408111  1.37280127  0.03589573  0.599803    1.2103613
 -0.54541315 -0.19466593 -0.42673809 -0.79117125  0.        ]",[-1.92012668  0.12085444],"[[ -1.67415534e+01  -3.00316836e+00   6.98808342e-02   1.40384622e-01]
 [ -7.11792979e+01  -2.82593123e-02   0.00000000e+00   0.00000000e+00]]",-0.737703,-0.149721760426,[-1.65093295  1.17112255]
23,[-0.45791259 -0.01503578],"[ 0.9500474  -1.64596699  1.00831648 -0.03201744  0.59980252  1.21035952
 -0.61627825  0.27420103 -0.49918799 -0.91887112  0.        ]",[-1.9126358  -0.52883506],"[[ -1.81907233e+01  -2.96396861e+00   6.98808342e-02   1.40384622e-01]
 [ -7.37291257e+01   3.93521670e+00   0.00000000e+00   0.00000000e+00]]",0.0671727,-0.173274983275,[-1.48186644 -0.82185651]
24,[-0.45791259 -0.01503578],"[ 0.77918373 -1.63410971 -0.99512986 -0.10993126  0.59980203  1.21035775
 -0.68574601 -0.11940104 -0.66663755 -0.85889302  0.        ]",[-1.91923046 -0.95297611],"[[ -1.96903841e+01  -2.91864991e+00   6.98808342e-02   1.40384622e-01]
 [ -7.62286776e+01   6.07980326e-01   0.00000000e+00   0.00000000e+00]]",0.432979,-0.177421836525,[-2.04050695  0.00993267]
25,[-0.45791259 -0.01503578],"[-1.1485354  -1.63037505 -0.90305714 -0.13127226  0.59980155  1.21035598
 -0.75383981 -0.11548497 -0.60431718 -0.64533288  0.        ]",[-1.9362669   0.00654292],"[[ -2.12395405e+01  -2.90615933e+00   6.98808342e-02   1.40384622e-01]
 [ -7.86787962e+01   6.41083477e-01   0.00000000e+00   0.00000000e+00]]",-1.47405,-0.142957446546,[-2.09068581 -0.62641897]
