timestep,logstd_action_dist,obs,avg_action_dist,human_obs,rewards,original_rewards,actions
0,[-0.62994486 -0.45206416],"[ 1.28890576  1.03244421 -0.01469448  0.59173739 -0.76652152  0.29122289
  1.85390002 -0.22545449  1.68503856 -0.25307454  0.        ]",[-3.67566729 -1.6831243 ],"[[-0.06835376 -0.04757901 -0.0879503   0.03382726]
 [-0.00108609  0.00383817  0.          0.        ]]",-3.36642,-0.301737853607,[-4.08611115 -1.5782362 ]
1,[-0.62994486 -0.45206416],"[ 1.28404155  1.02883006 -0.07207864  0.51589478 -0.76652141  0.29122286
  1.74872884 -0.5681055   1.67489361 -0.33152005  0.        ]",[-3.61815858 -1.30144119],"[[-0.10805038 -0.08721541 -0.0879503   0.03382726]
 [-3.95541863 -3.95429149  0.          0.        ]]",-3.54336,-0.302552692234,[-3.8985613   0.13727659]
2,[-0.62994486 -0.45206416],"[ 1.25675894  1.01667228 -0.2408743   0.37730549 -0.76652129  0.29122283
  1.64558989 -0.51414152  1.62736199 -0.52947928  0.        ]",[-3.55049157 -2.18802118],"[[-0.22606708 -0.16004683 -0.0879503   0.03382726]
 [-7.8333452  -3.33092803  0.          0.        ]]",-3.36001,-0.303454179931,[-3.59739484 -1.74047303]
3,[-0.62994486 -0.45206416],"[ 1.17076965  0.98645846 -0.50848849  0.17930544 -0.76652118  0.2912228
  1.54453395 -0.85107619  1.49015053 -0.8212301   0.        ]",[-3.43697405 -2.41777158],"[[ -0.42085612  -0.26571619  -0.0879503    0.03382726]
 [-11.63295571  -7.22302582   0.           0.        ]]",-3.14984,-0.301179848297,[-3.08381592 -2.20102372]
4,[-0.62994486 -0.45206416],"[ 0.97315874  0.90009525 -0.84037206 -0.14860793 -0.76652106  0.29122277
  1.44546325 -1.18132888  1.17236482 -1.15242805  0.        ]",[-3.32161999 -2.35977125],"[[ -0.69088763  -0.44845332  -0.0879503    0.03382726]
 [-15.35792597 -11.03793817   0.           0.        ]]",-2.56922,-0.289005033712,[-3.80891309 -2.2871562 ]
5,[-0.62994486 -0.45206416],"[ 0.61164149  0.70969127 -1.16326182 -0.562454   -0.76652094  0.29122274
  1.34831994 -1.50501541  0.63158597 -1.3442646   0.        ]",[-3.29485679 -0.99201971],"[[ -1.03468998  -0.7067281   -0.0879503    0.03382726]
 [-19.0104309  -14.77700417   0.           0.        ]]",-2.68759,-0.257994316683,[-3.07785632  0.39880994]
6,[-0.62994486 -0.45206416],"[ 0.06755382  0.43030498 -1.35644637 -0.91357685 -0.76652083  0.29122271
  1.25301303 -1.34276585  0.01096501 -1.19685251  0.        ]",[-3.28164816 -0.34273753],"[[ -1.4508513   -0.9834646   -0.0879503    0.03382726]
 [-22.59389053 -12.90278446   0.           0.        ]]",-2.58381,-0.205232052081,[-3.53973126  0.90980657]
7,[-0.62994486 -0.45206416],"[-0.5982664   0.16712664 -1.27013221 -1.10656155 -0.76652071  0.29122268
  1.15957048 -1.00850995 -0.43189769 -0.71416972  0.        ]",[-3.31819582  0.30088377],"[[ -1.93798034  -1.20278136  -0.0879503    0.03382726]
 [-26.10725339  -9.04163359   0.           0.        ]]",-2.76152,-0.139825825195,[-3.59059285 -0.98327697]
8,[-0.62994486 -0.45206416],"[-1.20886767 -0.11770633 -0.79032527 -1.21345682 -0.76652059  0.29122265
  1.06800473 -1.32970958 -0.50685726 -0.02736705  0.        ]",[-3.59789014  5.55433655],"[[ -2.49466438  -1.42084244  -0.0879503    0.03382726]
 [-29.55005179 -12.75197152   0.           0.        ]]",-2.70782,-0.0725872978744,[-4.03159875  6.0508529 ]
9,[-0.62994486 -0.45206416],"[-1.48960598 -0.40491864  0.05244191 -1.2312016  -0.76652048  0.29122262
  0.97819138 -0.96465862 -0.13128002  0.54124549  0.        ]",[-4.06853008  9.43523598],"[[ -3.11954883  -1.63357384  -0.0879503    0.03382726]
 [-32.92696258  -8.5350912    0.           0.        ]]",-0.653214,-0.0742601892143,[-3.96804297  9.68780423]
