timestep,logstd_action_dist,obs,avg_action_dist,human_obs,rewards,original_rewards,actions
0,[-0.41225219 -0.01838719],"[ 1.23238798  0.97363425  0.1029714   0.10053425  0.98073384 -1.5935325
  1.39046354 -0.18455173  0.44007628  1.17469836  0.        ]",[-1.83637798 -0.20609051],"[[-0.00181399 -0.08802141  0.11450906 -0.18461711]
 [ 0.00462406  0.00260464  0.          0.        ]]",-0.90597,-0.198765297196,[-1.89993324  0.14548337]
1,[-0.41225219 -0.01838719],"[ 1.23120564  0.97428627  0.04445633  0.11060302  0.98073254 -1.59352869
  1.27794714 -0.11520966  0.43723296  1.12692893  0.        ]",[-1.83200932 -0.32205939],"[[-0.04141524 -0.08217467  0.11450906 -0.18461711]
 [-3.95157447  0.58014032  0.          0.        ]]",-1.05389,-0.191846242118,[-1.82620069 -1.51985645]
2,[-0.41225219 -0.01838719],"[ 1.21491713  0.97071782 -0.12886094  0.06204669  0.98073124 -1.59352488
  1.16770636 -0.59181564  0.41169608  0.95530306  0.        ]",[-1.83778811  0.07613444],"[[-0.15933767 -0.11039972  0.11450906 -0.18461711]
 [-7.82777435 -3.38941814  0.          0.        ]]",-1.14302,-0.166099595969,[-1.22126787 -0.07663573]
3,[-0.41225219 -0.01838719],"[ 1.14686014  0.95735197 -0.40675806 -0.057885    0.98072994 -1.59352106
  1.05960383 -0.62000821  0.31528728  0.67089156  0.        ]",[-1.82836115 -0.02103367],"[[ -0.35402989  -0.18054413   0.11450906  -0.18461711]
 [-11.62880228  -3.62423302   0.           0.        ]]",-1.18312,-0.119527487411,[-0.74036447  1.66497297]
4,[-0.41225219 -0.01838719],"[ 0.98073801  0.94912897 -0.74554953 -0.11216873  0.98072864 -1.59351725
  0.98280371 -0.13584122  0.12510338  0.37246594  0.        ]",[-1.80387104 -0.67941213],"[[ -0.61369991  -0.21256925   0.11450906  -0.18461711]
 [-14.3291886    0.40829083   0.           0.        ]]",-1.13864,-0.0622414978359,[-2.96437428 -0.07904307]
5,[-0.41225219 -0.01838719],"[ 0.66987313  0.95048784 -1.08544896 -0.10378287  0.98072734 -1.59351344
  0.87836095 -0.17419215 -0.1801202   0.10845817  0.        ]",[-1.78743875 -0.83941805],"[[ -0.93712955  -0.20760838   0.11450906  -0.18461711]
 [-18.00154947   0.08887318   0.           0.        ]]",-1.46786,-0.0105671909953,[-1.63910634 -0.32840533]
6,[-0.41225219 -0.01838719],"[ 0.17781635  0.94735118 -1.33089477 -0.12282014  0.98072604 -1.59350962
  0.77599404 -0.33032195 -0.64780592 -0.056581    0.        ]",[-1.78123522 -0.76136386],"[[ -1.33327404  -0.21887818   0.11450906  -0.18461711]
 [-21.60092639  -1.21149925   0.           0.        ]]",-1.41725,-0.0917411268832,[-1.83029873 -0.86512792]
7,[-0.41225219 -0.01838719],"[-0.46091019  0.9285228  -1.33350525 -0.22055479  0.98072474 -1.59350581
  0.67567054 -0.73850205 -1.24970764  0.02864877  0.        ]",[-1.80203605 -0.15523373],"[[ -1.80068483  -0.27721838   0.11450906  -0.18461711]
 [-25.12845841  -4.611145     0.           0.        ]]",-0.993492,-0.190921325746,[-3.03018719  0.01512773]
8,[-0.41225219 -0.01838719],"[-1.10386235  0.89074366 -0.95835844 -0.36915739  0.98072344 -1.593502
  0.5772862  -0.72007204 -1.79920043  0.49780217  0.        ]",[-1.83938479  0.27231449],"[[ -2.33796241  -0.36790204   0.11450906  -0.18461711]
 [-28.5878098   -4.45765184   0.           0.        ]]",-0.882001,-0.291261784854,[-1.60832441 -0.92263504]
9,[-0.41225219 -0.01838719],"[-1.498807    0.82228893 -0.18488533 -0.56521324  0.98072214 -1.59349818
  0.48087399 -1.1477572  -2.00124997  1.31437706  0.        ]",[-1.9057045   1.13826871],"[[ -2.94373009  -0.49279612   0.11450906  -0.18461711]
 [-31.97782048  -8.01975701   0.           0.        ]]",-0.462322,-0.373876763889,[-2.37627209 -1.66865024]
10,[-0.41225219 -0.01838719],"[-1.37301296  0.67690418  0.78168609 -0.84942941  0.98072084 -1.59349437
  0.38633492 -1.60363337 -1.5809241   2.15478347  0.        ]",[-1.9749788   2.21359348],"[[ -3.61663569  -0.69128909   0.11450906  -0.18461711]
 [-35.3019702  -11.8166767    0.           0.        ]]",0.240812,-0.413220869076,[-1.52230379  1.39091855]
11,[-0.41225219 -0.01838719],"[-0.62857168  0.49611471  1.4905232  -1.08569757  0.98071953 -1.59349056
  0.29356651 -1.09949798 -0.67773046  2.41603081  0.        ]",[-2.00495696  2.21767664],"[[ -4.35540345  -0.88549691   0.11450906  -0.18461711]
 [-38.56386099  -7.61785855   0.           0.        ]]",0.835555,-0.384953363284,[-1.74318294  4.10942259]
12,[-0.41225219 -0.01838719],"[ 0.44866109  0.37818929  1.43888824 -1.19868369  0.98071823 -1.59348674
  0.20265579 -0.60518216  0.10133335  1.88850056  0.        ]",[-1.98884726  1.79663563],"[[ -5.1587546   -0.99654859   0.11450906  -0.18461711]
 [-41.76043333  -3.50081589   0.           0.        ]]",-0.36554,-0.291305972114,[-1.99380144  1.62196777]
13,[-0.41225219 -0.01838719],"[ 1.1868162   0.34530326  0.48248124 -1.22575762  0.98071693 -1.59348293
  0.11357731 -0.1205107   0.24045921  0.91925433  0.        ]",[-1.92406166  0.91927677],"[[ -6.02539123  -1.02606502   0.11450906  -0.18461711]
 [-44.8925809    0.53590332   0.           0.        ]]",-0.468005,-0.147055054418,[-2.92103347  0.09218916]
14,[-0.41225219 -0.01838719],"[ 0.93354198  0.36137935 -0.81316946 -1.2127413   0.98071563 -1.59347912
  0.02631121 -0.07689603 -0.4084205   0.16636594  0.        ]",[-1.87380123  0.26878852],"[[ -6.95402951  -1.01170392   0.11450906  -0.18461711]
 [-47.96100207   0.89915945   0.           0.        ]]",-1.34882,-0.0501946606557,[-0.76678582 -0.68467109]
15,[-0.41225219 -0.01838719],"[-0.25711868  0.35098146 -1.36764207 -1.22120417  0.98071433 -1.5934753
 -0.03297195 -0.40340206 -1.42647342  0.30389354  0.        ]",[-1.89105558  0.73354167],"[[ -7.93416219  -1.02100664   0.11450906  -0.18461711]
 [-50.04549639  -1.82023508   0.           0.        ]]",-1.32559,-0.22339249696,[-1.45143533 -0.18327304]
16,[-0.41225219 -0.01838719],"[-1.38240366  0.30191102 -0.55043173 -1.25884426  0.98071303 -1.59347149
 -0.11736235 -0.48491158 -1.86421937  1.35055637  0.        ]",[-1.95484614  1.37942433],"[[ -8.96484333  -1.06422501   0.11450906  -0.18461711]
 [-53.01280285  -2.49911168   0.           0.        ]]",-0.575944,-0.357643160986,[-2.63686879 -0.39897215]
17,[-0.41225219 -0.01838719],"[-1.26137108  0.22563942  0.97585375 -1.31027961  0.98071173 -1.59346768
 -0.20009459 -0.66717935 -1.15540327  2.28013584  0.        ]",[-2.01003456  2.0278337 ],"[[-10.05428479  -1.12944114   0.11450906  -0.18461711]
 [-55.92180554  -4.01718078   0.           0.        ]]",0.277455,-0.392595731968,[-1.56184402  1.42664951]
18,[-0.41225219 -0.01838719],"[ 0.13510768  0.17804097  1.55252286 -1.33833673  0.98071043 -1.59346387
 -0.28121907 -0.18056285 -0.04024029  1.98261899  0.        ]",[-1.9937315   1.49697304],"[[ -1.12013437e+01  -1.16912311e+00   1.14509059e-01  -1.84617107e-01]
 [ -5.87742774e+01   3.57265198e-02   0.00000000e+00   0.00000000e+00]]",0.469501,-0.304233096233,[-3.10899499  2.31830459]
19,[-0.41225219 -0.01838719],"[ 1.21444208  0.22671205  0.34332889 -1.30960753  0.98070913 -1.59346005
 -0.36068494  0.29657481  0.15385058  0.77227451  0.        ]",[-1.91189682  0.48717529],"[[-12.40486705  -1.12853835   0.11450906  -0.18461711]
 [-61.56843096   4.00968712   0.           0.        ]]",-0.346791,-0.119613622839,[-1.98559254  0.38592967]
20,[-0.41225219 -0.01838719],"[ 0.48215267  0.33675384 -1.20979411 -1.23249311  0.98070783 -1.59345624
 -0.43852316  0.47242872 -0.87504566  0.09946745  0.        ]",[-1.8668232  -0.18182513],"[[-13.66369727  -1.03365034   0.11450906  -0.18461711]
 [-64.30535466   5.47433218   0.           0.        ]]",-1.49908,-0.127380315347,[-1.12868231 -1.88221846]
21,[-0.41225219 -0.01838719],"[-1.17313935  0.4128488  -0.88138979 -1.1681453   0.98070653 -1.59345243
 -0.51479146 -0.01402645 -1.87201204  0.97930891  0.        ]",[-1.93025827  0.82325298],"[[-14.97670799  -0.9648153    0.11450906  -0.18461711]
 [-66.98707927   1.42277472   0.           0.        ]]",-0.730032,-0.328819786543,[-1.26803786  0.25709074]
22,[-0.41225219 -0.01838719],"[-1.25698987  0.45394571  0.98226213 -1.12913943  0.98070522 -1.59344861
 -0.58961067  0.10688025 -1.28145622  2.29491926  0.        ]",[-1.99297595  1.17653203],"[[-16.3428458   -0.92625761   0.11450906  -0.18461711]
 [-69.61785369   2.42977484   0.           0.        ]]",0.621955,-0.404609630954,[-2.41435637  0.53977078]
23,[-0.41225219 -0.01838719],"[ 0.49298545  0.52525023  1.41509269 -1.05342129  0.98070392 -1.5934448
 -0.66293787  0.35985348  0.10824166  1.94873946  0.        ]",[-1.97241187  0.64376777],"[[-17.76107353  -0.85652292   0.11450906  -0.18461711]
 [-72.19616935   4.53672195   0.           0.        ]]",0.560799,-0.301025124428,[-2.4597108   1.40330289]
24,[-0.41225219 -0.01838719],"[ 1.1336072   0.64652122 -0.44367303 -0.89596472  0.98070262 -1.59344099
 -0.73479579  0.82658747  0.04054711  0.39061343  0.        ]",[-1.85925341 -0.71066576],"[[-19.23034998  -0.72678429   0.11450906  -0.18461711]
 [-74.72282642   8.42402706   0.           0.        ]]",-0.573242,-0.0562174755863,[-3.07294003 -1.08679928]
25,[-0.41225219 -0.01838719],"[-0.59258889  0.7494307  -1.29298523 -0.72276837  0.98070132 -1.59343718
 -0.80516367  0.33307972 -1.51121949  0.23493943  0.        ]",[-1.86029363 -0.26396304],"[[-20.74962871  -0.59954108   0.11450906  -0.18461711]
 [-77.19709513   4.31374154   0.           0.        ]]",-1.3749,-0.236177524836,[-1.41293662 -1.16372959]
26,[-0.41225219 -0.01838719],"[-1.45273575  0.78228448  0.58008751 -0.65635013  0.98070002 -1.59343336
 -0.87418375 -0.15075987 -1.77331711  1.96765541  0.        ]",[-1.95435655  0.88799137],"[[-22.31791781  -0.55369795   0.11450906  -0.18461711]
 [-79.623978     0.28397879   0.           0.        ]]",0.691334,-0.410984812607,[-1.8217122   0.40736261]
27,[-0.41225219 -0.01838719],"[ 0.35504119  0.79719488  1.48242063 -0.62384551  0.98069872 -1.59342955
 -0.94190718  0.04409569 -0.07277467  2.24412228  0.        ]",[-1.97193778  0.69251806],"[[-23.93429062  -0.53173587   0.11450906  -0.18461711]
 [-82.00527368   1.90687433   0.           0.        ]]",-0.00857711,-0.345890195616,[-2.14575458 -0.21624699]
28,[-0.41225219 -0.01838719],"[ 1.08592503  0.81625061 -0.5572197  -0.57978863  0.98069742 -1.59342574
 -1.00826154 -0.06136897  0.0985294   0.3915221   0.        ]",[-1.86557817 -0.04485634],"[[-25.5978049   -0.50241159   0.11450906  -0.18461711]
 [-84.33843718   1.02849008   0.           0.        ]]",-1.05268,-0.0617235793449,[-1.67958474 -1.02040869]
29,[-0.41225219 -0.01838719],"[-0.92985127  0.8038818  -1.11090015 -0.60872078  0.98069612 -1.59342192
 -1.07329624 -0.53728781 -1.72192585  0.42740122  0.        ]",[-1.89820933  0.690301  ],"[[-27.30751494  -0.52161402   0.11450906  -0.18461711]
 [-86.62520598  -2.93529802   0.           0.        ]]",-0.254945,-0.276096987292,[-2.09377859  1.05255877]
30,[-0.41225219 -0.01838719],"[-1.11905177  0.79175856  1.15372345 -0.63587608  0.98069482 -1.59341811
 -1.13712607 -0.05274737 -1.37236733  2.34723711  0.        ]",[-1.98617578  1.00686026],"[[-29.06254057  -0.53983191   0.11450906  -0.18461711]
 [-88.86961694   1.10029071   0.           0.        ]]",0.681466,-0.419497246728,[-0.99543923  0.21627583]
31,[-0.41225219 -0.01838719],"[ 1.02603408  0.81188046  0.88339727 -0.5901532   0.98069352 -1.5934143
 -1.19912069  0.04966537  0.3535858   1.59688793  0.        ]",[-1.94594693  0.57068884],"[[-30.86180495  -0.50926789   0.11450906  -0.18461711]
 [-91.04950731   1.95325477   0.           0.        ]]",-0.0492616,-0.255172994862,[-1.40208536  0.33478978]
32,[-0.41225219 -0.01838719],"[ 0.2375083   0.84373425 -1.31388277 -0.51033113  0.98069222 -1.59341049
 -1.26039583  0.20633946 -0.74744225 -0.03908359  0.        ]",[-1.85955298 -0.18902349],"[[-32.70441356  -0.45710888   0.11450906  -0.18461711]
 [-93.20410844   3.25814468   0.           0.        ]]",-1.14912,-0.107608125759,[-1.42210063  0.93103241]
33,[-0.41225219 -0.01838719],"[-1.52499458  0.89653207  0.15319591 -0.34897702  0.98069092 -1.59340667
 -1.32046429  0.6431652  -1.99227271  1.51718633  0.        ]",[-1.92698371  0.53017628],"[[-34.58968925  -0.355438     0.11450906  -0.18461711]
 [-95.31629023   6.89633044   0.           0.        ]]",0.968342,-0.390733782226,[-2.02123817  0.2177614 ]
