timestep,logstd_action_dist,obs,avg_action_dist,human_obs,rewards,original_rewards,actions
0,[-0.63089943 -0.44504383],"[ 1.2857214   1.03634227 -0.0568077   0.66899945  1.29092487 -1.69210809
  1.85553171 -0.22569146  0.26547461  1.16421533  0.        ]",[-3.55312228 -1.49960291],"[[-0.09742294 -0.00920465  0.1500106  -0.19515905]
 [-0.00466154  0.00203348  0.          0.        ]]",-4.31874,-0.183435492715,[-4.24443522 -1.23188178]
1,[-0.63089943 -0.44504383],"[ 1.27924693  1.03478102 -0.11411842  0.59296252  1.29092455 -1.69210748
  1.75034355 -0.56773118  0.25510349  1.08564264  0.        ]",[-3.50721121 -1.19131362],"[[-0.13719032 -0.04887678  0.1500106  -0.19515905]
 [-3.95891667 -3.95605999  0.          0.        ]]",-4.29483,-0.170973826664,[-4.77632229 -0.51994054]
2,[-0.63089943 -0.44504383],"[ 1.24724014  1.02161327 -0.28208604  0.40416351  1.29092423 -1.69210686
  1.64721445 -0.73873934  0.20010532  0.87103746  0.        ]",[-3.42517185 -1.24885726],"[[-0.2552661  -0.14785304  0.1500106  -0.19515905]
 [-7.83577096 -5.93497211  0.          0.        ]]",-4.32003,-0.135520933693,[-4.26511665 -1.78626736]
3,[-0.63089943 -0.44504383],"[ 1.15376579  0.97381628 -0.54701514  0.11066035  1.2909239  -1.69210624
  1.54613828 -1.07062044  0.03422805  0.55578314  0.        ]",[-3.39261699 -0.54111838],"[[ -0.45010411  -0.305086     0.1500106   -0.19515905]
 [-11.63545397  -9.77551108   0.           0.        ]]",-4.54959,-0.0788717280303,[-3.3556547  -0.38329251]
4,[-0.63089943 -0.44504383],"[ 0.94687304  0.86137302 -0.87277468 -0.25592394  1.29092358 -1.69210563
  1.44702057 -1.1848997  -0.31550439  0.23819546  0.        ]",[-3.3732028  -0.34439331],"[[ -0.72019665  -0.51386514   0.1500106   -0.19515905]
 [-15.36151726 -11.0979566    0.           0.        ]]",-4.53336,-0.0461117260138,[-2.93616075 -1.66396782]
5,[-0.63089943 -0.44504383],"[ 0.57633847  0.65095897 -1.18450575 -0.65280962  1.29092325 -1.69210501
  1.3498551  -1.50790558 -0.86411416  0.08978294  0.        ]",[-3.46769667  1.24513578],"[[ -1.0640724   -0.77332797   0.1500106   -0.19515905]
 [-19.01419357 -14.83579436   0.           0.        ]]",-4.61403,-0.130464720677,[-3.18327563  0.90796108]
6,[-0.63089943 -0.44504383],"[ 0.02691248  0.37770558 -1.36093035 -0.95826472  1.29092293 -1.69210439
  1.25451792 -1.17162469 -1.45701343  0.27160777  0.        ]",[-3.48342276  0.61742485],"[[ -1.48031506  -1.03100074   0.1500106   -0.19515905]
 [-22.59814213 -10.94434579   0.           0.        ]]",-4.56672,-0.231884758433,[-4.14818451  0.88474023]
7,[-0.63089943 -0.44504383],"[-0.63630848  0.15637993 -1.2541511  -1.10916465  1.2909226  -1.69210378
  1.16107366 -0.84988844 -1.867037    0.74864934  0.        ]",[-3.5542717   0.47865012],"[[ -1.96752356  -1.2125334    0.1500106   -0.19515905]
 [-26.11093321  -7.22120663   0.           0.        ]]",-4.80277,-0.317214740234,[-3.62991884  1.1773631 ]
8,[-0.63089943 -0.44504383],"[-1.23314406  0.02307469 -0.75567316 -1.16888862  1.29092228 -1.69210316
  1.06949329 -0.49501743 -1.96981413  1.37822186  0.        ]",[-3.79739928  2.65509009],"[[ -2.52428563  -1.31575626   0.1500106   -0.19515905]
 [-29.55365792  -3.1146303    0.           0.        ]]",-4.25687,-0.378145720511,[-4.37264274  2.06801672]
9,[-0.63089943 -0.44504383],"[-1.48984461 -0.00572275  0.09540503 -1.1790366   1.29092195 -1.69210255
  0.97975116 -0.14709929 -1.72408023  1.97205299  0.        ]",[-4.05350113  6.30355883],"[[ -3.14920917  -1.33765499   0.1500106   -0.19515905]
 [-32.92727993   0.91148735   0.           0.        ]]",-2.83867,-0.409021061258,[-4.21857321  4.6954679 ]
