timestep,logstd_action_dist,obs,avg_action_dist,human_obs,rewards,original_rewards,actions
0,[-0.50335395 -0.00940356],"[ 1.24961455  0.93547953  0.19823059  0.24031709 -0.43267293 -1.60252168
  1.5248338  -0.20302591  1.42318078  1.27863073  0.        ]",[-2.0942421  0.6199224],"[[ 0.06571199 -0.05282878 -0.04954281 -0.18427845]
 [ 0.00281996 -0.0018246   0.          0.        ]]",-1.45217,-0.322816419323,[-2.09140343  0.17637732]
1,[-0.50335395 -0.00940356],"[ 1.25212384  0.93593136  0.13998621  0.25297042 -0.4326727  -1.60251913
  1.41845629 -0.12353449  1.42417911  1.2318484   0.        ]",[-2.09631181  0.41916731],"[[ 0.02607458 -0.04584238 -0.04954281 -0.18427845]
 [-3.95338661  0.69812736  0.          0.        ]]",-1.09172,-0.318517022267,[-2.36640925  0.64210452]
2,[-0.50335395 -0.00940356],"[ 1.24676397  0.937283   -0.03338166  0.32429439 -0.43267247 -1.60251658
  1.31416419  0.16380741  1.41887363  1.10529024  0.        ]",[-2.09618497 -0.2381472 ],"[[ -9.19089416e-02  -6.49390661e-03  -4.95428145e-02  -1.84278446e-01]
 [ -7.83204778e+00   3.22828275e+00   0.00000000e+00   0.00000000e+00]]",-1.44266,-0.306367928141,[-0.20705658  0.60900411]
3,[-0.50335395 -0.00940356],"[ 1.20786282  0.93293579 -0.26975613  0.48392598 -0.43267224 -1.60251403
  1.29627938  0.43043284  1.39562314  0.95489931  0.        ]",[-2.08687019 -0.97313666],"[[-0.25522299  0.08162744 -0.04954281 -0.18427845]
 [-8.49714314  5.57602207  0.          0.        ]]",-1.11862,-0.290612613185,[-1.9563127  -0.87192028]
4,[-0.50335395 -0.00940356],"[ 1.10711939  0.92106655 -0.5556052   0.62034313 -0.43267201 -1.60251148
  1.1944662   0.02597096  1.3322129   0.74703512  0.        ]",[-2.04866719 -0.82977188],"[[ -0.46315664   0.157415    -0.04954281  -0.18427845]
 [-12.28362496   2.0145843    0.           0.        ]]",-1.07183,-0.266143466286,[-1.82823652 -0.90644414]
5,[-0.50335395 -0.00940356],"[ 0.88580237  0.92025412 -0.89686795  0.62731364 -0.43267178 -1.60250894
  1.09466821 -0.38602117  1.15983632  0.4321155   0.        ]",[-2.01243114 -0.67510694],"[[ -0.74606823   0.16130852  -0.04954281  -0.18427845]
 [-15.99516855  -1.61316037   0.           0.        ]]",-0.944083,-0.221809046312,[-2.60649399 -1.24005235]
6,[-0.50335395 -0.00940356],"[ 0.49508009  0.93203203 -1.21104326  0.49841971 -0.43267155 -1.60250639
  0.99684986 -0.83193324  0.79518482  0.09769697  0.        ]",[-1.97187972 -0.34954143],"[[ -1.10247208   0.0896502   -0.04954281  -0.18427845]
 [-19.63309477  -5.53958487   0.           0.        ]]",-0.989753,-0.152937681806,[-1.08566484  0.15388877]
7,[-0.50335395 -0.00940356],"[-0.07316178  0.93717968 -1.36826933  0.31083708 -0.43267132 -1.60250384
  0.90091755 -0.75012756  0.22532505 -0.07174229  0.        ]",[-1.95305777 -0.44579664],"[[ -1.53093049e+00  -1.39145140e-02  -4.95428145e-02  -1.84278446e-01]
 [ -2.32008835e+01  -4.81926061e+00   0.00000000e+00   0.00000000e+00]]",-0.737641,-0.0619268550385,[-1.903426   -1.11376953]
8,[-0.50335395 -0.00940356],"[-0.7402281   0.92273973 -1.21702871  0.06677602 -0.43267109 -1.60250129
  0.80692557 -1.18879202 -0.44772303  0.11402566  0.        ]",[-1.94114614  0.5403775 ],"[[ -2.03002021  -0.14905522  -0.04954281  -0.18427845]
 [-26.6965139   -8.68187178   0.           0.        ]]",-0.297374,-0.0578036921351,[-0.98892702  1.11035426]
9,[-0.50335395 -0.00940356],"[-1.30988778  0.88570052 -0.65931843 -0.16719295 -0.43267087 -1.60249874
  0.71588047 -0.71935671 -0.94728479  0.73163266  0.        ]",[-2.02086258  0.56623054],"[[ -2.59792362  -0.28122043  -0.04954281  -0.18427845]
 [-30.08255069  -4.54832689   0.           0.        ]]",0.0544583,-0.176236711293,[-1.71378549  0.45238403]
