timestep,logstd_action_dist,obs,avg_action_dist,human_obs,rewards,original_rewards,actions
0,[-0.58813715 -0.16653562],"[ 1.28655086  0.966075    0.07858138  0.68434836 -1.26246408  1.13492717
  1.7969311  -0.22514964  2.01535919 -0.70220925  0.        ]",[-3.01387    -2.77122736],"[[-0.00593152  0.05723691 -0.14531679  0.13114897]
 [-0.00296422  0.00255205  0.          0.        ]]",-1.56778,-0.376891760688,[-3.11593747 -2.08666462]
1,[-0.58813715 -0.16653562],"[ 1.28512652  0.96804242  0.02082025  0.60805924 -1.26246361  1.1349268
  1.69228915 -0.59033602  2.01535201 -0.78094716  0.        ]",[-3.02692938 -2.14985585],"[[-0.04566529  0.01757503 -0.14531679  0.13114897]
 [-3.95725021 -3.9555538   0.          0.        ]]",-1.37413,-0.38132686201,[-3.38392105 -1.86071254]
2,[-0.58813715 -0.16653562],"[ 1.26800108  0.96155761 -0.1497975   0.38116793 -1.26246314  1.13492643
  1.58971562 -0.94829441  1.98570419 -1.01265028  0.        ]",[-3.03930187 -1.72860718],"[[-0.16370043 -0.10046299 -0.14531679  0.13114897]
 [-7.83337821 -7.83531952  0.          0.        ]]",-1.35643,-0.391980688794,[-2.81693989 -0.65749346]
3,[-0.58813715 -0.16653562],"[ 1.19825135  0.91594718 -0.42305192  0.03907862 -1.26246267  1.13492606
  1.48915013 -1.17403736  1.84951389 -1.35855606  0.        ]",[-3.02278376 -1.8494029 ],"[[ -0.35849633  -0.28171845  -0.14531679   0.13114897]
 [-11.63362992 -10.28205842   0.           0.        ]]",-0.795503,-0.401051979449,[-3.31365141 -2.78545566]
4,[-0.58813715 -0.16653562],"[ 1.02106112  0.7895532  -0.7678644  -0.39063122 -1.26246221  1.13492569
  1.39056718 -1.52042203  1.51540383 -1.72172955  0.        ]",[-3.02395201 -1.35733271],"[[ -0.62854433  -0.52502843  -0.14531679   0.13114897]
 [-15.35896744 -14.03638657   0.           0.        ]]",-0.473648,-0.397137574167,[-2.33937793 -3.4773547 ]
5,[-0.58813715 -0.16653562],"[ 0.67993022  0.52442312 -1.11435922 -0.86260944 -1.26246174  1.13492532
  1.29388809 -1.85991536  0.94824508 -1.90776216  0.        ]",[-3.03568244  0.061685  ],"[[ -0.97237537  -0.84267601  -0.14531679   0.13114897]
 [-19.01236378 -17.71602809   0.           0.        ]]",-0.302448,-0.365196002451,[-2.32552147  0.9213635 ]
6,[-0.58813715 -0.16653562],"[ 0.14903218  0.17518177 -1.34300172 -1.18814527 -1.26246127  1.13492494
  1.19902005 -1.49071721  0.34014712 -1.72636019  0.        ]",[-2.96884298  0.20277351],"[[ -1.38859138  -1.15684846  -0.14531679   0.13114897]
 [-22.59732557 -13.71444712   0.           0.        ]]",-0.330217,-0.300120959564,[-2.34742063  0.3496359 ]
7,[-0.58813715 -0.16653562],"[-0.51988567 -0.15192553 -1.29995728 -1.32725983 -1.2624608   1.13492457
  1.10603825 -1.33763248 -0.05033813 -1.22396836  0.        ]",[-2.98249149  1.79496956],"[[ -1.87579112  -1.4144911   -0.14531679   0.13114897]
 [-26.11101063 -12.05522958   0.           0.        ]]",-0.832484,-0.210340008398,[-2.84379779  1.04216068]
8,[-0.58813715 -0.16653562],"[-1.15716232 -0.4150029  -0.85966172 -1.34897655 -1.26246033  1.1349242
  1.01488972 -0.9499217  -0.08044124 -0.60107006  0.        ]",[-3.04591465  3.3219049 ],"[[ -2.43257175  -1.61343444  -0.14531679   0.13114897]
 [-29.55542058  -7.8529919    0.           0.        ]]",-2.26886,-0.109801282344,[-3.52880991  2.87193649]
9,[-0.58813715 -0.16653562],"[-1.48707374 -0.5676766  -0.03487381 -1.32663774 -1.26245986  1.13492383
  0.92557241 -0.56981987  0.23009807 -0.10532253  0.        ]",[-3.21778822  5.15906763],"[[ -3.05754658  -1.72916057  -0.14531679   0.13114897]
 [-32.930632    -3.73322298   0.           0.        ]]",-2.01959,-0.0615584592549,[-3.23784787  4.08328343]
