timestep,logstd_action_dist,obs,avg_action_dist,human_obs,rewards,original_rewards,actions
0,[-0.56251287 -0.03530441],"[ 1.27331144  0.91158124  0.06483215  0.3973896   0.63790429  0.17044617
  1.68033718 -0.21871334  0.70237144 -0.08303046  0.        ]",[-2.29040956 -2.30069065],"[[-0.01960844 -0.0223211   0.07376896  0.01935049]
 [-0.00036022 -0.00413186  0.          0.        ]]",-1.79986,-0.13856148781,[-2.15229948 -2.24099255]
1,[-0.56251287 -0.03530441],"[ 1.27114258  0.90937329  0.00689706  0.32148388  0.63790407  0.17044612
  1.57603154 -0.63050434  0.69725802 -0.16101995  0.        ]",[-2.29262161 -2.17610455],"[[-0.05929066 -0.06211532  0.07376896  0.01935049]
 [-3.95470236 -3.96210326  0.          0.        ]]",-1.57296,-0.140644685695,[-2.48304945 -2.44952112]
2,[-0.56251287 -0.03530441],"[ 1.25186423  0.89060461 -0.16419992  0.09765385  0.63790384  0.17044608
  1.4737865  -1.03414421  0.65290246 -0.3880621   0.        ]",[-2.30713463 -2.01421666],"[[-0.17727575 -0.18028297  0.07376896  0.01935049]
 [-7.83093317 -7.84173185  0.          0.        ]]",-1.18518,-0.148345913216,[-2.57315159 -3.17369492]
3,[-0.56251287 -0.03530441],"[ 1.17880935  0.8204324  -0.43766337 -0.25979788  0.63790361  0.17044604
  1.37355354 -1.42978792  0.49034086 -0.72646718  0.        ]",[-2.34443808 -1.84662414],"[[ -0.37201941  -0.37527228   0.07376896   0.01935049]
 [-11.6308909  -11.64451      0.           0.        ]]",-1.91497,-0.164425555247,[-2.21719055  0.40047571]
4,[-0.56251287 -0.03530441],"[ 0.99771775  0.68974461 -0.78152876 -0.62212358  0.63790338  0.17044599
  1.27523228 -1.24064225  0.15376796 -1.04972979  0.        ]",[-2.31394053 -2.09389925],"[[ -0.64203552  -0.58992246   0.07376896   0.01935049]
 [-15.35837949  -9.82652547   0.           0.        ]]",-1.14604,-0.187935282354,[-2.45763983 -2.14529718]
5,[-0.56251287 -0.03530441],"[ 0.65314343  0.49015114 -1.12478755 -0.96142968  0.63790315  0.17044595
  1.17888271 -1.6321445  -0.36111579 -1.21354173  0.        ]",[-2.35171986 -1.71496165],"[[ -0.9858494   -0.82420889   0.07376896   0.01935049]
 [-19.0111239  -13.58950308   0.           0.        ]]",-1.02471,-0.214287459013,[-2.25395368 -1.14259909]
6,[-0.56251287 -0.03530441],"[ 0.12092254  0.1547106  -1.34696136 -1.2892113   0.63790292  0.1704459
  1.08438271 -2.01583809 -0.96559025 -1.03533281  0.        ]",[-2.46666718 -0.71412575],"[[ -1.40201305e+00  -1.13300229e+00   7.37689589e-02   1.93504870e-02]
 [ -2.25937528e+01  -1.72774389e+01   0.00000000e+00   0.00000000e+00]]",-0.265101,-0.233110326148,[-3.14076467 -1.46390603]
7,[-0.56251287 -0.03530441],"[-0.54541829 -0.32899339 -1.2943029  -1.46628537  0.63790269  0.17044586
  0.99167347 -2.39186389 -1.34195212 -0.45157815  0.        ]",[-2.67714477  1.0182035 ],"[[ -1.88914712e+00  -1.51481517e+00   7.37689589e-02   1.93504870e-02]
 [ -2.61084953e+01  -2.08916921e+01   0.00000000e+00   0.00000000e+00]]",-1.35461,-0.228058847195,[-1.45793438  1.85954538]
8,[-0.56251287 -0.03530441],"[-1.17523028 -0.81344558 -0.84301649 -1.37358632  0.63790247  0.17044581
  0.90073244 -1.93647582 -1.22306429  0.19225976  0.        ]",[-2.7344296   2.38364983],"[[ -2.44591115e+00  -1.88873378e+00   7.37689589e-02   1.93504870e-02]
 [ -2.95562047e+01  -1.65146962e+01   0.00000000e+00   0.00000000e+00]]",-2.00796,-0.192022832605,[-3.97030858  3.10029398]
9,[-0.56251287 -0.03530441],"[-1.49370841 -1.15034365 -0.00968134 -1.13018241  0.63790224  0.17044577
  0.8116311  -1.4900831  -0.78987118  0.49657971  0.        ]",[-2.74784756  3.46518707],"[[ -3.07093018e+00  -2.17597934e+00   7.37689589e-02   1.93504870e-02]
 [ -3.29341716e+01  -1.22241464e+01   0.00000000e+00   0.00000000e+00]]",-1.49098,-0.135864696821,[-3.27026276  3.88888291]
