timestep,human_obs,obs,original_rewards,logstd_action_dist,rewards,avg_action_dist,actions
0,"[[  8.10161327e-02   6.55268773e-02   9.67068595e-02  -1.36895195e-01]
 [  4.37912397e-03   2.01252483e-05   0.00000000e+00   0.00000000e+00]]","[ 1.00110603  1.6968617   0.12108674 -0.90939132  0.84556227 -1.18384941
  0.59984615 -0.38468462  0.54506787  1.55617218  0.        ]",-0.196044019365,[-0.46767956 -0.44933799],-2.03929,[-3.91492414 -0.92521131],[-4.26287516 -1.63301683]
1,"[[ 0.04142776  0.02581486  0.09670686 -0.1368952 ]
 [-3.95005259 -3.95803607  0.          0.        ]]","[ 1.00473957  1.69920585  0.06200724 -1.01523108  0.84556161 -1.18384812
  0.39505785 -1.03353357  0.55537914  1.42180227  0.        ]",-0.186526188324,[-0.46767956 -0.44933799],-1.93901,[-3.31784534 -0.23155865],[-2.61864127 -0.43429674]
2,"[[-0.07647352 -0.06979816  0.09670686 -0.1368952 ]
 [-7.82717593 -5.59780311  0.          0.        ]]","[ 1.00164042  1.69648183 -0.11415472 -1.27018184  0.84556095 -1.18384682
  0.19427314 -1.30234137  0.54542417  1.04685841  0.        ]",-0.15913998218,[-0.46767956 -0.44933799],-1.70809,[-1.93812943  0.68800974],[-1.86336437  0.70692657]
3,"[[ -0.27116608  -0.15254243   0.09670686  -0.1368952 ]
 [-11.6294193   -2.68632132   0.           0.        ]]","[ 0.95119232  1.6845975  -0.40042814 -1.48952934  0.84556029 -1.18384553
 -0.00263374 -0.82505745  0.44062505  0.532032    0.        ]",-0.119132920441,[-0.46767956 -0.44933799],-1.3996,[-0.47846764  1.24769545],[-1.54967957  1.19534317]
4,"[[ -0.54115307  -0.16599178   0.09670686  -0.1368952 ]
 [-15.356852     1.32801607   0.           0.        ]]","[ 0.79161222  1.68183307 -0.77015615 -1.52495762  0.84555963 -1.18384424
 -0.1956664  -0.16698132  0.20064357 -0.0107392   0.        ]",-0.0739516152226,[-0.46767956 -0.44933799],-1.16598,[ 1.26210558  1.67963886],[ 1.84253521  1.42825428]
5,"[[ -0.80556663  -0.09998265   0.09670686  -0.1368952 ]
 [-11.0986793    5.25977772   0.           0.        ]]","[ 0.54489463  1.69315964 -1.07832306 -1.35041986  0.84555897 -1.18384294
  0.0248519   0.47755799 -0.08234792 -0.39089155  0.        ]",-0.0459446720388,[-0.46767956 -0.44933799],-1.34089,[ 1.98767149  1.12966371],[ 2.4391676   1.58590311]
6,"[[-0.98566192  0.04387993  0.09670686 -0.1368952 ]
 [-6.92475235  9.11363087  0.          0.        ]]","[ 0.33422352  1.69837614 -1.24640899 -0.96705272  0.84555831 -1.18384165
  0.24100735  1.10932501 -0.23380656 -0.53619629  0.        ]",-0.0423613833342,[-0.46767956 -0.44933799],-1.2164,[ 1.89606988  0.0769217 ],[ 2.64645961 -0.83102355]
7,"[[-1.08307873  0.1913114   0.09670686 -0.1368952 ]
 [-2.83056053  5.64109784  0.          0.        ]]","[ 0.20862234  1.67599919 -1.32082097 -0.57675239  0.84555765 -1.18384036
  0.4530335   0.54006701 -0.26900377 -0.55353171  0.        ]",-0.0417430503787,[-0.46767956 -0.44933799],-1.3209,[ 1.67689979  0.4695003 ],[ 2.9922196   0.04098102]
8,"[[-1.09943728  0.30462544  0.09670686 -0.1368952 ]
 [ 1.18136566  5.6901528   0.          0.        ]]","[ 0.18684363  1.64000947 -1.33210428 -0.28381683  0.84555699 -1.18383907
  0.66079925  0.54810834 -0.21174534 -0.48607711  0.        ]",-0.0400765167707,[-0.46767956 -0.44933799],-1.02267,[ 0.65080929  0.00961334],[-0.15528527  0.08615962]
9,"[[-1.08220814  0.42072354  0.09670686 -0.1368952 ]
 [ 0.54367276  5.91889321  0.          0.        ]]","[ 0.20977598  1.5867112  -1.32020713  0.00563883  0.84555633 -1.18383777
  0.62777455  0.58560577 -0.11248844 -0.36108334  0.        ]",-0.0416093359356,[-0.46767956 -0.44933799],-0.872558,[ 0.28171366 -0.20161501],[ 0.59056114 -0.65489122]
