timestep,human_obs,obs,original_rewards,logstd_action_dist,rewards,avg_action_dist,actions
0,"[[-0.08645838  0.05897747 -0.15506122 -0.04623316]
 [ 0.00198451 -0.00051319  0.          0.        ]]","[ 1.02460257  1.32616394 -0.07995997 -1.25379625 -1.34406019 -0.40349164
  0.40012354 -0.34944205  3.2642802   0.3282691   0.        ]",-0.366281713533,[-0.90160269 -0.77579552],-4.03912,[-0.63006449  1.04342878],[-0.18659625  1.35787489]
1,"[[-0.09384061  0.09869803 -0.15506122 -0.04623316]
 [-0.73773852  3.95937071  0.          0.        ]]","[ 1.0235652   1.32200722 -0.09065134 -1.14991664 -1.34405934 -0.40349154
  0.35082407  0.39989806  3.2639964   0.36729335  0.        ]",-0.366532654349,[-0.90160269 -0.77579552],-4.05977,[-0.57416964  0.71701133],[-1.21703999  1.18192889]
2,"[[-0.14815467  0.21684207 -0.15506122 -0.04623316]
 [-4.68053929  7.84208301  0.          0.        ]]","[ 1.01333776  1.29735884 -0.16904603 -0.84398522 -1.3440585  -0.40349143
  0.08805315  1.13463442  3.25438759  0.38980707  0.        ]",-0.365794052479,[-0.90160269 -0.77579552],-4.03001,[-0.38395423  0.43788517],[-0.30235768  0.33532791]
3,"[[-0.25284216  0.38545176 -0.15506122 -0.04623316]
 [-5.78453856  9.01496757  0.          0.        ]]","[ 0.98082368  1.23099055 -0.31816155 -0.42203412 -1.34405765 -0.40349133
  0.01447628  1.3565819   3.22504937  0.34468788  0.        ]",-0.362683560648,[-0.90160269 -0.77579552],-4.0032,[-0.53036177  0.2944724 ],[-1.00381957 -0.28533028]
4,"[[-0.40707318  0.55263804 -0.15506122 -0.04623316]
 [-9.62582731  7.70797522  0.          0.        ]]","[ 0.90293681  1.13069935 -0.5301308  -0.03123645 -1.3440568  -0.40349122
 -0.24152932  1.10925544  3.17049564  0.16257505  0.        ]",-0.356443721727,[-0.90160269 -0.77579552],-3.97309,[-0.60381418  0.40780601],[-0.58664187  0.10126718]
5,"[[ -0.62096858   0.7092944   -0.15506122  -0.04623316]
 [-11.75665491   7.9567915    0.           0.        ]]","[ 0.73916822  1.00804122 -0.80046042  0.30028825 -1.34405595 -0.40349112
 -0.38353991  1.15633904  3.0678823  -0.18118264  0.        ]",-0.345971664891,[-0.90160269 -0.77579552],-3.88622,[-0.87966698  0.28319243],[-0.28865533  0.28156846]
6,"[[ -0.86523361   0.87803443  -0.15506122  -0.04623316]
 [-12.66684397   8.91399159   0.           0.        ]]","[ 0.48196931  0.84840073 -1.06137231  0.61035843 -1.3440551  -0.40349101
 -0.44420007  1.33747189  2.89901624 -0.54423133  0.        ]",-0.331126051177,[-0.90160269 -0.77579552],-3.76679,[-1.31574607 -0.07991016],[-1.72031915  0.08437579]
7,"[[ -1.15576023   1.0579      -0.15506122  -0.04623316]
 [-16.37356726   9.07193486   0.           0.        ]]","[ 0.09935408  0.65181848 -1.28510285  0.87754729 -1.34405426 -0.4034909
 -0.69123743  1.36735906  2.63582693 -0.92526874  0.        ]",-0.309963498157,[-0.90160269 -0.77579552],-3.58236,[-1.48803234 -0.48701569],[-1.53977538 -0.2026232 ]
8,"[[ -1.51968797   1.22948447  -0.15506122  -0.04623316]
 [-20.00719348   8.08965767   0.           0.        ]]","[-0.45003949  0.44458426 -1.40665958  1.06379245 -1.34405341 -0.4034908
 -0.93340304  1.18147939  2.22290088 -1.32773986  0.        ]",-0.278877128605,[-0.90160269 -0.77579552],-3.3781,[-0.9990344  -0.53566039],[-0.83026733 -0.21944693]
9,"[[ -1.94883268   1.38094097  -0.15506122  -0.04623316]
 [-22.89770588   7.05930812   0.           0.        ]]","[-1.10559528  0.25059976 -1.3058804   1.16798731 -1.34405256 -0.40349069
 -1.12604304  0.98650308  1.64813284 -1.61496168  0.        ]",-0.235970097421,[-0.90160269 -0.77579552],-3.15437,[-0.04615966 -0.32878503],[ 0.59515744 -0.28597732]
10,"[[ -2.37861817   1.50933716  -0.15506122  -0.04623316]
 [-20.09012399   5.784655     0.           0.        ]]","[-1.65740683  0.08147382 -0.95932704  1.21017477 -1.34405171 -0.40349059
 -0.93892905  0.7452967   1.04782306 -1.62921161  0.        ]",-0.187279213402,[-0.90160269 -0.77579552],-2.8591,[ 0.33890003 -0.16084448],[ 0.47986146 -0.81547488]
11,"[[ -2.75737897   1.59146381  -0.15506122  -0.04623316]
 [-17.79351852   2.43923153   0.           0.        ]]","[-1.97616284 -0.0275863  -0.4994544   1.21456714 -1.34405087 -0.40349048
 -0.78586961  0.11223293  0.54236089 -1.4279779   0.        ]",-0.140350185607,[-0.90160269 -0.77579552],-2.62295,[ 1.05090249  0.48506019],[ 1.23243232  0.04630512]
12,"[[ -3.07001167   1.64158479  -0.15506122  -0.04623316]
 [-13.48407788   2.57253023   0.           0.        ]]","[-2.08591158 -0.09410045 -0.05838966  1.20855616 -1.34405002 -0.40349038
 -0.49866323  0.13745738  0.17702323 -1.11595815  0.        ]",-0.0995124111733,[-0.90160269 -0.77579552],-2.2436,[ 1.00739908  0.10797733],[ 1.13831542 -0.66401738]
13,"[[-3.29730438  1.66613155 -0.15506122 -0.04623316]
 [-9.25921541 -0.10884195  0.          0.        ]]","[-2.07102859 -0.12660001  0.2711297   1.2032126  -1.34404917 -0.40349027
 -0.21709369 -0.36994623 -0.04674336 -0.815045    0.        ]",-0.06908596375,[-0.90160269 -0.77579552],-2.0198,[ 1.0999043   0.42911422],[ 1.28627242 -0.12771797]
14,"[[-3.44093999  1.65889336 -0.15506122 -0.04623316]
 [-5.11813977 -0.61325187  0.          0.        ]]","[-2.02052017 -0.11702375  0.47444201  1.20495117 -1.34404832 -0.40349017
  0.05889181 -0.46539705 -0.18539016 -0.59053061  0.        ]",-0.0483855742467,[-0.90160269 -0.77579552],-1.85936,[ 0.79431134  0.26350617],[ 0.98229241  0.20882752]
15,"[[-3.5032817   1.65503961 -0.15506122 -0.04623316]
 [-1.12932439  0.22510282  0.          0.        ]]","[-1.98895785 -0.11192264  0.56017663  1.20582065 -1.34404747 -0.40349006
  0.32472979 -0.30675267 -0.23837886 -0.48458331  0.        ]",-0.0396271980477,[-0.90160269 -0.77579552],-1.75832,[ 0.04999587 -0.22240064],[-0.16563886 -0.02796654]
16,"[[-3.5322212   1.6583868  -0.15506122 -0.04623316]
 [-1.76251619  0.10999771  0.          0.        ]]","[-1.97237024 -0.11635328  0.59931571  1.20506643 -1.34404663 -0.40348996
  0.2825301  -0.32853426 -0.25553738 -0.43623048  0.        ]",-0.0362452776505,[-0.90160269 -0.77579552],-1.75589,[ 0.23940191 -0.1438047 ],[ 0.25897743  0.21257312]
17,"[[-3.55683909  1.66900826 -0.15506122 -0.04623316]
 [-0.70280144  0.94935446  0.          0.        ]]","[-1.95730788 -0.13040404  0.6322463   1.20248071 -1.34404578 -0.40348985
  0.35315565 -0.16970023 -0.26081123 -0.3983837   0.        ]",-0.0343286830447,[-0.90160269 -0.77579552],-1.73925,[ 0.0250474 -0.3836619],[-0.22504633  0.14197826]
18,"[[-3.57969292  1.69344853 -0.15506122 -0.04623316]
 [-1.57966328  1.49285795  0.          0.        ]]","[-1.9425502  -0.16267678  0.66249936  1.19541364 -1.34404493 -0.40348974
  0.29471632 -0.0668514  -0.24912059 -0.37036346  0.        ]",-0.0342961902004,[-0.90160269 -0.77579552],-1.7398,[ 0.15973324 -0.45628712],[ 0.49554689 -0.60799067]
19,"[[-3.59129093  1.69885207 -0.15506122 -0.04623316]
 [ 0.41322497 -0.94437802  0.          0.        ]]","[-1.93477712 -0.16979956  0.67773     1.19364055 -1.34404408 -0.40348964
  0.42753408 -0.52805692 -0.25068085 -0.35290394  0.        ]",-0.0335954168697,[-0.90160269 -0.77579552],-1.73406,[-0.05221524 -0.11728182],[ 0.22975291  0.37441561]
20,"[[-3.5739872   1.69502549 -0.15506122 -0.04623316]
 [ 1.31414803  0.55671633  0.          0.        ]]","[-1.94629936 -0.16475592  0.65497541  1.19490292 -1.34404324 -0.40348953
  0.4875768  -0.24400011 -0.24364438 -0.38090759  0.        ]",-0.035114051041,[-0.90160269 -0.77579552],-1.73607,[-0.34263882 -0.49427846],[-0.21182893 -0.32853844]
21,"[[-3.55637495  1.69299831 -0.15506122 -0.04623316]
 [ 0.44995427 -0.75506122  0.          0.        ]]","[-1.95759146 -0.16208299  0.6316278   1.19555593 -1.34404239 -0.40348943
  0.42998168 -0.49223177 -0.23402316 -0.41015849  0.        ]",-0.0369512864296,[-0.90160269 -0.77579552],-1.73972,[-0.13912201 -0.16962638],[ 0.14714873 -0.36665721]
