timestep,human_obs,obs,original_rewards,actions,rewards,avg_action_dist,logstd_action_dist
0,"[[-0.02724323  0.03339307 -0.00270082  0.11351797]
 [-0.0007044  -0.00099036  0.          0.        ]]","[ 1.06609223  2.06030009 -0.04760265 -0.76267731 -0.02564228  0.96499919
  0.73198924 -0.39320106  1.34167601 -1.11456283  0.        ]",-0.242033781351,[ 3.24065221  1.96693963],-1.80672,[ 1.898224    1.82962501],[-0.21429203 -0.34868172]
1,"[[  1.24179183e-02   7.30858534e-02  -2.70082479e-03   1.13517969e-01]
 [  3.95366067e+00   3.95708258e+00   0.00000000e+00   0.00000000e+00]]","[ 1.06650309  2.05742853  0.0125141  -0.64042191 -0.02564226  0.96499752
  0.92912805  0.1977312   1.33885587 -1.00026523  0.        ]",-0.23591007569,[ 0.70364086  1.51479514],-1.7187,[ 1.28467131  1.29155684],[-0.21429203 -0.34868172]
2,"[[  1.18619756e-01   1.91158670e-01  -2.70082479e-03   1.13517969e-01]
 [  6.65755030e+00   7.83726720e+00   0.00000000e+00   0.00000000e+00]]","[ 1.05673954  2.03635445  0.17308461 -0.27959877 -0.02564223  0.96499585
  1.06392537  0.77703446  1.29677132 -0.68713526  0.        ]",-0.217706465298,[-1.37421383  0.65118   ],-1.57123,[ 0.48606926  0.75159138],[-0.21429203 -0.34868172]
3,"[[  2.10750969e-01   3.72232591e-01  -2.70082479e-03   1.13517969e-01]
 [  2.56919550e+00   1.02620357e+01   0.00000000e+00   0.00000000e+00]]","[ 1.03553065  1.96823317  0.31080796  0.25619382 -0.02564221  0.96499419
  0.86010377  1.13904569  1.18681163 -0.36154433  0.        ]",-0.194968621715,[ 0.65703749 -0.15443987],-1.41737,[ 0.32592952  0.48381451],[-0.21429203 -0.34868172]
4,"[[  2.87710347e-01   5.69289650e-01  -2.70082479e-03   1.13517969e-01]
 [  5.11829863e+00   9.44639145e+00   0.00000000e+00   0.00000000e+00]]","[ 1.00887339  1.84731319  0.42383809  0.7970397  -0.02564219  0.96499252
  0.98718468  1.01726965  1.02156177 -0.09070024  0.        ]",-0.1706209035,[-1.12536221  0.71303661],-1.36561,[-0.24361962  0.32060042],[-0.21429203 -0.34868172]
5,"[[  3.49362179e-01   7.84682183e-01  -2.70082479e-03   1.13517969e-01]
 [  1.06038877e+00   1.20840565e+01   0.00000000e+00   0.00000000e+00]]","[ 0.98175713  1.66482672  0.51258037  1.31391213 -0.02564216  0.96499085
  0.78488103  1.4110644   0.81283479  0.11110683  0.        ]",-0.144632830126,[-1.10598473  0.0831303 ],-1.20144,[-0.15313646  0.00249439],[-0.21429203 -0.34868172]
6,"[[  3.30667217e-01   1.02727797e+00  -2.70082479e-03   1.13517969e-01]
 [ -2.91673543e+00   1.21751821e+01   0.00000000e+00   0.00000000e+00]]","[ 0.99051228  1.40674499  0.48586287  1.77441806 -0.02564214  0.96498918
  0.58660522  1.42466541  0.64026794  0.16592789  0.        ]",-0.123390789489,[ 0.76517149 -0.00275442],-1.02206,[ 0.17954852 -0.14271659],[-0.21429203 -0.34868172]
7,"[[  3.03293430e-01   1.26824524e+00  -2.70082479e-03   1.13517969e-01]
 [  1.69180088e-01   1.19224203e+01   0.00000000e+00   0.00000000e+00]]","[ 1.00249421  1.10973323  0.44643478  2.07881128 -0.02564212  0.96498752
  0.74044917  1.38692497  0.46928834  0.16483062  0.        ]",-0.101534639435,[ 0.48712634 -1.02603093],-0.853919,[ 0.07104903 -0.37178785],[-0.21429203 -0.34868172]
8,"[[  3.25998923e-01   1.46459324e+00  -2.70082479e-03   1.13517969e-01]
 [  2.09491440e+00   7.72637538e+00   0.00000000e+00   0.00000000e+00]]","[ 0.99262307  0.8496346   0.47916322  2.20152383 -0.0256421   0.96498585
  0.83645334  0.76046379  0.28198081  0.16043913  0.        ]",-0.0778693143994,[ 0.43184059 -0.23580536],-0.754152,[-0.17767781 -0.31268167],[-0.21429203 -0.34868172]
9,"[[  3.84634337e-01   1.60821456e+00  -2.70082479e-03   1.13517969e-01]
 [  3.76308324e+00   6.63938155e+00   0.00000000e+00   0.00000000e+00]]","[ 0.9639749   0.6553081   0.56248448  2.21673221 -0.02564207  0.96498418
  0.91961663  0.59817726  0.10603127  0.14683338  0.        ]",-0.0559160352441,[ 0.0671744  -0.65192378],-0.651551,[-0.37682903 -0.40959305],[-0.21429203 -0.34868172]
