timestep,obs,rewards,actions,original_rewards,avg_action_dist,logstd_action_dist,human_obs
0,"[ 1.23237908  2.59270109 -0.0240394  -0.4295256  -1.4441784   0.77087969
 -0.23880399 -0.36881346  2.67566474 -0.54474227  0.        ]",-1.05857,[ 2.31728962  7.13444433],-0.379722351286,[ 2.79231858  6.90793324],[-0.43786377 -0.13676381],"[[ 0.09754839  0.09364528 -0.16753786  0.0899768 ]
 [ 0.003416    0.00430988  0.          0.        ]]"
1,"[ 1.22588439  2.58576482  0.03411691 -0.2663194  -1.44417644  0.77087915
 -0.14667799  0.13456273  2.65692996 -0.44025508  0.        ]",-1.07847,[ 1.78975686  6.96842795],-0.375528699261,[ 2.84433055  6.76250458],[-0.43786377 -0.13676381],"[[ 0.13729125  0.13344304 -0.16753786  0.0899768 ]
 [ 3.95771563  3.96228049  0.          0.        ]]"
2,"[ 1.19378731  2.55103613  0.20462325  0.21216891 -1.44417447  0.77087861
 -0.05637079  0.62797453  2.56485362 -0.14197235  0.        ]",-1.16417,[ 3.08513894  5.69683968],-0.360640667576,[ 2.81738138  6.52326965],[-0.43786377 -0.13676381],"[[ 0.25533651  0.2516142  -0.16753786  0.0899768 ]
 [ 7.83394682  7.8419035   0.          0.        ]]"
3,"[ 1.10006982  2.44871128  0.47357926  0.96729654 -1.44417251  0.77087807
  0.03216123  1.11161082  2.30503109  0.28406385  0.        ]",-1.1636,[ 2.45787084  5.37942497],-0.32861601731,[ 2.64790368  6.1240077 ],[-0.43786377 -0.13676381],"[[  0.45014108   0.44660682  -0.16753786   0.0899768 ]
 [ 11.63398271  11.6446677    0.           0.        ]]"
4,"[ 0.89265209  2.22120578  0.80431069  1.89661826 -1.44417055  0.77087753
  0.11896926  1.5856473   1.78226847  0.66590892  0.        ]",-1.10482,[ 2.05087398  4.15997851],-0.271043168017,[ 2.19485164  5.54849052],[-0.43786377 -0.13676381],"[[  0.72020243   0.71689779  -0.16753786   0.0899768 ]
 [ 15.36002053  15.37196128   0.           0.        ]]"
5,"[ 0.52116151  1.81275781  1.12082839  2.78733198 -1.44416859  0.77087699
  0.20411114  2.05024894  1.02928445  0.7162049   0.        ]",-0.842875,[ 2.28507044  4.95618828],-0.182482655977,[ 1.64292765  5.01286936],[-0.43786377 -0.13676381],"[[  1.06406514   1.06099084  -0.16753786   0.0899768 ]
 [ 19.01454261  19.02509025   0.           0.        ]]"
6,"[-0.02972331  1.20623245  1.29997415  3.29421447 -1.44416662  0.77087645
  0.28764228  2.50558344  0.34797462  0.20232276  0.        ]",-0.603911,[ 0.67453524  4.76683818],-0.0746070148378,[ 1.06366706  4.68789864],[-0.43786377 -0.13676381],"[[  1.48032343   1.47741578  -0.16753786   0.0899768 ]
 [ 22.59992799  22.60538431   0.           0.        ]]"
7,"[-0.67811119  0.4732454   1.19874601  2.99602283 -1.44416466  0.7708759
  0.33958202  2.95188919  0.2211024  -0.67148872  0.        ]",-0.672305,[ 2.09876177  3.20882531],-0.0906442356076,[ 0.6818037   4.78813362],[-0.43786377 -0.13676381],"[[  1.95468658   1.96473395  -0.16753786   0.0899768 ]
 [ 24.8293264   26.11473095   0.           0.        ]]"
8,"[-1.26144593 -0.18745227  0.73060644  1.58299251 -1.4441627   0.77087536
  0.42053133  3.3893782   0.74151224 -1.17326723  0.        ]",-0.837279,[ 1.61679591  4.10366555],-0.180254449101,[ 0.94932413  5.17760134],[-0.43786377 -0.13676381],"[[  2.48613538   2.52154273  -0.16753786   0.0899768 ]
 [ 28.30389325  29.55481162   0.           0.        ]]"
9,"[-1.54835064 -0.47344062 -0.08621707 -0.83568719 -1.44416074  0.77087482
  0.49979725  3.00917718  1.17633309 -0.80192008  0.        ]",-0.609704,[ 0.67391496  5.54612014],-0.199055613411,[ 1.29318917  4.90527916],[-0.43786377 -0.13676381],"[[  3.0863629    3.14648205  -0.16753786   0.0899768 ]
 [ 31.70620589  26.56541851   0.           0.        ]]"
10,"[-1.30737671 -0.45338838 -0.99880111 -1.48050115 -1.44415877  0.77087428
  0.54730309 -0.69624373  1.07041312 -0.62970888  0.        ]",-0.556018,[ 0.67378356  5.59862104],-0.177734159918,[ 1.27312744  4.67044735],[-0.43786377 -0.13676381],"[[  3.74094115   3.30340452  -0.16753786   0.0899768 ]
 [ 33.7452935   -2.57019178   0.           0.        ]]"
11,"[-0.53645605 -0.47035425 -1.58515446 -1.07775793 -1.44415681  0.77087374
  0.59389123 -1.06757698  1.06715253 -0.70630674  0.        ]",-0.658004,[ 1.92940433  6.72003967],-0.181110838656,[ 1.55568361  4.38508892],[-0.43786377 -0.13676381],"[[  4.43590992   3.20517117  -0.16753786   0.0899768 ]
 [ 35.74499222  -5.48998051   0.           0.        ]]"
12,"[ 0.47722841 -0.47276665 -1.48063441 -0.69166735 -1.44415485  0.7708732
  0.66965005 -0.83922902  1.08809314 -0.71498159  0.        ]",-0.806919,[ 1.8489992   4.82235403],-0.184045246363,[ 1.87229061  4.16231871],[-0.43786377 -0.13676381],"[[  5.18343609   3.11158711  -0.16753786   0.0899768 ]
 [ 38.99677432  -3.69449307   0.           0.        ]]"
13,"[ 1.18163016 -0.46783066 -0.58586392 -0.46254748 -1.44415288  0.77087266
  0.74390709 -0.62080055  1.05077365 -0.70315859  0.        ]",-0.801601,[ 2.55839733  3.64447452],-0.179005375371,[ 2.18147564  4.15197468],[-0.43786377 -0.13676381],"[[  5.99535115   3.05597904  -0.16753786   0.0899768 ]
 [ 42.18409916  -1.97700046   0.           0.        ]]"
14,"[ 1.00538628 -0.46350445  0.64883518 -0.34642468 -1.44415092  0.77087212
  0.81669323 -0.49088327  0.98899673 -0.75752482  0.        ]",-0.719937,[ 1.11650145  3.20697994],-0.174769832629,[ 2.30717921  4.35854053],[-0.43786377 -0.13676381],"[[  6.8703792    3.02770494  -0.16753786   0.0899768 ]
 [ 45.30829216  -0.95546769   0.           0.        ]]"
15,"[-0.09060892 -0.46104911  1.30439362 -0.29196846 -1.44414896  0.77087157
  0.88803823 -0.42479776  0.99121856 -0.87264468  0.        ]",-0.594856,[ 2.1217291   4.58627637],-0.18206409823,[ 2.11944628  4.66917658],[-0.43786377 -0.13676381],"[[  7.80727049   3.01441555  -0.16753786   0.0899768 ]
 [ 48.37063198  -0.43584161   0.           0.        ]]"
16,"[-1.29090367 -0.459861    0.68860447 -0.26758807 -1.444147    0.77087103
  0.95797079 -0.39372873  1.09165631 -0.94548738  0.        ]",-0.548688,[ 2.05077513  5.10170745],-0.197889775872,[ 1.64619482  5.12240982],[-0.43786377 -0.13676381],"[[  8.80480034   3.00845864  -0.16753786   0.0899768 ]
 [ 51.37235015  -0.1915487    0.           0.        ]]"
