timestep,rewards,obs,actions,original_rewards,avg_action_dist,logstd_action_dist,human_obs
16,-0.48548,"[ 0.4669072  -0.44888055  1.14649361 -0.26419733 -0.74347033 -0.81649251
  0.81062898 -0.39632183  0.3667488   0.71275819  0.        ]",[ 1.63488126  3.97988838],-0.11511115578,[ 2.07165766  4.40674543],[-0.68951797 -0.20869109],"[[  7.45596061   3.00883016  -0.08543033  -0.09518891]
 [ 47.0366949   -0.20644004   0.           0.        ]]"
17,-0.383482,"[-0.82025509 -0.44829857  1.02526174 -0.25243689 -0.74346997 -0.81649209
  0.87721032 -0.38145361  0.438055    0.60527655  0.        ]",[ 1.58758852  4.10049869],-0.111295209186,[ 1.92343199  4.80296326],[-0.68951797 -0.20869109],"[[  8.4270767    3.00603574  -0.08543033  -0.09518891]
 [ 50.06482287  -0.08885548   0.           0.        ]]"
18,-0.460863,"[-1.45316613 -0.44804663 -0.2725709  -0.24742313 -0.74346961 -0.81649166
  0.94247353 -0.37495687  0.5689144   0.61297837  0.        ]",[ 2.11477092  3.56898195],-0.12444261172,[ 1.60092103  4.79610825],[-0.68951797 -0.20869109],"[[  9.45815390e+00   3.00484409e+00  -8.54303261e-02  -9.51889055e-02]
 [  5.30330057e+01  -3.74768690e-02   0.00000000e+00   0.00000000e+00]]"
19,-0.547163,"[-0.66872846 -0.44794036 -1.56228425 -0.24532327 -0.74346925 -0.81649124
  1.00644469 -0.37218637  0.63003073  0.74805123  0.        ]",[ 1.87369018  4.85906943],-0.141230336897,[ 1.60953379  4.43767309],[-0.68951797 -0.20869109],"[[  1.05480052e+01   3.00434496e+00  -8.54303261e-02  -9.51889055e-02]
 [  5.59424296e+01  -1.55673558e-02   0.00000000e+00   0.00000000e+00]]"
20,-0.663033,"[ 0.82203784 -0.44789623 -1.35936133 -0.24445559 -0.74346889 -0.81649081
  1.06914936 -0.37102604  0.54048537  0.87263606  0.        ]",[ 1.81260182  2.81607526],-0.144235108813,[ 1.66066456  3.98782206],[-0.68951797 -0.20869109],"[[  1.16954671e+01   3.00413872e+00  -8.54303261e-02  -9.51889055e-02]
 [  5.87942575e+01  -6.39195431e-03   0.00000000e+00   0.00000000e+00]]"
21,-0.594836,"[ 1.23860139 -0.44787807  0.26266475 -0.24410066 -0.74346853 -0.81649039
  1.1306126  -0.37054677  0.39377689  0.82909627  0.        ]",[ 1.42142935  4.29229585],-0.128582443268,[ 1.8867234   4.17273235],[-0.68951797 -0.20869109],"[[  1.28993991e+01   3.00405437e+00  -8.54303261e-02  -9.51889055e-02]
 [  6.15896295e+01  -2.60268077e-03   0.00000000e+00   0.00000000e+00]]"
22,-0.387651,"[-0.09942219 -0.44787059  1.26228089 -0.24395643 -0.74346817 -0.81648997
  1.19085897 -0.37035095  0.38236386  0.65789091  0.        ]",[ 1.60644912  4.94582366],-0.111157006619,[ 2.00537682  4.70278311],[-0.68951797 -0.20869109],"[[  1.41586834e+01   3.00402010e+00  -8.54303261e-02  -9.51889055e-02]
 [  6.43296631e+01  -1.05505636e-03   0.00000000e+00   0.00000000e+00]]"
23,-0.357596,"[-1.41565015 -0.44786745  0.12398894 -0.2438979  -0.74346781 -0.81648954
  1.24991255 -0.37027162  0.53613793  0.59574988  0.        ]",[ 2.04612265  5.11669934],-0.119843776786,[ 1.62335873  4.96278048],[-0.68951797 -0.20869109],"[[  1.54722240e+01   3.00400620e+00  -8.54303261e-02  -9.51889055e-02]
 [  6.70154538e+01  -4.28688282e-04   0.00000000e+00   0.00000000e+00]]"
24,-0.557449,"[-0.65903075 -0.44786607 -1.56722964 -0.24387394 -0.74346745 -0.81648912
  1.30779694 -0.37023968  0.63017261  0.74900411  0.        ]",[ 1.26658039  4.53609551],-0.141322650506,[ 1.60702324  4.56725693],[-0.68951797 -0.20869109],"[[  1.68389471e+01   3.00400053e+00  -8.54303261e-02  -9.51889055e-02]
 [  6.96480755e+01  -1.77121786e-04   0.00000000e+00   0.00000000e+00]]"
25,-0.586781,"[ 1.07927721 -0.4478654  -1.05170116 -0.24386383 -0.74346709 -0.81648869
  1.36453528 -0.37022686  0.50390018  0.8805792   0.        ]",[ 1.41362388  5.70289466],-0.142021417707,[ 1.69783688  4.0689621 ],[-0.68951797 -0.20869109],"[[  1.82577996e+01   3.00399814e+00  -8.54303261e-02  -9.51889055e-02]
 [  7.22285805e+01  -7.67787698e-05   0.00000000e+00   0.00000000e+00]]"
