timestep,obs,rewards,actions,original_rewards,avg_action_dist,logstd_action_dist,human_obs
0,"[ 1.24047331  2.5982969  -0.23962859 -0.53029618 -1.48668258  0.75981244
 -0.23836732 -0.36928058  2.73261068 -0.81035946  0.        ]",-1.03628,[ 2.98172553  6.09665167],-0.392829927175,[ 2.88624573  7.18327188],[-0.43945348 -0.13136975],"[[-0.04734902  0.06921273 -0.17232309  0.08850222]
 [-0.00457957  0.00094082  0.          0.        ]]"
1,"[ 1.24199257  2.5928545  -0.18131536 -0.3667153  -1.48668051  0.75981192
 -0.14651026  0.13395829  2.72935765 -0.70414114  0.        ]",-1.0448,[ 2.96981238  5.8739454 ],-0.389679506236,[ 2.99645877  7.03984928],[-0.43945348 -0.13136975],"[[-0.00776454  0.10894377 -0.17232309  0.08850222]
 [ 3.94987054  3.95897666  0.          0.        ]]"
2,"[ 1.23358709  2.5625022  -0.00789884  0.11436446 -1.48667844  0.7598114
 -0.05646703  0.62723571  2.68199441 -0.3932519   0.        ]",-1.06277,[ 3.16092844  5.95512193],-0.377770243629,[ 3.0271492   6.83742476],[-0.43945348 -0.13136975],"[[ 0.11012519  0.2270495  -0.17232309  0.08850222]
 [ 7.82623475  7.83866531  0.          0.        ]]"
3,"[ 1.17777457  2.46709053  0.27238228  0.87690507 -1.48667637  0.75981088
  0.03180558  1.11074066  2.48748921  0.07431808  0.        ]",-1.0276,[ 3.27756442  6.70933964],-0.350228169934,[ 2.94529653  6.47790337],[-0.43945348 -0.13136975],"[[  0.3047766    0.42197802  -0.17232309   0.08850222]
 [ 11.62637418  11.64149687   0.           0.        ]]"
4,"[ 1.01805542  2.2480921   0.63123725  1.82219877 -1.4866743   0.75981036
  0.1183585   1.58464883  2.02599867  0.54611432  0.        ]",-0.914258,[ 2.5800997   7.64667389],-0.297724315466,[ 2.49946165  5.92408514],[-0.43945348 -0.13136975],"[[  0.57468652   0.69220627  -0.17232309   0.08850222]
 [ 15.35248062  15.36885948   0.           0.        ]]"
5,"[ 0.69420281  1.84777576  1.00124444  2.74096634 -1.48667222  0.75980984
  0.20324958  2.04912472  1.28649854  0.73194957  0.        ]",-0.825112,[ 1.94498436  5.57721982],-0.21317799692,[ 1.86761189  5.2893014 ],[-0.43945348 -0.13136975],"[[  0.91839889   1.03623796  -0.17232309   0.08850222]
 [ 19.00704538  19.02205588   0.           0.        ]]"
6,"[ 0.17413457  1.24580758  1.26296283  3.28880685 -1.48667015  0.75980932
  0.28653486  2.5043349   0.5323231   0.34547677  0.        ]",-0.610893,[ 0.82190594  4.39406731],-0.103778251899,[ 1.22116172  4.87742901],[-0.43945348 -0.13136975],"[[  1.33450768   1.45260282  -0.17232309   0.08850222]
 [ 22.59248041  22.60240714   0.           0.        ]]"
7,"[-0.48880755  0.50990222  1.26033703  3.03928372 -1.48666808  0.7598088
  0.35187394  2.95049845  0.27119921 -0.50739383  0.        ]",-0.653904,[-0.16950824  2.88279893],-0.0798924237786,[ 0.85347992  4.7299571 ],[-0.43945348 -0.13136975],"[[  1.81457527   1.93986054  -0.17232309   0.08850222]
 [ 25.40533256  26.11164899   0.           0.        ]]"
8,"[-1.09260898 -0.1640562   0.91828767  1.66899265 -1.48666601  0.75980828
  0.32477358  3.38792277  0.70524881 -1.09013936  0.        ]",-0.797373,[-0.20066155  3.6914366 ],-0.169471402695,[ 1.04782474  5.06416035],[-0.43945348 -0.13136975],"[[  2.31097977   2.4966122   -0.17232309   0.08850222]
 [ 24.23867016  29.55221354   0.           0.        ]]"
9,"[-1.45787456 -0.47259659  0.34734165 -0.733145   -1.48666394  0.75980776
  0.29524789  3.02114784  1.20328306 -0.83758162  0.        ]",-0.604051,[ 0.17478875  4.41355023],-0.203890352034,[ 1.23700476  5.03357553],[-0.43945348 -0.13136975],"[[  2.78301267   3.12150327  -0.17232309   0.08850222]
 [ 22.96759738  26.66755465   0.           0.        ]]"
