timestep,rewards,obs,actions,original_rewards,avg_action_dist,logstd_action_dist,human_obs
0,-1.168,"[ 1.15154345  2.45808067  0.05479631 -0.813558   -0.56986921  0.56937816
 -0.23810068 -0.3658223   1.87622011 -0.47106418  0.        ]",[ 2.32560307  4.07214   ],-0.279070045364,[ 1.38920379  4.41529894],[-0.22698203 -0.1219492 ],"[[ 0.08307145 -0.01094705 -0.06537814  0.06515297]
 [-0.00465491  0.0020634   0.          0.        ]]"
1,-1.18324,"[ 1.14589331  2.4575401   0.11336647 -0.66321782 -0.56986858  0.56937753
 -0.12570348  0.14547458  1.86583238 -0.3665489   0.        ]",[ 1.05479759  4.0251353 ],-0.275771377661,[ 1.45218122  4.23938036],[-0.22698203 -0.1219492 ],"[[ 0.12265433  0.02880621 -0.06537814  0.06515297]
 [ 3.94978251  3.96007593  0.          0.        ]]"
2,-1.17715,"[ 1.11632093  2.44216795  0.28575758 -0.21841639 -0.56986795  0.5693769
 -0.01552707  0.64665107  1.79790803 -0.063379    0.        ]",[ 0.41626407  5.2108374 ],-0.264346122181,[ 1.46553743  3.96603918],[-0.22698203 -0.1219492 ],"[[ 0.24054182  0.14693373 -0.06537814  0.06515297]
 [ 7.82608679  7.83974709  0.          0.        ]]"
3,-1.30865,"[ 1.04003183  2.37233156  0.52710136  0.49591318 -0.56986732  0.56937628
  0.0268445   1.13801639  1.59357825  0.35093425  0.        ]",[ 0.25436243  2.24991889],-0.242453995771,[ 1.40357625  3.58300114],[-0.22698203 -0.1219492 ],"[[  0.41201983   0.34189285  -0.06537814   0.06515297]
 [  9.31683281  11.64347796   0.           0.        ]]"
4,-1.14138,"[ 0.90839726  2.18892413  0.7794269   1.40128235 -0.56986669  0.56937565
  0.05019472  1.61967145  1.20412181  0.72349729  0.        ]",[ 1.38322396  3.59347327],-0.208431623253,[ 1.08882737  3.24564958],[-0.22698203 -0.1219492 ],"[[  0.60659736   0.6121727   -0.06537814   0.06515297]
 [ 10.13835708  15.37206249   0.           0.        ]]"
5,-1.04613,"[ 0.68688151  1.83043975  1.04609758  2.31808247 -0.56986606  0.56937502
  0.1569753   2.09163261  0.60781642  0.90356125  0.        ]",[ 0.12311887  2.62339168],-0.157913392937,[ 0.73949975  3.02656698],[-0.22698203 -0.1219492 ],"[[  0.84705382   0.95627188  -0.06537814   0.06515297]
 [ 13.89518221  19.02564501   0.           0.        ]]"
6,-0.878258,"[ 0.36318586  1.2674556   1.27496188  2.93607197 -0.56986544  0.56937439
  0.16309655  2.5543504  -0.04004529  0.68952675  0.        ]",[-0.83313054  3.41624325],-0.0932248590802,[ 0.15676193  2.83227873],[-0.22698203 -0.1219492 ],"[[  1.12711479   1.37272531  -0.06537814   0.06515297]
 [ 14.11054884  22.60773492   0.           0.        ]]"
7,-0.755568,"[ 0.03905904  0.552849    1.39013274  2.85280494 -0.56986481  0.56937377
  0.06157097  3.00799328 -0.37687987  0.12381107  0.        ]",[ 1.13213274  3.51019377],-0.0335080420038,[-0.24419801  2.86948061],[-0.22698203 -0.1219492 ],"[[  1.3734877    1.86011632  -0.06537814   0.06515297]
 [ 10.53862043  26.11966177   0.           0.        ]]"
8,-0.807207,"[-0.30439713 -0.13421101  1.41704828  1.73464897 -0.56986418  0.56937314
  0.16829932  3.45254988 -0.25479339 -0.49047311  0.        ]",[ 0.86177338  2.54076631],-0.0519415949137,[-0.52403438  3.09640932],[-0.22698203 -0.1219492 ],"[[  1.62193338   2.41704087  -0.06537814   0.06515297]
 [ 14.29359922  29.56136579   0.           0.        ]]"
9,-0.745131,"[-0.73387797 -0.49925265  1.31915325 -0.39655742 -0.56986355  0.56937251
  0.25732158  3.12245478  0.24902775 -0.7114204   0.        ]",[-1.19736425  3.20790149],-0.0974823563578,[-0.5055179   3.32901573],[-0.22698203 -0.1219492 ],"[[  1.93923856   3.04211951  -0.06537814   0.06515297]
 [ 17.42563366  27.00621564   0.           0.        ]]"
10,-0.614089,"[-1.10042364 -0.5007977   1.09391483 -1.10589379 -0.56986292  0.56937188
  0.13494631 -0.45101156  0.40934891 -0.60978825  0.        ]",[-0.61722793  2.65594937],-0.103405852593,[ 0.26433909  3.15172815],[-0.22698203 -0.1219492 ],"[[  2.24455036   3.22994721  -0.06537814   0.06515297]
 [ 13.12017216  -0.65727894   0.           0.        ]]"
11,-0.693748,"[-1.3296977  -0.50616589  0.84551597 -0.86148512 -0.56986229  0.56937125
  0.05809928 -0.90103741  0.37269809 -0.63740998  0.        ]",[-1.49251121  1.77680792],-0.101916659825,[ 0.19729681  3.18510866],[-0.22698203 -0.1219492 ],"[[  2.47982632   3.16521325  -0.06537814   0.06515297]
 [ 10.41650728  -4.14109942   0.           0.        ]]"
12,-0.626066,"[-1.45608861 -0.50476455  0.6383196  -0.58508666 -0.56986166  0.56937063
 -0.06029685 -0.74850274  0.3461666  -0.68389587  0.        ]",[-0.47229677  3.59853741],-0.103321809683,[ 0.07456166  3.2067914 ],[-0.22698203 -0.1219492 ],"[[ 2.64636293  3.09211138 -0.06537814  0.06515297]
 [ 6.25104301 -2.96028206  0.          0.        ]]"
13,-0.67941,"[-1.51857737 -0.49995832  0.49721664 -0.41510999 -0.56986104  0.56937
 -0.11696315 -0.57524221  0.33654987 -0.71533243  0.        ]",[-0.31486001  3.09565289],-0.105234126974,[-0.00480393  3.22896528],[-0.22698203 -0.1219492 ],"[[ 2.75138078  3.04704915 -0.06537814  0.06515297]
 [ 4.25738351 -1.61901641  0.          0.        ]]"
14,-0.581571,"[-1.55318127 -0.4963001   0.3970669  -0.32755082 -0.56986041  0.56936937
 -0.15479083 -0.46831813  0.33564389 -0.73154968  0.        ]",[ 0.62220877  5.17626501],-0.10661950129,[-0.0456988   3.23827028],[-0.22698203 -0.1219492 ],"[[ 2.82317541  3.02376699 -0.06537814  0.06515297]
 [ 2.92651167 -0.79128363  0.          0.        ]]"
15,-0.747961,"[-1.58459347 -0.49428586  0.27881264 -0.28610736 -0.56985978  0.56936874
 -0.08641586 -0.41304692  0.34175651 -0.73728282  0.        ]",[-1.68988336  2.50778265],-0.107674460616,[-0.06191306  3.24172401],[-0.22698203 -0.1219492 ],"[[ 2.90584172  3.0127255  -0.06537814  0.06515297]
 [ 5.33210019 -0.36341345  0.          0.        ]]"
16,-0.733945,"[-1.60302107 -0.49331891  0.18286421 -0.26744318 -0.56985915  0.56936812
 -0.20195217 -0.3868284   0.34831919 -0.7382823   0.        ]",[-0.1537223   2.96009356],-0.108340923513,[-0.06997484  3.23368216],[-0.22698203 -0.1219492 ],"[[ 2.97169988  3.00774789 -0.06537814  0.06515297]
 [ 1.26726044 -0.1604499   0.          0.        ]]"
17,-0.709324,"[-1.60723036 -0.49288568  0.15498112 -0.25931011 -0.56985852  0.56936749
 -0.2199643  -0.37500599  0.35009255 -0.73913199  0.        ]",[ 0.68909934  3.45252333],-0.108573910341,[-0.07149213  3.2317214 ],[-0.22698203 -0.1219492 ],"[[ 2.99068683  3.00557786 -0.06537814  0.06515297]
 [ 0.63354584 -0.06893145  0.          0.        ]]"
18,-0.707127,"[-1.61446858 -0.49269886  0.09610708 -0.25584847 -0.56985789  0.56936686
 -0.14277174 -0.36985092  0.35470179 -0.73763636  0.        ]",[-1.27948664  3.6848178 ],-0.108846739327,[-0.06434759  3.22878075],[-0.22698203 -0.1219492 ],"[[ 3.03060629  3.00465407 -0.06537814  0.06515297]
 [ 3.34934951 -0.02902715  0.          0.        ]]"
19,-0.755942,"[-1.61806852 -0.49262005  0.05672987 -0.25440044 -0.56985726  0.56936623
 -0.25719277 -0.36765686  0.35780278 -0.73632737  0.        ]",[-0.2446641  2.888879 ],-0.109004945389,[-0.06088631  3.22010732],[-0.22698203 -0.1219492 ],"[[ 3.05720318  3.00426765 -0.06537814  0.06515297]
 [-0.67624469 -0.01204487  0.          0.        ]]"
20,-0.717401,"[-1.61498719 -0.49258716  0.09095034 -0.25380283 -0.56985664  0.5693656
 -0.2843457  -0.3667382   0.35501232 -0.73790026  0.        ]",[ 0.58144639  3.4807088 ],-0.108898193574,[-0.06576146  3.22311902],[-0.22698203 -0.1219492 ],"[[ 3.03409337  3.0041082  -0.06537814  0.06515297]
 [-1.63155317 -0.00493597  0.          0.        ]]"
21,-0.725135,"[-1.61355068 -0.49257344  0.10456423 -0.25355899 -0.56985601  0.56936498
 -0.21799332 -0.36635871  0.3538889  -0.73850813  0.        ]",[-0.62318065  3.34030969],-0.108853424428,[-0.06860869  3.22756195],[-0.22698203 -0.1219492 ],"[[  3.02488424e+00   3.00404317e+00  -6.53781394e-02   6.51529666e-02]
 [  7.02860558e-01  -2.00085023e-03   0.00000000e+00   0.00000000e+00]]"
22,-0.671423,"[-1.61171101 -0.49256758  0.1205674  -0.25346014 -0.56985538  0.56936435
 -0.28851938 -0.36620437  0.3525749  -0.73916315  0.        ]",[-1.0312572   4.31840146],-0.10879629977,[-0.06889114  3.22623348],[-0.22698203 -0.1219492 ],"[[  3.01404609e+00   3.00401685e+00  -6.53781394e-02   6.51529666e-02]
 [ -1.77840617e+00  -8.08770042e-04   0.00000000e+00   0.00000000e+00]]"
23,-0.670375,"[-1.59460309 -0.49256491  0.23051175 -0.25342011 -0.56985475  0.56936372
 -0.40005532 -0.36614166  0.34334949 -0.74312344  0.        ]",[ 0.51712669  4.081953  ],-0.108345133934,[-0.06229303  3.23025322],[-0.22698203 -0.1219492 ],"[[  2.93910637e+00   3.00400622e+00  -6.53781394e-02   6.51529666e-02]
 [ -5.70248960e+00  -3.25965172e-04   0.00000000e+00   0.00000000e+00]]"
24,-0.691975,"[-1.5630156  -0.49256355  0.36365855 -0.25340415 -0.56985412  0.56936309
 -0.33865037 -0.36611543  0.33164675 -0.74693453  0.        ]",[ 0.40265316  3.39682583],-0.107681510281,[-0.05812154  3.23902059],[-0.22698203 -0.1219492 ],"[[  2.84673200e+00   3.00400202e+00  -6.53781394e-02   6.51529666e-02]
 [ -3.54214626e+00  -1.25608692e-04   0.00000000e+00   0.00000000e+00]]"
25,-0.758538,"[-1.53920747 -0.49256271  0.44005864 -0.25339785 -0.56985349  0.56936247
 -0.29134354 -0.36610514  0.3246579  -0.74860787  0.        ]",[-0.34050703  2.03695252],-0.107239127221,[-0.0523833   3.24216032],[-0.22698203 -0.1219492 ],"[[  2.79258796e+00   3.00400040e+00  -6.53781394e-02   6.51529666e-02]
 [ -1.87780390e+00  -4.86015810e-05   0.00000000e+00   0.00000000e+00]]"
26,-0.70631,"[-1.51343699 -0.49256206  0.5102647  -0.25339514 -0.56985286  0.56936184
 -0.32860635 -0.36610125  0.31804832 -0.74979411  0.        ]",[ 0.91215326  2.85729497],-0.106789909725,[-0.03056144  3.23899102],[-0.22698203 -0.1219492 ],"[[  2.74187828e+00   3.00399974e+00  -6.53781394e-02   6.51529666e-02]
 [ -3.18879597e+00  -2.11782670e-05   0.00000000e+00   0.00000000e+00]]"
27,-0.686557,"[-1.49841989 -0.49256151  0.54692383 -0.25339407 -0.56985224  0.56936121
 -0.22416056 -0.36609881  0.31451765 -0.75027312  0.        ]",[ 0.89296911  3.11429662],-0.10653781348,[-0.03757067  3.24326468],[-0.22698203 -0.1219492 ],"[[  2.71497087e+00   3.00399951e+00  -6.53781394e-02   6.51529666e-02]
 [  4.85809748e-01  -4.95239748e-06   0.00000000e+00   0.00000000e+00]]"
28,-0.754886,"[-1.52305106 -0.49256099  0.48524814 -0.25339366 -0.56985161  0.56936058
 -0.12394137 -0.36609795  0.32042187 -0.74940963  0.        ]",[ 0.88119353  1.9429099 ],-0.106954724814,[-0.05928798  3.24960279],[-0.22698203 -0.1219492 ],"[[  2.76006362e+00   3.00399946e+00  -6.53781394e-02   6.51529666e-02]
 [  4.01171573e+00  -9.92436831e-07   0.00000000e+00   0.00000000e+00]]"
29,-0.620624,"[-1.57369641 -0.49256048  0.32395845 -0.25339339 -0.56985098  0.56935996
 -0.02703135 -0.36609755  0.33519399 -0.74591265  0.        ]",[-0.7038124   4.68095742],-0.107893351825,[-0.07086639  3.25064659],[-0.22698203 -0.1219492 ],"[[  2.87450639e+00   3.00399945e+00  -6.53781394e-02   6.51529666e-02]
 [  7.42119836e+00  -5.34880336e-07   0.00000000e+00   0.00000000e+00]]"
30,-0.779143,"[-1.60775217 -0.49255995  0.15084207 -0.25339286 -0.56985035  0.56935933
 -0.11041245 -0.36609781  0.350067   -0.74032975  0.        ]",[-1.19069154  2.25062986],-0.108681262824,[-0.06904312  3.23589969],[-0.22698203 -0.1219492 ],"[[  2.99349749e+00   3.00399937e+00  -6.53781394e-02   6.51529666e-02]
 [  4.48768788e+00  -5.21920607e-06   0.00000000e+00   0.00000000e+00]]"
31,-0.759792,"[-1.61615997 -0.49255942  0.07830599 -0.25339225 -0.56984972  0.5693587
 -0.22547513 -0.36609735  0.35601336 -0.73746263  0.        ]",[ 1.08842107  2.71669962],-0.108948961567,[-0.06460012  3.22417402],[-0.22698203 -0.1219492 ],"[[  3.04263505e+00   3.00399926e+00  -6.53781394e-02   6.51529666e-02]
 [  4.39558023e-01  -4.34633993e-06   0.00000000e+00   0.00000000e+00]]"
32,-0.743598,"[-1.62118008 -0.49255891  0.00646834 -0.25339212 -0.56984909  0.56935807
 -0.11318457 -0.36609595  0.36173751 -0.7343278   0.        ]",[-0.64766578  3.19542382],-0.109179068724,[-0.04817424  3.21824074],[-0.22698203 -0.1219492 ],"[[  3.09106374e+00   3.00399929e+00  -6.53781394e-02   6.51529666e-02]
 [  4.39014591e+00   3.83282778e-06   0.00000000e+00   0.00000000e+00]]"
33,-0.726036,"[-1.62286965 -0.49255841 -0.08454839 -0.2533919  -0.56984847  0.56935744
 -0.18854164 -0.36609633  0.36877139 -0.72993091  0.        ]",[-0.92660607  3.76840207],-0.109422036918,[-0.02963397  3.20139623],[-0.22698203 -0.1219492 ],"[[  3.15226625e+00   3.00399929e+00  -6.53781394e-02   6.51529666e-02]
 [  1.73894024e+00  -1.83568558e-06   0.00000000e+00   0.00000000e+00]]"
34,-0.781132,"[-1.62289605 -0.49255789 -0.08101398 -0.25339148 -0.56984784  0.56935682
 -0.29379823 -0.36609609  0.36850322 -0.73010907  0.        ]",[-0.2361254   2.77214546],-0.109413638315,[-0.03309572  3.19841838],[-0.22698203 -0.1219492 ],"[[  3.14989038e+00   3.00399924e+00  -6.53781394e-02   6.51529666e-02]
 [ -1.96418637e+00  -2.63888694e-06   0.00000000e+00   0.00000000e+00]]"
35,-0.674681,"[-1.62182876 -0.49255737 -0.00921463 -0.25339121 -0.56984721  0.56935619
 -0.3192658  -0.36609534  0.36296838 -0.73359998  0.        ]",[ 1.38878187  4.50060102],-0.109224886099,[-0.04795154  3.20856857],[-0.22698203 -0.1219492 ],"[[  3.10161674e+00   3.00399923e+00  -6.53781394e-02   6.51529666e-02]
 [ -2.86019130e+00   4.94657512e-07   0.00000000e+00   0.00000000e+00]]"
36,-0.731554,"[-1.62068617 -0.49255688  0.01591342 -0.25339125 -0.56984658  0.56935556
 -0.20511807 -0.36609445  0.36099199 -0.73475314  0.        ]",[ 0.54527485  3.36721705],-0.109150746419,[-0.0523604  3.2164712],[-0.22698203 -0.1219492 ],"[[  3.08470586e+00   3.00399930e+00  -6.53781394e-02   6.51529666e-02]
 [  1.15571990e+00   4.71343421e-06   0.00000000e+00   0.00000000e+00]]"
37,-0.821336,"[-1.62282337 -0.49255638 -0.050311   -0.25339126 -0.56984595  0.56935493
 -0.14440399 -0.36609448  0.36615256 -0.73163645  0.        ]",[-0.1782271  1.9110693],-0.109336973966,[-0.03661388  3.20851231],[-0.22698203 -0.1219492 ],"[[  3.12925166e+00   3.00399936e+00  -6.53781394e-02   6.51529666e-02]
 [  3.29174178e+00   1.82584118e-06   0.00000000e+00   0.00000000e+00]]"
38,-0.713595,"[-1.6214696  -0.49255587 -0.13672205 -0.253391   -0.56984532  0.56935431
 -0.16631347 -0.36609458  0.37268527 -0.72719667  0.        ]",[ 1.22463914  4.0340656 ],-0.109536788192,[-0.01582728  3.19298482],[-0.22698203 -0.1219492 ],"[[  3.18735263e+00   3.00399935e+00  -6.53781394e-02   6.51529666e-02]
 [  2.52092427e+00  -1.63039489e-06   0.00000000e+00   0.00000000e+00]]"
39,-0.825743,"[-1.61020014 -0.49255536 -0.26948983 -0.25339085 -0.56984469  0.56935368
 -0.0551935  -0.36609376  0.3822724  -0.71955101  0.        ]",[ 0.19996601  2.12730576],-0.109748465862,[ 0.0366133   3.16793251],[-0.22698203 -0.1219492 ],"[[  3.27699524e+00   3.00399937e+00  -6.53781394e-02   6.51529666e-02]
 [  6.43030850e+00   2.05901889e-06   0.00000000e+00   0.00000000e+00]]"
40,-0.793912,"[-1.5723188  -0.49255485 -0.46644726 -0.25339062 -0.56984407  0.56935305
 -0.03630788 -0.36609382  0.39547189 -0.70629971  0.        ]",[ 0.64241395  3.16292984],-0.10984450002,[ 0.11938048  3.12188911],[-0.22698203 -0.1219492 ],"[[  3.41226781e+00   3.00399937e+00  -6.53781394e-02   6.51529666e-02]
 [  7.09473458e+00  -1.10103902e-06   0.00000000e+00   0.00000000e+00]]"
41,-0.75905,"[-1.49250766 -0.49255434 -0.69785733 -0.25339037 -0.56984344  0.56935242
  0.0319963  -0.36609334  0.40926448 -0.68755393  0.        ]",[ 0.72490549  4.27301851],-0.109594145618,[ 0.23520011  3.05537558],[-0.22698203 -0.1219492 ],"[[  3.57827311e+00   3.00399936e+00  -6.53781394e-02   6.51529666e-02]
 [  9.49778689e+00  -4.54028541e-08   0.00000000e+00   0.00000000e+00]]"
42,-0.890465,"[-1.33654788 -0.49255383 -0.97318372 -0.25339014 -0.56984281  0.56935179
  0.10823179 -0.36609302  0.42271432 -0.6597569   0.        ]",[-0.21046051  1.80630803],-0.108663589314,[ 0.40983701  2.95159364],[-0.22698203 -0.1219492 ],"[[  3.79513911e+00   3.00399936e+00  -6.53781394e-02   6.51529666e-02]
 [  1.21798752e+01  -2.85967754e-07   0.00000000e+00   0.00000000e+00]]"
