timestep,obs,rewards,actions,original_rewards,avg_action_dist,logstd_action_dist,human_obs
0,"[ 1.41161353  2.69587973 -0.38696951 -0.84739973 -0.34862918  1.30919177
 -0.20446843 -0.37110475  1.76838051 -1.38386607  0.        ]",-1.06012,[  3.15578809  11.11380416],-0.298107521292,[  2.83462214  10.4642477 ],[-0.88014543 -0.22276916],"[[-0.04715156 -0.00083547 -0.04061425  0.15181151]
 [ 0.00172241  0.00032409  0.          0.        ]]"
1,"[ 1.41310682  2.69468566 -0.32647747 -0.67364194 -0.3486291   1.30919105
 -0.11851078  0.12725577  1.76976732 -1.27790002  0.        ]",-1.06244,[  2.63237877  10.88848232],-0.291565861654,[  3.05464029  10.18840599],[-0.88014543 -0.22276916],"[[-0.00744239  0.03888334 -0.04061425  0.15181151]
 [ 3.95603456  3.95837094  0.          0.        ]]"
2,"[ 1.40472506  2.67651171 -0.14696629 -0.1596652  -0.34862902  1.30919034
 -0.03425139  0.61575205  1.73546144 -0.96579457  0.        ]",-1.0173,[  2.74680666  10.95793216],-0.270255813149,[ 3.35883021  9.76955414],[-0.88014543 -0.22276916],"[[ 0.11056895  0.1569771  -0.04061425  0.15181151]
 [ 7.83222207  7.83807504  0.          0.        ]]"
3,"[ 1.34937197  2.59938351  0.14301581  0.66448181 -0.34862894  1.30918962
  0.04834945  1.09457194  1.55868266 -0.48889098  0.        ]",-0.935653,[ 4.27303981  9.80447264],-0.229650273653,[ 3.51399636  9.10601425],[-0.88014543 -0.22276916],"[[  0.30533775   0.35189404  -0.04061425   0.15181151]
 [ 11.6321113   11.64093001   0.           0.        ]]"
4,"[ 1.19116684  2.40087892  0.51415215  1.70624616 -0.34862886  1.3091889
  0.12933902  1.56388983  1.10978903  0.00825009  0.        ]",-0.755657,[ 2.73720197  9.38564791],-0.164713104435,[ 3.09003091  8.16359711],[-0.88014543 -0.22276916],"[[  0.57535916   0.62211125  -0.04061425   0.15181151]
 [ 15.35787713  15.36832381   0.           0.        ]]"
5,"[ 0.87058845  2.01643738  0.89663458  2.75616903 -0.34862879  1.30918818
  0.20877197  2.0238681   0.36164597  0.23589888  0.        ]",-0.63368,[ 0.99927133  7.85576957],-0.0745946252414,[ 0.56509197  7.23936844],[-0.88014543 -0.22276916],"[[  0.91917543   0.96613255  -0.04061425   0.15181151]
 [ 19.01203379  19.02155003   0.           0.        ]]"
6,"[ 0.3560552   1.41609566  1.16686041  3.45465888 -0.34862871  1.30918746
  0.28664     2.47466954 -0.43384775 -0.1115828   0.        ]",-0.607598,[-1.41611357  7.40696106],-0.0375070047842,[-1.30203974  6.39173603],[-0.88014543 -0.22276916],"[[  1.33535104   1.38248741  -0.04061425   0.15181151]
 [ 22.59419957  22.60190663   0.           0.        ]]"
7,"[-0.20195116  0.65762182  1.18633902  3.33791549 -0.34862863  1.30918674
  0.1910255   2.91674008 -0.72739538 -0.89513411  0.        ]",-0.749924,[-1.67417683  6.13256085],-0.127333841579,[-1.12244654  6.23302889],[-0.88014543 -0.22276916],"[[  1.74310349   1.86975234  -0.04061425   0.15181151]
 [ 18.19564846  26.11294102   0.           0.        ]]"
8,"[-0.61800709 -0.06750085  1.02745379  2.02523066 -0.34862855  1.30918603
  0.09727389  3.35010262 -0.39247584 -1.46076322  0.        ]",-0.973209,[-1.66897301  7.0556517 ],-0.173792882986,[-1.61571813  6.8092618 ],[-0.88014543 -0.22276916],"[[  2.06374838   2.42654422  -0.04061425   0.15181151]
 [ 13.88279541  29.55484165   0.           0.        ]]"
9,"[-0.88309381 -0.44677241  0.82240481 -0.4500285  -0.34862847  1.30918531
  0.00529583  3.02360882  0.14923385 -1.41497899  0.        ]",-0.87416,[-2.2255458   8.84295807],-0.170197285067,[-2.56890106  7.33739614],[-0.88014543 -0.22276916],"[[  2.29896081   3.05149404  -0.04061425   0.15181151]
 [  9.65153154  26.96181934   0.           0.        ]]"
