timestep,rewards,obs,actions,original_rewards,avg_action_dist,logstd_action_dist,human_obs
0,-1.03742,"[ 1.26155799  2.76972108 -0.1883317  -0.96187143 -1.37008887  0.7332736
 -0.2742198  -0.37433976  2.68033472 -0.80442592  0.        ]",[ 1.51705266  6.84552424],-0.378143230737,[ 2.60880041  7.08907747],[-0.43513906 -0.13966081],"[[-0.00523475 -0.01997737 -0.15807061  0.08355435]
 [-0.00194956 -0.00254005  0.          0.        ]]"
1,-0.944634,"[ 1.26075064  2.76971835 -0.12998479 -0.78032583 -1.37008689  0.73327303
 -0.18707274  0.12386284  2.67890827 -0.69681888  0.        ]",[ 2.74120017  8.85044435],-0.375254518946,[ 2.69758892  6.9305563 ],[-0.43513906 -0.13966081],"[[ 0.03440171  0.01968473 -0.15807061  0.08355435]
 [ 3.95243375  3.95556386  0.          0.        ]]"
2,-1.16031,"[ 1.24542893  2.75482461  0.04280203 -0.24198035 -1.37008491  0.73327247
 -0.10164769  0.61220443  2.63620924 -0.38062773  0.        ]",[ 3.21161673  5.2214217 ],-0.364194971316,[ 2.74654078  6.68648005],[-0.43513906 -0.13966081],"[[ 0.15234164  0.13772292 -0.15807061  0.08355435]
 [ 7.82867947  7.83532521  0.          0.        ]]"
3,-1.16382,"[ 1.17846599  2.68208221  0.3201291   0.62409967 -1.37008294  0.7332719
 -0.01790462  1.09087262  2.44601305  0.0990419   0.        ]",[ 3.07216481  6.20498226],-0.338238273607,[ 2.70830107  6.29727697],[-0.43513906 -0.13966081],"[[  0.34703999   0.33258544  -0.15807061   0.08355435]
 [ 11.62860403  11.6382387    0.           0.        ]]"
4,-1.09547,"[ 1.0045462   2.48725405  0.67122645  1.72464926 -1.37008096  0.73327134
  0.0642043   1.56004123  1.98145079  0.59139094  0.        ]",[ 3.13045183  5.21710189],-0.288109946649,[ 2.33255649  5.71448278],[-0.43513906 -0.13966081],"[[  0.61699137   0.60274942  -0.15807061   0.08355435]
 [ 15.35437686  15.36569247   0.           0.        ]]"
5,-0.878852,"[ 0.66620723  2.10308487  1.02609586  2.84428255 -1.37007898  0.73327077
  0.14473457  2.01987155  1.22190863  0.80053379  0.        ]",[ 2.17352149  5.68951216],-0.206162582238,[ 1.72579515  5.10751057],[-0.43513906 -0.13966081],"[[  0.9607375    0.94671869  -0.15807061   0.08355435]
 [ 19.00851734  19.01897788   0.           0.        ]]"
6,-0.604527,"[ 0.13619528  1.49648065  1.26407933  3.60866697 -1.370077    0.7332702
  0.22374186  2.47052444  0.42769449  0.42153567  0.        ]",[ 0.05483291  5.52976242],-0.0954305196838,[ 1.11559629  4.6849966 ],[-0.43513906 -0.13966081],"[[  1.37687153   1.36302264  -0.15807061   0.08355435]
 [ 22.59355127  22.5993854    0.           0.        ]]"
7,-0.594364,"[-0.48503035  0.72297421  1.24380489  3.52954253 -1.37007503  0.73326964
  0.21881815  2.91231352  0.13490203 -0.43136457  0.        ]",[ 0.78125264  4.7577746 ],-0.0574125221821,[ 0.84593171  4.51822662],[-0.43513906 -0.13966081],"[[  1.82649835   1.8502276   -0.15807061   0.08355435]
 [ 22.37013871  26.10942101   0.           0.        ]]"
8,-0.798252,"[-1.06183306 -0.02511686  0.91672423  2.19803141 -1.37007305  0.73326907
  0.27737754  3.3453399   0.54158721 -1.07747606  0.        ]",[ 0.79045747  3.5052367 ],-0.149737362795,[ 0.84920329  4.90029716],[-0.43513906 -0.13966081],"[[  2.30056147   2.40693462  -0.15807061   0.08355435]
 [ 25.0273293   29.54990408   0.           0.        ]]"
9,-0.667979,"[-1.45830511 -0.42931177  0.27411584 -0.36875325 -1.37007107  0.73326851
  0.33552335  3.02931937  1.09997409 -0.89826258  0.        ]",[ 1.59443315  5.19619818],-0.190338236064,[ 1.12478292  4.88313389],[-0.43513906 -0.13966081],"[[  2.82759123   3.03177664  -0.15807061   0.08355435]
 [ 27.66575375  27.039285     0.           0.        ]]"
