timestep,rewards,obs,actions,original_rewards,avg_action_dist,logstd_action_dist,human_obs
0,-0.507436,"[ 1.37248972  2.68033677 -0.37310925 -0.91028925  1.58342918 -0.31626945
 -0.21379294 -0.37037438  0.04775624  0.1320666   0.        ]",[-1.67010489  7.25026966],-0.0337964326762,[-1.14239728  7.4083333 ],[-0.80422318 -0.18869147],"[[-0.06388405 -0.01714888  0.18339482 -0.03683102]
 [-0.00225107  0.00321942  0.          0.        ]]"
1,-0.524077,"[ 1.36789985  2.68015955 -0.43275129 -0.73806325  1.58342785 -0.31626937
 -0.29960159  0.12900475  0.04521042  0.0992227   0.        ]",[-0.06286228  7.45005776],-0.0311501428233,[-0.80630642  7.15109968],[-0.80422318 -0.18869147],"[[-0.10363457  0.02265816  0.18339482 -0.03683102]
 [-3.95961955  3.96427764  0.          0.        ]]"
2,-0.546385,"[ 1.35186903  2.66501698 -0.55329919 -0.22852461  1.58342652 -0.31626929
 -0.30332802  0.61831139  0.03825833  0.0667109   0.        ]",[-0.40093958  6.51819246],-0.0283232557986,[-0.47057208  6.77651644],[-0.80422318 -0.18869147],"[[-0.18455136  0.14088471  0.18339482 -0.03683102]
 [-4.13148074  7.84544158  0.          0.        ]]"
3,-0.523304,"[ 1.32068284  2.59286223 -0.69642373  0.59038894  1.5834252  -0.3162692
 -0.33597903  1.09799205  0.02051359  0.07668037  0.        ]",[-1.17228135  8.44681666],-0.0269643846904,[-0.42444173  6.3866148 ],[-0.80422318 -0.18869147],"[[ -0.28228937   0.33596859   0.18339482  -0.03683102]
 [ -5.63729945  11.65025512   0.           0.        ]]"
4,-0.556781,"[ 1.24758382  2.40090069 -0.90965206  1.62981858  1.58342387 -0.31626912
 -0.41937209  1.56826763 -0.03146691  0.06713087  0.        ]",[-0.39854825  6.79431639],-0.0208649294956,[-0.49812618  5.86071634],[-0.80422318 -0.18869147],"[[ -0.4336227    0.60640071   0.18339482  -0.03683102]
 [ -9.48326378  15.38047371   0.           0.        ]]"
5,-0.549095,"[ 1.10446784  2.02356299 -1.17289121  2.68512402  1.58342254 -0.31626904
 -0.44952386  2.02908704 -0.13957519  0.04654301  0.        ]",[-0.83239793  5.54661188],-0.0113657841577,[-0.66088355  5.04807425],[-0.80422318 -0.18869147],"[[ -0.63723991   0.9506847    0.18339482  -0.03683102]
 [-10.87382268  19.03569696   0.           0.        ]]"
6,-0.520884,"[ 0.86858983  1.4289972  -1.44291745  3.40146982  1.58342121 -0.31626896
 -0.51630488  2.48078653 -0.32561606  0.03919816  0.        ]",[-1.05663399  4.31069472],-0.0248920917485,[-0.80188149  4.15102196],[-0.80422318 -0.18869147],"[[ -0.88561649   1.36734821   0.18339482  -0.03683102]
 [-13.95366649  22.61859801   0.           0.        ]]"
7,-0.554463,"[ 0.49325921  0.67238676 -1.68132272  3.31718739  1.58341989 -0.31626887
 -0.59616138  2.92345788 -0.61199386  0.03972088  0.        ]",[-1.52378817  4.76579408],-0.0608623828531,[-0.94059205  3.81144667],[-0.80422318 -0.18869147],"[[ -1.20163967   1.8549518    0.18339482  -0.03683102]
 [-17.63653185  26.12991167   0.           0.        ]]"
8,-0.686366,"[-0.03199912 -0.05717674 -1.78246782  2.04774899  1.58341856 -0.31626879
 -0.67445353  3.3572754  -0.99928464  0.09754056  0.        ]",[-1.4008009   2.56708485],-0.111808317844,[-1.4043771   3.78532839],[-0.80422318 -0.18869147],"[[ -1.59059698   2.41207654   0.18339482  -0.03683102]
 [-21.24725293  29.57102835   0.           0.        ]]"
9,-0.737545,"[-0.64223544 -0.44783555 -1.61242112 -0.38582966  1.58341723 -0.31626871
 -0.75120104  3.037364   -1.44766527  0.28442732  0.        ]",[-3.60282498  5.03598273],-0.173541898579,[-3.02199364  4.75244141],[-0.80422318 -0.18869147],"[[ -2.05105329   3.03733979   0.18339482  -0.03683102]
 [-24.78673975  27.03354527   0.           0.        ]]"
