timestep,human_obs,avg_action_dist,original_rewards,logstd_action_dist,rewards,obs,actions
0,"[[-0.02212838  0.08030617  0.09363235  0.00109524]
 [ 0.00067895  0.00475617  0.          0.        ]]",[-0.64126527  3.00049973],-0.116198105251,[ 0.09861919 -0.07302272],-0.670694,"[ 1.16724653  2.49638504 -0.06227225 -0.47630671  0.80791819  0.01519151
  0.61455866 -0.34005486  0.6791912  -0.04758577  0.        ]",[ 1.72715013  3.56139462]
1,"[[  1.75602481e-02   1.20112763e-01   9.36323497e-02   1.09524361e-03]
 [  3.95502838e+00   3.96271709e+00   0.00000000e+00   0.00000000e+00]]",[-1.77715945  3.12008953],-0.116382814975,[ 0.09861919 -0.07302272],-0.477175,"[ 1.16737182  2.49040398 -0.0034746  -0.32640685  0.80791792  0.01519151
  0.74128138  0.1363304   0.67275172  0.06677231  0.        ]",[-1.61762565  3.9934054 ]
2,"[[  5.61705448e-02   2.38323395e-01   9.36323497e-02   1.09524361e-03]
 [ -8.05535569e-02   7.84539935e+00   0.00000000e+00   0.00000000e+00]]",[-2.17273498  3.29405117],-0.117281767673,[ 0.09861919 -0.07302272],-0.560413,"[ 1.16539554  2.45878769  0.05368702  0.1135908   0.80791765  0.01519151
  0.61195503  0.60365497  0.64351057  0.25367584  0.        ]",[-1.28872529  3.21062612]
3,"[[  1.48704338e-02   4.33415832e-01   9.36323497e-02   1.09524361e-03]
 [ -4.03628832e+00   1.16511418e+01   0.00000000e+00   0.00000000e+00]]",[-2.34451437  3.31067133],-0.115923848609,[ 0.09861919 -0.07302272],-0.388413,"[ 1.16743125  2.36241724 -0.00745925  0.80963918  0.80791738  0.0151915
  0.48518752  1.06171874  0.59789589  0.35861967  0.        ]",[-1.9156612   4.74895649]
4,"[[ -1.04759954e-01   7.03865498e-01   9.36323497e-02   1.09524361e-03]
 [ -7.91387127e+00   1.53813436e+01   0.00000000e+00   0.00000000e+00]]",[-2.47295117  3.1851902 ],-0.109048940693,[ 0.09861919 -0.07302272],-0.568865,"[ 1.15997232  2.14447292 -0.18441612  1.66956177  0.8079171   0.0151915
  0.36092453  1.51068976  0.53065043  0.38037534  0.        ]",[-2.94829222  1.31869484]
5,"[[ -3.01175300e-01   1.04817438e+00   9.36323497e-02   1.09524361e-03]
 [ -1.17150884e+01   1.90372630e+01   0.00000000e+00   0.00000000e+00]]",[-2.90515757  2.99119949],-0.0935590585528,[ 0.09861919 -0.07302272],-0.672169,"[ 1.10508767  1.74939933 -0.46898875  2.49976198  0.80791683  0.0151915
  0.23910881  1.95071904  0.42333435  0.32169     0.        ]",[-0.54071925  2.79832658]
6,"[[ -5.54631516e-01   1.46486466e+00   9.36323497e-02   1.09524361e-03]
 [ -1.36241986e+01   2.26197482e+01   0.00000000e+00   0.00000000e+00]]",[-3.42957449  2.74456406],-0.0675387520165,[ 0.09861919 -0.07302272],-0.249146,"[ 0.95944771  1.15884511 -0.80973214  2.98377757  0.80791656  0.01519149
  0.17792847  2.38190811  0.24269857  0.22346291  0.        ]",[-4.15049007  2.73171313]
7,"[[ -8.64130871e-01   1.95249070e+00   9.36323497e-02   1.09524361e-03]
 [ -1.73135882e+01   2.61310174e+01   0.00000000e+00   0.00000000e+00]]",[-3.320544    2.77387953],-0.0301784209635,[ 0.09861919 -0.07302272],-0.370255,"[ 0.68065699  0.44098968 -1.15627394  2.73260623  0.80791629  0.01519149
  0.05969642  2.8045233  -0.03569596  0.10782744  0.        ]",[-2.73323007  2.31647726]
8,"[[ -1.24669289e+00   2.50963786e+00   9.36323497e-02   1.09524361e-03]
 [ -2.09306302e+01   2.95721846e+01   0.00000000e+00   0.00000000e+00]]",[-3.04161596  3.04524946],-0.0298252358898,[ 0.09861919 -0.07302272],-0.102192,"[ 0.22130017 -0.21104918 -1.43392842  1.45590619  0.80791601  0.01519149
 -0.05621714  3.21869797 -0.42265323  0.00526058  0.        ]",[-5.05511529  2.35648504]
9,"[[ -1.70087802e+00   3.13492580e+00   9.36323497e-02   1.09524361e-03]
 [ -2.44762316e+01   2.66280288e+01   0.00000000e+00   0.00000000e+00]]",[-2.28326702  2.99576283],-0.0920213259039,[ 0.09861919 -0.07302272],-0.29971,"[-0.40096557 -0.50091218 -1.49854587 -0.75470211  0.80791574  0.01519149
 -0.16984129  2.86433189 -0.90384073  0.00329551  0.        ]",[-3.3847195   4.98164201]
