timestep,human_obs,avg_action_dist,original_rewards,logstd_action_dist,rewards,obs,actions
0,"[[ 0.01373725 -0.09843198 -0.14460415 -0.16738668]
 [ 0.00374254  0.00090707  0.          0.        ]]",[-1.5149039   2.21965837],-0.388437719653,[-0.03875108 -0.19395696],-1.48003,"[ 1.15668944  2.25262198 -0.01116442 -1.04402204 -1.25354924 -1.45748409
  0.10530082 -0.35981019  2.39831801  1.26962476  0.        ]",[-0.96854425  2.31087904]
1,"[[-0.02464612 -0.05867124 -0.14460415 -0.16738668]
 [-3.82931053  3.96196161  0.          0.        ]]",[-1.34352863  2.27898359],-0.386931898734,[-0.03875108 -0.19395696],-1.53088,"[ 1.15639959  2.25700178 -0.06879687 -0.90939112 -1.25354602 -1.45747955
 -0.11677285  0.17038232  2.39824159  1.23892782  0.        ]",[ 0.3166572  2.4120403]
2,"[[-0.08791923  0.05950366 -0.14460415 -0.16738668]
 [-2.50241308  7.84259643  0.          0.        ]]",[-1.41221082  2.27128506],-0.3867972939,[-0.03875108 -0.19395696],-1.54163,"[ 1.15151563  2.25691884 -0.16364217 -0.50822139 -1.25354281 -1.45747501
 -0.0398969   0.6898102   2.39808666  1.23649527  0.        ]",[-1.39680242  1.41103282]
3,"[[ -0.17717624   0.25454068  -0.14460415  -0.16738668]
 [ -6.41027884  11.64840501   0.           0.        ]]",[-1.37587917  2.28027391],-0.386590310954,[-0.03875108 -0.19395696],-1.54881,"[ 1.13533818  2.2140235  -0.29645175  0.14507095 -1.25353959 -1.45747047
 -0.26630525  1.19922084  2.38729667  1.25970288  0.        ]",[-1.1315031  1.9802064]
4,"[[ -0.34381573   0.52493635  -0.14460415  -0.16738668]
 [-10.24095175  15.37868078   0.           0.        ]]",[-1.35913432  2.24742985],-0.379390137291,[-0.03875108 -0.19395696],-1.57199,"[ 1.07653338  2.06977728 -0.53795784  0.99205712 -1.25353638 -1.45746593
 -0.48824119  1.69851741  2.34489762  1.21997167  0.        ]",[-1.26389624  1.74632689]
5,"[[ -0.58631163   0.86919257  -0.14460415  -0.16738668]
 [-13.99622622  19.03465219   0.           0.        ]]",[-1.32293701  2.1672349 ],-0.362800960662,[-0.03875108 -0.19395696],-1.62606,"[ 0.92772418  1.7600842  -0.86262171  1.88418923 -1.25353316 -1.45746139
 -0.7058085   2.18786126  2.24607758  1.13058906  0.        ]",[-0.50750402  1.08526392]
6,"[[ -0.8836221    1.28582966  -0.14460415  -0.16738668]
 [-15.72909015  22.61702797   0.           0.        ]]",[-1.19299114  2.07214332],-0.336704623091,[-0.03875108 -0.19395696],-1.46977,"[ 0.6552706   1.24704069 -1.19259811  2.54945405 -1.25352995 -1.45745684
 -0.80620372  2.66734347  2.06739581  1.05046504  0.        ]",[-0.56699836  1.29270517]
7,"[[ -1.21761038   1.77339779  -0.14460415  -0.16738668]
 [-17.66333148  26.12799805   0.           0.        ]]",[-1.04458654  1.96235704],-0.302735500289,[-0.03875108 -0.19395696],-1.27976,"[ 0.25959611  0.56779369 -1.44071165  2.61694359 -1.25352673 -1.4574523
 -0.91826577  3.13725276  1.79775629  1.03759076  0.        ]",[-0.25144628  2.03376269]
8,"[[ -1.57736797   2.33048336  -0.14460415  -0.16738668]
 [-18.31017045  29.56912431   0.           0.        ]]",[-0.87915677  1.86916423],-0.265717261978,[-0.03875108 -0.19395696],-1.14306,"[-0.22385554 -0.11868071 -1.53336056  1.7525087  -1.25352352 -1.45744776
 -0.95573972  3.5977933   1.44115574  1.12938496  0.        ]",[-1.54350188  0.73311583]
9,"[[ -1.97966275   2.94510797  -0.14460415  -0.16738668]
 [-21.90731896  31.88568603   0.           0.        ]]",[-0.69052321  1.82667446],-0.235840572559,[-0.03875108 -0.19395696],-0.996768,"[-0.76016653 -0.52997167 -1.40961393 -0.04712579 -1.2535203  -1.45744322
 -1.16414428  3.90779516  1.02331657  1.32479312  0.        ]",[ 1.09100144  2.77107304]
10,"[[ -2.37374936   3.23593524  -0.14460415  -0.16738668]
 [-17.51575345   0.97906769   0.           0.        ]]",[-1.18286383  1.4592607 ],-0.23185394925,[-0.03875108 -0.19395696],-0.988039,"[-1.20161686 -0.5508044  -1.07477202 -1.03019753 -1.25351709 -1.45743868
 -0.90970944 -0.22890974  0.84327316  1.46161806  0.        ]",[-0.5615999   1.37046991]
11,"[[ -2.74289845   3.18160667  -0.14460415  -0.16738668]
 [-19.39281108  -4.24832064   0.           0.        ]]",[-1.00024581  1.40530443],-0.232191515291,[-0.03875108 -0.19395696],-0.994396,"[-1.47890264 -0.55593877 -0.61472241 -0.84610049 -1.25351388 -1.45743414
 -1.01845807 -0.92856996  0.90861955  1.4043976   0.        ]",[-0.38458293  1.42672313]
12,"[[ -3.14218013   3.10337181  -0.14460415  -0.16738668]
 [-20.53153748  -3.26082408   0.           0.        ]]",[-0.86422312  1.33927453],-0.224777913066,[-0.03875108 -0.19395696],-0.871748,"[-1.58647698 -0.5560368  -0.03089127 -0.58043202 -1.25351066 -1.4574296
 -1.08442987 -0.79639676  0.9281961   1.3011139   0.        ]",[-1.91177273  1.32310146]
