timestep,human_obs,avg_action_dist,original_rewards,logstd_action_dist,rewards,obs,actions
0,"[[ -5.47480825e-02   8.10132497e-02   1.54212768e-01   1.90429836e-01]
 [ -2.49605717e-03  -5.36558706e-05   0.00000000e+00   0.00000000e+00]]",[ 0.14083958  0.44414049],-0.200861510863,[-0.05889698 -0.09404785],-0.902816,"[ 1.08631937  1.29667298 -0.11273199 -0.14426293  1.32266398  1.58527317
 -0.35651695 -0.15675021  0.11373317 -1.34072199  0.        ]",[-1.7801826   1.76653508]
1,"[[-0.0945035   0.12075543  0.15421277  0.19042984]
 [-3.95986575  3.96106333  0.          0.        ]]",[ 0.14259791  0.44721103],-0.20459332801,[-0.05889698 -0.09404785],-0.922043,"[ 1.08221188  1.29176504 -0.17321348 -0.07178309  1.32263546  1.58522949
 -0.72238114  0.37500935  0.1118558  -1.36787586  0.        ]",[-0.60410466  2.01886053]
2,"[[-0.1969075   0.23892652  0.15421277  0.19042984]
 [-6.27283328  7.84309809  0.          0.        ]]",[ 0.1434397   0.45090383],-0.212291871302,[-0.05889698 -0.09404785],-0.995824,"[ 1.06169034  1.2659765  -0.32772871  0.14122831  1.32260694  1.58518582
 -0.93621019  0.89614666  0.10206485 -1.4254168   0.        ]",[ 0.14175164  0.24608023]
3,"[[-0.3154965   0.40400371  0.15421277  0.19042984]
 [-5.58834043  8.66189181  0.          0.        ]]",[ 0.14337696  0.45200241],-0.21765715146,[-0.05889698 -0.09404785],-1.04119,"[ 1.02023779  1.20241926 -0.5026518   0.42801676  1.32257843  1.58514215
 -0.87291405  1.00605123  0.08092191 -1.46902257  0.        ]",[ 0.51506012 -0.48852959]
4,"[[-0.40570285  0.55610437  0.15421277  0.19042984]
 [-3.43944182  6.55520827  0.          0.        ]]",[ 0.14209272  0.45141083],-0.218406967207,[-0.05889698 -0.09404785],-1.04933,"[ 0.97632621  1.11681885 -0.63138203  0.67508778  1.32254991  1.58509848
 -0.67423177  0.72322707  0.05562177 -1.48049761  0.        ]",[ 1.62519371  0.24368964]
5,"[[-0.434118    0.69557339  0.15421277  0.19042984]
 [ 0.58458456  7.38893544  0.          0.        ]]",[ 0.14042391  0.45008546],-0.208495588619,[-0.05889698 -0.09404785],-1.02595,"[ 0.96033005  1.01725254 -0.67096136  0.88212757  1.3225214   1.58505482
 -0.30218968  0.83514157  0.0324664  -1.41631622  0.        ]",[-0.10810255 -0.27028109]
6,"[[-0.42682782  0.83114814  0.15421277  0.19042984]
 [ 0.14587827  6.17259135  0.          0.        ]]",[ 0.13861425  0.44934314],-0.192334545568,[-0.05889698 -0.09404785],-0.992913,"[ 0.96451261  0.903023   -0.66084559  1.06154631  1.32249288  1.58501116
 -0.34274735  0.67184263  0.0018853  -1.30994928  0.        ]",[-0.59819322  0.0656885 ]
7,"[[-0.4476849   0.95599089  0.15421277  0.19042984]
 [-2.22372586  6.31120797  0.          0.        ]]",[ 0.1374888  0.4492771],-0.183003174239,[-0.05889698 -0.09404785],-0.987716,"[ 0.95231344  0.7844424  -0.68966624  1.20484474  1.32246437  1.5849675
 -0.56182529  0.69044366 -0.03562832 -1.25249279  0.        ]",[ 1.06142547  0.90544214]
8,"[[-0.45202788  1.11692101  0.15421277  0.19042984]
 [ 1.77624559  9.7703013   0.          0.        ]]",[ 0.13547763  0.44706032],-0.167736532232,[-0.05889698 -0.09404785],-0.992297,"[ 0.94969382  0.61571928 -0.69562531  1.3548986   1.32243586  1.58492385
 -0.19200103  1.15480147 -0.09716079 -1.1569233   0.        ]",[ 1.04378144 -0.17097083]
9,"[[-0.37714621  1.30358354  0.15421277  0.19042984]
 [ 5.69894284  8.89886288  0.          0.        ]]",[ 0.13136831  0.44368228],-0.139399594773,[-0.05889698 -0.09404785],-0.922518,"[ 0.99128354  0.40302287 -0.59106932  1.47540606  1.32240736  1.5848802
  0.17067854  1.03779536 -0.20789594 -0.97223602  0.        ]",[-1.03035974  0.28718359]
10,"[[-0.30399801  1.49121031  0.15421277  0.19042984]
 [ 1.62935056  9.86059994  0.          0.        ]]",[ 0.12871209  0.44196454],-0.119661316605,[-0.05889698 -0.09404785],-0.912723,"[ 1.02496924  0.17796799 -0.48588943  1.53462198  1.32237885  1.58483655
 -0.20558507  1.16688533 -0.35024023 -0.82848884  0.        ]",[ 1.47734862  0.53426155]
11,"[[ -0.23202277   1.70768139   0.15421277   0.19042984]
 [  5.55527572  11.78012346   0.           0.        ]]",[ 0.12454331  0.43804702],-0.113828359651,[-0.05889698 -0.09404785],-0.899856,"[ 1.05124243 -0.0854016  -0.38000945  1.5232371   1.32235035  1.58479291
  0.15739854  1.42454355 -0.53276677 -0.72951661  0.        ]",[ 0.58372964 -0.36961367]
12,"[[ -0.09882613   1.92625544   0.15421277   0.19042984]
 [  7.7570545   10.08293688   0.           0.        ]]",[ 0.12020627  0.43442053],-0.125073752607,[-0.05889698 -0.09404785],-0.891947,"[ 1.08146246 -0.34340835 -0.17969742  1.42575451  1.32232185  1.58474927
  0.36096991  1.19667878 -0.76199566 -0.66076912  0.        ]",[-0.34860423 -0.66539804]
13,"[[ 0.04094088  2.09947568  0.15421277  0.19042984]
 [ 6.22463149  7.24854117  0.          0.        ]]",[ 0.11689042  0.43161052],-0.147278165244,[-0.05889698 -0.09404785],-0.896615,"[ 1.08701954 -0.53410728  0.03329948  1.29005176  1.32229335  1.58470564
  0.21928063  0.81616071 -0.95840458 -0.6594312   0.        ]",[ 0.22289041 -0.18496573]
14,"[[ 0.17305547  2.23565644  0.15421277  0.19042984]
 [ 6.98428369  6.37245357  0.          0.        ]]",[ 0.11467142  0.42905739],-0.169765611803,[-0.05889698 -0.09404785],-0.914554,"[ 1.06755023 -0.67136765  0.23358425  1.14984991  1.32226485  1.58466201
  0.28951596  0.69854065 -1.10944335 -0.69997672  0.        ]",[-1.39095774 -0.98578687]
