timestep,human_obs,avg_action_dist,original_rewards,logstd_action_dist,rewards,obs,actions
16,"[[ -3.60706568   3.00856389   0.06996877   0.03437921]
 [-23.13266159  -0.19481415   0.           0.        ]]",[-1.87296462  1.60438788],-0.0856459763176,[ 0.08350699 -0.08346239],-0.43117,"[-1.44811548 -0.47346168  0.65242599 -0.29552764  0.60566954  0.30187069
 -0.24229545 -0.38898771 -0.71420689 -0.51785526  0.        ]",[-2.78155916  1.89723238]
17,"[[ -4.10484896   3.00592548   0.06996877   0.03437921]
 [-26.63399867  -0.08394504   0.           0.        ]]",[-1.85913873  1.48602319],-0.0919938253409,[ 0.08350699 -0.08346239],-0.534309,"[-1.00171428 -0.47292372  1.20507472 -0.28510797  0.60566933  0.30187061
 -0.36239269 -0.37489286 -0.77911987 -0.5070063   0.        ]",[-3.38368942  0.63679047]
18,"[[ -4.67196358   3.00441408   0.06996877   0.03437921]
 [-30.06602644  -0.06204981   0.           0.        ]]",[-1.14255857  1.13366342],-0.0953648132846,[ 0.08350699 -0.08346239],-0.696384,"[-0.26808364 -0.47261077  1.46955506 -0.27914079  0.60566912  0.30187052
 -0.48011258 -0.37210922 -0.83632499 -0.45089034  0.        ]",[-0.51445264  2.7702336 ]
19,"[[ -5.28774878e+00   3.00384915e+00   6.99687717e-02   3.43792097e-02]
 [ -3.15076895e+01  -7.70646495e-03   0.00000000e+00   0.00000000e+00]]",[ 0.11133164  0.66217005],-0.0937723326196,[ 0.08350699 -0.08346239],-0.772905,"[ 0.54039343 -0.47249281  1.23171246 -0.27691062  0.60566891  0.30187044
 -0.52956208 -0.36520046 -0.85807128 -0.35950182  0.        ]",[-0.82985052  1.42303898]
20,"[[ -5.94461005e+00   3.00383228e+00   6.99687717e-02   3.43792097e-02]
 [ -3.41695672e+01   2.72526860e-03   0.00000000e+00   0.00000000e+00]]",[ 1.53601193  0.42930794],-0.0865758829759,[ 0.08350699 -0.08346239],-0.641507,"[ 1.09236677 -0.47248914  0.47914658 -0.27684398  0.60566869  0.30187035
 -0.62086545 -0.36387417 -0.82727135 -0.26546706  0.        ]",[ 3.32233313  1.22278299]
21,"[[ -6.58148965e+00   3.00389644e+00   6.99687717e-02   3.43792097e-02]
 [ -2.95338417e+01   3.05785907e-03   0.00000000e+00   0.00000000e+00]]",[ 2.01726508  0.46412784],-0.0760901068738,[ 0.08350699 -0.08346239],-0.634135,"[ 1.10980307 -0.4725024  -0.45039088 -0.27709714  0.60566848  0.30187027
 -0.46185783 -0.36383178 -0.75677801 -0.21393657  0.        ]",[ 2.54562671  1.78188539]
22,"[[ -7.12657551e+00   3.00394606e+00   6.99687717e-02   3.43792097e-02]
 [ -2.49898871e+01   1.88567834e-03   0.00000000e+00   0.00000000e+00]]",[ 1.76745415  0.64836311],-0.0670189748692,[ 0.08350699 -0.08346239],-0.731224,"[ 0.70746425 -0.47251261 -1.122999   -0.27729294  0.60566827  0.30187018
 -0.30599802 -0.3639807  -0.68553198 -0.21693669  0.        ]",[ 0.68052718  0.38185335]
23,"[[ -7.59437585   3.00331838   0.06996877   0.03437921]
 [-21.80077312  -0.04432245   0.           0.        ]]",[ 1.21590614  0.89834082],-0.061615655898,[ 0.08350699 -0.08346239],-0.706553,"[ 0.14284508 -0.4723811  -1.44904039 -0.27481528  0.60566806  0.3018701
 -0.19660988 -0.36985502 -0.63243166 -0.25418291  0.        ]",[ 2.99732934  0.26979899]
24,"[[ -7.9863363    3.00239968   0.06996877   0.03437921]
 [-17.40990476  -0.04110052   0.           0.        ]]",[ 0.44968545  1.09920382],-0.0603143769826,[ 0.08350699 -0.08346239],-0.695463,"[-0.39471175 -0.47218762 -1.48580629 -0.27118927  0.60566784  0.30187001
 -0.046001   -0.36944531 -0.60259509 -0.3048757   0.        ]",[ 1.37306625  2.72920532]
25,"[[ -8.29135149   3.00252264   0.06996877   0.03437921]
 [-13.10595838   0.02924875   0.           0.        ]]",[-0.38429284  1.26775789],-0.061760724841,[ 0.08350699 -0.08346239],-0.724773,"[-0.79800186 -0.47221342 -1.35902717 -0.27167446  0.60566763  0.30186993
  0.10162642 -0.36050171 -0.59281581 -0.35121639  0.        ]",[ 0.50589385  0.34220314]
26,"[[ -8.53077098   3.00243098   0.06996877   0.03437921]
 [-10.84352903  -0.02110123   0.           0.        ]]",[-0.93243504  1.34847224],-0.0641914204704,[ 0.08350699 -0.08346239],-0.51947,"[-1.07839878 -0.47219393 -1.17152651 -0.27131265  0.60566742  0.30186984
  0.17922881 -0.36690259 -0.59366388 -0.38878605  0.        ]",[-2.23749999  0.83955871]
27,"[[ -8.78521259   3.00252199   0.06996877   0.03437921]
 [-14.58815333   0.01694237   0.           0.        ]]",[-1.05917931  1.46262836],-0.0677295641289,[ 0.08350699 -0.08346239],-0.569516,"[-1.32190471 -0.47221298 -0.90019621 -0.27167175  0.60566721  0.30186976
  0.05078631 -0.36206601 -0.60284259 -0.42717359  0.        ]",[-1.69514219  0.40260142]
28,"[[ -9.11380295e+00   3.00240428e+00   6.99687717e-02   3.43792097e-02]
 [ -1.82586503e+01  -1.66886861e-02   0.00000000e+00   0.00000000e+00]]",[-1.25517452  1.56161463],-0.0731924184076,[ 0.08350699 -0.08346239],-0.529527,"[-1.52892259 -0.47218799 -0.46833326 -0.27120709  0.60566699  0.30186967
 -0.07511359 -0.36634141 -0.62620948 -0.47068677  0.        ]",[-1.61302964  1.19206021]
29,"[[ -9.51507416   3.00270482   0.06996877   0.03437921]
 [-21.85648152   0.02919296   0.           0.        ]]",[-1.62804794  1.61400878],-0.0802130783908,[ 0.08350699 -0.08346239],-0.470839,"[-1.5896248  -0.47225123  0.11987822 -0.27239318  0.60566678  0.30186959
 -0.19852101 -0.36050838 -0.66881871 -0.50790376  0.        ]",[-2.90825222  0.70778704]
30,"[[ -9.98758742e+00   3.00295203e+00   6.99687717e-02   3.43792097e-02]
 [ -2.53830917e+01   2.34081409e-03   0.00000000e+00   0.00000000e+00]]",[-1.86020112  1.60264921],-0.0876185722484,[ 0.08350699 -0.08346239],-0.449356,"[-1.38193228 -0.47230312  0.77821623 -0.27336877  0.60566657  0.30186951
 -0.3194855  -0.36392198 -0.72975965 -0.52260883  0.        ]",[-2.16859196  2.62396027]
31,"[[ -1.05299324e+01   3.00324675e+00   6.99687717e-02   3.43792097e-02]
 [ -2.88398858e+01   1.91817454e-02   0.00000000e+00   0.00000000e+00]]",[-1.73022008  1.43293571],-0.0934913510226,[ 0.08350699 -0.08346239],-0.59999,"[-0.83317972 -0.47236489  1.31269064 -0.27453194  0.60566635  0.30186942
 -0.43805525 -0.36178089 -0.79761803 -0.49751327  0.        ]",[-1.46341031  2.28585657]
32,"[[ -1.11407266e+01   3.00358671e+00   6.99687717e-02   3.43792097e-02]
 [ -3.22282488e+01   1.38051101e-02   0.00000000e+00   0.00000000e+00]]",[-0.72161549  1.00832939],-0.095509368457,[ 0.08350699 -0.08346239],-0.738455,"[-0.01213262 -0.472436    1.4551547  -0.27587375  0.60566614  0.30186934
 -0.55427775 -0.36246432 -0.84841145 -0.42512117  0.        ]",[-1.13144802  1.33660511]
33,"[[ -1.18186152e+01   3.00379709e+00   6.99687717e-02   3.43792097e-02]
 [ -3.55495341e+01   7.56525980e-03   0.00000000e+00   0.00000000e+00]]",[ 0.82209593  0.56668127],-0.091651599145,[ 0.08350699 -0.08346239],-0.7755,"[ 0.80190792 -0.47247986  0.99563079 -0.27670409  0.60566593  0.30186925
 -0.66819941 -0.36325748 -0.85273893 -0.32139178  0.        ]",[ 0.08303484  1.79485034]
34,"[[ -1.25192463e+01   3.00390598e+00   6.99687717e-02   3.43792097e-02]
 [ -3.45170210e+01   3.70436253e-03   0.00000000e+00   0.00000000e+00]]",[ 1.92548656  0.45505917],-0.0820345032869,[ 0.08350699 -0.08346239],-0.602636,"[ 1.16935236 -0.47250246  0.05593129 -0.27713383  0.60566572  0.30186917
 -0.63278341 -0.36374821 -0.79854209 -0.23534302  0.        ]",[ 4.28746697 -0.02225656]
35,"[[-13.163006     3.00272326   0.06996877   0.03437921]
 [-29.87441972  -0.10598319   0.           0.        ]]",[ 2.09423423  0.59001744],-0.0708211762507,[ 0.08350699 -0.08346239],-0.682728,"[ 0.93193473 -0.47225423 -0.84825413 -0.27246549  0.6056655   0.30186908
 -0.47353945 -0.37769269 -0.71689642 -0.20900252  0.        ]",[ 1.89883572  0.92833432]
36,"[[ -1.37148357e+01   3.00220878e+00   6.99687717e-02   3.43792097e-02]
 [ -2.53237170e+01   1.79636287e-02   0.00000000e+00   0.00000000e+00]]",[ 1.57171798  0.84846348],-0.0629348646278,[ 0.08350699 -0.08346239],-0.709176,"[ 0.35471886 -0.4721455  -1.36833255 -0.27043497  0.60566529  0.301869
 -0.31744769 -0.36193521 -0.64803395 -0.23752148  0.        ]",[ 0.82710751  2.84167565]
37,"[[-14.18342342   3.00281521   0.06996877   0.03437921]
 [-21.54763972   0.03283296   0.           0.        ]]",[ 0.82756025  1.10283232],-0.0603167236923,[ 0.08350699 -0.08346239],-0.731213,"[-0.27613976 -0.47227329 -1.49720207 -0.27282822  0.60566508  0.30186891
 -0.18792602 -0.36004477 -0.60780499 -0.29255346  0.        ]",[ 1.81738754  1.71176107]
38,"[[-14.57037151   3.00336983   0.06996877   0.03437921]
 [-17.16178478   0.02174646   0.           0.        ]]",[-0.09082475  1.32308114],-0.0617694050399,[ 0.08350699 -0.08346239],-0.662886,"[-0.79277508 -0.47238967 -1.36163298 -0.27501724  0.60566487  0.30186883
 -0.03748864 -0.36145409 -0.59348198 -0.35009428  0.        ]",[-0.23941921  1.16367657]
39,"[[ -1.49197094e+01   3.00369609e+00   6.99687717e-02   3.43792097e-02]
 [ -1.77699732e+01   1.15632818e-02   0.00000000e+00   0.00000000e+00]]",[-0.63275111  1.47940969],-0.0655642255711,[ 0.08350699 -0.08346239],-0.662459,"[-1.18736974 -0.47245785 -1.06690067 -0.27630496  0.60566465  0.30186874
 -0.05834985 -0.36274858 -0.59707972 -0.40411527  0.        ]",[ 0.65281559  1.95784341]
