timestep,human_obs,avg_action_dist,original_rewards,logstd_action_dist,rewards,obs,actions
0,"[[ 0.05211788  0.08953175  0.00527936  0.11326575]
 [ 0.00329701  0.00428581  0.          0.        ]]",[ 1.65462208  2.46582174],-0.223532146257,[-0.01912442 -0.22209805],-1.14498,"[ 1.18322473  2.5174182   0.07218226 -0.44733072  0.0435329   0.98271466
  0.41466085 -0.37209903  1.32657715 -0.85729466  0.        ]",[ 0.57485329  1.23737074]
1,"[[ 0.07498404  0.1293356   0.00527936  0.11326575]
 [ 2.27576275  3.96290871  0.          0.        ]]",[ 1.38058031  2.41466808],-0.218702819052,[-0.01912442 -0.22209805],-1.0132,"[ 1.18122519  2.51085986  0.10609872 -0.29079616  0.04353289  0.9827139
  0.5055215   0.14603992  1.31661914 -0.77833189  0.        ]",[ 2.60209711  2.72820778]
2,"[[  1.59723880e-01   2.47519165e-01   5.27936301e-03   1.13265751e-01]
 [  6.18524249e+00   7.84252028e+00   0.00000000e+00   0.00000000e+00]]",[ 0.76249903  2.21426821],-0.201757810383,[-0.01912442 -0.22209805],-1.03338,"[ 1.16757413  2.47750967  0.23114327  0.16826206  0.04353287  0.98271313
  0.66183544  0.65383707  1.25902259 -0.52004119  0.        ]",[ 0.72267295  2.0887694 ]
3,"[[  3.10873507e-01   4.42528494e-01   5.27936301e-03   1.13265751e-01]
 [  8.92071691e+00   1.16457296e+01   0.00000000e+00   0.00000000e+00]]",[-0.18652846  1.89800501],-0.170321911402,[-0.01912442 -0.22209805],-0.881915,"[ 1.1191256   2.37826127  0.44939773  0.89321011  0.04353285  0.98271237
  0.77120856  1.15163344  1.07728613 -0.11624725  0.        ]",[-0.59190946  2.32691754]
4,"[[  4.64017594e-01   7.12865297e-01   5.27936301e-03   1.13265751e-01]
 [  6.40217516e+00   1.53755092e+01   0.00000000e+00   0.00000000e+00]]",[-0.42220774  1.73006797],-0.130619698132,[-0.01912442 -0.22209805],-0.736569,"[ 1.03957489  2.15644647  0.65993722  1.7865161   0.04353284  0.9827116
  0.67050826  1.6398173   0.7496634   0.23634691  0.        ]",[-0.07740244  2.63494888]
5,"[[  5.87721548e-01   1.05704929e+00   5.27936301e-03   1.13265751e-01]
 [  5.96985884e+00   1.90307000e+01   0.00000000e+00   0.00000000e+00]]",[-0.4257133   1.50100923],-0.0869792932677,[-0.01912442 -0.22209805],-0.620477,"[ 0.95417497  1.75700277  0.81885415  2.64470875  0.04353282  0.98271084
  0.6532224   2.11823578  0.32659948  0.4001887   0.        ]",[ 1.14111199  2.51650103]
6,"[[  7.45654400e-01   1.47359899e+00   5.27936301e-03   1.13265751e-01]
 [  9.81111888e+00   2.26123443e+01   0.00000000e+00   0.00000000e+00]]",[-0.45014465  1.26774502],-0.0422886021615,[-0.01912442 -0.22209805],-0.568741,"[ 0.81991199  1.16261964  1.00313383  3.13677663  0.0435328   0.98271007
  0.80680866  2.58702395 -0.18254549  0.3163481   0.        ]",[-1.26804749  0.32447508]
7,"[[  9.00258057e-01   1.93424842e+00   5.27936301e-03   1.13265751e-01]
 [  5.66280451e+00   2.34497858e+01   0.00000000e+00   0.00000000e+00]]",[-0.21757554  1.12051833],-0.0480233066714,[-0.01912442 -0.22209805],-0.675263,"[ 0.66407874  0.48060574  1.15924525  2.89697959  0.04353278  0.98270931
  0.6409444   2.69662632 -0.55470378 -0.0660904   0.        ]",[ 0.40488343  1.41356068]
8,"[[  1.02850171e+00   2.43831156e+00   5.27936301e-03   1.13265751e-01]
 [  7.15665207e+00   2.69449001e+01   0.00000000e+00   0.00000000e+00]]",[ 0.1793604  1.4077822],-0.0853894744337,[-0.01912442 -0.22209805],-0.760394,"[ 0.51916031 -0.13309944  1.26780208  1.75768591  0.04353277  0.98270854
  0.70067318  3.15408075 -0.62882965 -0.59807261  0.        ]",[ 0.10286639  1.73432058]
9,"[[  1.17432521e+00   3.01158402e+00   5.27936301e-03   1.13265751e-01]
 [  7.42420804e+00   2.49923827e+01   0.00000000e+00   0.00000000e+00]]",[ 0.58568043  1.88772106],-0.118180053398,[-0.01912442 -0.22209805],-0.793075,"[ 0.34034388 -0.47796854  1.36575155 -0.28816308  0.04353275  0.98270778
  0.71137057  2.89851001 -0.35978086 -1.06279316  0.        ]",[ 0.10102005  0.09562514]
