timestep,avg_action_dist,actions,rewards,original_rewards,obs,human_obs,logstd_action_dist
0,[-0.63950992 -1.90726984],[-1.97185814 -2.32741196],-0.391597135409,-0.391597135409,"[ 1.04841245  1.63464565 -0.17794967  1.32153913 -1.56455906  0.23661348
 -0.24204456  0.30160614  3.08899501 -0.21407266  0.        ]","[[-0.07989195  0.09588921 -0.18058835  0.02616885]
 [-0.00395994 -0.00443159  0.          0.        ]]",[-0.39502144 -0.36965793]
1,[-0.50021231 -1.67890263],[-0.69164009 -1.15379635],-0.392251545014,-0.392251545014,"[ 1.04267522  1.63852287 -0.23708403  1.21820936 -1.56455586  0.23661334
 -0.7033643  -0.26075393  3.0836366  -0.35300492  0.        ]","[[-0.11964549  0.05608902 -0.18058835  0.02616885]
 [-3.9582299  -3.96240215  0.          0.        ]]",[-0.39502144 -0.36965793]
2,[-0.41774994 -1.61917639],[-0.43016098 -0.46958669],-0.391738881988,-0.391738881988,"[ 1.01636552  1.63806413 -0.39286229  0.91066958 -1.56455267  0.23661319
 -1.01325196 -0.81205091  3.02956806 -0.73196426  0.        ]","[[-0.22546093 -0.06208942 -0.18058835  0.02616885]
 [-6.61448365 -7.84251142  0.          0.        ]]",[-0.39502144 -0.36965793]
3,[-0.34983101 -1.7057333 ],[-0.09025809 -1.96381927],-0.384961188272,-0.384961188272,"[ 0.95314639  1.60492178 -0.60415294  0.46333752 -1.56454947  0.23661304
 -1.19644997 -1.05408283  2.85565541 -1.23437065  0.        ]","[[-0.37350568 -0.23603111 -0.18058835  0.02616885]
 [-8.18480458 -9.54597419  0.          0.        ]]",[-0.39502144 -0.36965793]
4,[-0.52201742 -1.67616701],[-1.33176582 -0.78480974],-0.367336563793,-0.367336563793,"[ 0.84752203  1.50427441 -0.82620587 -0.09487936 -1.56454627  0.23661289
 -1.21910833 -1.58979287  2.51582999 -1.7232314   0.        ]","[[ -0.53914954  -0.4647806   -0.18058835   0.02616885]
 [ -8.37903913 -13.31639773   0.           0.        ]]",[-0.39502144 -0.36965793]
5,[-0.58124191 -1.18722069],[-1.24173166 -1.14853142],-0.331412745385,-0.331412745385,"[ 0.66947973  1.2874169  -1.07197814 -0.72090793 -1.56454308  0.23661274
 -1.66134988 -1.99362849  1.94914234 -2.08873316  0.        ]","[[ -0.74476156  -0.75962645  -0.18058835   0.02616885]
 [-12.16980526 -16.15869167   0.           0.        ]]",[-0.39502144 -0.36965793]
6,[ 0.42354992  0.32035932],[ 0.83033647  0.99569189],-0.267338796847,-0.267338796847,"[ 0.35577678  0.91648013 -1.33683062 -1.27069697 -1.56453988  0.2366126
 -2.09505727 -2.51049604  1.16463615 -2.09237681  0.        ]","[[ -1.02545329  -1.11930072  -0.18058835   0.02616885]
 [-15.88744919 -19.79656197   0.           0.        ]]",[-0.39502144 -0.36965793]
7,[ 0.12591447  0.7308296 ],[ 0.85311933 -0.35543868],-0.192185779471,-0.192185779471,"[-0.01812035  0.48306843 -1.50201889 -1.51884829 -1.56453668  0.23661245
 -1.67555975 -1.89464047  0.55481671 -1.62951243  0.        ]","[[ -1.3071286   -1.47174276  -0.18058835   0.02616885]
 [-12.29168978 -15.46209778   0.           0.        ]]",[-0.39502144 -0.36965793]
8,[-0.03119695  0.67723835],[-0.77826873 -0.21367418],-0.132722808825,-0.132722808825,"[-0.31731555  0.07417791 -1.55149477 -1.46814379 -1.56453348  0.2366123
 -1.2535579  -2.05111881  0.32236563 -1.03842806  0.        ]","[[ -1.51667065  -1.79203499  -0.18058835   0.02616885]
 [ -8.67444422 -16.56346629   0.           0.        ]]",[-0.39502144 -0.36965793]
9,[ 0.89265811  1.36435688],[ 0.83047869  1.647601  ],-0.0980900939096,-0.0980900939096,"[-0.61013887 -0.32375312 -1.53721063 -1.13705805 -1.56453029  0.23661215
 -1.59320037 -2.12463466  0.36279427 -0.44701249  0.        ]","[[ -1.71936889  -2.1284962   -0.18058835   0.02616885]
 [-11.58577811 -17.08093451   0.           0.        ]]",[-0.39502144 -0.36965793]
10,[ 0.69941038  1.32787228],[ 0.92462318  2.52470487],-0.108487887589,-0.108487887589,"[-0.88567324 -0.61419948 -1.46557091 -0.63410126 -1.56452709  0.236612
 -1.18311546 -1.51396953  0.58338079 -0.05332046  0.        ]","[[ -1.91581971  -2.4269917   -0.18058835   0.02616885]
 [ -8.07067432 -12.78296235   0.           0.        ]]",[-0.39502144 -0.36965793]
11,[ 0.2171824   1.09540164],[ 0.7557265   1.18148484],-0.131943763112,-0.131943763112,"[-1.04935591 -0.77045288 -1.39283899 -0.17887255 -1.56452389  0.23661185
 -0.73749038 -0.91540973  0.80274202  0.08051755  0.        ]","[[-2.03891016 -2.64038258 -0.18058835  0.02616885]
 [-4.25092193 -8.57017307  0.          0.        ]]",[-0.39502144 -0.36965793]
12,[-0.14392532  1.03495538],[-0.39492347  0.50192687],-0.147312854649,-0.147312854649,"[-1.11837743 -0.84094124 -1.35436682  0.12764771 -1.5645207   0.23661171
 -0.37861787 -0.32870535  0.93920629  0.095624    0.        ]","[[-2.09306532 -2.77035488 -0.18058835  0.02616885]
 [-1.17478254 -4.44081982  0.          0.        ]]",[-0.39502144 -0.36965793]
13,[ 0.09986293  1.25802505],[ 0.2977126  -0.75615861],-0.155495132755,-0.155495132755,"[-1.16672053 -0.86983352 -1.32434014  0.29468971 -1.5645175   0.23661156
 -0.55831326 -0.03384422  1.01152417  0.0914638   0.        ]","[[-2.13201528 -2.83834915 -0.18058835  0.02616885]
 [-2.71507752 -2.36552344  0.          0.        ]]",[-0.39502144 -0.36965793]
14,[  6.35208562e-04   9.84066129e-01],[-0.83553351  2.73832499],-0.164454624511,-0.164454624511,"[-1.21746166 -0.89567158 -1.28986569  0.48785014 -1.5645143   0.23661141
 -0.41454656 -0.45258543  1.09030462  0.07209759  0.        ]","[[-2.17395254 -2.91522976 -0.18058835  0.02616885]
 [-1.48275845 -5.31271537  0.          0.        ]]",[-0.39502144 -0.36965793]
