timestep,avg_action_dist,actions,original_rewards,rewards,human_obs,obs,logstd_action_dist
0,[-1.8616873   0.07516429],[-2.57422219 -0.55267797],-0.426226313835,-0.426226313835,"[[-0.02075206  0.07952294 -0.18086756 -0.16607416]
 [ 0.00270967 -0.00187683  0.          0.        ]]","[ 1.0021682   1.55062315  0.04681543 -0.84437398 -1.5765792  -1.43761388
  0.34677374 -0.33807355  3.07832428  1.74322715  0.        ]",[-0.40491077 -0.28579757]
1,[-1.64367425  0.21649691],[-1.0714977   0.88509106],-0.42207721275,-0.42207721275,"[[-0.06038042  0.05754449 -0.18086756 -0.16607416]
 [-3.95237811 -2.18868613  0.          0.        ]]","[ 0.99974443  1.55249719 -0.01253562 -0.90294725 -1.57657583 -1.43761118
  0.00351182 -0.68188904  3.07856398  1.62380459  0.        ]",[-0.40491077 -0.28579757]
2,[-1.52303255  0.15397686],[-2.68743749 -1.11677176],-0.410897139497,-0.410897139497,"[[-0.17834795  0.04938336 -0.18086756 -0.16607416]
 [-7.83145594  1.36073689  0.          0.        ]]","[ 0.97857901  1.55303792 -0.18801155 -0.92471665 -1.57657246 -1.43760848
 -0.33315318 -0.12383884  3.05772929  1.33945979  0.        ]",[-0.40491077 -0.28579757]
3,[-1.09412658  0.5541088 ],[ 0.17003806  0.43401538],-0.389172799322,-0.389172799322,"[[ -0.37309788   0.0366146   -0.18086756  -0.16607416]
 [-11.63088826  -2.62433795   0.           0.        ]]","[ 0.89877915  1.55371928 -0.46847562 -0.95879426 -1.57656909 -1.43760578
 -0.66290556 -0.75038301  2.96295033  0.88441377  0.        ]",[-0.40491077 -0.28579757]
4,[-0.85797209  0.66252816],[ 0.07253757  1.08064563],-0.357964598259,-0.357964598259,"[[ -5.96665420e-01   1.88798022e-03  -1.80867561e-01  -1.66074158e-01]
 [ -1.07288687e+01  -8.54218553e-01   0.00000000e+00   0.00000000e+00]]","[ 0.74201808  1.55454981 -0.76436036 -1.05153982 -1.57656573 -1.43760307
 -0.58461872 -0.47207934  2.7551903   0.38280228  0.        ]",[-0.40491077 -0.28579757]
5,[-0.86910731  0.49786347],[-0.84296786  0.36637086],-0.328577917986,-0.328577917986,"[[ -0.80625009   0.02469917  -0.18086756  -0.16607416]
 [-10.23125037   3.12208445   0.           0.        ]]","[ 0.53850214  1.55416834 -1.00391741 -0.99060746 -1.57656236 -1.43760037
 -0.54142993  0.15308678  2.51681638  0.02851033  0.        ]",[-0.40491077 -0.28579757]
6,[-0.59711826  0.57889247],[-0.60514322  0.87985474],-0.296203079405,-0.296203079405,"[[ -1.04230807   0.10108776  -0.18086756  -0.16607416]
 [-13.36412253   4.5121258    0.           0.        ]]","[ 0.25512501  1.54817799 -1.21658801 -0.78699501 -1.57655899 -1.43759767
 -0.81333159  0.3716331   2.22834823 -0.25660695  0.        ]",[-0.40491077 -0.28579757]
7,[-0.49981272  0.2889269 ],[ 0.19073505 -0.37410243],-0.25566243717,-0.25566243717,"[[ -1.33097085   0.22539579  -0.18086756  -0.16607416]
 [-15.49507871   7.90733238   0.           0.        ]]","[-0.14691171  1.52299255 -1.37819415 -0.45954349 -1.57655562 -1.43759497
 -0.99827645  0.9054372   1.85018417 -0.48125527  0.        ]",[-0.40491077 -0.28579757]
8,[-0.30710834  0.37047151],[-0.99832889  0.08361183],-0.211785477311,-0.211785477311,"[[ -1.63022257   0.3671027   -0.18086756  -0.16607416]
 [-14.43363563   6.26880678   0.           0.        ]]","[-0.59451787  1.47143253 -1.41844833 -0.09778046 -1.57655226 -1.43759227
 -0.9061526   0.64782244  1.439344   -0.58378076  0.        ]",[-0.40491077 -0.28579757]
9,[ 0.43776822  0.17691718],[-0.26567329  0.01814202],-0.159475080229,-0.159475080229,"[[ -1.95565991   0.49456468  -0.18086756  -0.16607416]
 [-18.09794019   6.4766279    0.           0.        ]]","[-1.07094182  1.4050783  -1.31143817  0.21139684 -1.57654889 -1.43758957
 -1.22417642  0.68049614  0.96433328 -0.55446384  0.        ]",[-0.40491077 -0.28579757]
