timestep,avg_action_dist,actions,original_rewards,rewards,human_obs,obs,logstd_action_dist
0,[ 0.07820557  0.79182976],[ 0.55829772  0.70468068],-0.280197827944,-0.280197827944,"[[ 0.09363858 -0.09096357 -0.06296901  0.07474384]
 [-0.00025842  0.0043772   0.          0.        ]]","[ 1.06077063  1.54497645  0.16211494 -0.76696744 -0.53829814  0.61034655
 -0.03454885 -0.2719427   1.54497011 -0.50344195  0.        ]",[-0.0635244  -0.11593751]
1,[ 0.07132483  0.78459889],[-0.13706912  0.45623105],-0.278129063787,-0.278129063787,"[[ 0.11578174 -0.06289005 -0.06296901  0.07474384]
 [ 2.20722658  2.79368121  0.          0.        ]]","[ 1.05755305  1.54759258  0.19586918 -0.70454902 -0.53829425  0.61034186
  0.16810995  0.11396152  1.54235024 -0.44613199  0.        ]",[-0.0635244  -0.11593751]
2,[ 0.06573509  0.78259194],[ 0.44177762 -0.39072703],-0.273446878709,-0.273446878709,"[[ 0.15404103  0.01055601 -0.06296901  0.07474384]
 [ 1.62065867  4.54508673  0.          0.        ]]","[ 1.05041466  1.54991895  0.25397697 -0.54086389 -0.53829036  0.61033716
  0.11425871  0.3562705   1.52987735 -0.32734064  0.        ]",[-0.0635244  -0.11593751]
3,[ 0.04707149  0.78306401],[ 0.85933067  0.99222473],-0.267358357571,-0.267358357571,"[[ 0.20367339  0.08502546 -0.06296901  0.07474384]
 [ 3.3368634   2.90731888  0.          0.        ]]","[ 1.03817573  1.54552811  0.32883298 -0.37503265 -0.53828647  0.61033247
  0.27181623  0.12967948  1.50325642 -0.1924106   0.        ]",[-0.0635244  -0.11593751]
4,[ 0.02162816  0.76736856],[ 0.1338248   2.10362896],-0.255744994342,-0.255744994342,"[[ 0.30384106  0.18200021 -0.06296901  0.07474384]
 [ 6.6688346   6.77725876  0.          0.        ]]","[ 1.00335487  1.52967619  0.47739408 -0.16079862 -0.53828258  0.61032778
  0.5777109   0.66509528  1.43124386  0.02832392  0.        ]",[-0.0635244  -0.11593751]
5,[-0.00085828  0.74520671],[ 0.59040484 -0.22936175],-0.234936554859,-0.234936554859,"[[  0.44119305   0.355925    -0.06296901   0.07474384]
 [  7.06510564  10.60246631   0.           0.        ]]","[ 0.93416935  1.47304822  0.6733373   0.21261798 -0.53827869  0.61032309
  0.61408684  1.19431299  1.2601403   0.3260629   0.        ]",[-0.0635244  -0.11593751]
6,[-0.03056567  0.72236407],[ 0.40113139  0.39304354],-0.206461763249,-0.206461763249,"[[ 0.60453626  0.55674696 -0.06296901  0.07474384]
 [ 9.26194571  9.48344831  0.          0.        ]]","[ 0.82132736  1.36469421  0.89001897  0.61392747 -0.5382748   0.61031839
  0.81576645  1.03948029  0.98254081  0.59592133  0.        ]",[-0.0635244  -0.11593751]
7,[-0.0468738   0.68390608],[-0.79423344  1.48812293],-0.170946586461,-0.170946586461,"[[  0.80386204   0.76013959  -0.06296901   0.07474384]
 [ 10.66604975  10.85124042   0.           0.        ]]","[ 0.64290402  1.21233337  1.12248248  0.97202961 -0.53827091  0.6103137
  0.94466449  1.2287024   0.6058191   0.77600074  0.        ]",[-0.0635244  -0.11593751]
8,[-0.02893586  0.6372382 ],[-0.22569983  1.29610083],-0.13073126134,-0.13073126134,"[[  0.98353824   1.01474448  -0.06296901   0.07474384]
 [  7.31280964  14.59676216   0.           0.        ]]","[ 0.44922675  0.97087719  1.29479153  1.32951463 -0.53826702  0.61030901
  0.63680486  1.74686887  0.19942297  0.78599394  0.        ]",[-0.0635244  -0.11593751]
9,[-0.01228475  0.59237349],[ 0.81535708  2.19412217],-0.0868650625037,-0.0868650625037,"[[  1.1193911    1.34350895  -0.06296901   0.07474384]
 [  6.27608612  18.26744468   0.           0.        ]]","[ 0.28601762  0.59994009  1.39804087  1.60807578 -0.53826314  0.61030432
  0.541621    2.25463805 -0.14947654  0.60553908  0.        ]",[-0.0635244  -0.11593751]
