timestep,avg_action_dist,actions,original_rewards,rewards,human_obs,obs,logstd_action_dist
0,[ 2.92402816  2.32979012],[ 3.23001586  2.20352038],-0.39236963696,-0.39236963696,"[[ -2.41804924e-02   1.34910888e-02  -1.61995519e-01   1.21305090e-01]
 [ -1.31506783e-05   8.52257636e-05   0.00000000e+00   0.00000000e+00]]","[ 1.07505038  1.32291752  0.02364198 -1.29697315 -1.41179703  1.04218334
  0.24856732 -0.31156314  3.46893386 -1.93335071  0.        ]",[-0.89456403 -0.81630725]
1,[ 2.18416929  1.20762372],[ 3.22421989  1.47769803],-0.388291193613,-0.388291193613,"[[ 0.01549432  0.05320517 -0.16199552  0.12130509]
 [ 3.95433502  3.9581367   0.          0.        ]]","[ 1.07529953  1.32117546  0.08238077 -1.1951718  -1.4117957   1.04218266
  0.68747377  0.39477177  3.46646324 -1.75062808  0.        ]",[-0.89456403 -0.81630725]
2,[ 1.74035406  0.68815863],[ 2.14354817  0.2118071 ],-0.373641838882,-0.373641838882,"[[ 0.13347209  0.17129428 -0.16199552  0.12130509]
 [ 7.83056636  7.83784439  0.          0.        ]]","[ 1.06257377  1.30379231  0.25647536 -0.89436232 -1.41179438  1.04218198
  1.11770937  1.0871254   3.40718651 -1.21471906  0.        ]",[-0.89456403 -0.81630725]
3,[ 1.75100017  0.75529599],[ 1.34586114  0.26235709],-0.34401155341,-0.34401155341,"[[  0.3282198    0.33489344  -0.16199552   0.12130509]
 [ 11.63160451   8.51978455   0.           0.        ]]","[ 0.99805253  1.24998882  0.53672989 -0.4885631  -1.41179305  1.0421813
  1.53959814  1.2088203   3.17068352 -0.44235668  0.        ]",[-0.89456403 -0.81630725]
4,[ 1.46094298  0.54390174],[ 1.6011869   0.78732557],-0.29524675557,-0.29524675557,"[[  0.59823719   0.51400291  -0.16199552   0.12130509]
 [ 15.35782028   9.38823087   0.           0.        ]]","[ 0.8235997   1.15313485  0.89330428 -0.07048406 -1.41179173  1.04218062
  1.95318062  1.36379789  2.64929454  0.34975429  0.        ]",[-0.89456403 -0.81630725]
5,[-0.59540939 -1.08446491],[ 0.08975975 -1.32669777],-0.220633792769,-0.220633792769,"[[  0.94203945   0.73116183  -0.16199552   0.12130509]
 [ 19.01046015  12.31782664   0.           0.        ]]","[ 0.47815533  0.98696008  1.25690264  0.38111804 -1.41179041  1.04217994
  2.35859439  1.88659682  1.77636345  0.85875077  0.        ]",[-0.89456403 -0.81630725]
6,[-2.08628917 -1.91768599],[-2.51024869 -2.48292506],-0.131698122357,-0.131698122357,"[[  1.32206879   0.93533246  -0.16199552   0.12130509]
 [ 18.99242217   8.11321391   0.           0.        ]]","[-0.01779868  0.78861954  1.49449181  0.73267085 -1.41178908  1.04217926
  2.35658746  1.13626156  0.81032001  0.73918002  0.        ]",[-0.89456403 -0.81630725]
7,[-2.59994245 -2.08385181],[-2.80362812 -2.53878998],-0.0582154899656,-0.0582154899656,"[[  1.65847154   1.05625887  -0.16199552   0.12130509]
 [ 14.66208737   3.99321333   0.           0.        ]]","[-0.50180925  0.65527069  1.534367    0.9012478  -1.41178776  1.04217857
  1.87594794  0.4010265   0.14563389  0.20865137  0.        ]",[-0.89456403 -0.81630725]
8,[-2.56038594 -1.84621811],[-3.320353  -0.9132712],-0.0231638833592,-0.0231638833592,"[[  1.90911752   1.09560707  -0.16199552   0.12130509]
 [ 10.41654453  -0.04487861   0.           0.        ]]","[-0.85617416  0.60974368  1.45612118  0.94917476 -1.41178643  1.04217789
  1.40472145 -0.31959148 -0.20116985 -0.30714427  0.        ]",[-0.89456403 -0.81630725]
9,[-1.82874894 -0.85963774],[-2.1089332  -0.94351151],-0.0331653054783,-0.0331653054783,"[[ 2.07569014  1.05844432 -0.16199552  0.12130509]
 [ 6.2545697  -3.65930312  0.          0.        ]]","[-1.07634287  0.65276716  1.35530869  0.90400005 -1.41178511  1.04217721
  0.94277132 -0.96460356 -0.3700773  -0.60950499  0.        ]",[-0.89456403 -0.81630725]
