timestep,obs,actions,original_rewards,rewards,human_obs,logstd_action_dist,avg_action_dist
0,"[ 1.03153394  1.44372581  0.08907046 -1.17456424  0.53657738 -1.01578536
  0.3083876  -0.32215442  0.97637525  1.31249882  0.        ]",[-4.02802524  0.58300155],-0.189594592577,-0.189594592577,"[[ 0.01207344 -0.00389399  0.06279458 -0.1173915 ]
 [-0.00344699  0.00383378  0.          0.        ]]",[-0.56433612 -0.44897819],[-2.9516108   0.11551246]
1,"[ 1.03107086  1.44349656  0.02992117 -1.11450011  0.53657705 -1.01578439
 -0.07867752  0.05707734  0.97607803  1.24118243  0.        ]",[-1.98259242  0.16174834],-0.185974548562,-0.185974548562,"[[-0.02769432  0.01935876  0.06279458 -0.1173915 ]
 [-3.96015203  2.31373776  0.          0.        ]]",[-0.56433612 -0.44897819],[-2.7299571   0.08451673]
2,"[ 1.01585395  1.44049285 -0.14500637 -0.97966701  0.53657672 -1.01578341
 -0.45802236  0.15495021  0.96350838  1.00724044  0.        ]",[-3.03091728 -0.72577128],-0.173897581719,-0.173897581719,"[[-0.14580432  0.07161492  0.06279458 -0.1173915 ]
 [-7.83793845  2.90988241  0.          0.        ]]",[-0.56433612 -0.44897819],[-2.31149602  0.37493601]
3,"[ 0.94612908  1.43736498 -0.42591734 -0.90554615  0.5365764  -1.01578243
 -0.82973118 -0.32607597  0.89175095  0.55271866  0.        ]",[-0.98835879  1.31352936],-0.149894179317,-0.149894179317,"[[ -0.34068689   0.10041571   0.06279458  -0.1173915 ]
 [-11.63766975  -0.02005038   0.           0.        ]]",[-0.56433612 -0.44897819],[-1.12616885  1.4585526 ]
4,"[ 0.76299258  1.4314085  -0.78149195 -0.80465034  0.53657607 -1.01578146
 -1.18984468  0.32427938  0.69094585 -0.03361358  0.        ]",[ 0.25106421  1.71447422],-0.117634254186,-0.117634254186,"[[ -0.61037487   0.13976007   0.06279458  -0.1173915 ]
 [-15.31887649   3.94126516   0.           0.        ]]",[-0.56433612 -0.44897819],[ 0.13504434  1.63623071]
5,"[ 0.46427933  1.40206381 -1.09756653 -0.50659949  0.53657574 -1.01578048
 -1.06320053  0.96142948  0.40266369 -0.49686446  0.        ]",[ 0.93334616  1.79167241],-0.0911114115652,-0.0911114115652,"[[ -0.90376335   0.25752366   0.06279458  -0.1173915 ]
 [-14.02429103   7.82215015   0.           0.        ]]",[-0.56433612 -0.44897819],[ 1.16692626  1.15057659]
6,"[ 0.15913465  1.31678208 -1.28323112 -0.03596924  0.53657542 -1.01577951
 -0.67502169  1.58579575  0.17761973 -0.6995449   0.        ]",[ 0.18060873  0.27520775],-0.0769632216446,-0.0769632216446,"[[ -1.14443654   0.45212351   0.06279458  -0.1173915 ]
 [-10.05620923  11.62517945   0.           0.        ]]",[-0.56433612 -0.44897819],[ 1.26771736  0.13906506]
7,"[-0.11060943  1.1521066  -1.37571943  0.48624859  0.53657509 -1.01577853
 -0.58571338  1.72682316  0.03701778 -0.72380005  0.        ]",[ 2.15215008 -0.53028088],-0.0667036663617,-0.0667036663617,"[[ -1.3364011    0.69324593   0.06279458  -0.1173915 ]
 [ -9.14327553  12.48419746   0.           0.        ]]",[-0.56433612 -0.44897819],[ 1.51280379 -0.41883779]
8,"[-0.3179231   0.94636322 -1.40995898  0.88969281  0.53657476 -1.01577755
 -0.18091853  1.3412797  -0.04542354 -0.65744467  0.        ]",[ 0.02729307 -1.26776688],-0.0567425969276,-0.0567425969276,"[[ -1.47775012   0.9193677    0.06279458  -0.1173915 ]
 [ -5.005338    10.13586023   0.           0.        ]]",[-0.56433612 -0.44897819],[ 0.79832941 -0.57452577]
9,"[-0.46355394  0.77543358 -1.41637308  1.11417215  0.53657444 -1.01577658
 -0.1605554   0.65823913 -0.10539146 -0.58901788  0.        ]",[ 1.995598    0.74063173],-0.0483649454485,-0.0483649454485,"[[-1.575768    1.0803422   0.06279458 -0.1173915 ]
 [-4.79718064  5.97545624  0.          0.        ]]",[-0.56433612 -0.44897819],[ 0.97581738  0.03803936]
