timestep,avg_action_dist,actions,original_rewards,rewards,human_obs,obs,logstd_action_dist
0,[-3.085186   -0.54793191],[-3.17854049 -0.54892849],-0.319912266668,-0.319912266668,"[[-0.01248124  0.03647162 -0.0611001  -0.16852107]
 [-0.00122681 -0.00056703  0.          0.        ]]","[ 1.03999473  1.40879305  0.05179357 -1.11553427 -0.53377261 -1.45755241
  0.29102796 -0.31891082  2.20856359  2.01270699  0.        ]",[-0.64791197 -0.53212559]
1,[-2.92761827 -0.29028341],[-2.33903465 -0.89804328],-0.31419555132,-0.31419555132,"[[-0.05218756  0.01466809 -0.0611001  -0.16852107]
 [-3.9562391  -2.17255305  0.          0.        ]]","[ 1.038098    1.40950119 -0.00724089 -1.17160149 -0.53377231 -1.45755043
 -0.0986848  -0.68172351  2.20686652  1.87633668  0.        ]",[-0.64791197 -0.53212559]
2,[-2.61814976  0.29656875],[-3.30710512  2.00317234],-0.294948255425,-0.294948255425,"[[-0.17020405 -0.06401359 -0.0611001  -0.16852107]
 [-7.83251373 -5.68391447  0.          0.        ]]","[ 1.0187662   1.40702775 -0.1816229  -1.37388835 -0.53377201 -1.45754845
 -0.48063899 -1.26826742  2.16568614  1.45530902  0.        ]",[-0.64791197 -0.53212559]
3,[-2.42880368  0.32670379],[-1.53264904 -0.01174237],-0.263367227062,-0.263367227062,"[[ -0.36500674  -0.13681982  -0.0611001   -0.16852107]
 [-11.63508865  -1.6102809    0.           0.        ]]","[ 0.9428071   1.39773214 -0.46066509 -1.5601896  -0.53377171 -1.45754647
 -0.85533081 -0.58779875  2.0129768   0.868788    0.        ]",[-0.64791197 -0.53212559]
4,[-1.6272552   1.04678118],[-0.43185327  2.1696044 ],-0.219956585045,-0.219956585045,"[[ -0.63509041  -0.16915654  -0.0611001   -0.16852107]
 [-15.36087621  -1.62333755   0.           0.        ]]","[ 0.75212635  1.39145433 -0.81218936 -1.64239537 -0.53377141 -1.45754448
 -1.22245563 -0.58997942  1.69162074  0.23391027  0.        ]",[-0.64791197 -0.53212559]
5,[-0.87033856  1.24895144],[-0.40972023  1.10366177],-0.167308200323,-0.167308200323,"[[ -0.9564156   -0.16156567  -0.0611001   -0.16852107]
 [-16.76694105   2.36912084   0.           0.        ]]","[ 0.41454429  1.39304398 -1.14524476 -1.62313234 -0.53377112 -1.4575425
 -1.36100265  0.07692957  1.19529581 -0.30082865  0.        ]",[-0.64791197 -0.53212559]
6,[ 0.60384107  1.16304374],[ 1.58645924  1.21319187],-0.114109834675,-0.114109834675,"[[ -1.30470356  -0.07491923  -0.0611001   -0.16852107]
 [-18.05755102   6.28246476   0.           0.        ]]","[-0.0484661   1.40605646 -1.36493263 -1.40186554 -0.53377082 -1.45754052
 -1.48817271  0.73062294  0.62568295 -0.60396417  0.        ]",[-0.64791197 -0.53212559]
7,[ 0.99445158  0.33375382],[ 1.05907479 -0.68598682],-0.072846244061,-0.072846244061,"[[ -1.62259522   0.0891935   -0.0611001   -0.16852107]
 [-13.74598823  10.11600806   0.           0.        ]]","[-0.51332352  1.40456453 -1.41529235 -0.98018324 -0.53377052 -1.45753854
 -1.06332579  1.37098512  0.15628505 -0.67148613  0.        ]",[-0.64791197 -0.53212559]
8,[ 1.2660718   0.51792777],[ 1.67274707  2.08397391],-0.0483677271298,-0.0483677271298,"[[-1.85508593  0.2622341  -0.0611001  -0.16852107]
 [-9.51716488  7.19778296  0.          0.        ]]","[-0.85110367  1.36608421 -1.35757331 -0.54245173 -0.53377022 -1.45753655
 -0.64663234  0.88351758 -0.12967664 -0.62280255  0.        ]",[-0.64791197 -0.53212559]
9,[ 0.36906478 -0.72610414],[ 0.23155317 -0.79874412],-0.0381426242523,-0.0381426242523,"[[ -2.00386441   0.44447123  -0.0611001   -0.16852107]
 [ -5.37442809  11.0132373    0.           0.        ]]","[-1.05666904  1.28587555 -1.27994811 -0.10323348 -0.53376992 -1.45753457
 -0.23842173  1.52085749 -0.22926828 -0.55672767  0.        ]",[-0.64791197 -0.53212559]
