timestep,avg_action_dist,actions,original_rewards,rewards,human_obs,obs,logstd_action_dist
0,[-2.78730226  0.3855795 ],[-3.08850218  0.66370769],-0.18466603753,-0.18466603753,"[[-0.07901516 -0.02111104  0.05407888 -0.11918088]
 [ 0.00042599  0.00317057  0.          0.        ]]","[ 1.04048497  1.39366325 -0.04828305 -1.27712369  0.46715159 -1.03123732
  0.28507305 -0.3166617   1.09764177  1.15067201  0.        ]",[-0.67897177 -0.56580168]
1,[-2.61888885  0.32357952],[-2.43348716 -0.31236648],-0.181325767851,-0.181325767851,"[[-0.11870748  0.00533486  0.05407888 -0.11918088]
 [-3.95647927  2.63265108  0.          0.        ]]","[ 1.03471435  1.39392803 -0.10699711 -1.20926267  0.46715135 -1.03123643
 -0.11115703  0.1265271   1.09227295  1.08092142  0.        ]",[-0.67897177 -0.56580168]
2,[-2.07150269  0.88551039],[-1.85222554  0.88128027],-0.168607233483,-0.168607233483,"[[-0.23673738  0.04507039  0.05407888 -0.11918088]
 [-7.83360473  1.34518609  0.          0.        ]]","[ 1.0039984   1.39264717 -0.27959482 -1.10733383  0.46715111 -1.03123555
 -0.49939819 -0.09047024  1.05895898  0.82086732  0.        ]",[-0.67897177 -0.56580168]
3,[-1.56105876  1.09929526],[-1.91602432  2.41896946],-0.147194307378,-0.147194307378,"[[ -0.43155902   0.10673287   0.05407888  -0.11918088]
 [-11.63590077   4.80950201   0.           0.        ]]","[ 0.9100393   1.38667295 -0.55276269 -0.94957919  0.46715088 -1.03123466
 -0.88014594  0.49342715  0.95962287  0.40040081  0.        ]",[-0.67897177 -0.56580168]
4,[-0.35315681  1.08598197],[-0.47385006  2.29628714],-0.121004948537,-0.121004948537,"[[ -0.70167431   0.24170878   0.05407888  -0.11918088]
 [-15.36324187   8.67516695   0.           0.        ]]","[ 0.69713508  1.35680378 -0.89052976 -0.60871417  0.46715064 -1.03123377
 -1.2533873   1.14496979  0.76193117 -0.07070073  0.        ]",[-0.67897177 -0.56580168]
5,[ 1.30334544  0.5655725 ],[ 1.09360193  0.71909926],-0.0939790116088,-0.0939790116088,"[[ -1.0247152    0.45321937   0.05407888  -0.11918088]
 [-16.93565669  12.46321156   0.           0.        ]]","[ 0.33714051  1.26496278 -1.20132806 -0.09933527  0.4671504  -1.03123289
 -1.41084154  1.78342771  0.46257185 -0.47884212  0.        ]",[-0.67897177 -0.56580168]
6,[ 1.70212197 -0.34256479],[ 1.13886627 -0.03871275],-0.0732741207799,-0.0732741207799,"[[ -1.3203887    0.72855546   0.05407888  -0.11918088]
 [-12.64590232  15.06178046   0.           0.        ]]","[-0.06280242  1.06962042 -1.37116196  0.48556581  0.46715016 -1.031232
 -0.98128024  2.22140109  0.18386352 -0.65070673  0.        ]",[-0.67897177 -0.56580168]
7,[ 1.26357508 -1.06741309],[ 1.42393414 -1.09553324],-0.0573159110252,-0.0573159110252,"[[ -1.53110278   1.02524378   0.05407888  -0.11918088]
 [ -8.43939368  14.60863433   0.           0.        ]]","[-0.36932589  0.77930512 -1.41635368  0.97068942  0.46714993 -1.03123111
 -0.56005536  2.14502016  0.02796676 -0.58572688  0.        ]",[-0.67897177 -0.56580168]
8,[ 0.31100792 -1.16482234],[ 0.27451544 -1.61957342],-0.0447301507493,-0.0447301507493,"[[ -1.65850437   1.27477376   0.05407888  -0.11918088]
 [ -4.31444064  10.35859773   0.           0.        ]]","[-0.55678839  0.48908459 -1.41180861  1.23157138  0.46714969 -1.03123023
 -0.14699729  1.42869315 -0.04027218 -0.42509932  0.        ]",[-0.67897177 -0.56580168]
9,[ 0.02722664 -0.66678298],[-0.3186786  -0.89018519],-0.0368482145596,-0.0368482145596,"[[-1.73302768  1.44015699  0.05407888 -0.11918088]
 [-3.14182256  6.19361964  0.          0.        ]]","[-0.66566865  0.28282665 -1.39800128  1.32131928  0.46714945 -1.03122934
 -0.02957546  0.72670405 -0.08028136 -0.29125573  0.        ]",[-0.67897177 -0.56580168]
10,[ 0.65201271  0.06554601],[ 0.96165029 -0.48310513],-0.0293831865505,-0.0293831865505,"[[-1.80788722  1.52743572  0.05407888 -0.11918088]
 [-4.34017306  2.5463978   0.          0.        ]]","[-0.77370962  0.17178199 -1.37593279  1.34077231  0.46714922 -1.03122845
 -0.14957402  0.11198076 -0.14849891 -0.25512299  0.        ]",[-0.67897177 -0.56580168]
11,[-0.10443668  0.19526312],[-0.0737845   0.10848439],-0.0246937483447,-0.0246937483447,"[[-1.8556414   1.55865775  0.05407888 -0.11918088]
 [-0.44819177  0.58237043  0.          0.        ]]","[-0.84165596  0.1319117  -1.3576162   1.34299366  0.46714898 -1.03122757
  0.24015541 -0.21904747 -0.19890534 -0.26176209  0.        ]",[-0.67897177 -0.56580168]
