timestep,obs,actions,original_rewards,rewards,human_obs,logstd_action_dist,avg_action_dist
0,"[ 1.04809052  1.36529599  0.21260354 -1.03919615 -1.1331274  -0.16753175
  0.27749129 -0.31453687  2.96308594  0.51317165  0.        ]",[ 0.79248376  0.80315085],-0.341364493785,-0.341364493785,"[[ 0.09770584  0.084028   -0.13002941 -0.01997007]
 [ 0.00268043  0.00300165  0.          0.        ]]",[-0.7533704  -0.65850025],[ 0.61372787  1.77027762]
1,"[ 1.04287     1.36118819  0.25907826 -0.95777538 -1.13312642 -0.16753168
  0.61029883  0.23103201  2.94473857  0.64677488  0.        ]",[ 0.84789629  2.2775166 ],-0.341144885098,-0.341144885098,"[[ 0.12920069  0.11598266 -0.13002941 -0.01997007]
 [ 3.13637844  3.18187436  0.          0.        ]]",[-0.7533704  -0.65850025],[ 0.68637627  1.79807043]
2,"[ 1.01818811  1.33917355  0.39900414 -0.69850802 -1.13312545 -0.16753162
  0.9597821   0.89955772  2.85430201  1.0489487   0.        ]",[ 0.76886896  1.74326186],-0.338891260496,-0.338891260496,"[[ 0.2249447   0.21870305 -0.13002941 -0.01997007]
 [ 6.42709691  7.07718262  0.          0.        ]]",[-0.7533704  -0.65850025],[ 0.75588316  1.81233025]
3,"[ 0.94915615  1.2689467   0.62236812 -0.26027536 -1.13312447 -0.16753155
  1.26918698  1.55486379  2.59470137  1.6573108   0.        ]",[ 1.53047077  2.81440567],-0.329702410548,-0.329702410548,"[[  0.38271621   0.39855693  -0.13002941  -0.01997007]
 [  9.34044495  10.89547174   0.           0.        ]]",[-0.7533704  -0.65850025],[ 0.89869219  1.73501158]
4,"[ 0.79324728  1.10422045  0.9153447   0.30385851 -1.13312349 -0.16753149
  1.66967634  2.19711592  2.04225062  2.28929449  0.        ]",[ 1.66815765  0.74434689],-0.305610824718,-0.305610824718,"[[  0.60735842   0.65401384  -0.13002941  -0.01997007]
 [ 13.11145001  14.63771785   0.           0.        ]]",[-0.7533704  -0.65850025],[ 0.6930387   1.02594733]
5,"[ 0.49341457  0.80666533  1.23729815  0.86324307 -1.13312252 -0.16753142
  2.06246479  2.65287259  1.16778677  2.58058452  0.        ]",[-0.39571753  0.07767667],-0.25774664289,-0.25774664289,"[[  0.90669217   0.97341343  -0.13002941  -0.01997007]
 [ 16.80996239  17.29333123   0.           0.        ]]",[-0.7533704  -0.65850025],[-0.25146085 -0.38594449]
6,"[ 0.08883636  0.40343664  1.46447265  1.22596036 -1.13312154 -0.16753136
  1.86120147  2.64680664  0.31774457  2.21134993  0.        ]",[ 0.51704268 -0.80607041],-0.190614264571,-0.190614264571,"[[  1.22387775   1.31892599  -0.13002941  -0.01997007]
 [ 14.9149056   17.25803312   0.           0.        ]]",[-0.7533704  -0.65850025],[-0.65909499 -1.27618206]
7,"[-0.36352906  0.0082612   1.55223998  1.30248007 -1.13312056 -0.16753129
  2.04756627  2.04015383 -0.18212988  1.41817791  0.        ]",[-1.8853214  -3.25163085],-0.119244946444,-0.119244946444,"[[  1.5397838    1.6286212   -0.13002941  -0.01997007]
 [ 16.66974756  13.72324418   0.           0.        ]]",[-0.7533704  -0.65850025],[-1.98139513 -2.3486526 ]
8,"[-0.78442673 -0.28521428  1.5032655   1.19994929 -1.13311959 -0.16753123
  1.5924653   1.31391336 -0.30823155  0.64202432  0.        ]",[-1.74081389 -1.79700603],-0.0601323919268,-0.0601323919268,"[[  1.83018753   1.86062832  -0.13002941  -0.01997007]
 [ 12.38454815   9.49162788   0.           0.        ]]",[-0.7533704  -0.65850025],[-1.67866063 -2.1450212 ]
9,"[-1.0653114  -0.46333896  1.39530109  1.06495981 -1.13311861 -0.16753116
  1.14619378  0.60210257 -0.24307543  0.15550539  0.        ]",[-2.31152801 -1.42426886],-0.0286320918987,-0.0286320918987,"[[ 2.0357199   2.00884679 -0.13002941 -0.01997007]
 [ 8.18247353  5.34408259  0.          0.        ]]",[-0.7533704  -0.65850025],[-1.29304242 -1.7327137 ]
10,"[-1.22006889 -0.53913221  1.30413282  0.98815278 -1.13311763 -0.1675311
  0.70865843 -0.09558328 -0.17497162 -0.07782187  0.        ]",[-0.55915769 -1.23556712],-0.0245376078957,-0.0245376078957,"[[ 2.15803486  2.07494028 -0.13002941 -0.01997007]
 [ 4.0626524   1.27883883  0.          0.        ]]",[-0.7533704  -0.65850025],[-0.61573559 -0.98105955]
11,"[-1.28963315 -0.52283412  1.25413432  1.00573738 -1.13311666 -0.16753103
  0.46508015 -0.77946071 -0.17923026 -0.15164559  0.        ]",[-1.33208407 -0.09658761],-0.023460753653,-0.023460753653,"[[ 2.21627629  2.0605363  -0.13002941 -0.01997007]
 [ 1.76912622 -2.70594773  0.          0.        ]]",[-0.7533704  -0.65850025],[-0.10536249 -0.20552355]
12,"[-1.28414461 -0.45665447  1.2583051   1.07113963 -1.13311568 -0.16753097
  0.04098123 -0.83585214 -0.23648398 -0.10659578  0.        ]",[ 0.52817244  0.50534501],-0.018071135724,-0.018071135724,"[[ 2.21159239  2.00312053 -0.13002941 -0.01997007]
 [-2.22417941 -3.03452962  0.          0.        ]]",[-0.7533704  -0.65850025],[ 0.67136055  0.28610557]
13,"[-1.25684237 -0.40946915  1.278467    1.11219917 -1.1331147  -0.1675309
  0.26767389 -0.48216472 -0.27772831 -0.04125634  0.        ]",[ 0.70663849  0.74530528],-0.0159598398528,-0.0159598398528,"[[ 2.18852547  1.96310707 -0.13002941 -0.01997007]
 [-0.08964633 -0.97368281  0.          0.        ]]",[-0.7533704  -0.65850025],[ 0.39005893  0.07960564]
14,"[-1.28791529 -0.42172487  1.25543819  1.10196159 -1.13311373 -0.16753084
  0.56488955  0.02757438 -0.26447017 -0.09000829  0.        ]",[ 0.20793641 -1.9415572 ],-0.0156596404585,-0.0156596404585,"[[ 2.21481141  1.97343365 -0.13002941 -0.01997007]
 [ 2.70893023  1.99643867  0.          0.        ]]",[-0.7533704  -0.65850025],[-0.38005883 -0.84983838]
15,"[-1.3586558  -0.4214918   1.19799572  1.10215795 -1.13311275 -0.16753077
  0.64664377 -0.65878029 -0.2529892  -0.18517158  0.        ]",[-0.97978886  0.13093191],-0.0162577221689,-0.0162577221689,"[[ 2.27671383  1.973237   -0.13002941 -0.01997007]
 [ 3.47872862 -2.00277778  0.          0.        ]]",[-0.7533704  -0.65850025],[-0.79341584 -0.52776784]
16,"[-1.39161463 -0.38039642  1.16861319  1.13530836 -1.13311177 -0.16753071
  0.227447   -0.5629412  -0.2799195  -0.20879836  0.        ]",[ 0.0556874   1.01484413],-0.014013404111,-0.014013404111,"[[ 2.3066853   1.93878423 -0.13002941 -0.01997007]
 [-0.46841307 -1.44434949  0.          0.        ]]",[-0.7533704  -0.65850025],[ 0.18880445 -0.05102953]
17,"[-1.38391935 -0.3937316   1.17563051  1.12490843 -1.1331108  -0.16753064
  0.25180187  0.12151666 -0.27069179 -0.20510303  0.        ]",[ 0.74387284 -1.03449519],-0.0148237653596,-0.0148237653596,"[[ 2.29961789  1.94991176 -0.13002941 -0.01997007]
 [-0.23908756  2.54381102  0.          0.        ]]",[-0.7533704  -0.65850025],[ 0.18433027 -0.69696891]
18,"[-1.41071134 -0.40642786  1.15074827  1.11468821 -1.13310982 -0.16753058
  0.56504865 -0.56672713 -0.25377064 -0.25016955  0.        ]",[-0.45581078 -0.60017594],-0.0175554982941,-0.0175554982941,"[[ 2.32442971  1.96055216 -0.13002941 -0.01997007]
 [ 2.71043399 -1.466409    0.          0.        ]]",[-0.7533704  -0.65850025],[-0.71814674 -0.57297146]
19,"[-1.44804122 -0.342813    1.11391835  1.16280568 -1.13310884 -0.16753051
  0.36776413 -0.96956877 -0.29652251 -0.27270603  0.        ]",[-0.57839102  0.04773775],-0.014718080505,-0.014718080505,"[[ 2.36000009  1.9076731  -0.13002941 -0.01997007]
 [ 0.85281295 -3.81366648  0.          0.        ]]",[-0.7533704  -0.65850025],[-0.17537372  0.19698012]
20,"[-1.44174781 -0.25230889  1.12031021  1.2185171  -1.13310787 -0.16753045
  0.12284268 -0.92412767 -0.36977955 -0.212071    0.        ]",[-0.26132145 -0.05241388],-0.00620824708723,-0.00620824708723,"[[ 2.35391762  1.83405625 -0.13002941 -0.01997007]
 [-1.45335563 -3.54889681  0.          0.        ]]",[-0.7533704  -0.65850025],[ 0.35503495  0.54895699]
21,"[-1.40033984 -0.16158622  1.16051944  1.2602225  -1.13310689 -0.16753038
  0.01606528 -0.94766847 -0.44402017 -0.08540899  0.        ]",[ 1.04796806  0.76385999],-0.00588629601208,-0.00588629601208,"[[ 2.31476278  1.76170205 -0.13002941 -0.01997007]
 [-2.45876627 -3.68606685  0.          0.        ]]",[-0.7533704  -0.65850025],[ 0.65401405  0.86975825]
22,"[-1.39062533 -0.10748158  1.16950647  1.27865241 -1.13310591 -0.16753032
  0.4415293  -0.41615374 -0.48219203 -0.03035057  0.        ]",[-0.50392159  0.33403979],-0.0114237513662,-0.0114237513662,"[[ 2.30578279  1.71905391 -0.13002941 -0.01997007]
 [ 1.5473821  -0.58907032  0.          0.        ]]",[-0.7533704  -0.65850025],[-0.25265396 -0.01945999]
23,"[-1.40211022 -0.10952977  1.15885863  1.27803917 -1.13310494 -0.16753025
  0.22644185 -0.18710575 -0.47957488 -0.05142507  0.        ]",[ 0.39174815 -0.3223628 ],-0.0100372398476,-0.0100372398476,"[[ 2.31641045  1.720663   -0.13002941 -0.01997007]
 [-0.47786835  0.74553166  0.          0.        ]]",[-0.7533704  -0.65850025],[ 0.2745598   0.03566721]
24,"[-1.40864645 -0.11201581  1.15269517  1.2772861  -1.13310396 -0.16753019
  0.39213048 -0.40873921 -0.4771002  -0.06438051  0.        ]",[-0.74821196 -0.41794929],-0.00915754775966,-0.00915754775966,"[[ 2.32250622  1.72261659 -0.13002941 -0.01997007]
 [ 1.08224748 -0.54586883  0.          0.        ]]",[-0.7533704  -0.65850025],[-0.18578659 -0.00834659]
25,"[-1.3997563  -0.0770723   1.16105407  1.28694824 -1.13310298 -0.16753012
  0.07538397 -0.69083234 -0.50141835 -0.02348604  0.        ]",[ 0.36691029  0.08330349],-0.0130430304536,-0.0130430304536,"[[ 2.314227    1.6952076  -0.13002941 -0.01997007]
 [-1.90021754 -2.1895525   0.          0.        ]]",[-0.7533704  -0.65850025],[ 0.55513102  0.67688882]
26,"[-1.3746444  -0.02580574  1.18393831  1.29763278 -1.13310201 -0.16753006
  0.23359774 -0.62682222 -0.53577903  0.05975057  0.        ]",[ 0.73819392  0.23645179],-0.020006450265,-0.020006450265,"[[ 2.29116969  1.65515864 -0.13002941 -0.01997007]
 [-0.41048629 -1.81658455  0.          0.        ]]",[-0.7533704  -0.65850025],[ 0.36439365  0.5962764 ]
27,"[-1.39773179  0.00832262  1.16293392  1.30246527 -1.13310103 -0.16752999
  0.54472195 -0.46004741 -0.5558175   0.04631335  0.        ]",[-0.56109569 -0.11950857],-0.0205538617837,-0.0205538617837,"[[ 2.31235294  1.6285769  -0.13002941 -0.01997007]
 [ 2.51904024 -0.8448339   0.          0.        ]]",[-0.7533704  -0.65850025],[-0.45948428  0.03844991]
28,"[-1.42714691  0.03593155  1.13483049  1.3050499  -1.13310005 -0.16752993
  0.30359694 -0.53832838 -0.57105566  0.01455182  0.        ]",[ 1.13760949  1.18599393],-0.0200855356456,-0.0200855356456,"[[ 2.3399539   1.60710374 -0.13002941 -0.01997007]
 [ 0.24862561 -1.3009574   0.          0.        ]]",[-0.7533704  -0.65850025],[ 0.08246142  0.41399184]
29,"[-1.47305559  0.01797876  1.08768368  1.30350148 -1.13309908 -0.16752986
  0.7233234   0.14553247 -0.55468173 -0.08614016  0.        ]",[-2.41057399 -1.87180007],-0.0149506809562,-0.0149506809562,"[[ 2.38457893  1.62106419 -0.13002941 -0.01997007]
 [ 4.2007423   2.68371364  0.          0.        ]]",[-0.7533704  -0.65850025],[-1.13390374 -0.91889286]
30,"[ -1.51574783e+00   7.33617439e-04   1.03979373e+00   1.30154317e+00
  -1.13309810e+00  -1.67529799e-01   2.94245490e-01  -5.43037493e-01
  -5.35085444e-01  -1.82305101e-01   0.00000000e+00]",[ 0.05036155  1.22134787],-0.0123223072007,-0.0123223072007,"[[ 2.42805785  1.63448356 -0.13002941 -0.01997007]
 [ 0.16057886 -1.32839588  0.          0.        ]]",[-0.7533704  -0.65850025],[-0.20918177  0.20813519]
31,"[-1.52068802 -0.01650204  1.03397086  1.29912384 -1.13309712 -0.16752973
  0.3150103   0.14102711 -0.5220955  -0.20393188  0.        ]",[-0.30321617 -0.57014548],-0.0114698539162,-0.0114698539162,"[[ 2.43323105  1.64790704 -0.13002941 -0.01997007]
 [ 0.3560999   2.65745987  0.          0.        ]]",[-0.7533704  -0.65850025],[-0.26037276 -0.57733405]
32,"[-1.51592387 -0.05491747  1.03958133  1.29206379 -1.13309615 -0.16752967
  0.18685017 -0.25541738 -0.49643211 -0.22030686  0.        ]",[-0.13167973  0.67524274],-0.00965504935024,-0.00965504935024,"[[ 2.42824554  1.67787955 -0.13002941 -0.01997007]
 [-0.85064459  0.34748759  0.          0.        ]]",[-0.7533704  -0.65850025],[ 0.02676345 -0.07653189]
33,"[-1.49450464 -0.09797046  1.0641362   1.28139209 -1.13309517 -0.1675296
  0.13324748  0.20227938 -0.47127039 -0.20778345  0.        ]",[-0.4116836 -1.0948746],-0.00703689189082,-0.00703689189082,"[[ 2.40616861  1.71158691 -0.13002941 -0.01997007]
 [-1.35536235  3.01435869  0.          0.        ]]",[-0.7533704  -0.65850025],[ 0.2861799  -0.45912451]
34,"[-1.45109254 -0.12337425  1.11074969  1.27371237 -1.13309419 -0.16752954
 -0.03689187 -0.48748553 -0.46258135 -0.14610137  0.        ]",[ 0.24708252  0.82423552],-0.00490876080018,-0.00490876080018,"[[ 2.36298785  1.73154955 -0.13002941 -0.01997007]
 [-2.9573792  -1.00470778  0.          0.        ]]",[-0.7533704  -0.65850025],[ 0.61275452  0.38336486]
35,"[-1.39974769 -0.13968239  1.16103703  1.2682359  -1.13309322 -0.16752947
  0.07313379  0.07601485 -0.45931522 -0.06906107  0.        ]",[ 0.77305805 -0.40972031],-0.0077468191095,-0.0077468191095,"[[ 2.31423473  1.74439834 -0.13002941 -0.01997007]
 [-1.92138769  2.27864889  0.          0.        ]]",[-0.7533704  -0.65850025],[ 0.64133352 -0.08985072]
36,"[-1.39180352 -0.1761481   1.16839015  1.25443089 -1.13309224 -0.16752941
  0.4021452  -0.21022583 -0.43495554 -0.08145727  0.        ]",[-0.59977351 -0.55742807],-0.00574875807103,-0.00574875807103,"[[ 2.30688951  1.77323724 -0.13002941 -0.01997007]
 [ 1.17655335  0.61080595  0.          0.        ]]",[-0.7533704  -0.65850025],[-0.1797121  -0.25724483]
37,"[-1.39124049 -0.16346613  1.16890489  1.25947637 -1.13309126 -0.16752934
  0.14759094 -0.59105325 -0.44390363 -0.07174068  0.        ]",[ 0.48548955  0.27545587],-0.00677440568747,-0.00677440568747,"[[ 2.30637212  1.76318968 -0.13002941 -0.01997007]
 [-1.22030345 -1.60816729  0.          0.        ]]",[-0.7533704  -0.65850025],[ 0.3914493  0.3753916]
38,"[-1.38592381 -0.13700412  1.17376003  1.26916076 -1.13309029 -0.16752928
  0.3542124  -0.39844511 -0.46276856 -0.04406603  0.        ]",[ 0.19007087  0.85298832],-0.00949007704718,-0.00949007704718,"[[ 2.30148622  1.74228644 -0.13002941 -0.01997007]
 [ 0.72522415 -0.48589652  0.          0.        ]]",[-0.7533704  -0.65850025],[-0.0304645   0.05279383]
39,"[-1.40956659 -0.16771194  1.15178383  1.2578136  -1.13308931 -0.16752921
  0.43253748  0.18284328 -0.43836807 -0.10498857  0.        ]",[-0.86702354 -0.33735359],-0.00435363695818,-0.00435363695818,"[[ 2.32339011  1.76655137 -0.13002941 -0.01997007]
 [ 1.46272659  2.90110167  0.          0.        ]]",[-0.7533704  -0.65850025],[-0.27654082 -0.69513488]
40,"[-1.40371081 -0.22306627  1.15731421  1.23344246 -1.13308833 -0.16752915
  0.06503059 -0.05619272 -0.3994034  -0.13237369  0.        ]",[ 0.41827508  1.17437495],-0.00211852552402,-0.00211852552402,"[[ 2.3179256   1.81059914 -0.13002941 -0.01997007]
 [-1.99767768  1.50830907  0.          0.        ]]",[-0.7533704  -0.65850025],[ 0.57941955 -0.11436164]
41,"[-1.37879941 -0.30927159  1.18018772  1.18512553 -1.13308736 -0.16752908
  0.24500995  0.61820652 -0.33897219 -0.14827021  0.        ]",[ 0.03823459 -0.12988331],-0.00749220341072,-0.00749220341072,"[[ 2.29497476  1.88019148 -0.13002941 -0.01997007]
 [-0.30301151  5.43783558  0.          0.        ]]",[-0.7533704  -0.65850025],[ 0.30617157 -1.0170821 ]
42,"[-1.3738755  -0.43268677  1.18458378  1.09252149 -1.13308638 -0.16752902
  0.26173615  0.51146369 -0.24040208 -0.21224368  0.        ]",[ 0.13278396 -1.43355679],-0.0178886244074,-0.0178886244074,"[[ 2.29049476  1.98270788 -0.13002941 -0.01997007]
 [-0.14551857  4.81587826  0.          0.        ]]",[-0.7533704  -0.65850025],[ 0.1995879 -1.113886 ]
43,"[-1.3765088  -0.49747597  1.18223402  1.03188066 -1.1330854  -0.16752895
  0.31790014 -0.18446574 -0.18366782 -0.24856467  0.        ]",[ 0.7871429  -0.99297456],-0.0240842415359,-0.0240842415359,"[[ 2.29289056  2.03834056 -0.13002941 -0.01997007]
 [ 0.38331604  0.76090525  0.          0.        ]]",[-0.7533704  -0.65850025],[ 0.0091017  -0.64270103]
