timestep,avg_action_dist,actions,original_rewards,rewards,human_obs,obs,logstd_action_dist
0,[ 2.21804929  2.35853267],[ 2.25202063  2.25641877],-0.0822912636478,-0.0822912636478,"[[-0.02077018  0.03387553  0.17972887  0.07589825]
 [ 0.00296512  0.00159046  0.          0.        ]]","[ 1.06298764  1.34922413  0.03404267 -1.20282801  1.55918908  0.65140975
  0.26343415 -0.31324515 -0.10733262 -1.19336866  0.        ]",[-0.8104924 -0.7237612]
1,[ 0.01379746  0.43153697],[ 0.04537729  0.65378175],-0.0704431853149,-0.0704431853149,"[[ 0.01896363  0.07361942  0.17972887  0.07589825]
 [ 3.95725774  3.95961233  0.          0.        ]]","[ 1.06303918  1.34645018  0.0929726  -1.10112944  1.55918719  0.65140942
  0.68406792  0.37644149 -0.11199107 -1.01848334  0.        ]",[-0.8104924 -0.7237612]
2,[-1.2740202  -0.78169668],[-1.2223028  -1.71963677],-0.0440919502889,-0.0440919502889,"[[ 0.09911503  0.177998    0.17972887  0.07589825]
 [ 4.05756296  6.46987888  0.          0.        ]]","[ 1.05614259  1.32944775  0.21161563 -0.83587302  1.5591853   0.65140909
  0.69473743  0.81385603 -0.15472172 -0.6337869   0.        ]",[-0.8104924 -0.7237612]
3,[-0.04336751  0.6762678 ],[-1.30221747  0.41098997],-0.0274964768967,-0.0274964768967,"[[ 0.13978639  0.26639805  0.17972887  0.07589825]
 [ 0.02298068  2.38373815  0.          0.        ]]","[ 1.04907351  1.30415522  0.27150605 -0.61497172  1.55918341  0.65140876
  0.26556231  0.10184415 -0.20805704 -0.39393599  0.        ]",[-0.8104924 -0.7237612]
4,[ 1.22037971  0.82097727],[ 0.99804127  1.24975431],-0.0280606434024,-0.0280606434024,"[[ 0.10054422  0.32994212  0.17972887  0.07589825]
 [-3.93402886  3.96538625  0.          0.        ]]","[ 1.05593328  1.27991526  0.21372468 -0.45933898  1.55918152  0.65140844
 -0.15536106  0.37744698 -0.21431095 -0.41398521  0.        ]",[-0.8104924 -0.7237612]
5,[-0.63712454 -1.11887479],[-0.81558669 -1.5334706 ],-0.0226288629695,-0.0226288629695,"[[ 0.06224374  0.44817475  0.17972887  0.07589825]
 [ 0.09062754  7.8449622   0.          0.        ]]","[ 1.0604739   1.22170574  0.15710814 -0.17915161  1.55917963  0.65140811
  0.27275829  1.05346448 -0.25167069 -0.35873876  0.        ]",[-0.8104924 -0.7237612]
6,[ 0.97063875  0.27817318],[ 1.28265978  0.60209998],-0.0157783665258,-0.0157783665258,"[[ 0.03168119  0.56379956  0.17972887  0.07589825]
 [-3.13618955  3.73121484  0.          0.        ]]","[ 1.06256559  1.14896785  0.11182885  0.07988655  1.55917775  0.65140778
 -0.07049176  0.33664159 -0.30025117 -0.2910172   0.        ]",[-0.8104924 -0.7237612]
7,[-0.81274641 -1.26172459],[-0.42836367 -1.10489694],-0.0092103092201,-0.0092103092201,"[[ 0.00926526  0.66158854  0.17972887  0.07589825]
 [ 0.88126757  6.04000431  0.          0.        ]]","[ 1.06323407  1.07596432  0.07858872  0.28482403  1.55917586  0.65140745
  0.35686202  0.73894916 -0.34966564 -0.22995094  0.        ]",[-0.8104924 -0.7237612]
8,[ 0.14602362 -0.16435727],[ 0.09228895  0.1148549 ],-0.000678364098463,-0.000678364098463,"[[ 0.0097266   0.74146681  0.17972887  0.07589825]
 [-0.82947683  1.96141095  0.          0.        ]]","[ 1.06322688  1.00903203  0.07927293  0.44114688  1.55917397  0.65140713
  0.17488278  0.02825166 -0.40839162 -0.13701217  0.        ]",[-0.8104924 -0.7237612]
9,[-0.04681411 -0.4285247 ],[-0.20607814 -0.51537312],-0.00211753571293,-0.00211753571293,"[[-0.00303621  0.78486708  0.17972887  0.07589825]
 [-0.44807096  2.37723078  0.          0.        ]]","[ 1.06328835  0.97007582  0.06034307  0.52151488  1.55917208  0.6514068
  0.21545448  0.10070852 -0.43211821 -0.12119603  0.        ]",[-0.8104924 -0.7237612]
10,[ 0.51279914  0.16960567],[ 0.49953764  0.59288423],-0.0024590467051,-0.0024590467051,"[[-0.02008232  0.81146742  0.17972887  0.07589825]
 [-1.25386289  0.28975856  0.          0.        ]]","[ 1.06300018  0.94533896  0.0350619   0.56909636  1.55917019  0.65140647
  0.12973885 -0.263035   -0.43990366 -0.13442738  0.        ]",[-0.8104924 -0.7237612]
11,[-0.49519992 -0.81956279],[-0.18420329 -0.31638998],-0.00468249533037,-0.00468249533037,"[[-0.02508859  0.84075259  0.17972887  0.07589825]
 [ 0.74658753  2.63096016  0.          0.        ]]","[ 1.06283449  0.91737458  0.02763837  0.61995814  1.5591683   0.65140614
  0.34253538  0.14492123 -0.45955997 -0.1158326   0.        ]",[-0.8104924 -0.7237612]
12,[-0.18773957 -0.48348412],[ 0.3078065  -1.01058774],-0.0100990859876,-0.0100990859876,"[[-0.01761289  0.88028203  0.17972887  0.07589825]
 [ 0.00344763  1.32633013  0.          0.        ]]","[ 1.06306646  0.87845487  0.03872393  0.68600708  1.55916641  0.65140582
  0.26348421 -0.08241166 -0.49857411 -0.05791482  0.        ]",[-0.8104924 -0.7237612]
13,[-0.24797149  0.34357861],[ 0.03144697  0.15543241],-0.0107236122398,-0.0107236122398,"[[-0.0053133   0.86681353  0.17972887  0.07589825]
 [ 1.2224478  -2.6598944   0.          0.        ]]","[ 1.06327129  0.89186311  0.05696564  0.66384398  1.55916453  0.65140549
  0.39315452 -0.77701459 -0.49743948 -0.04213448  0.        ]",[-0.8104924 -0.7237612]
14,[-0.40417731  0.19747056],[ 0.3569822  -0.06906647],-0.0102701872042,-0.0102701872042,"[[ 0.02013924  0.82031863  0.17972887  0.07589825]
 [ 1.32247139 -1.99182258  0.          0.        ]]","[ 1.06299531  0.93696457  0.09471537  0.5846378   1.55916264  0.65140516
  0.40379431 -0.66060209 -0.47990459 -0.02810313  0.        ]",[-0.8104924 -0.7237612]
15,[-1.01627195  0.00414214],[-1.02708437  0.413183  ],-0.0135515036801,-0.0135515036801,"[[ 0.06049754  0.77812939  0.17972887  0.07589825]
 [ 2.70873633 -2.22632308  0.          0.        ]]","[ 1.06062211  0.97623522  0.15452303  0.50925611  1.55916075  0.65140483
  0.5512573  -0.70146367 -0.48003247  0.02557956  0.        ]",[-0.8104924 -0.7237612]
16,[ 0.21460578  0.2439007 ],[-0.0324958  -0.28898014],-0.0134474331401,-0.0134474331401,"[[ 0.07443372  0.75047316  0.17972887  0.07589825]
 [-1.30175202 -0.54490233  0.          0.        ]]","[ 1.05925108  1.00108899  0.17514627  0.45809548  1.55915886  0.65140451
  0.12464343 -0.40847421 -0.46964872  0.03077581  0.        ]",[-0.8104924 -0.7237612]
17,[ 0.56711334  0.69621921],[ 0.75282836  1.28803193],-0.00599392425601,-0.00599392425601,"[[ 0.04737099  0.72820308  0.17972887  0.07589825]
 [-1.40417759 -1.67832796  0.          0.        ]]","[ 1.06165257  1.02057512  0.13508173  0.41592512  1.55915697  0.65140418
  0.11374792 -0.60597455 -0.42834027 -0.05852124  0.        ]",[-0.8104924 -0.7237612]
18,[-0.96650231 -0.75332248],[-0.88399357 -0.66543972],-0.00700450694405,-0.00700450694405,"[[ 0.0494362   0.73468763  0.17972887  0.07589825]
 [ 1.60070076  2.3134828   0.          0.        ]]","[ 1.06150604  1.01494944  0.13814126  0.42829219  1.55915508  0.65140385
  0.43339049  0.0896029  -0.43514484 -0.04652339  0.        ]",[-0.8104924 -0.7237612]
19,[ 0.56420559  0.38946223],[ 0.96225183  1.07031707],-0.00827500482696,-0.00827500482696,"[[ 0.04605137  0.75407297  0.17972887  0.07589825]
 [-1.92744818 -0.36602532  0.          0.        ]]","[ 1.06174085  0.99789243  0.13312647  0.46483066  1.5591532   0.65140352
  0.0580849  -0.3773044  -0.44777743 -0.03405656  0.        ]",[-0.8104924 -0.7237612]
20,[-1.30243742 -1.30627108],[-1.6253317  -0.76262346],-0.0116238295203,-0.0116238295203,"[[ 0.04606872  0.78654026  0.17972887  0.07589825]
 [ 1.9164101   3.59954532  0.          0.        ]]","[  1.06173888e+00   9.68531718e-01   1.33152130e-01   5.24543180e-01
   1.55915131e+00   6.51403196e-01   4.66973877e-01   3.13701055e-01
  -4.74228643e-01  -4.26182724e-04   0.00000000e+00]",[-0.8104924 -0.7237612]
21,[ 0.40198708 -0.02454019],[ 0.11140329 -0.55014493],-0.0156347544907,-0.0156347544907,"[[ 0.04433111  0.82753165  0.17972887  0.07589825]
 [-2.07690379  0.50988212  0.          0.        ]]","[ 1.0618526   0.93008584  0.13057744  0.5971941   1.55914942  0.65140287
  0.04218628 -0.22467665 -0.50728246  0.03644261  0.        ]",[-0.8104924 -0.7237612]
22,[ 0.69038093  0.6248908 ],[ 1.53810391  0.42238304],-0.00744240676401,-0.00744240676401,"[[ 0.00763456  0.81577028  0.17972887  0.07589825]
 [-1.59435454 -1.67872371  0.          0.        ]]","[ 1.06324219  0.94126996  0.07616948  0.57666756  1.55914753  0.65140254
  0.0935173  -0.60604387 -0.46562125 -0.06271958  0.        ]",[-0.8104924 -0.7237612]
23,[-0.94784665 -0.41809669],[-0.7356672   0.11329657],-0.00716059786881,-0.00716059786881,"[[ 0.01575431  0.79929672  0.17972887  0.07589825]
 [ 2.39304512  0.02568785  0.          0.        ]]","[ 1.06310291  0.95672791  0.08821205  0.54748379  1.55914564  0.65140221
  0.51767582 -0.30904768 -0.45885881 -0.06023048  0.        ]",[-0.8104924 -0.7237612]
24,[-0.02059858 -0.14522061],[ 0.29736775 -0.53078744],-0.0111727133766,-0.0111727133766,"[[ 0.03393596  0.80431591  0.17972887  0.07589825]
 [-0.56503033  0.47473456  0.          0.        ]]","[ 1.06244335  0.95204315  0.11517086  0.5564284   1.55914375  0.65140189
  0.20301105 -0.23080056 -0.47845605 -0.01130639  0.        ]",[-0.8104924 -0.7237612]
25,[-0.21213664  0.23974355],[ 0.0199354   0.37994502],-0.0100466165538,-0.0100466165538,"[[ 0.03455857  0.79262542  0.17972887  0.07589825]
 [ 0.62333263 -1.63674626  0.          0.        ]]","[ 1.06241146  0.96291722  0.11609376  0.53552255  1.55914186  0.65140156
  0.32942284 -0.59872897 -0.46930466 -0.02176413  0.        ]",[-0.8104924 -0.7237612]
26,[-0.43462801 -0.1645411 ],[-0.08258867  0.67706009],-0.0107703624163,-0.0107703624163,"[[ 0.04768784  0.77530978  0.17972887  0.07589825]
 [ 0.68937426 -0.09993937  0.          0.        ]]","[ 1.06162343  0.97879451  0.13555083  0.50410002  1.55913998  0.65140123
  0.33644788 -0.33093787 -0.46640216 -0.00800232  0.        ]",[-0.8104924 -0.7237612]
27,[-0.69409132 -0.86496794],[-0.73917363 -0.08331137],-0.015378029649,-0.015378029649,"[[ 0.05805138  0.80023008  0.17972887  0.07589825]
 [ 0.3481249   2.58302773  0.          0.        ]]","[ 1.06082389  0.95585596  0.15090075  0.54914972  1.55913809  0.6514009
  0.30014739  0.13657337 -0.49638804  0.04191088  0.        ]",[-0.8104924 -0.7237612]
28,[ 0.40867001 -0.39734557],[ 0.71888602 -0.063162  ],-0.0161782598211,-0.0161782598211,"[[ 0.03560391  0.84807717  0.17972887  0.07589825]
 [-2.58312686  2.20293687  0.          0.        ]]","[ 1.0623556   0.91025239  0.11764312  0.63242116  1.5591362   0.65140058
 -0.01166434  0.07034188 -0.51709176  0.03584961  0.        ]",[-0.8104924 -0.7237612]
29,[-0.52816236 -0.80781579],[ 0.03251933 -1.75360535],-0.0164476083069,-0.0164476083069,"[[ 0.01299219  0.88917983  0.17972887  0.07589825]
 [ 0.31232542  1.90832078  0.          0.        ]]","[ 1.06315602  0.869503    0.08411528  0.70044871  1.55913431  0.65140025
  0.29633922  0.01900452 -0.53263532  0.02222588  0.        ]",[-0.8104924 -0.7237612]
30,[-0.1837822   0.17903697],[ 0.23260726  0.06802395],-0.0176041364391,-0.0176041364391,"[[ 0.02048001  0.88723895  0.17972887  0.07589825]
 [ 0.43603934 -2.08908579  0.          0.        ]]","[ 1.06297246  0.87145827  0.09521984  0.69731079  1.55913242  0.65139992
  0.30949917 -0.67755033 -0.53767035  0.03777217  0.        ]",[-0.8104924 -0.7237612]
31,[-0.57356328  0.00167221],[-0.53866398 -0.25119647],-0.0167444195257,-0.0167444195257,"[[ 0.03834705  0.84857179  0.17972887  0.07589825]
 [ 1.34762464 -1.7786661   0.          0.        ]]","[ 1.0622053   0.90976886  0.12170897  0.63325826  1.55913053  0.65139959
  0.40646894 -0.62345883 -0.51998336  0.0426912   0.        ]",[-0.8104924 -0.7237612]
32,[ 0.36060894  0.6748656 ],[ 0.33042855  1.16874966],-0.0129380986309,-0.0129380986309,"[[ 0.04365229  0.80337914  0.17972887  0.07589825]
 [-0.80990343 -2.73740239  0.          0.        ]]","[ 1.06188735  0.95291426  0.1295712   0.55476007  1.55912865  0.65139927
  0.17696165 -0.79051995 -0.48617675  0.01091872  0.        ]",[-0.8104924 -0.7237612]
33,[-0.50601715 -0.48813733],[-0.36855146 -0.45016705],-0.0108386039787,-0.0108386039787,"[[ 0.04071862  0.78889837  0.17972887  0.07589825]
 [ 0.51213116  1.27595131  0.          0.        ]]","[ 1.062067    0.96635321  0.12522371  0.52880262  1.55912676  0.65139894
  0.31759311 -0.09118552 -0.47152421 -0.01082007  0.        ]",[-0.8104924 -0.7237612]
34,[ 0.22885212  0.18676087],[ 0.32451146  0.71978545],-0.010759648943,-0.010759648943,"[[ 0.03623561  0.79628455  0.17972887  0.07589825]
 [-0.9555488  -0.53131256  0.          0.        ]]","[ 1.06231772  0.95952124  0.11857924  0.54209031  1.55912487  0.65139861
  0.16146838 -0.40610458 -0.47377962 -0.01397265  0.        ]",[-0.8104924 -0.7237612]
35,[-0.54875278 -0.75921428],[-0.48002788 -1.3582746 ],-0.0115265610972,-0.0115265610972,"[[ 0.03018673  0.81435512  0.17972887  0.07589825]
 [ 0.34633495  2.3288397   0.          0.        ]]","[ 1.06260986  0.94259939  0.10961226  0.57417672  1.55912298  0.65139828
  0.29995639  0.09228259 -0.48355788 -0.0101695   0.        ]",[-0.8104924 -0.7237612]
36,[ 0.61438441  0.57053524],[ 0.56245995  0.59498475],-0.00991905096238,-0.00991905096238,"[[ 0.0180024   0.82074758  0.17972887  0.07589825]
 [-1.55843052 -1.67624966  0.          0.        ]]","[ 1.06303719  0.93654291  0.09154535  0.58538191  1.55912109  0.65139796
  0.09733651 -0.60561212 -0.47845857 -0.03273451  0.        ]",[-0.8104924 -0.7237612]
37,[-0.39277035 -0.33949134],[ 0.19272252 -0.4084095 ],-0.0072758447451,-0.0072758447451,"[[ 0.00946286  0.81118571  0.17972887  0.07589825]
 [ 0.69696387  0.71210646  0.          0.        ]]","[ 1.06320742  0.94558716  0.07888041  0.56859219  1.5591192   0.65139763
  0.33725453 -0.18943602 -0.46335149 -0.0630822   0.        ]",[-0.8104924 -0.7237612]
38,[-0.59745449 -0.10373679],[-0.43422027 -0.79298899],-0.011100817764,-0.011100817764,"[[ 0.03091936  0.80905872  0.17972887  0.07589825]
 [ 1.44618764 -0.91936849  0.          0.        ]]","[ 1.06257482  0.94758743  0.11069833  0.56483404  1.55911732  0.6513973
  0.41695326 -0.47372382 -0.47978526 -0.01374033  0.        ]",[-0.8104924 -0.7237612]
39,[ 0.4016664   1.01985538],[-0.03327385  0.99156354],-0.00808502267111,-0.00808502267111,"[[ 0.04232958  0.75935588  0.17972887  0.07589825]
 [-0.29933805 -4.0405127   0.          0.        ]]","[ 1.06196468  0.99316974  0.1276109   0.47466862  1.55911543  0.65139697
  0.23127231 -1.01758931 -0.44885575 -0.0375481   0.        ]",[-0.8104924 -0.7237612]
40,[ 0.12470491  0.2282013 ],[ 0.03936879  0.75743624],-0.00292192706025,-0.00292192706025,"[[ 0.03506837  0.71874132  0.17972887  0.07589825]
 [-0.42636873 -0.03429461  0.          0.        ]]","[ 1.06237361  1.02869476  0.11684884  0.39774448  1.55911354  0.65139665
  0.2177593  -0.31949692 -0.41093313 -0.09927423  0.        ]",[-0.8104924 -0.7237612]
41,[-0.27726895 -0.57473898],[-0.13049209 -0.1829331 ],-0.00419279662214,-0.00419279662214,"[[ 0.02817831  0.74815299  0.17972887  0.07589825]
 [-0.26317113  2.96546463  0.          0.        ]]","[ 1.06269054  1.0031252   0.10663434  0.45373534  1.55911165  0.65139632
  0.23511942  0.20321778 -0.42817659 -0.08414276  0.        ]",[-0.8104924 -0.7237612]
