timestep,avg_action_dist,actions,original_rewards,rewards,human_obs,obs,logstd_action_dist
0,[-1.53864765  0.58822483],[-2.41449219  1.26787161],-0.0907574143859,-0.0907574143859,"[[ 0.0667327  -0.09083198  0.18307791 -0.08273342]
 [ 0.00041013 -0.00217615  0.          0.        ]]","[ 1.06887445  2.01342598  0.19871372 -1.02624888  1.59135027 -0.7374191
  0.30515293 -0.35895783 -0.06159323  0.6925033   0.        ]",[-0.1501887  -0.12070381]
1,[-1.37775183  0.58965451],[ 0.37907296  0.82881859],-0.0870341169898,-0.0870341169898,"[[ 0.02703486 -0.0511318   0.18307791 -0.08273342]
 [-3.95701191  3.95898803  0.          0.        ]]","[ 1.0714722   2.01716574  0.13826199 -0.90833375  1.59133925 -0.73741687
 -0.01447732  0.19760805 -0.06025027  0.65945237  0.        ]",[-0.1501887  -0.12070381]
2,[-1.42779434  0.53881061],[-1.56163825  0.18715215],-0.0860204554642,-0.0860204554642,"[[-0.03628698  0.06018257  0.18307791 -0.08273342]
 [-2.38041723  7.16177696  0.          0.        ]]","[ 1.07105802  2.01647335  0.04174066 -0.57703991  1.59132822 -0.73741463
  0.11285999  0.64761731 -0.06045723  0.65063722  0.        ]",[-0.1501887  -0.12070381]
3,[-1.21788931  0.56775641],[-1.43544905  1.60316647],-0.0839871440885,-0.0839871440885,"[[-0.12311589  0.20944578  0.18307791 -0.08273342]
 [-6.28946858  7.76252811  0.          0.        ]]","[ 1.06138678  1.98968805 -0.09017426 -0.13701167  1.5913172  -0.7374124
 -0.20286433  0.73202434 -0.06817701  0.63570564  0.        ]",[-0.1501887  -0.12070381]
4,[-0.92247504  0.55983227],[-2.52352615  0.673564  ],-0.0706163917155,-0.0706163917155,"[[ -0.28736342   0.4028962    0.18307791  -0.08273342]
 [-10.1225478   11.56978959   0.           0.        ]]","[ 1.01461272  1.91192757 -0.33504995  0.41139156  1.59130618 -0.73741017
 -0.51245229  1.26696205 -0.09465054  0.52840175  0.        ]",[-0.1501887  -0.12070381]
5,[-0.52963549  0.56887668],[ 0.47308733  0.79507962],-0.0484043644724,-0.0484043644724,"[[ -0.52750948   0.65876406   0.18307791  -0.08273342]
 [-13.87962622  14.00878849   0.           0.        ]]","[ 0.88182212  1.73940783 -0.67039102  1.06666205  1.59129516 -0.73740794
 -0.81590089  1.60964499 -0.16472186  0.35929443  0.        ]",[-0.1501887  -0.12070381]
6,[-0.44083995  0.46135181],[ 0.80660545  0.3906222 ],-0.0325496306658,-0.0325496306658,"[[ -0.78358238   0.9677317    0.18307791  -0.08273342]
 [-11.73472586  16.87843508   0.           0.        ]]","[ 0.66406686  1.44083267 -0.9790208   1.69633184  1.59128414 -0.7374057
 -0.64265994  2.01282671 -0.28371536  0.23835334  0.        ]",[-0.1501887  -0.12070381]
7,[-0.46422637  0.36368522],[-0.08956721  1.1315679 ],-0.042698068079,-0.042698068079,"[[ -0.98393142   1.31745258   0.18307791  -0.08273342]
 [ -8.31139962  18.08969274   0.           0.        ]]","[ 0.44776343  1.01814329 -1.17242202  2.12653041  1.59127312 -0.73740347
 -0.36616382  2.18298959 -0.42569323  0.26489573  0.        ]",[-0.1501887  -0.12070381]
8,[-0.31870526  0.33542442],[-0.1120318  1.3751885],-0.0703749939684,-0.0703749939684,"[[ -1.15207074   1.71537832   0.18307791  -0.08273342]
 [ -8.50179377  21.6908728    0.           0.        ]]","[ 0.24192257  0.49103717 -1.29579464  2.19048654  1.5912621  -0.73740124
 -0.38154075  2.6889257  -0.61086534  0.38694608  0.        ]",[-0.1501887  -0.12070381]
9,[-0.19633229  0.30692512],[ 1.01030518  0.86773053],-0.11104807755,-0.11104807755,"[[ -1.32486604   2.1846122    0.18307791  -0.08273342]
 [ -8.77672975  25.22075308   0.           0.        ]]","[ 0.01372781 -0.08573275 -1.38162551  1.67797919  1.59125108 -0.73739901
 -0.40374594  3.18481167 -0.88180586  0.54518539  0.        ]",[-0.1501887  -0.12070381]
10,[-0.26019043  0.26870245],[-0.42083913  1.4272525 ],-0.163900785736,-0.163900785736,"[[ -1.45892942   2.71848795   0.18307791  -0.08273342]
 [ -4.6431961   28.15712621   0.           0.        ]]","[-0.17066711 -0.53419227 -1.41796012  0.46646163  1.59124006 -0.73739678
 -0.06988678  3.5972725  -1.25206537  0.70351199  0.        ]",[-0.1501887  -0.12070381]
11,[-0.2065915   0.41235134],[ 1.58831248 -2.0006824 ],-0.208731216712,-0.208731216712,"[[-1.56758912  3.15669306  0.18307791 -0.08273342]
 [-6.21808782  7.41671028  0.          0.        ]]","[-0.32233247 -0.65179498 -1.42747322 -0.80112575  1.59122904 -0.73739454
 -0.19708816  0.68331925 -1.6044805   0.74168613  0.        ]",[-0.1501887  -0.12070381]
12,[-0.29116547  0.47720078],[-0.12326958 -0.06306375],-0.207751122589,-0.207751122589,"[[-1.65099701  3.16844015  0.18307791 -0.08273342]
 [-2.13616081 -3.07406063  0.          0.        ]]","[-0.43888163 -0.65146417 -1.42257214 -0.83609452  1.59121802 -0.73739231
  0.13260368 -0.79059406 -1.59556769  0.74399921  0.        ]",[-0.1501887  -0.12070381]
13,[-0.25364661  0.4937138 ],[-1.17042646  0.47040949],-0.199581295502,-0.199581295502,"[[-1.6981932   3.09865595  0.18307791 -0.08273342]
 [-2.58195812 -3.62927102  0.          0.        ]]","[-0.50453679 -0.65071284 -1.41510921 -0.62834445  1.591207   -0.73739008
  0.09659693 -0.86859621 -1.53295088  0.73585703  0.        ]",[-0.1501887  -0.12070381]
14,[-0.11792123  0.5070889 ],[ 0.43613986  0.13715609],-0.192805788477,-0.192805788477,"[[-1.78904353  3.04515856  0.18307791 -0.08273342]
 [-6.49005381 -1.79846764  0.          0.        ]]","[-0.62968019 -0.64573733 -1.39129135 -0.46944891  1.59119598 -0.73738785
 -0.21905581 -0.61137291 -1.48624759  0.71707303  0.        ]",[-0.1501887  -0.12070381]
15,[-0.11156137  0.51055574],[-0.35980359  2.19529088],-0.188230014322,-0.188230014322,"[[-1.90022956  3.01499604  0.18307791 -0.08273342]
 [-4.63473259 -1.21971335  0.          0.        ]]","[-0.77933255 -0.6412533  -1.34546702 -0.38019376  1.59118496 -0.73738562
 -0.06920285 -0.53005847 -1.45964405  0.69346992  0.        ]",[-0.1501887  -0.12070381]
16,[-0.03945691  0.52019054],[ 0.23483619  1.45324717],-0.185791264278,-0.185791264278,"[[-2.00629619  3.00314029  0.18307791 -0.08273342]
 [-5.96750035 -0.2033581   0.          0.        ]]","[-0.91691088 -0.63915954 -1.28513896 -0.3451996   1.59117394 -0.73738338
 -0.1768493  -0.38726277 -1.44894304  0.67303402  0.        ]",[-0.1501887  -0.12070381]
17,[-0.02336367  0.52746135],[ 0.85116988 -0.83677458],-0.184750416339,-0.184750416339,"[[-2.11513195  3.00187762  0.18307791 -0.08273342]
 [-4.91957077  0.0154303   0.          0.        ]]","[-1.05117211 -0.63892401 -1.20709472 -0.34147528  1.59116292 -0.73738115
 -0.09220835 -0.35652282 -1.44775489  0.65645752  0.        ]",[-0.1501887  -0.12070381]
18,[-0.07796381  0.54894221],[ 1.7640224   2.16839217],-0.180861751422,-0.180861751422,"[[-2.17873503  2.96894133  0.18307791 -0.08273342]
 [-1.45228983 -3.29801515  0.          0.        ]]","[-1.12576075 -0.63208104 -1.15427228 -0.24459737  1.5911519  -0.73737892
  0.18784241 -0.82205074 -1.42932556  0.62622548  0.        ]",[-0.1501887  -0.12070381]
