timestep,obs,actions,original_rewards,rewards,human_obs,logstd_action_dist,avg_action_dist
0,"[ 0.98504135  1.72467394 -0.02153352 -0.6752893   0.43587222  1.59536374
  0.38997507 -0.35070817  0.94552679 -2.06138309  0.        ]",[ 1.93023222 -0.225686  ],-0.247615188038,-0.247615188038,"[[-0.07482462  0.09666884  0.05072385  0.18477394]
 [-0.00361078  0.00256064  0.          0.        ]]",[-0.35224196 -0.24686095],[ 2.44888902  1.32720542]
1,"[ 0.98826177  1.72571095  0.03883261 -0.70000875  0.4358718   1.59535921
  0.71817883 -0.48562803  0.94630057 -1.98715763  0.        ]",[ 0.89948549  1.15441948],-0.242104265754,-0.242104265754,"[[-0.03520206  0.08773811  0.05072385  0.18477394]
 [ 3.95269128 -0.89264622  0.          0.        ]]",[-0.35224196 -0.24686095],[ 2.0499959   1.18695927]
2,"[ 0.98459253  1.72295062  0.21258571 -0.63904451  0.43587139  1.59535468
  1.00674887  0.11359666  0.92913524 -1.72150388  0.        ]",[-0.08328737 -0.42380646],-0.221546923174,-0.221546923174,"[[ 0.07875298  0.10977668  0.05072385  0.18477394]
 [ 7.43124128  3.08325403  0.          0.        ]]",[-0.35224196 -0.24686095],[ 1.20948279  0.43946871]
3,"[ 0.95268246  1.71557377  0.42941972 -0.51720524  0.43587097  1.59535016
  0.96727865 -0.14849356  0.86266181 -1.37654068  0.        ]",[ 0.77199031  1.01859319],-0.192805249341,-0.192805249341,"[[ 0.22260431  0.15399395  0.05072385  0.18477394]
 [ 6.95547067  1.34426682  0.          0.        ]]",[-0.35224196 -0.24686095],[ 0.99727631  0.67747682]
4,"[ 0.87757589  1.69992277  0.67403539 -0.33606054  0.43587056  1.59534563
  1.20908838  0.44408467  0.7175415  -0.98447645  0.        ]",[-0.81305885 -0.28598903],-0.15605553661,-0.15605553661,"[[ 0.39095943  0.22032834  0.05072385  0.18477394]
 [ 9.87036367  5.27606334  0.          0.        ]]",[-0.35224196 -0.24686095],[-0.0931704  -0.10534191]
5,"[ 0.76784668  1.66879152  0.8955076  -0.08644795  0.43587014  1.5953411
  0.92611385  0.25785649  0.49616114 -0.62695189  0.        ]",[ 0.07962334 -0.17367521],-0.115954879653,-0.115954879653,"[[ 0.55414262  0.3134521   0.05072385  0.18477394]
 [ 6.45929894  4.04042992  0.          0.        ]]",[-0.35224196 -0.24686095],[ 0.01465587  0.16710871]
6,"[ 0.65534552  1.63701228  1.05820473  0.10440763  0.43586973  1.59533658
  0.94167544  0.14213632  0.2771027  -0.39052428  0.        ]",[ 0.76123717  1.05654932],-0.0831642102336,-0.0831642102336,"[[ 0.68521089  0.38655705  0.05072385  0.18477394]
 [ 6.64690138  3.27262121  0.          0.        ]]",[-0.35224196 -0.24686095],[-0.32917237  0.06045052]
7,"[ 0.4895877   1.58073404  1.23594699  0.36730358  0.43586931  1.59533205
  1.18049005  0.72896092 -0.04593946 -0.16668596  0.        ]",[-3.12520389 -1.6605311 ],-0.0409628695129,-0.0409628695129,"[[ 0.84703196  0.4910755   0.05072385  0.18477394]
 [ 9.52568902  7.16623667  0.          0.        ]]",[-0.35224196 -0.24686095],[-1.44531727 -1.04602432]
8,"[ 0.31428489  1.51390983  1.37323879  0.61052236  0.4358689   1.59532752
  0.83680783  0.11101244 -0.37549127 -0.04567868  0.        ]",[-1.10823571  0.25618936],-0.00927819008601,-0.00927819008601,"[[ 0.99597994  0.59326236  0.05072385  0.18477394]
 [ 5.38282777  3.06612077  0.          0.        ]]",[-0.35224196 -0.24686095],[-1.02841938 -0.55125403]
9,"[ 0.22951522  1.46104978  1.42582513  0.76990263  0.43586848  1.595323
  0.4997577   0.25495681 -0.55024853 -0.02415357  0.        ]",[ 0.0939829  -0.62451948],-0.0222655926294,-0.0222655926294,"[[ 1.06287213  0.66416738  0.05072385  0.18477394]
 [ 1.31990544  4.02119896  0.          0.        ]]",[-0.35224196 -0.24686095],[-0.66790003 -0.60688102]
