timestep,avg_action_dist,actions,original_rewards,rewards,human_obs,obs,logstd_action_dist
0,[ 0.65430784  1.64131427],[ 0.28165937  0.70793332],-0.0521803314138,-0.0521803314138,"[[-0.05985214  0.02457231  0.17522219  0.02925929]
 [-0.00226108  0.00116524  0.          0.        ]]","[ 1.02456811  1.45146591 -0.01558265 -1.09645105  1.51917817  0.24520683
  0.30824507 -0.32329875 -0.10517666 -0.62610522  0.        ]",[-0.54258424 -0.40489861]
1,[-0.13346736  0.83198571],[ 0.22804309  1.60605647],-0.0483370680955,-0.0483370680955,"[[-0.04872863  0.0527157   0.17522219  0.02925929]
 [ 1.11090925  2.80383432  0.          0.        ]]","[  1.02546543e+00   1.45009216e+00   9.72429077e-04  -1.02351781e+00
   1.51917571e+00   2.45206707e-01   4.13222096e-01   1.34096864e-01
  -1.03965521e-01  -5.60210086e-01   0.00000000e+00]",[-0.54258424 -0.40489861]
2,[-1.22581446 -0.35590646],[-0.27838478 -0.73608872],-0.0377467026635,-0.0377467026635,"[[-0.01769484  0.14795984  0.17522219  0.02925929]
 [ 1.98955799  6.70757055  0.          0.        ]]","[ 1.02699804  1.43805951  0.04720096 -0.77783935  1.51917325  0.24520658
  0.49608259  0.77118645 -0.11180235 -0.3543858   0.        ]",[-0.54258424 -0.40489861]
3,[-1.00068939  0.1719479 ],[-0.90333191  1.1713069 ],-0.0310135953847,-0.0310135953847,"[[ 0.01066433  0.25154004  0.17522219  0.02925929]
 [ 0.85014135  3.66060182  0.          0.        ]]","[ 1.02714537  1.41214247  0.08946867 -0.51466565  1.51917078  0.24520645
  0.38862987  0.27392057 -0.13848703 -0.14717972  0.        ]",[-0.54258424 -0.40489861]
4,[-0.40929776 -0.36586276],[-0.71681035 -0.61509629],-0.0290749753636,-0.0290749753636,"[[-0.00837045  0.36376647  0.17522219  0.02925929]
 [-2.74165872  7.54907161  0.          0.        ]]","[ 1.02717682  1.36929268  0.06109768 -0.2374207   1.51916832  0.24520632
  0.04990559  0.90851887 -0.1679462  -0.05176434  0.        ]",[-0.54258424 -0.40489861]
5,[ 0.64168698  0.34996387],[ 0.79887696  0.25908198],-0.0261246299365,-0.0261246299365,"[[-0.09110156  0.48882202  0.17522219  0.02925929]
 [-5.52222704  4.96507806  0.          0.        ]]","[ 1.02105609  1.3041029  -0.06202574  0.05768941  1.51916586  0.2452062
 -0.21231557  0.48681023 -0.18805494 -0.09947418  0.        ]",[-0.54258424 -0.40489861]
6,[-0.1130379  -0.29571953],[-0.32929757  0.11207833],-0.0234073660104,-0.0234073660104,"[[-0.1687442   0.59741785  0.17522219  0.02925929]
 [-2.25289365  5.89143642  0.          0.        ]]","[ 1.00608761  1.2333389  -0.17674819  0.29868358  1.5191634   0.24520607
  0.09599875  0.63799175 -0.21050606 -0.15514831  0.        ]",[-0.54258424 -0.40489861]
7,[ 0.24239209 -0.38576207],[-0.21485117  0.20859936],-0.0191743987457,-0.0191743987457,"[[-0.22642709  0.71853312  0.17522219  0.02925929]
 [-3.51121577  6.21899052  0.          0.        ]]","[ 0.98923637  1.13996614 -0.2610402   0.54706505  1.51916094  0.24520594
 -0.02266732  0.69144819 -0.25057679 -0.1478786   0.        ]",[-0.54258424 -0.40489861]
8,[ 0.52822351 -0.61116958],[ 0.65347242 -0.99247437],-0.0143789305854,-0.0143789305854,"[[-0.30448561  0.84996695  0.17522219  0.02925929]
 [-4.29204287  6.92204129  0.          0.        ]]","[ 0.95876458  1.02294703 -0.37328291  0.78819945  1.51915847  0.24520582
 -0.09630321  0.80618569 -0.29751712 -0.17741958  0.        ]",[-0.54258424 -0.40489861]
9,[ 0.18474153 -0.18579695],[-0.91000853 -0.14143639],-0.0108367581317,-0.0108367581317,"[[-0.3635214   0.94759525  0.17522219  0.02925929]
 [-1.62042803  2.85436442  0.          0.        ]]","[ 0.92996371  0.92660802 -0.45640108  0.94576739  1.51915601  0.24520569
  0.15564362  0.14233909 -0.33735576 -0.20160233  0.        ]",[-0.54258424 -0.40489861]
10,[ 1.3877703   0.32815531],[ 1.76582646  1.03473042],-0.0146818575399,-0.0146818575399,"[[-0.43173223  0.99850686  0.17522219  0.02925929]
 [-5.18879407  2.23882354  0.          0.        ]]","[ 0.89065916  0.87352597 -0.55011936  1.02006683  1.51915355  0.24520556
 -0.18087157  0.04188249 -0.35255055 -0.29729011  0.        ]",[-0.54258424 -0.40489861]
11,[ 0.15985495 -1.14104867],[ 0.6866475 -1.5700131],-0.0163366724952,-0.0163366724952,"[[-0.4947911   1.08255424  0.17522219  0.02925929]
 [-1.13054621  6.15290096  0.          0.        ]]","[ 0.84872617  0.78208978 -0.63418818  1.13027682  1.51915109  0.24520543
  0.20184216  0.68066166 -0.39113791 -0.34237631  0.        ]",[-0.54258424 -0.40489861]
