timestep,rewards,actions,avg_action_dist,original_rewards,logstd_action_dist,human_obs,obs
32,0.865862,[-0.05005966 -0.40814998],[-0.41898099 -0.71739179],-0.198815817188,[-0.01462712 -0.17454191],"[[ -7.41597307   0.90316376  -0.04176455  -0.16977159]
 [-10.71843761   7.68548027   0.           0.        ]]","[ 0.35727095  0.82373781 -1.11694692  1.55949688 -0.34817631 -1.44617101
 -0.17647596  1.29349933  1.04072561  0.45925375  0.        ]"
33,1.05578,[-0.6708777  -1.53427281],[-0.32338595 -0.72397864],-0.173215635391,[-0.01462712 -0.17454191],"[[ -7.63019989   1.03912771  -0.04176455  -0.16977159]
 [-10.70429762   5.91680302   0.           0.        ]]","[ 0.07368211  0.68617494 -1.22239074  1.69451085 -0.34817481 -1.44615389
 -0.17549419  1.04062712  0.90002052  0.35365401  0.        ]"
34,0.750649,[ 0.97252136  0.89313818],[-0.1939598 -0.5987041],-0.139853285057,[-0.01462712 -0.17454191],"[[ -7.86878642   1.11656229  -0.04176455  -0.16977159]
 [-13.14622091   1.84019225   0.           0.        ]]","[-0.25829563  0.60252696 -1.26006447  1.75900594 -0.34817332 -1.44613676
 -0.34492155  0.45780106  0.71012995  0.2229474   0.        ]"
35,0.790012,[ 0.97469814 -0.37779099],[-0.1355159  -0.80115855],-0.108282073841,[-0.01462712 -0.17454191],"[[-8.09050334  1.1884667  -0.04176455 -0.16977159]
 [-9.03913475  5.33866039  0.          0.        ]]","[-0.56614511  0.52195414 -1.21795484  1.81040483 -0.34817182 -1.44611964
 -0.05995693  0.95796371  0.51960863  0.14453396  0.        ]"
36,0.865366,[ 0.81624283 -2.55946334],[-0.12651834 -0.74941289],-0.0916981749005,[-0.01462712 -0.17454191],"[[-8.23079251  1.27915821 -0.04176455 -0.16977159]
 [-5.00317609  3.73588586  0.          0.        ]]","[-0.75354979  0.41701102 -1.15370641  1.86316688 -0.34817033 -1.44610252
  0.22007257  0.72881358  0.41561684  0.14363384  0.        ]"
37,1.4292,[-3.04341125  0.28649284],[-0.13168356 -0.5544399 ],-0.0833630991262,[-0.01462712 -0.17454191],"[[-8.29744671  1.31339764 -0.04176455 -0.16977159]
 [-1.673317   -0.2984753   0.          0.        ]]","[-0.83925226  0.37658892 -1.11335839  1.87948029 -0.34816883 -1.4460854
  0.45110981  0.15202642  0.36332484  0.14291567  0.        ]"
38,1.08617,[-0.80104685 -0.87745461],[-0.05768345 -0.62658858],-0.0717892642859,[-0.01462712 -0.17454191],"[[-8.37028685  1.3188777  -0.04176455 -0.16977159]
 [-5.59763409  0.84265372  0.          0.        ]]","[-0.92983887  0.37008274 -1.062311    1.88187885 -0.34816734 -1.44606828
  0.17882302  0.31517121  0.29192544  0.12811509  0.        ]"
39,1.16355,[-1.2173335  -0.34708859],[ 0.03805608 -0.44569916],-0.0464595744388,[-0.01462712 -0.17454191],"[[-8.51292444  1.30070908 -0.04176455 -0.16977159]
 [-8.65589207 -2.64791317  0.          0.        ]]","[-1.09617056  0.39161006 -0.94236427  1.87358963 -0.34816584 -1.44605116
 -0.0333728  -0.18387277  0.13490597  0.1019434   0.        ]"
40,1.01558,[-0.31130168 -1.63639814],[ 0.15100321 -0.31970403],-0.00519132833763,[-0.01462712 -0.17454191],"[[ -8.7240207    1.23449247  -0.04176455  -0.16977159]
 [-12.44106556  -3.96939228   0.           0.        ]]","[-1.30942479  0.46910516 -0.72096242  1.83874689 -0.34816435 -1.44603404
 -0.29600525 -0.37280308 -0.126679    0.10140433  0.        ]"
41,1.15552,[-1.55042883  0.49772421],[ 0.2081196   0.01925758],-0.0528136707107,[-0.01462712 -0.17454191],"[[ -8.98271516   1.11616112  -0.04176455  -0.16977159]
 [-13.42498365  -7.850815     0.           0.        ]]","[-1.50506493  0.60295773 -0.3915553   1.75848373 -0.34816285 -1.44601692
 -0.36427291 -0.92772553 -0.46763466  0.20173024  0.        ]"
42,0.611928,[ 1.24723973 -0.54527593],[ 0.23159492  0.02934036],-0.120073991189,[-0.01462712 -0.17454191],"[[ -9.28824545   0.98047985  -0.04176455  -0.16977159]
 [-17.11576957  -5.72444547   0.           0.        ]]","[-1.62680213  0.74705697  0.05125662  1.63931031 -0.34816136 -1.4459998
 -0.62035598 -0.62371388 -0.81470157  0.48084242  0.        ]"
43,0.508562,[ 0.31904672 -0.76828528],[ 0.07807384  0.28947407],-0.183914568939,[-0.01462712 -0.17454191],"[[ -9.5874514    0.8454438   -0.04176455  -0.16977159]
 [-12.81915858  -7.77225976   0.           0.        ]]","[-1.62131578  0.87801387  0.5037373   1.4940038  -0.34815986 -1.44598268
 -0.32223219 -0.91648535 -1.04430948  0.89144837  0.        ]"
44,0.5956,[-1.26295508 -0.09462932],[-0.07578795  0.57166052],-0.239390173009,[-0.01462712 -0.17454191],"[[ -9.82860715   0.66101054  -0.04176455  -0.16977159]
 [-11.30145623 -10.66141051   0.           0.        ]]","[-1.52700777  1.03251517  0.85438364  1.25738887 -0.34815837 -1.44596557
 -0.21692445 -1.32953611 -1.1337962   1.33838894  0.        ]"
45,0.248653,[ 0.71292915  1.04137127],[-0.20244309  0.6943146 ],-0.29358532944,[-0.01462712 -0.17454191],"[[-10.09207693   0.44615009  -0.04176455  -0.16977159]
 [-15.03308491 -10.82409556   0.           0.        ]]","[-1.33898181  1.17078673  1.1973415   0.93612797 -0.34815687 -1.44594845
 -0.4758449  -1.35278063 -1.05586096  1.85580589  0.        ]"
46,0.0493398,[-0.05757099  0.31303731],[-0.38855729  0.63640106],-0.334797324875,[-0.01462712 -0.17454191],"[[-10.36146757   0.27153122  -0.04176455  -0.16977159]
 [-11.91647233  -6.65165642   0.           0.        ]]","[-1.06826301  1.24589481  1.4807994   0.64856018 -0.34815538 -1.44593133
 -0.259594   -0.75624181 -0.80531578  2.28829726  0.        ]"
47,0.173792,[-0.8486145   2.85360711],[-0.53339326  0.65471709],-0.360014977509,[-0.01462712 -0.17454191],"[[-10.5997206    0.15225424  -0.04176455  -0.16977159]
 [-11.90887818  -5.28059945   0.           0.        ]]","[-0.77816183  1.27663135  1.65848971  0.44332136 -0.34815388 -1.44591422
 -0.25906601 -0.56021845 -0.49328452  2.54937358  0.        ]"
48,-0.11031,[-0.28922531  0.66720843],[-0.66742969  0.50750852],-0.376515679264,[-0.01462712 -0.17454191],"[[-10.869232     0.08743027  -0.04176455  -0.16977159]
 [-15.03187159  -1.21534753   0.           0.        ]]","[-0.41411986  1.28612223  1.76375658  0.32999798 -0.34815239 -1.44589711
 -0.47575791  0.02099364 -0.11859502  2.691607    0.        ]"
49,-0.00283024,[-1.41959769  0.14447893],[-0.79685974  0.37486094],-0.384091350092,[-0.01462712 -0.17454191],"[[-11.17837617   0.08987393  -0.04176455  -0.16977159]
 [-15.87972413   1.45082492   0.           0.        ]]","[ 0.01751899  1.28584381  1.75053573  0.33428317 -0.34815089 -1.44587999
 -0.53458512  0.40217801  0.28350497  2.69955773  0.        ]"
