timestep,rewards,actions,avg_action_dist,original_rewards,logstd_action_dist,human_obs,obs
0,6.23107,[-3.66086782  0.53954317],[-4.30222321  0.07606642],-0.336750236549,[-0.28791729 -0.67706394],"[[ 0.00844274  0.05903842 -0.10544674 -0.11028891]
 [ 0.00283709 -0.00495062  0.          0.        ]]","[ 1.74071783  1.5572469   1.01197949  0.4872872  -0.89872889 -0.95893455
  0.51700003  0.25834413  2.00253256  0.97435913  0.        ]"
1,6.43811,[-4.9855495  -0.16153804],[-4.09759665  0.28128451],-0.334763271896,[-0.28791729 -0.67706394],"[[-0.03119994  0.0803907  -0.10544674 -0.11028891]
 [-3.95392945  2.13304677  0.          0.        ]]","[ 1.73989744  1.55529866  0.94473962  0.52438344 -0.898728   -0.95893354
  0.38275195  0.61459217  2.00296474  0.93138558  0.        ]"
2,6.31136,[-3.38397569  0.5219867 ],[-3.78679276  0.31000865],-0.327411014953,[-0.28791729 -0.67706394],"[[-0.14918185  0.11622535 -0.10544674 -0.11028891]
 [-7.83135417  1.45267638  0.          0.        ]]","[ 1.72066686  1.55069581  0.74553008  0.58648886 -0.8987271  -0.95893253
  0.25119587  0.50122358  1.99696816  0.78183438  0.        ]"
3,6.54991,[-4.4797468 -0.0888893],[-3.46424341  0.19117947],-0.313093454902,[-0.28791729 -0.67706394],"[[ -0.34395354   0.16574202  -0.10544674  -0.11028891]
 [-11.63316095   3.49217649   0.           0.        ]]","[ 1.63473531  1.5415934   0.42562875  0.67186344 -0.89872621 -0.95893152
  0.12220541  0.84105923  1.9579976   0.53179981  0.        ]"
4,6.35164,[-2.10748001 -0.19668977],[-2.94748926  0.08930533],-0.289462019659,[-0.28791729 -0.67706394],"[[ -0.6139979    0.23137352  -0.10544674  -0.11028891]
 [-15.35888028   3.07234266   0.           0.        ]]","[ 1.41010529  1.524661    0.02032421  0.78390227 -0.89872532 -0.95893052
 -0.00420349  0.77110276  1.84513634  0.20454961  0.        ]"
5,6.57947,[-2.28800645 -0.83283151],[-2.23146701  0.09322409],-0.252176409646,[-0.28791729 -0.67706394],"[[ -0.95781618   0.28440705  -0.10544674  -0.11028891]
 [-19.01079579   2.23376396   0.           0.        ]]","[ 0.97191351  1.50696971 -0.38984773  0.87320107 -0.89872443 -0.95892951
 -0.12810832  0.6313721   1.60108981 -0.16770125  0.        ]"
6,6.58773,[-0.44857208  1.36417679],[-1.10869145  0.39059329],-0.196237966967,[-0.28791729 -0.67706394],"[[ -1.37393832   0.2955605   -0.10544674  -0.11028891]
 [-22.58948014  -1.1073233    0.           0.        ]]","[ 0.28447867  1.50279583 -0.66592568  0.89181421 -0.89872354 -0.9589285
 -0.24952851  0.07465524  1.16495091 -0.4887831   0.        ]"
7,7.24618,[-2.4667734   0.47724257],[-1.25973988  0.20078473],-0.127511817694,[-0.28791729 -0.67706394],"[[ -1.83906457   0.31336019  -0.10544674  -0.11028891]
 [-23.91875299   2.87400117   0.           0.        ]]","[-0.5494744   1.49581424 -0.63801248  0.92138755 -0.89872265 -0.95892749
 -0.29462893  0.73805288  0.60054648 -0.57022248  0.        ]"
8,7.51472,[-2.52809102 -0.37750018],[-1.63175261  0.06172052],-0.0627300683952,[-0.28791729 -0.67706394],"[[ -2.35239352   0.38923327  -0.10544674  -0.11028891]
 [-27.40258047   4.70711049   0.           0.        ]]","[-1.34486673  1.4616712  -0.20639009  1.04542886 -0.89872176 -0.95892648
 -0.41283074  1.04349824  0.04925138 -0.3277051   0.        ]"
9,7.53784,[-1.99334932  0.38062718],[-1.7258836   0.44855726],-0.0811239086541,[-0.28791729 -0.67706394],"[[ -2.93469677   0.46744145  -0.10544674  -0.11028891]
 [-30.81638429   3.11888873   0.           0.        ]]","[-1.84137587  1.41919251  0.64919091  1.16929974 -0.89872087 -0.95892547
 -0.52865668  0.77885603 -0.38285169  0.27259714  0.        ]"
10,7.2691,[-1.73151032  0.00256216],[-2.15018177  0.40416878],-0.170504868653,[-0.28791729 -0.67706394],"[[ -3.58461082   0.54431245  -0.10544674  -0.11028891]
 [-34.16392909   4.56326037   0.           0.        ]]","[-1.70521136  1.37048258  1.72482757  1.28638103 -0.89871998 -0.95892446
 -0.64223444  1.01952707 -0.47979665  1.1433772   0.        ]"
11,7.19052,[-3.48361562  0.34950702],[-2.49640179  0.43704182],-0.258737265646,[-0.28791729 -0.67706394],"[[ -4.30080906   0.63475523  -0.10544674  -0.11028891]
 [-37.44500781   4.48111563   0.           0.        ]]","[-0.7938599   1.30473582  2.55233236  1.41726258 -0.89871909 -0.95892345
 -0.75355697  1.00583838 -0.08847603  1.97110121  0.        ]"
12,6.99813,[-3.26704166  0.22287774],[-2.91893625 -0.07173517],-0.322731748183,[-0.28791729 -0.67706394],"[[ -5.08198565   0.73734367  -0.10544674  -0.11028891]
 [-40.66202695   5.77320674   0.           0.        ]]","[ 0.58437394  1.21977191  2.57943454  1.55544623 -0.8987182  -0.95892244
 -0.86270589  1.22113475  0.7104034   2.32499195  0.        ]"
13,6.98956,[-3.25961515 -0.48652865],[-3.06923532 -0.8513732 ],-0.343494373295,[-0.28791729 -0.67706394],"[[ -5.92686789   0.86047269  -0.10544674  -0.11028891]
 [-43.81579114   6.53688575   0.           0.        ]]","[ 1.62705431  1.10444088  1.58936784  1.70492082 -0.89871731 -0.95892143
 -0.96970844  1.34838263  1.53034957  1.90870732  0.        ]"
