timestep,rewards,actions,avg_action_dist,original_rewards,logstd_action_dist,human_obs,obs
0,7.42629,[-6.37495054  1.08081008],[-6.19640732  0.96360558],-0.388593607122,[-0.31404305 -0.80161846],"[[-0.09628119  0.07575853 -0.12786361  0.18095459]
 [-0.00415482 -0.0047207   0.          0.        ]]","[ 1.80227194  1.54286139  0.86310017  0.51995852 -1.09138313  1.57888443
  0.53546946  0.26397547  2.13985017 -1.29183993  0.        ]"
1,7.71706,[-7.58114592 -0.33260819],[-6.03820658  0.35031539],-0.390178067538,[-0.31404305 -0.80161846],"[[-0.13606945  0.1154083  -0.12786361  0.18095459]
 [-3.9614912   3.95648921  0.          0.        ]]","[ 1.79392825  1.53793091  0.79506067  0.58904215 -1.0913821   1.57888207
  0.4104323   0.9414298   2.13705153 -1.32027008  0.        ]"
2,7.46897,[-6.31567341  0.80765783],[-5.79451799  0.41320366],-0.397076205608,[-0.31404305 -0.80161846],"[[-0.25419851  0.18055325 -0.12786361  0.18095459]
 [-7.83851366  2.5626372   0.          0.        ]]","[ 1.75252491  1.52542089  0.59564819  0.70180905 -1.09138107  1.5788797
  0.28793278  0.70304961  2.12152127 -1.4450323   0.        ]"
3,7.39578,[-5.37919991  0.04665059],[-5.5094285  -0.33119184],-0.407653752739,[-0.31404305 -0.80161846],"[[ -0.44911666   0.26339737  -0.12786361   0.18095459]
 [-11.64065581   5.71125718   0.           0.        ]]","[ 1.63128911  1.50167067  0.28108483  0.84322528 -1.09138005  1.57887733
  0.16779921  1.24153252  2.07126948 -1.66364813  0.        ]"
4,7.54064,[-6.1708999  -0.27558207],[-4.92816925 -0.63545054],-0.417782528912,[-0.31404305 -0.80161846],"[[ -0.71931267   0.37835336  -0.12786361   0.18095459]
 [-15.36656795   5.78405154   0.           0.        ]]","[ 1.36259057  1.45447224 -0.10578767  1.03407449 -1.09137902  1.57887496
  0.05007423  1.25398059  1.95439747 -1.94284511  0.        ]"
5,7.34584,[-3.8575673  -1.08723344],[-3.94386411 -0.7015503 ],-0.424400254324,[-0.31404305 -0.80161846],"[[ -1.06328448   0.48194589  -0.12786361   0.18095459]
 [-19.01848088   4.57914788   0.           0.        ]]","[ 0.88106149  1.39823164 -0.47611565  1.19881517 -1.09137799  1.5788726
 -0.06531266  1.04791434  1.72206322 -2.26643516  0.        ]"
6,7.53363,[-3.64310434 -0.07570824],[-2.62107944 -0.12728436],-0.421019261541,[-0.31404305 -0.80161846],"[[ -1.47956004   0.53289577  -0.12786361   0.18095459]
 [-22.59713091   0.5292621    0.           0.        ]]","[ 0.16688425  1.36598782 -0.68596933  1.27675367 -1.09137697  1.57887023
 -0.1783847   0.3552937   1.31547755 -2.56071961  0.        ]"
7,7.99002,[-2.33620987 -0.37297275],[-2.18546295 -0.04412642],-0.396275069882,[-0.31404305 -0.80161846],"[[ -1.96671016   0.54036821  -0.12786361   0.18095459]
 [-26.10619404   0.21894557   0.           0.        ]]","[-0.69535114  1.36101052 -0.55994341  1.28799377 -1.09137594  1.57886786
 -0.28925804  0.30222252  0.73331411 -2.6487252   0.        ]"
8,8.82258,[-2.35624113  0.78920594],[-2.10657454  0.38204163],-0.339240257351,[-0.31404305 -0.80161846],"[[ -2.52334015   0.52988199  -0.12786361   0.18095459]
 [-29.54532089  -1.26269942   0.           0.        ]]","[-1.47164358  1.36797352  0.03067215  1.27220276 -1.09137491  1.57886549
 -0.39792164  0.04882809  0.10419037 -2.34158699  0.        ]"
9,9.51359,[-1.98838981 -0.12372435],[-2.71342921  0.03223611],-0.245236043783,[-0.31404305 -0.80161846],"[[ -3.1480868    0.53622386  -0.12786361   0.18095459]
 [-32.91818269   1.88630527   0.           0.        ]]","[-1.80637391  1.36377446  1.03979879  1.28176228 -1.09137389  1.57886313
 -0.50449147  0.58737817 -0.30953973 -1.60058014  0.        ]"
10,9.66943,[-3.12384445 -0.63177724],[-3.20329976  0.31499308],-0.117684860682,[-0.31404305 -0.80161846],"[[ -3.83961103   0.56864557  -0.12786361   0.18095459]
 [-36.22323279   1.35751032   0.           0.        ]]","[-1.38342753  1.34161453  2.13518181  1.3300694  -1.09137286  1.57886076
 -0.60891864  0.49694208 -0.25365186 -0.64415095  0.        ]"
11,9.77367,[-4.95639817  0.86221395],[-3.52389169  0.90334064],-0.0467355372734,[-0.31404305 -0.80161846],"[[ -4.59657171   0.57040564  -0.12786361   0.18095459]
 [-39.46197923  -1.17317115   0.           0.        ]]","[-0.20687599  1.34037678  2.73881582  1.33266244 -1.09137183  1.57885839
 -0.71125079  0.06413851  0.37884119  0.11565461  0.        ]"
