timestep,original_rewards,logstd_action_dist,avg_action_dist,rewards,obs,human_obs,actions
0,-0.120060308849,[-0.57953781 -0.52175772],[ 1.79665029  2.06414819],-2.90606,"[ 1.00564907  1.2544007  -0.43907588 -1.53018591  1.58277449  0.80946528
  0.21376848 -0.31259258 -0.13872643 -1.85893469  0.        ]","[[-0.06952066 -0.08153073  0.18091186  0.09334724]
 [ 0.00176078  0.00029769  0.          0.        ]]",[ 1.18939203  1.60730229]
1,-0.108101297562,[-0.57953781 -0.52175772],[ 0.68419933  0.82966411],-2.81224,"[ 1.00870612  1.25751383 -0.37763502 -1.42436686  1.5827722   0.80946473
  0.57468462  0.3992473  -0.12642955 -1.70978842  0.        ]","[[-0.02981068 -0.04181241  0.18091186  0.09334724]
 [ 3.95607242  3.95834883  0.          0.        ]]",[ 0.47831738  1.18607879]
2,-0.0760765573963,[-0.57953781 -0.52175772],[-0.30026558 -0.72822654],-2.57437,"[ 1.00586247  1.25492375 -0.22697018 -1.10933093  1.5827699   0.80946417
  0.74010698  1.09714214 -0.13733888 -1.31619483  0.        ]","[[ 0.06749519  0.07628905  0.18091186  0.09334724]
 [ 5.7684953   7.83886444  0.          0.        ]]",[-0.45880034 -0.34112701]
3,-0.0412074816276,[-0.57953781 -0.52175772],[-0.18791573 -0.9206183 ],-2.23636,"[ 0.98870182  1.2285186  -0.07925684 -0.73553527  1.5827676   0.80946362
  0.56409723  0.82643953 -0.22034535 -0.90643629  0.        ]","[[ 0.16351677  0.21796435  0.18091186  0.09334724]
 [ 3.84008267  6.33367769  0.          0.        ]]",[-0.54622521 -0.33723875]
4,-0.0179203763538,[-0.57953781 -0.52175772],[ 0.17981477 -0.89955056],-1.98249,"[ 0.97271804  1.18997195  0.00343209 -0.4477921   1.58276531  0.80946306
  0.35999835  0.56388537 -0.31750787 -0.65064176  0.        ]","[[ 0.21788243  0.32999048  0.18091186  0.09334724]
 [ 1.6039161   4.87379759  0.          0.        ]]",[ 0.30894534 -1.01604327]
5,-0.00347958074537,[-0.57953781 -0.52175772],[-0.24447241 -0.61186028],-2.03478,"[ 0.95648697  1.16463585  0.06969901 -0.30588127  1.58276301  0.80946251
  0.46879451 -0.16566643 -0.39429268 -0.49213384  0.        ]","[[ 0.26192064  0.38676592  0.18091186  0.09334724]
 [ 2.79592152  0.81726606  0.          0.        ]]",[-0.45750473  0.48440844]
6,-0.00918375003106,[-0.57953781 -0.52175772],[ 0.07215352 -0.98851919],-1.76264,"[ 0.94051229  1.14689253  0.12507128 -0.21892853  1.58276072  0.80946195
  0.29849157  0.17650233 -0.45837193 -0.37698231  0.        ]","[[ 0.29911803  0.42220029  0.18091186  0.09334724]
 [ 0.93003442  2.7198287   0.          0.        ]]",[-0.55477108 -1.36006975]
7,-0.00989743355849,[-0.57953781 -0.52175772],[ 0.95612425  0.13023317],-1.92584,"[ 0.94214256  1.1394052   0.11975494 -0.18461559  1.58275842  0.8094614
  0.09663368 -0.5451529  -0.46540434 -0.3707723   0.        ]","[[ 0.29552905  0.43633694  0.18091186  0.09334724]
 [-1.28157824 -1.29279349  0.          0.        ]]",[ 0.59307692 -0.15896336]
8,-0.00637261025789,[-0.57953781 -0.52175772],[ 0.3188659   0.05513838],-1.94578,"[ 0.94296812  1.15597971  0.11703527 -0.26240991  1.58275612  0.80946085
  0.31311263 -0.65390752 -0.43916707 -0.4059771   0.        ]","[[ 0.29369456  0.4044138   0.18091186  0.09334724]
 [ 1.09022792 -1.89750393  0.          0.        ]]",[ 0.78737022 -0.10033228]
9,-0.0127247872457,[-0.57953781 -0.52175772],[-0.74028271 -0.30393994],-1.9643,"[ 0.91717678  1.17577446  0.19473233 -0.36530716  1.58275383  0.80946029
  0.59545244 -0.71880845 -0.46512738 -0.33566269  0.        ]","[[ 0.34653617  0.362843    0.18091186  0.09334724]
 [ 4.18362529 -2.258375    0.          0.        ]]",[-0.47081688  0.30869986]
10,-0.0223474832041,[-0.57953781 -0.52175772],[-0.34696633 -0.37839878],-1.89344,"[ 0.88040036  1.18979817  0.28706224 -0.44676955  1.58275153  0.80945974
  0.41785721 -0.4908079  -0.51448619 -0.23452489  0.        ]","[[ 0.41068603  0.33039523  0.18091186  0.09334724]
 [ 2.23784515 -0.99062553  0.          0.        ]]",[ 0.93030184  0.06737017]
11,-0.0370994480851,[-0.57953781 -0.52175772],[-1.76124668 -1.10878479],-1.81262,"[ 0.82545443  1.19662159  0.4002862  -0.48969975  1.58274924  0.80945918
  0.74970888 -0.43955562 -0.60379014 -0.08864744  0.        ]","[[ 0.49192264  0.31344201  0.18091186  0.09334724]
 [ 5.87370768 -0.7056489   0.          0.        ]]",[-1.7334244  -1.18211792]
12,-0.0471395455565,[-0.57953781 -0.52175772],[-0.35731122  0.29480499],-2.15107,"[ 0.76534986  1.21592803  0.50268121 -0.62714789  1.58274694  0.80945863
  0.37817241 -1.14888692 -0.66404899  0.00979214  0.        ]","[[ 0.56855469  0.25975658  0.18091186  0.09334724]
 [ 1.80305573 -4.64974539  0.          0.        ]]",[-0.81022257  0.89569128]
13,-0.0419778330818,[-0.57953781 -0.52175772],[ 0.40524018  0.08959898],-1.94269,"[ 0.76239225  1.23241257  0.50728536 -0.77386259  1.58274464  0.80945807
  0.08224812 -0.4942699  -0.62194163 -0.03451075  0.        ]","[[ 0.57208554  0.20328162  0.18091186  0.09334724]
 [-1.43916932 -1.00988347  0.          0.        ]]",[ 0.16873764  0.20499955]
14,-0.036306301333,[-0.57953781 -0.52175772],[ 0.28801978 -0.02820158],-1.75185,"[ 0.78039117  1.23536899  0.47868718 -0.80489541  1.58274235  0.80945752
  0.14574233 -0.34473818 -0.58287738 -0.08801541  0.        ]","[[ 0.55028191  0.19142604  0.18091186  0.09334724]
 [-0.74350935 -0.17844419  0.          0.        ]]",[-1.1999671 -1.2651871]
15,-0.0208939180757,[-0.57953781 -0.52175772],[ 1.63664925  1.42902017],-2.00458,"[ 0.82253937  1.24466551  0.40568866 -0.91866882  1.58274005  0.80945696
 -0.21383883 -1.05594937 -0.48204666 -0.24100797  0.        ]","[[ 0.49588386  0.14817997  0.18091186  0.09334724]
 [-4.68317415 -4.13299031  0.          0.        ]]",[ 1.45538117  1.11708061]
16,-0.0076320682219,[-0.57953781 -0.52175772],[ 0.69462192  0.56368387],-1.9027,"[ 0.85976232  1.25145888  0.33238443 -1.03020776  1.58273776  0.80945641
  0.15553676 -0.32939657 -0.39477449 -0.39910068  0.        ]","[[ 0.44282488  0.10605317  0.18091186  0.09334724]
 [-0.63620097 -0.09314618  0.          0.        ]]",[ 1.4532828  -0.07641137]
17,-0.0114181853166,[-0.57953781 -0.52175772],[-0.5715512   0.03501809],-1.89196,"[ 0.84124046  1.25210175  0.37006278 -1.04320515  1.58273546  0.80945586
  0.51775785 -0.38375496 -0.42102551 -0.34597708  0.        ]","[[ 0.46991888  0.10115764  0.18091186  0.09334724]
 [ 3.33238634 -0.39539554  0.          0.        ]]",[-1.25620333  0.08949799]
18,-0.0158477073125,[-0.57953781 -0.52175772],[ 0.54938906  0.42526832],-1.99607,"[ 0.82229436  1.25263607  0.40613704 -1.05451551  1.58273317  0.8094553
  0.15066672 -0.31833418 -0.44796522 -0.2945485   0.        ]","[[ 0.49621329  0.09689947  0.18091186  0.09334724]
 [-0.68955348 -0.03163805  0.          0.        ]]",[ 0.08098087  1.15944124]
19,-0.0176776190935,[-0.57953781 -0.52175772],[ 0.2255639  -0.51822203],-1.77139,"[ 0.82994078  1.24685489  0.39185225 -0.95085256  1.58273087  0.80945475
  0.18101125  0.39387466 -0.46168525 -0.27495706  0.        ]","[[ 0.48575785  0.13599954  0.18091186  0.09334724]
 [-0.35709068  3.92844702  0.          0.        ]]",[-0.38178562 -0.80314671]
20,-0.0179016840057,[-0.57953781 -0.52175772],[ 0.84126973  0.26220948],-1.79196,"[ 0.84568686  1.2376135   0.36124527 -0.82991317  1.58272857  0.80945419
  0.04392132 -0.19194574 -0.46726323 -0.27345584  0.        ]","[[ 0.4635462   0.18188667  0.18091186  0.09334724]
 [-1.85908014  0.67111938  0.          0.        ]]",[ 1.15524807 -0.65303767]
21,-0.0172058249671,[-0.57953781 -0.52175772],[-0.15992814  0.26379824],-2.06485,"[ 0.84367729  1.24042774  0.36524453 -0.86321484  1.58272628  0.80945364
  0.40843286 -0.6596524  -0.46182437 -0.28063945  0.        ]","[[ 0.46643437  0.16921651  0.18091186  0.09334724]
 [ 2.13459506 -1.9294631   0.          0.        ]]",[-1.22756113  1.30998271]
22,-0.0178618455411,[-0.57953781 -0.52175772],[ 0.76314342  0.00381786],-1.67566,"[ 0.84188487  1.24009554  0.36878736 -0.85916954  1.58272398  0.80945308
  0.04337464  0.05961457 -0.4658889  -0.27362532  0.        ]","[[ 0.46899643  0.17075384  0.18091186  0.09334724]
 [-1.865066    2.06986238  0.          0.        ]]",[ 0.07410717 -1.74635215]
