timestep,original_rewards,human_obs,avg_action_dist,rewards,obs,logstd_action_dist,actions
0,-0.112398792237,"[[-0.06944545 -0.08500627  0.09699383 -0.03839103]
 [ 0.00455869  0.00255038  0.          0.        ]]",[ 0.73997211 -0.29288471],-2.37334,"[ 1.06134737  1.88572177 -0.13067787 -0.4400464   0.84956716 -0.33599641
 -0.63929482 -0.30958815  0.55911119  0.14333061  0.        ]",[-0.55954331 -0.18591078],[ 0.9071044  -0.53898823]
1,-0.113605711878,"[[-0.03334337 -0.10638258  0.09699383 -0.03839103]
 [ 3.5936965  -2.13305798  0.          0.        ]]",[ 0.42069465 -0.14647675],-2.34719,"[ 1.06396664  1.88309027 -0.07620256 -0.49203502  0.84956669 -0.33599629
 -0.52595759 -0.60224107  0.56250892  0.19288345  0.        ]",[-0.55954331 -0.18591078],[ 0.45972006 -0.24988339]
2,-0.116948175457,"[[ 0.05606771 -0.15855406  0.09699383 -0.03839103]
 [ 5.34159357 -3.0809258   0.          0.        ]]",[ 0.10985248 -0.27953017],-2.31597,"[ 1.06253118  1.87421962  0.05884398 -0.61837429  0.84956621 -0.33599616
 -0.47076268 -0.73213184  0.56567142  0.31668198  0.        ]",[-0.55954331 -0.18591078],[ 0.37067616 -0.21720155]
3,-0.122133262034,"[[ 0.17655526 -0.22819453  0.09699383 -0.03839103]
 [ 6.7026324  -3.88045014  0.          0.        ]]",[-0.23420769 -0.49444342],-2.22083,"[ 1.04278842  1.85699597  0.23956136 -0.78532145  0.84956573 -0.33599604
 -0.42778391 -0.84169426  0.55789974  0.48361928  0.        ]",[-0.55954331 -0.18591078],[-1.02116577 -1.0641937 ]
4,-0.12297298253,"[[ 0.26960178 -0.34474458  0.09699383 -0.03839103]
 [ 2.61559847 -7.76163639  0.          0.        ]]",[ 0.11609405  0.19230244],-2.25472,"[ 1.01371654  1.81463078  0.37662151 -1.05832821  0.84956526 -0.33599592
 -0.55684323 -1.37355173  0.54003944  0.54546533  0.        ]",[-0.55954331 -0.18591078],[ 0.07376581 -0.05050135]
5,-0.11770622235,"[[ 0.32432242 -0.50044263  0.09699383 -0.03839103]
 [ 2.85566662 -7.80801164  0.          0.        ]]",[ 0.0179536  0.327465 ],-2.21079,"[ 0.99109729  1.73252587  0.45567546 -1.40492796  0.84956478 -0.3359958
 -0.54926217 -1.37990546  0.51598767  0.49035792  0.        ]",[-0.55954331 -0.18591078],[ 0.65476009  0.86485449]
6,-0.115998288958,"[[ 0.40684568 -0.62070185  0.09699383 -0.03839103]
 [ 5.38826813 -4.22981684  0.          0.        ]]",[-0.46040148 -0.4609201 ],-2.10453,"[ 0.94942965  1.65028193  0.57209476 -1.65363525  0.8495643  -0.33599568
 -0.46928795 -0.88956693  0.48581273  0.52490597  0.        ]",[-0.55954331 -0.18591078],[-0.36784771 -2.25937318]
7,-0.114262252231,"[[ 0.49895419 -0.7441798   0.09699383 -0.03839103]
 [ 3.82774208 -8.10507433  0.          0.        ]]",[-0.5068363   0.43720582],-2.12816,"[ 0.89250864  1.55011375  0.69719499 -1.88760881  0.84956383 -0.33599556
 -0.51856576 -1.42061157  0.44711778  0.57179893  0.        ]",[-0.55954331 -0.18591078],[ 0.28391557 -1.54347776]
8,-0.104966863025,"[[  0.58603152  -0.94440198   0.09699383  -0.03839103]
 [  4.87647204 -11.90446745   0.           0.        ]]",[-0.77900517  1.42604971],-2.04664,"[ 0.82901649  1.3578072   0.80984228 -2.21202043  0.84956335 -0.33599543
 -0.48544894 -1.94125835  0.38127219  0.52968343  0.        ]",[-0.55954331 -0.18591078],[-0.58209902  0.6236208 ]
9,-0.0919083637783,"[[ 0.65947553 -1.15534403  0.09699383 -0.03839103]
 [ 2.47590153 -9.19878348  0.          0.        ]]",[-0.56263602  1.29297709],-1.96328,"[ 0.76850968  1.12276175  0.8999631  -2.46804119  0.84956287 -0.33599531
 -0.56125354 -1.57048354  0.29650739  0.45551674  0.        ]",[-0.55954331 -0.18591078],[-0.39060924  0.14738453]
10,-0.0775019977518,"[[ 0.69299047 -1.33163307  0.09699383 -0.03839103]
 [ 0.88087649 -8.4326888   0.          0.        ]]",[-0.31199449  1.52691317],-1.92807,"[ 0.73887704  0.90819304  0.93945757 -2.60633137  0.8495624  -0.33599519
 -0.61162073 -1.4655004   0.21187305  0.35441773  0.        ]",[-0.55954331 -0.18591078],[-0.18730126  2.33639547]
11,-0.0654377008988,"[[ 0.70298586 -1.45888231  0.09699383 -0.03839103]
 [ 0.12123428 -4.30599271  0.          0.        ]]",[-0.02693269  1.1431421 ],-1.95114,"[ 0.72980137  0.74704293  0.95102794 -2.66058396  0.84956192 -0.33599507
 -0.63560831 -0.89999911  0.14016228  0.26762077  0.        ]",[-0.55954331 -0.18591078],[ 0.81254281  0.54453286]
