timestep,original_rewards,logstd_action_dist,avg_action_dist,rewards,obs,human_obs,actions
0,-0.128998901832,[-0.66897136 -0.25679711],[-0.28857434 -0.77305895],-2.49039,"[ 1.05397128  1.77384479  0.08314113 -0.12992213  1.11680429 -0.71147638
 -0.64266922 -0.29693981  0.29601269  0.98897219  0.        ]","[[ 0.08200799  0.01650144  0.12837293 -0.08158267]
 [ 0.00042872  0.00229297  0.          0.        ]]",[ 0.08321821  0.13140212]
1,-0.129912403572,[-0.66897136 -0.25679711],[-0.34854633 -0.79732758],-2.50939,"[ 1.05357687  1.77371666  0.08811137 -0.11754066  1.11680356 -0.71147606
 -0.63258096 -0.22472486  0.2949888   1.00136604  0.        ]","[[ 0.08531742  0.02176588  0.12837293 -0.08158267]
 [ 0.32941985  0.52241814  0.          0.        ]]",[ 0.18709557 -1.10410512]
2,-0.129705117166,[-0.66897136 -0.25679711],[-0.33322954 -0.56298667],-2.54751,"[ 1.0517437   1.77397447  0.10906769 -0.1866623   1.11680282 -0.71147575
 -0.61003846 -0.7759547   0.29531325  0.9984726   0.        ]","[[ 0.09928185 -0.00762024  0.12837293 -0.08158267]
 [ 1.0645697  -3.44779712  0.          0.        ]]",[ 0.19476361 -0.20245858]
3,-0.127889515112,[-0.66897136 -0.25679711],[-0.36886764 -0.53507096],-2.51935,"[ 1.04708928  1.76960493  0.15221092 -0.36595414  1.11680209 -0.71147544
 -0.58705017 -0.87781986  0.29554232  0.97547315  0.        ]","[[ 0.1280951  -0.08393748  0.12837293 -0.08158267]
 [ 1.81425809 -4.18148036  0.          0.        ]]",[ 0.15628964 -1.28509805]
4,-0.123917744426,[-0.66897136 -0.25679711],[-0.35327655 -0.07956076],-2.46515,"[ 1.03817194  1.74744106  0.21501614 -0.65097166  1.11680135 -0.71147512
 -0.5691466  -1.41611025  0.2906763   0.92979157  0.        ]","[[ 0.17023846 -0.20646656  0.12837293 -0.08158267]
 [ 2.39812357 -8.05850538  0.          0.        ]]",[-0.80283247 -0.20436128]
5,-0.111330105856,[-0.66897136 -0.25679711],[ 0.14728215  0.23165956],-2.37489,"[ 1.03423167  1.68747528  0.23818966 -1.02845384  1.11680062 -0.71147481
 -0.66798181 -1.50613671  0.27299144  0.78246361  0.        ]","[[ 0.18586164 -0.3741424   0.12837293 -0.08158267]
 [-0.82510625 -8.70692806  0.          0.        ]]",[ 1.04169723  0.58208015]
6,-0.10077746727,[-0.66897136 -0.25679711],[-0.28691715 -0.25373083],-2.24523,"[ 1.02770851  1.60652453  0.27268626 -1.34458114  1.11679988 -0.7114745
 -0.5462047  -1.1624024   0.24088005  0.67362107  0.        ]","[[ 0.20920519 -0.52344134  0.12837293 -0.08158267]
 [ 3.14628982 -6.23119894  0.          0.        ]]",[ 0.6420115   0.39963779]
7,-0.103238654427,[-0.66897136 -0.25679711],[-0.7928046 -0.7124123],-2.18936,"[ 0.996423    1.53317288  0.40072437 -1.55642122  1.11679915 -0.71147418
 -0.4702478  -0.92568571  0.21710419  0.73658985  0.        ]","[[ 0.29698423 -0.63095927  0.12837293 -0.08158267]
 [ 5.62339517 -4.52625833  0.          0.        ]]",[-1.32621957 -1.20902277]
8,-0.100765677989,[-0.66897136 -0.25679711],[-0.56975573  0.27321929],-2.21018,"[ 0.96309049  1.42956481  0.50279237 -1.78981349  1.11679842 -0.71147387
 -0.59493159 -1.46280077  0.17931505  0.74490567  0.        ]","[[ 0.36865547 -0.76029871  0.12837293 -0.08158267]
 [ 1.55719342 -8.39482156  0.          0.        ]]",[-0.30613171  1.47299876]
9,-0.0902152990774,[-0.66897136 -0.25679711],[-0.2915917  -0.17936629],-2.15885,"[ 0.95328075  1.31357444  0.52894112 -1.99190643  1.11679768 -0.71147356
 -0.63305817 -0.88991554  0.13157597  0.65719822  0.        ]","[[ 0.38732375 -0.88679571  0.12837293 -0.08158267]
 [ 0.3137994  -4.26863651  0.          0.        ]]",[ 0.37575968 -0.26984825]
