timestep,obs,human_obs,actions,rewards,original_rewards,logstd_action_dist,avg_action_dist
0,"[ 1.16935558  1.27525186 -0.40372946  1.10761151  1.47671729 -0.37820758
  0.05568837  0.3292269  -0.1587981   0.17892084  0.        ]","[[-0.06147478  0.0936416   0.17053375 -0.04335755]
 [ 0.00488961  0.00076831  0.          0.        ]]",[-0.15412347 -2.16102348],-0.921337,-0.0565592014728,[-0.68816793 -0.56245399],[-0.50821829 -1.37081075]
1,"[ 1.16878222  1.27863224 -0.41260823  1.00096516  1.47671583 -0.37820744
  0.0396183  -0.30820731 -0.15872114  0.11346379  0.        ]","[[-0.06747978  0.05393135  0.17053375 -0.04335755]
 [-0.60336819 -3.9585988   0.          0.        ]]",[-0.46108697 -0.65713393],-0.887921,-0.0526571314647,[-0.68816793 -0.56245399],[-0.24318011 -0.21984318]
2,"[ 1.16509003  1.27883493 -0.45725711  0.7197043   1.47671436 -0.37820731
 -0.00823049 -0.71437958 -0.17234639 -0.09336024  0.        ]","[[-0.09771831 -0.05055373  0.17053375 -0.04335755]
 [-2.41446164 -6.48150352  0.          0.        ]]",[ 0.05343264  0.63575483],-0.840302,-0.041577382723,[-0.68816793 -0.56245399],[ 0.28452459  0.76274598]
3,"[  1.15695688e+00   1.26670253e+00  -5.24471511e-01   4.43649921e-01
   1.47671290e+00  -3.78207173e-01  -1.41187662e-03  -2.88461683e-01
  -2.11557043e-01  -3.31781277e-01   0.00000000e+00]","[[-0.14341813 -0.15364014  0.17053375 -0.04335755]
 [-2.15637482 -3.83595373  0.          0.        ]]",[-0.60664821  1.61605716],-0.839016,-0.0337671449915,[-0.68816793 -0.56245399],[ 0.23178947  0.34454849]
4,"[ 1.13957544  1.25955115 -0.62187627  0.34754587  1.47671144 -0.37820704
 -0.06372974  0.36138239 -0.25907517 -0.53214349  0.        ]","[[-0.21021177 -0.18986021  0.17053375 -0.04335755]
 [-4.51512691  0.20049341  0.          0.        ]]",[ 0.80539336 -0.79377317],-0.811195,-0.0350847561747,[-0.68816793 -0.56245399],[ 0.50734764 -0.23791432]
5,"[ 1.11946792  1.25310758 -0.70453631  0.27481404  1.47670997 -0.3782069
  0.0228368  -0.14546463 -0.30960501 -0.69538214  0.        ]","[[-0.26763944 -0.21743761  0.17053375 -0.04335755]
 [-1.23855608 -2.94773939  0.          0.        ]]",[ 0.62619592  0.21714063],-0.73175,-0.0414843408401,[-0.68816793 -0.56245399],[ 0.29653633  0.42382696]
6,"[ 1.11959438  1.23931766 -0.70407102  0.14475363  1.47670851 -0.37820677
  0.08892154  0.00219812 -0.33452845 -0.75024736  0.        ]","[[-0.26731406 -0.26718995  0.17053375 -0.04335755]
 [ 1.26277252 -2.03054644  0.          0.        ]]",[-0.40180986 -0.5878373 ],-0.697731,-0.0441763191349,[-0.68816793 -0.56245399],[ 0.03521952  0.12799218]
7,"[ 1.12307791  1.21769683 -0.6911002  -0.01878641  1.47670705 -0.37820663
  0.04628872 -0.36596039 -0.36236907 -0.79903192  0.        ]","[[-0.25824886 -0.33074487  0.17053375 -0.04335755]
 [-0.35089178 -4.31732775  0.          0.        ]]",[ 0.53219853  0.39270143],-0.705862,-0.04673414819,[-0.68816793 -0.56245399],[ 0.31522393  0.92663145]
8,"[ 1.12828765  1.18882919 -0.67076461 -0.19454024  1.47670558 -0.3782065
  0.10207931 -0.10199041 -0.39248241 -0.84129058  0.        ]","[[-0.2440796  -0.4006406   0.17053375 -0.04335755]
 [ 1.76079918 -2.67770474  0.          0.        ]]",[ 0.67000774  0.38750047],-0.723179,-0.0490843357261,[-0.68816793 -0.56245399],[ 0.02587426  0.47986588]
9,"[ 1.14753728  1.17112261 -0.5817873  -0.28710869  1.47670412 -0.37820636
  0.17117174  0.15341233 -0.36562381 -0.74682882  0.        ]","[[-0.18262493 -0.43827784  0.17053375 -0.04335755]
 [ 4.37596809 -1.09129627  0.          0.        ]]",[ 0.38012103 -1.11974256],-0.73169,-0.0424710792024,[-0.68816793 -0.56245399],[-0.36191249 -0.14111966]
