timestep,logstd_action_dist,human_obs,actions,obs,rewards,original_rewards,avg_action_dist
0,[-0.74963164 -0.54122835],"[[ -4.30685829e-02  -3.07730766e-02  -3.34032860e-02  -9.07606572e-02]
 [ -4.25423218e-03  -2.61956181e-05   0.00000000e+00   0.00000000e+00]]",[-0.86118381 -2.44284117],"[ 1.18232483  1.2016542  -0.35954338  0.81251144 -0.2781516  -0.7932415
  0.04494643  0.32156208  1.79216468  0.65961776  0.        ]",-2.18856,-0.255326051577,[-1.50740051 -2.34539747]
1,[-0.74963164 -0.54122835],"[[-0.07731823 -0.07048814 -0.03340329 -0.09076066]
 [-3.40938016 -3.95829218  0.          0.        ]]",[-1.42326367 -1.57387927],"[ 1.1792333   1.19933005 -0.40941939  0.70607458 -0.27815152 -0.79324115
 -0.04907238 -0.33548399  1.78146068  0.52199688  0.        ]",-2.1392,-0.250970541156,[-1.25645375 -1.36028147]
2,[-0.74963164 -0.54122835],"[[-0.18450512 -0.1885803  -0.03340329 -0.09076066]
 [-7.29639987 -7.837995    0.          0.        ]]",[-0.45412444  0.22126998],"[ 1.15825204  1.18170546 -0.56438895  0.3919975  -0.27815144 -0.7932408
 -0.15639674 -0.97948883  1.70625397  0.10887673  0.        ]",-2.00727,-0.236361309613,[-0.74344873 -0.39694822]
3,[-0.74963164 -0.54122835],"[[-0.34701551 -0.3349857  -0.03340329 -0.09076066]
 [-8.94915361 -6.80597652  0.          0.        ]]",[ 0.55276475  0.43944368],"[ 1.09429057  1.13794237 -0.79291042  0.01282566 -0.27815136 -0.79324045
 -0.20203084 -0.80818012  1.49993963 -0.42866657  0.        ]",-1.7066,-0.213209107997,[-0.34401882  0.04713592]
4,[-0.74963164 -0.54122835],"[[-0.5022916  -0.45230295 -0.03340329 -0.09076066]
 [-6.5862977  -4.93199281  0.          0.        ]]",[-0.37032048  1.33170703],"[ 0.99841269  1.0859536  -0.99912407 -0.2777633  -0.27815128 -0.7932401
 -0.13679001 -0.49711085  1.2266908  -0.84240275  0.        ]",-1.45647,-0.190549265323,[-0.37427461 -0.12417015]
5,[-0.74963164 -0.54122835],"[[-0.64742543 -0.5102294  -0.03340329 -0.09076066]
 [-7.92260634 -0.87417003  0.          0.        ]]",[ 0.16864036 -1.08647357],"[ 0.88013406  1.05495974 -1.17667882 -0.41553868 -0.2781512  -0.79323974
 -0.17368678  0.17646142  0.962371   -1.11941441  0.        ]",-1.24559,-0.172321129155,[-0.08080952 -0.34519455]
6,[-0.74963164 -0.54122835],"[[-0.79759802 -0.5672687  -0.03340329 -0.09076066]
 [-7.09743763 -4.81662207  0.          0.        ]]",[ 0.24464368  0.38836324],"[ 0.73129807  1.0211334  -1.34087826 -0.54691022 -0.27815111 -0.79323939
 -0.150903   -0.47796012  0.65642853 -1.33707131  0.        ]",-0.934093,-0.15375223447,[ 0.27533299  0.73105621]
7,[-0.74963164 -0.54122835],"[[-0.928435   -0.64721835 -0.03340329 -0.09076066]
 [-5.98992583 -3.18378487  0.          0.        ]]",[-0.21670373  1.17434816],"[ 0.58226936  0.96841    -1.46489324 -0.72306053 -0.27815103 -0.79323904
 -0.12032344 -0.20691953  0.33718811 -1.46661503  0.        ]",-0.799607,-0.135901537295,[ 0.4220565   0.82169306]
8,[-0.74963164 -0.54122835],"[[-1.05566112 -0.67053019 -0.03340329 -0.09076066]
 [-6.73018853  0.83919621  0.          0.        ]]",[ 0.61996408  0.20455819],"[ 0.42259646  0.95191113 -1.56635231 -0.77252432 -0.27815095 -0.79323869
 -0.14076281  0.46086963  0.07440881 -1.53399222  0.        ]",-0.745193,-0.123776160947,[ 0.58222961  0.41970369]
9,[-0.74963164 -0.54122835],"[[-1.16432261 -0.64579428 -0.03340329 -0.09076066]
 [-4.14457316  1.63174242  0.          0.        ]]",[ 0.35359037  0.54119023],"[ 0.27665865  0.9694007  -1.63681083 -0.72000946 -0.27815087 -0.79323834
 -0.0693713   0.59242708 -0.1074613  -1.5701401   0.        ]",-0.698022,-0.117689245889,[ 0.58220494  0.30208787]
10,[-0.74963164 -0.54122835],"[[-1.23236322 -0.59198805 -0.03340329 -0.09076066]
 [-2.66442169  3.74184315  0.          0.        ]]",[ 1.33526043 -0.5106277 ],"[ 0.18160173  1.00548038 -1.67292624 -0.6024099  -0.27815079 -0.79323799
 -0.02850278  0.94269006 -0.18352916 -1.59519298  0.        ]",-0.696831,-0.116758843273,[ 0.42013401 -0.26219261]
11,[-0.74963164 -0.54122835],"[[-1.24542218 -0.53819481 -0.03340329 -0.09076066]
 [ 1.34516055  1.64446994  0.          0.        ]]",[-0.21612955 -1.41961097],"[ 0.16308011  1.03877573 -1.67913261 -0.48050592 -0.27815071 -0.79323764
  0.08220594  0.59453906 -0.1532712  -1.61268299  0.        ]",-0.592508,-0.119205429243,[ 0.15189108 -0.14124958]
12,[-0.74963164 -0.54122835],"[[-1.22735043 -0.54535671 -0.03340329 -0.09076066]
 [ 0.46494161 -2.34735784  0.          0.        ]]",[ 0.32848632  0.47656712],"[ 0.1886889   1.0345059  -1.67047736 -0.49697318 -0.27815063 -0.79323729
  0.05790215 -0.06807938 -0.12531731 -1.60853926  0.        ]",-0.597789,-0.119935105526,[ 0.54318106  0.7866962 ]
13,[-0.74963164 -0.54122835],"[[-1.20511214 -0.57290919 -0.03340329 -0.09076066]
 [ 1.75459961 -0.41432981  0.          0.        ]]",[ 0.44337614 -1.12788798],"[ 0.21997465  1.01761047 -1.65921163 -0.55965157 -0.27815055 -0.79323694
  0.09351095  0.2527912  -0.11070709 -1.59787049  0.        ]",-0.58754,-0.119687848015,[ 0.19304039  0.22766593]
14,[-0.74963164 -0.54122835],"[[-1.15275518 -0.62084729 -0.03340329 -0.09076066]
 [ 3.47536538 -4.36630126  0.          0.        ]]",[-0.88377175  1.44141119],"[ 0.29255781  0.98646509 -1.63004041 -0.66604511 -0.27815046 -0.79323659
  0.14102308 -0.40321157 -0.05921881 -1.57513087  0.        ]",-0.619347,-0.120136576266,[ 0.22058642  0.85985398]
15,[-0.74963164 -0.54122835],"[[-1.1190319  -0.66756564 -0.03340329 -0.09076066]
 [-0.09116441 -0.31903494  0.          0.        ]]",[-0.1256656   0.20001074],"[ 0.33843735  0.95403292 -1.60931037 -0.76628229 -0.27815038 -0.79323624
  0.04254736  0.26860977 -0.04313472 -1.55455521  0.        ]",-0.674591,-0.119323635951,[ 0.1911229   0.28445676]
16,[-0.74963164 -0.54122835],"[[-1.12582803 -0.66593526 -0.03340329 -0.09076066]
 [-0.5867972   0.47941078  0.          0.        ]]",[ 0.23147143  0.29959247],"[ 0.32924954  0.95519801 -1.613607   -0.76284369 -0.2781503  -0.79323589
  0.0288624   0.40114677 -0.05444876 -1.55661334  0.        ]",-0.690335,-0.118958882029,[ 0.19507051  0.1673733 ]
