timestep,obs,human_obs,actions,rewards,original_rewards,logstd_action_dist,avg_action_dist
0,"[ 1.15657638  1.65963993 -0.19121979  0.94677821 -1.72544801  0.5648879
  0.0506672   0.35428989  2.99129593 -0.67866589  0.        ]","[[ 0.02729904  0.08154307 -0.19983175  0.06514883]
 [-0.00243721 -0.00480405  0.          0.        ]]",[ 4.32642027 -0.45193968],-2.29835,-0.41224471458,[-0.41895565 -0.25737041],[ 3.26629972 -0.80919021]
1,"[ 1.1539191   1.66122211 -0.13196426  0.89465972 -1.72544387  0.56488745
  0.14678989  0.09257888  2.98741743 -0.6159504   0.        ]","[[ 0.0669483   0.06347793 -0.19983175  0.06514883]
 [ 3.95418555 -1.79573731  0.          0.        ]]",[ 3.38046117 -1.36564918],-2.32351,-0.411052163745,[-0.41895565 -0.25737041],[ 3.20056653 -0.9804424 ]
2,"[ 1.13285133  1.66357426  0.04310018  0.67696604 -1.72543974  0.56488701
  0.24103128 -0.48106481  2.96939314 -0.45362911  0.        ]","[[ 0.18495307 -0.01182313 -0.19983175  0.06514883]
 [ 7.83337069 -5.72128043  0.          0.        ]]",[ 3.5066116   0.90579237],-2.19432,-0.407432365152,[-0.41895565 -0.25737041],[ 3.17015958 -1.1844573 ]
3,"[ 1.05580163  1.65884376  0.32257069  0.45365302 -1.7254356   0.56488656
  0.33333736  0.05938489  2.90048579 -0.14333848  0.        ]","[[  0.37974214  -0.08914175  -0.19983175   0.06514883]
 [ 11.63289442  -2.02289332   0.           0.        ]]",[ 3.22396454 -1.38578679],-2.18853,-0.398112068369,[-0.41895565 -0.25737041],[ 2.44648242 -1.58870721]
4,"[ 0.86731427  1.64639997  0.67320833  0.22480869 -1.72543147  0.56488611
  0.42389034 -0.51357757  2.72696219  0.28171755  0.        ]","[[  0.64979766  -0.16893933  -0.19983175   0.06514883]
 [ 15.36025833  -5.9437707    0.           0.        ]]",[ 1.29143739 -1.32295601],-2.0857,-0.379803395354,[-0.41895565 -0.25737041],[ 1.97097671 -1.94902754]
5,"[ 0.51099699  1.59967896  1.02184049 -0.21623814 -1.72542734  0.56488566
  0.51265603 -1.07515778  2.4297072   0.68389521  0.        ]","[[  0.993662    -0.32637339  -0.19983175   0.06514883]
 [ 19.01405568  -9.7867627    0.           0.        ]]",[ 1.0488719  -1.52600706],-1.8444,-0.351662953972,[-0.41895565 -0.25737041],[ 1.49567938 -2.1750834 ]
6,"[-0.03703065  1.47861489  1.24485711 -0.82510702 -1.7254232   0.56488521
  0.5996768  -1.62553419  1.99962458  0.97657944  0.        ]","[[  1.40988104  -0.55989884  -0.19983175   0.06514883]
 [ 22.59603069 -13.55310049   0.           0.        ]]",[ 1.93345642 -1.88631254],-1.50159,-0.310979690296,[-0.41895565 -0.25737041],[ 1.08375192 -2.10391665]
7,"[-0.72057494  1.23510312  1.18526396 -1.49599923 -1.72541907  0.56488476
  0.68499763 -2.16486151  1.47420473  1.05232543  0.        ]","[[  1.89703676  -0.86799354  -0.19983175   0.06514883]
 [ 26.10803624 -17.24385759   0.           0.        ]]",[-0.84356847 -0.90079122],-1.12182,-0.256388873822,[-0.41895565 -0.25737041],[ 0.72209108 -1.78306019]
8,"[-1.29453078  0.8394718   0.79985531 -2.02946774 -1.72541493  0.56488431
  0.5914317  -2.63570015  1.05772732  0.85099811  0.        ]","[[  2.38055706  -1.24519842  -0.19983175   0.06514883]
 [ 22.25669178 -20.46597804   0.           0.        ]]",[ 0.66289571 -0.83943753],-0.759484,-0.202323591738,[-0.41895565 -0.25737041],[ 0.94086397 -1.24940228]
9,"[-1.62581346  0.31522247  0.20148008 -2.16299524 -1.7254108   0.56488386
  0.64453458 -3.0619044   0.84285503  0.46655468  0.        ]","[[  2.847621    -1.68378381  -0.19983175   0.06514883]
 [ 24.44253612 -23.38271233   0.           0.        ]]",[ 0.97524705 -0.73962494],-0.5824,-0.161272125866,[-0.41895565 -0.25737041],[ 1.36521029 -1.45671093]
10,"[-1.64975849 -0.23772957 -0.57140912 -1.66741533 -1.72540667  0.56488341
  0.72663469 -3.42183426  0.80363696 -0.03377315  0.        ]","[[  3.37037762  -2.17615371  -0.19983175   0.06514883]
 [ 27.82196912 -25.84597812   0.           0.        ]]",[ 0.72320725 -2.35201517],-0.542673,-0.143618738683,[-0.41895565 -0.25737041],[ 1.99280202 -1.98347223]
11,"[-1.2468839  -0.65759547 -1.31418214 -0.45231789 -1.72540253  0.56488297
  0.78286727 -3.9253      1.01259585 -0.51587798  0.        ]","[[  3.9500427   -2.72764268  -0.19983175   0.06514883]
 [ 30.13664602 -29.2916029    0.           0.        ]]",[ 2.94048262 -2.77430811],-0.73324,-0.17173667586,[-0.41895565 -0.25737041],[ 2.70973063 -2.36987305]
12,"[-0.44334568 -0.75903077 -1.71647938  0.82344813 -1.7253984   0.56488252
  0.8645986  -0.7215974   1.33604566 -0.73625229  0.        ]","[[  4.58652945  -3.18041743  -0.19983175   0.06514883]
 [ 33.50090747  -7.36756925   0.           0.        ]]",[ 2.4586675 -0.1222733],-0.882017,-0.215177121654,[-0.41895565 -0.25737041],[ 2.98921132 -1.16098833]
13,"[ 0.51112506 -0.75871046 -1.48588063  0.84161397 -1.72539427  0.56488207
  0.94468559  0.83512554  1.2656442  -0.71220155  0.        ]","[[  5.28962461  -3.18670336  -0.19983175   0.06514883]
 [ 36.79749089   3.28562378   0.           0.        ]]",[ 2.62058699 -0.69333029],-0.798698,-0.20627350927,[-0.41895565 -0.25737041],[ 2.77753019 -0.75594562]
14,"[ 1.12120252 -0.75947614 -0.56616703  0.6309248  -1.72539013  0.56488162
  1.02317562  0.84821682  1.18632394 -0.83075922  0.        ]","[[  6.0579911   -3.11384761  -0.19983175   0.06514883]
 [ 40.0283478    3.37521784   0.           0.        ]]",[ 1.68370515 -1.2814006 ],-0.910778,-0.200562740604,[-0.41895565 -0.25737041],[ 2.68948531 -0.90132642]
15,"[ 0.90297195 -0.75590839  0.6215885   0.47535842 -1.725386    0.56488117
  1.10010837  0.64988039  1.248484   -0.95214553  0.        ]","[[  6.89033129  -3.0599801   -0.19983175   0.06514883]
 [ 43.19511272   2.01793819   0.           0.        ]]",[ 2.92114406 -0.94476081],-0.960764,-0.211913078591,[-0.41895565 -0.25737041],[ 2.94733238 -0.85394192]
16,"[-0.16737851 -0.75244231  1.26066816  0.38986794 -1.72538186  0.56488072
  1.17551816  0.50593817  1.36647216 -0.92509627  0.        ]","[[  7.78537779  -3.0302863   -0.19983175   0.06514883]
 [ 46.29919873   1.03289565   0.           0.        ]]",[ 3.55391289 -0.77225501],-1.05643,-0.224399396077,[-0.41895565 -0.25737041],[ 3.15938234 -0.60768771]
17,"[-1.36794171 -0.75032025  0.71212467  0.34740744 -1.72537773  0.56488027
  1.24943571  0.42806027  1.40139871 -0.77500022  0.        ]","[[  8.74188984  -3.01550328  -0.19983175   0.06514883]
 [ 49.34187187   0.49995331   0.           0.        ]]",[ 3.17280454  0.18758537],-1.09921,-0.22388262718,[-0.41895565 -0.25737041],[ 2.8144877  -0.48557866]
18,"[-1.60828713 -0.7474917  -0.72239248  0.29762511 -1.7253736   0.56487982
  1.32189053  0.53538866  1.29798393 -0.64802098  0.        ]","[[  9.75865153  -2.99813549  -0.19983175   0.06514883]
 [ 52.3243481    1.23443976   0.           0.        ]]",[ 2.60957653 -0.32446575],-0.953612,-0.208514205454,[-0.41895565 -0.25737041],[ 2.56089997 -0.53166294]
19,"[-0.49294433 -0.74540577 -1.70893525  0.26452116 -1.72536946  0.56487937
  1.39290874  0.34437453  1.14516267 -0.71228774  0.        ]","[[ 10.83446931  -2.98656254  -0.19983175   0.06514883]
 [ 55.24770289  -0.07273093   0.           0.        ]]",[ 3.41759034 -1.6244467 ],-0.71911,-0.192159873288,[-0.41895565 -0.25737041],[ 2.63602829 -1.0356313 ]
20,"[ 0.91018864 -0.75020196 -1.07467685  0.34522564 -1.72536533  0.56487893
  1.46252454  0.22486755  1.14008257 -0.89995593  0.        ]","[[ 11.96817434  -3.01474313  -0.19983175   0.06514883]
 [ 58.11334585  -0.89055494   0.           0.        ]]",[ 3.5306839  -0.33017483],-0.75489,-0.197712469615,[-0.41895565 -0.25737041],[ 2.7654264  -1.21616185]
21,"[ 0.91492559 -0.75065085  0.60319495  0.35374101 -1.7253612   0.56487848
  1.53076176  0.39074878  1.27105021 -0.98674463  0.        ]","[[ 13.15862427  -3.01771032  -0.19983175   0.06514883]
 [ 60.92225854   0.2446253    0.           0.        ]]",[ 3.32729197 -1.24430402],-0.921731,-0.215762295409,[-0.41895565 -0.25737041],[ 2.98062253 -1.10637534]
