timestep,obs,human_obs,actions,rewards,original_rewards,logstd_action_dist,avg_action_dist
0,"[ 1.15779182  1.39525265 -0.44143534  0.86076158 -1.14841186  1.26248554
  0.06280218  0.33960217  2.61195251 -2.07596251  0.        ]","[[-0.09341297  0.01778255 -0.13378983  0.1453854 ]
 [ 0.00339892  0.00046175  0.          0.        ]]",[ 6.56840395  2.8015951 ],-2.57677,-0.379806567941,[-0.59296066 -0.45972896],[ 6.41232014  2.69338751]
1,"[ 1.16205262  1.39351083 -0.38226655  0.96910643 -1.14841084  1.26248428
  0.16281878  0.95484409  2.61740386 -1.93566749  0.        ]","[[-0.05367059  0.05750409 -0.13378983  0.1453854 ]
 [ 3.95768023  3.9585058   0.          0.        ]]",[ 5.88682466  1.67471888],-2.55456,-0.375089340566,[-0.59296066 -0.45972896],[ 5.78889084  2.04428458]
2,"[ 1.16113009  1.37753031 -0.20613887  1.28910456 -1.14840982  1.26248303
  0.26085964  1.55790682  2.58842641 -1.52090144  0.        ]","[[ 0.06437344  0.17560051 -0.13378983  0.1453854 ]
 [ 7.8338486   7.83820591  0.          0.        ]]",[ 4.04474016  0.78813381],-2.49199,-0.358636871439,[-0.59296066 -0.45972896],[ 4.83596087  0.72849309]
3,"[ 1.11540366  1.31993836  0.08044102  1.77920535 -1.1484088   1.26248178
  0.35697853  2.0186217   2.40329622 -0.88991062  0.        ]","[[  0.25917783   0.36210302  -0.13378983   0.1453854 ]
 [ 11.63403016  10.80215249   0.           0.        ]]",[ 3.06628094  0.15058127],-2.19406,-0.324715386093,[-0.59296066 -0.45972896],[ 3.42387962 -0.8447088 ]
4,"[ 0.96446174  1.20378479  0.45158268  2.31266005 -1.14840778  1.26248052
  0.4512371   2.07778687  1.94358537 -0.23306814  0.        ]","[[  0.52924762   0.58196573  -0.13378983   0.1453854 ]
 [ 15.36066266  11.18280793   0.           0.        ]]",[ 2.47902468 -2.25896371],-1.70749,-0.268929469267,[-0.59296066 -0.45972896],[ 2.03470278 -2.30487227]
5,"[ 0.64224734  1.07214889  0.84192691  2.69999348 -1.14840676  1.26247927
  0.54368098  1.42757105  1.239285    0.17949898  0.        ]","[[  0.87313167   0.76365277  -0.13378983   0.1453854 ]
 [ 19.01555024   6.99976892   0.           0.        ]]",[-0.207882   -1.82879834],-1.1139,-0.195138006474,[-0.59296066 -0.45972896],[ 0.38928115 -2.66858673]
6,"[ 0.17664977  0.98856871  1.11051369  2.88539085 -1.14840575  1.26247802
  0.51341284  0.79044154  0.51304128  0.21224439  0.        ]","[[  1.24143725   0.86252293  -0.13378983   0.1453854 ]
 [ 17.8188742    2.90090921   0.           0.        ]]",[-0.37089664 -2.3702183 ],-0.565914,-0.118669243286,[-0.59296066 -0.45972896],[-0.98435324 -2.59214997]
7,"[-0.30823778  0.97279105  1.19070089  2.91650178 -1.14840473  1.26247676
  0.46741419  0.16597299 -0.05239993 -0.0093063   0.        ]","[[  1.57956906   0.88023283  -0.13378983   0.1453854 ]
 [ 16.00027332  -1.11650057   0.           0.        ]]",[-2.99614086 -2.25126675],-0.259407,-0.0531878979063,[-0.59296066 -0.45972896],[-2.12358046 -2.25193024]
8,"[-0.70708943  1.02682803  1.1301495   2.80503336 -1.14840371  1.26247551
  0.35936115 -0.44596225 -0.41450076 -0.27357406  0.        ]","[[  1.85671246   0.81840309  -0.13378983   0.1453854 ]
 [ 11.72827952  -5.05327971   0.           0.        ]]",[-2.27483772 -2.03430481],-0.281315,-0.00733539441896,[-0.59296066 -0.45972896],[-2.73378944 -1.4433074 ]
9,"[-0.96745491  1.13748354  1.02310118  2.5256872  -1.14840269  1.26247425
  0.25344967 -1.04572114 -0.59760554 -0.4108898   0.        ]","[[ 2.04926473  0.67862386 -0.13378983  0.1453854 ]
 [ 7.54095386 -8.91172731  0.          0.        ]]",[-2.95170892 -0.11542501],-0.381733,-0.0179471230498,[-0.59296066 -0.45972896],[-2.97689772 -0.73872608]
