timestep,logstd_action_dist,human_obs,actions,obs,rewards,original_rewards,avg_action_dist
15,[-0.34367895 -0.19805799],"[[ -4.88048192  -2.99965257  -0.0693698   -0.15101575]
 [-33.77715013  -4.80694709   0.           0.        ]]",[-1.97291797 -2.21950774],"[-0.0087935  -0.6725969   1.31312611  0.24079323 -0.59047534 -1.29016684
 -0.85498348 -0.32469411  0.32222159  1.18408247  0.        ]",-0.265468,-0.162563657539,[-1.46253264 -1.62042463]
16,[-0.34367895 -0.19805799],"[[ -5.58903981  -3.04463616  -0.0693698   -0.15101575]
 [-37.06765228  -0.05617414   0.           0.        ]]",[-1.39183613 -2.28917647],"[ 0.83183603 -0.67934606  0.79501118  0.37406902 -0.59047463 -1.29016377
 -0.93833309  0.34876615  0.20846794  1.15916751  0.        ]",-0.309644,-0.153219921787,[-1.36573684 -1.55993426]
17,[-0.34367895 -0.19805799],"[[ -6.36275458  -3.03427172  -0.0693698   -0.15101575]
 [-40.29308695   0.74452269   0.           0.        ]]",[-1.29806559 -0.60741421],"[ 1.15091288 -0.67801435 -0.28141836  0.34329953 -0.59047392 -1.2901607
 -1.02003421  0.46227101  0.13321351  1.18809176  0.        ]",-0.40315,-0.152032348616,[-1.48742712 -1.34358954]
18,[-0.34367895 -0.19805799],"[[ -7.20033778  -3.02037076  -0.0693698   -0.15101575]
 [-43.45469905   0.5846076    0.           0.        ]]",[-0.54984506 -1.32731599],"[ 0.60742536 -0.67601739 -1.35062228  0.3020856  -0.59047321 -1.29015763
 -1.10011834  0.43960125  0.08727113  1.2821364   0.        ]",-0.45022,-0.159384227401,[-1.51162541 -0.99762952]
19,[-0.34367895 -0.19805799],"[[ -8.08264303  -3.01174438  -0.0693698   -0.15101575]
 [-44.77143896   0.300889     0.           0.        ]]",[-1.59604731 -1.48346836],"[-0.5595873  -0.67465634 -1.62016427  0.27654433 -0.5904725  -1.29015456
 -1.13347015  0.39938133  0.12112529  1.40112089  0.        ]",-0.440745,-0.172939163127,[-1.50315201 -0.85041368]
20,[-0.34367895 -0.19805799],"[[ -9.00890392  -3.00748496  -0.0693698   -0.15101575]
 [-47.84440976   0.14239485   0.           0.        ]]",[-1.97432146 -0.298033  ],"[-1.52155145 -0.67394959 -0.76708806  0.26394327 -0.59047178 -1.29015149
 -1.21130839  0.37691305  0.23171757  1.44770296  0.        ]",-0.417858,-0.182752965436,[-1.57013559 -0.94302607]
21,[-0.34367895 -0.19805799],"[[ -9.99601383  -3.00477219  -0.0693698   -0.15101575]
 [-50.8565437    0.11555084   0.           0.        ]]",[-2.08606129 -0.17046923],"[-1.41875053 -0.67348734  0.64676109  0.25592146 -0.59047107 -1.29014842
 -1.28760516  0.3731073   0.33633964  1.36130839  0.        ]",-0.42576,-0.180116949005,[-1.61162889 -1.33682549]
22,[-0.34367895 -0.19805799],"[[-11.04276815  -3.00284019  -0.0693698   -0.15101575]
 [-53.80905007   0.07515489   0.           0.        ]]",[-1.32526066 -1.52333962],"[-0.17673106 -0.67315228  1.33255549  0.25021021 -0.59047036 -1.29014534
 -1.36239105  0.36738045  0.32941749  1.20000071  0.        ]",-0.3467,-0.164512632791,[-1.45207012 -1.64176059]
23,[-0.34367895 -0.19805799],"[[ -1.21479862e+01  -3.00259628e+00  -6.93698015e-02  -1.51015748e-01]
 [ -5.67031147e+01  -2.10916364e-02   0.00000000e+00   0.00000000e+00]]",[-1.53709896 -2.14555381],"[ 1.03475509 -0.67310889  0.44562378  0.24948908 -0.59046965 -1.29014227
 -1.43569606  0.3537363   0.1982411   1.12673247  0.        ]",-0.304959,-0.149506404299,[-1.46470249 -1.54637551]
24,[-0.34367895 -0.19805799],"[[ -1.33105108e+01  -3.00312242e+00  -6.93698015e-02  -1.51015748e-01]
 [ -5.95398859e+01  -2.57041767e-02   0.00000000e+00   0.00000000e+00]]",[-2.15381094 -1.9901811 ],"[ 0.78579905 -0.67319964 -1.176206    0.2510439  -0.59046894 -1.2901392
 -1.50754923  0.35308207  0.08158627  1.24203676  0.        ]",-0.379352,-0.155064095993,[-1.62490189 -1.10617042]
25,[-0.34367895 -0.19805799],"[[ -1.45292073e+01  -3.00354279e+00  -6.93698015e-02  -1.51015748e-01]
 [ -6.23204982e+01  -1.60670761e-02   0.00000000e+00   0.00000000e+00]]",[-1.10564782  0.79947632],"[-0.77683784 -0.67327173 -1.54556824  0.25228621 -0.59046823 -1.29013613
 -1.57797927  0.35444786  0.13092006  1.4195399   0.        ]",-0.408498,-0.175233740671,[-1.61789131 -0.88088214]
26,[-0.34367895 -0.19805799],"[[-15.80296151  -2.97207582  -0.0693698   -0.15101575]
 [-65.04579276   3.15233589   0.           0.        ]]",[-1.32133647 -0.02228525],"[-1.63440525 -0.66720102 -0.02047944  0.15949086 -0.59046752 -1.29013306
 -1.64700743  0.80359692  0.29316063  1.45302162  0.        ]",-0.476995,-0.186490773874,[-1.66681707 -1.18762565]
27,[-0.34367895 -0.19805799],"[[-17.13067921  -2.91050592  -0.0693698   -0.15101575]
 [-67.71705567   3.00539019   0.           0.        ]]",[ 0.24756668 -2.57494997],"[-0.44894747 -0.65177533  1.31784342 -0.02055096 -0.5904668  -1.29012999
 -1.71466625  0.78276489  0.41704573  1.2589683   0.        ]",-0.556578,-0.175823014589,[-1.47294283 -1.69192433]
28,[-0.34367895 -0.19805799],"[[-18.46173504  -2.89067491  -0.0693698   -0.15101575]
 [-65.39635263  -1.00890394   0.           0.        ]]",[-1.8582157  -2.26821029],"[ 1.05151739 -0.6458139   0.40354984 -0.07802156 -0.59046609 -1.29012692
 -1.65587587  0.21370122  0.24706942  1.03223996  0.        ]",-0.244956,-0.143570105205,[-1.47451568 -1.57837546]
29,[-0.34367895 -0.19805799],"[[-19.79640215  -2.95033656  -0.0693698   -0.15101575]
 [-68.06155415  -4.94427711   0.           0.        ]]",[-2.1498828  -0.59634003],"[ 0.57410502 -0.6622869  -1.37711201  0.09566825 -0.59046538 -1.29012385
 -1.72338086 -0.3441746   0.04418259  1.23628373  0.        ]",-0.356578,-0.152924245591,[-1.69686723 -1.17038345]
30,[-0.34367895 -0.19805799],"[[ -2.11838436e+01  -3.03457169e+00  -6.93698015e-02  -1.51015748e-01]
 [ -7.06736975e+01  -1.43495435e+00   0.00000000e+00   0.00000000e+00]]",[-1.81113012 -0.65363559],"[-1.20934613 -0.67804357 -1.24367992  0.34418872 -0.59046467 -1.29012078
 -1.78954112  0.15330516  0.20078435  1.42468244  0.        ]",-0.424341,-0.178940348449,[-1.68844008 -0.9406603 ]
31,[-0.34367895 -0.19805799],"[[ -2.26230040e+01  -3.03661383e+00  -6.93698015e-02  -1.51015748e-01]
 [ -7.32338210e+01   5.83417768e-01   0.00000000e+00   0.00000000e+00]]",[-0.79539176 -0.88235432],"[-1.37079382 -0.67831478  0.72155222  0.35024858 -0.59046396 -1.29011771
 -1.85438294  0.4394284   0.32594201  1.3231726   0.        ]",-0.461418,-0.175864545958,[-1.72785592 -1.39886546]
32,[-0.34367895 -0.19805799],"[[ -2.41047308e+01  -3.02356368e+00  -6.93698015e-02  -1.51015748e-01]
 [ -7.49331927e+01   6.07164055e-01   0.00000000e+00   0.00000000e+00]]",[-1.22783222 -1.04226705],"[ 0.47943124 -0.67648518  1.119111    0.31154447 -0.59046325 -1.29011464
 -1.89742096  0.44279419  0.26305405  1.15423808  0.        ]",-0.301333,-0.156007850008,[-1.45894539 -1.65704763]
33,[-0.34367895 -0.19805799],"[[ -2.56282356e+01  -3.01392476e+00  -6.93698015e-02  -1.51015748e-01]
 [ -7.74090453e+01   3.59465887e-01   0.00000000e+00   0.00000000e+00]]",[-1.51526961 -1.06362047],"[ 0.98720704 -0.67499682 -0.87406454  0.28299538 -0.59046254 -1.29011157
 -1.96012674  0.40768012  0.09880067  1.21532927  0.        ]",-0.399812,-0.153127680732,[-1.70649648 -1.2388339 ]
34,[-0.34367895 -0.19805799],"[[ -2.72007659e+01  -3.00865721e+00  -6.93698015e-02  -1.51015748e-01]
 [ -7.98358962e+01   1.82478831e-01   0.00000000e+00   0.00000000e+00]]",[-2.43883921 -1.97010927],"[-0.90952883 -0.67413401 -1.47787966  0.26740831 -0.59046182 -1.2901085
 -2.02159043  0.38259005  0.14704161  1.42723106  0.        ]",-0.393025,-0.176717565115,[-1.72776806 -0.92938656]
35,[-0.34367895 -0.19805799],"[[ -2.88213512e+01  -3.00608361e+00  -6.93698015e-02  -1.51015748e-01]
 [ -8.22147113e+01   8.56961737e-02   0.00000000e+00   0.00000000e+00]]",[-2.98229264 -0.0137128 ],"[-1.43670444 -0.67369942  0.61603634  0.25979666 -0.59046111 -1.29010543
 -2.08183646  0.36886976  0.33439098  1.36356715  0.        ]",-0.359968,-0.180219028934,[-1.81128728 -1.40393794]
36,[-0.34367895 -0.19805799],"[[ -3.04890403e+01  -3.00385576e+00  -6.93698015e-02  -1.51015748e-01]
 [ -8.45464297e+01   1.10672590e-01   0.00000000e+00   0.00000000e+00]]",[-1.15977546 -1.93476886],"[ 0.59659229 -0.67331642  1.03452221  0.2532097  -0.5904604  -1.29010236
 -2.14088859  0.37241004  0.26614691  1.13904157  0.        ]",-0.279417,-0.154769699655,[-1.43585551 -1.61719811]
37,[-0.34367895 -0.19805799],"[[ -3.22029008e+01  -3.00308153e+00  -6.93698015e-02  -1.51015748e-01]
 [ -8.68320012e+01  -2.38103881e-03   0.00000000e+00   0.00000000e+00]]",[-2.02869952 -0.9601164 ],"[ 0.74431262 -0.6731813  -1.22241741  0.25092092 -0.59045969 -1.29009929
 -2.19877083  0.35638317  0.07994733  1.24866432  0.        ]",-0.382314,-0.155671473758,[-1.77187264 -1.15336394]
38,[-0.34367895 -0.19805799],"[[ -3.39620188e+01  -3.00329885e+00  -6.93698015e-02  -1.51015748e-01]
 [ -8.90723271e+01  -1.38128460e-02   0.00000000e+00   0.00000000e+00]]",[-2.57491283 -0.16122911],"[-1.40005972 -0.67321819 -1.00196016  0.25156304 -0.59045898 -1.29009622
 -2.25550601  0.35476223  0.20509769  1.45206661  0.        ]",-0.378277,-0.181889580811,[-1.81423891 -1.00097799]
39,[-0.34367895 -0.19805799],"[[ -3.57654982e+01  -3.00269503e+00  -6.93698015e-02  -1.51015748e-01]
 [ -9.12682949e+01   4.86990025e-02   0.00000000e+00   0.00000000e+00]]",[ 0.29183526 -0.79901008],"[-0.73885099 -0.67311226  1.23679211  0.24977805 -0.59045827 -1.29009315
 -2.31111656  0.36362358  0.35003752  1.26194794  0.        ]",-0.531535,-0.171616185675,[-1.65473628 -1.60083187]
40,[-0.34367895 -0.19805799],"[[ -3.75611429e+01  -3.00246947e+00  -6.93698015e-02  -1.51015748e-01]
 [ -8.83060481e+01  -9.00506767e-03   0.00000000e+00   0.00000000e+00]]",[-1.21729154 -1.83897594],"[ 1.14206045 -0.67307202  0.04339415  0.24911116 -0.59045756 -1.29009008
 -2.23607145  0.35544306  0.16079322  1.13798856  0.        ]",-0.360079,-0.148519359366,[-1.58709073 -1.47246158]
41,[-0.34367895 -0.19805799],"[[ -3.93494490e+01  -3.00293990e+00  -6.93698015e-02  -1.51015748e-01]
 [ -9.05171948e+01  -2.79574444e-02   0.00000000e+00   0.00000000e+00]]",[-1.50890907 -2.31539931],"[-0.35376268 -0.67315317 -1.65437895  0.25050133 -0.59045685 -1.290087
 -2.29206636  0.352756    0.10054093  1.38306083  0.        ]",-0.460763,-0.170242656743,[-1.78466809 -0.98274809]
42,[-0.34367895 -0.19805799],"[[ -4.11815388e+01  -3.00342443e+00  -6.93698015e-02  -1.51015748e-01]
 [ -9.26845676e+01  -1.93624941e-02   0.00000000e+00   0.00000000e+00]]",[-1.34806217 -2.05024074],"[-1.56028161 -0.67323648  0.33785411  0.25193327 -0.59045613 -1.29008393
 -2.34695144  0.35397407  0.31944055  1.39382642  0.        ]",-0.437348,-0.18223520754,[-1.88319838 -1.34486032]
43,[-0.34367895 -0.19805799],"[[ -4.30565456e+01  -3.00371741e+00  -6.93698015e-02  -1.51015748e-01]
 [ -9.48090331e+01  -1.04670367e-02   0.00000000e+00   0.00000000e+00]]",[-1.92851561 -1.87095563],"[ 0.59786307 -0.67328637  1.03350325  0.2527991  -0.59045542 -1.29008086
 -2.40074861  0.35523474  0.2661387   1.13886017  0.        ]",-0.20617,-0.154754157825,[-1.35473466 -1.52644169]
44,[-0.34367895 -0.19805799],"[[ -4.49736198e+01  -3.00386745e+00  -6.93698015e-02  -1.51015748e-01]
 [ -9.68914412e+01  -5.08067916e-03   0.00000000e+00   0.00000000e+00]]",[-1.91991996 -1.528412  ],"[ 0.52285752 -0.67331145 -1.41478094  0.25324237 -0.59045471 -1.29007779
 -2.45347939  0.35599796  0.07629165  1.28213696  0.        ]",-0.414556,-0.158930152404,[-1.83231854 -1.13042903]
45,[-0.34367895 -0.19805799],"[[ -4.69319285e+01  -3.00393816e+00  -6.93698015e-02  -1.51015748e-01]
 [ -9.89326247e+01  -2.31897389e-03   0.00000000e+00   0.00000000e+00]]",[-2.43839028  0.25678612],"[-1.61502121 -0.6733228  -0.44798297  0.25345115 -0.590454   -1.29007472
 -2.50516484  0.3563891   0.26002181  1.44233698  0.        ]",-0.397856,-0.183679454252,[-1.90553081 -1.13913178]
46,[-0.34367895 -0.19805799],"[[ -4.89306545e+01  -2.99372347e+00  -6.93698015e-02  -1.51015748e-01]
 [ -1.00933292e+02   1.02049424e+00   0.00000000e+00   0.00000000e+00]]",[-1.3848434  -1.39523559],"[ 0.08416091 -0.67149169  1.29274978  0.22327687 -0.59045329 -1.29007165
 -2.55582289  0.50138385  0.32099644  1.17498235  0.        ]",-0.281125,-0.161648661329,[-1.36481786 -1.54844034]
47,[-0.34367895 -0.19805799],"[[ -5.09689992e+01  -3.00663452e+00  -6.93698015e-02  -1.51015748e-01]
 [ -1.02894649e+02  -1.44031475e+00   0.00000000e+00   0.00000000e+00]]",[-2.04348754 -0.94102919],"[ 0.82341788 -0.67378248 -1.13064154  0.261423   -0.59045258 -1.29006858
 -2.60548406  0.15253606  0.08798628  1.24428116  0.        ]",-0.377619,-0.155577747584,[-1.87319624 -1.24019039]
48,[-0.34367895 -0.19805799],"[[ -5.30461797e+01  -3.01642809e+00  -6.93698015e-02  -1.51015748e-01]
 [ -1.04816983e+02   5.05168222e-02   0.00000000e+00   0.00000000e+00]]",[-0.85823975 -2.12290672],"[-1.55063964 -0.6753812  -0.6909324   0.29040335 -0.59045187 -1.29006551
 -2.65415563  0.3638782   0.2429474   1.43755777  0.        ]",-0.475329,-0.182324845856,[-1.92082131 -1.09047508]
49,[-0.34367895 -0.19805799],"[[ -5.51557933e+01  -3.01276038e+00  -6.93698015e-02  -1.51015748e-01]
 [ -1.06139970e+02   2.27925461e-01   0.00000000e+00   0.00000000e+00]]",[-0.83752504 -1.33239445],"[ 0.00475435 -0.6747953   1.31059823  0.27954545 -0.59045115 -1.29006244
 -2.68764555  0.38902753  0.3099137   1.18329953  0.        ]",-0.314164,-0.161701570014,[-1.36069751 -1.49647701]
