timestep,logstd_action_dist,human_obs,actions,obs,rewards,original_rewards,avg_action_dist
0,[-0.54942524 -0.39732048],"[[-0.08812032  0.06973719 -0.06489453 -0.18559765]
 [-0.00177511  0.00499389  0.          0.        ]]",[-4.29598713 -3.64664195],"[ 1.1534713   1.4799332  -0.40869239  0.9897548  -0.54671057 -1.60978524
  0.06513452  0.34785011  1.94086999  1.62422089  0.        ]",-2.10313,-0.325407314142,[-3.31508756 -3.51277685]
1,[-0.54942524 -0.39732048],"[[-0.12783055  0.03012366 -0.06489453 -0.18559765]
 [-3.95608536 -3.95316112  0.          0.        ]]",[-4.56549533 -3.61001604],"[ 1.14728388  1.48226051 -0.46768336  0.88012959 -0.54671026 -1.6097827
 -0.03301997 -0.25686813  1.93272658  1.48959532  0.        ]",-2.02752,-0.317987831172,[-3.17031813 -3.22052932]
2,[-0.54942524 -0.39732048],"[[-0.24584258 -0.087867   -0.06489453 -0.18559765]
 [-7.83222957 -7.83297587  0.          0.        ]]",[-2.22936058 -3.71563464],"[ 1.1156105   1.47824746 -0.64086376  0.55350475 -0.54670995 -1.60978016
 -0.1292342  -0.84961744  1.86528662  1.09704384  0.        ]",-1.8111,-0.293844462354,[-2.62778735 -2.72292638]
3,[-0.54942524 -0.39732048],"[[ -0.44061048  -0.28268312  -0.06489453  -0.18559765]
 [-11.63199823 -11.63594783   0.           0.        ]]",[-1.06825056 -0.94542328],"[ 1.02100248  1.43602625 -0.91450422  0.02374965 -0.54670963 -1.60977761
 -0.22355263 -1.43062567  1.62099058  0.51085104  0.        ]",-1.26696,-0.247936363308,[-1.83888638 -1.98015618]
4,[-0.54942524 -0.39732048],"[[ -0.71062834  -0.5506337   -0.06489453  -0.18559765]
 [-15.35761138 -15.14736454   0.           0.        ]]",[ 0.44094062 -0.1276867 ],"[ 0.8091526   1.30863372 -1.25195303 -0.65318566 -0.54670932 -1.60977507
 -0.31603034 -1.96708815  1.06635598 -0.06965125  0.        ]",-0.487033,-0.17489834017,[-0.09133284 -0.83239758]
5,[-0.54942524 -0.39732048],"[[ -0.9972469   -0.85564628  -0.06489453  -0.18559765]
 [-13.31112142 -15.35318287   0.           0.        ]]",[ 0.11836215 -0.18007203],"[ 0.49784593  1.07714786 -1.53239428 -1.29540897 -0.54670901 -1.60977253
 -0.26523184 -1.9985282   0.31933003 -0.27874486  0.        ]",0.0305589,-0.0886266602676,[ 0.42860878 -0.51191235]
6,[-0.54942524 -0.39732048],"[[ -1.25615014  -1.16681018  -0.06489453  -0.18559765]
 [-12.58169997 -15.7618292    0.           0.        ]]",[ 0.45877033 -0.83646518],"[ 0.16080386  0.76768305 -1.69815222 -1.75125129 -0.5467087  -1.60976999
 -0.24712587 -2.0609554  -0.33894294 -0.04313877  0.        ]",-0.0940401,-0.0223008750273,[-0.30392557 -1.11569691]
7,[-0.54942524 -0.39732048],"[[ -1.4870932   -1.51214579  -0.06489453  -0.18559765]
 [-10.51957447 -18.7617328    0.           0.        ]]",[-1.4757754  -1.92601761],"[-0.16573931  0.37358866 -1.7662805  -1.96954284 -0.54670839 -1.60976745
 -0.19593926 -2.51926424 -0.76341259  0.51290525  0.        ]",-0.606231,-0.0788517563927,[-1.54028976 -2.23054695]
8,[-0.54942524 -0.39732048],"[[ -1.73513699  -1.92336957  -0.06489453  -0.18559765]
 [-14.27270571 -22.34868862   0.           0.        ]]",[-1.80834804 -3.56477689],"[-0.52312276 -0.1023492  -1.75137507 -1.80385337 -0.54670807 -1.60976491
 -0.2891002  -3.06725412 -0.8633531   1.26804084  0.        ]",-1.14947,-0.14894504671,[-2.10666609 -2.63718033]
9,[-0.54942524 -0.39732048],"[[ -2.05751879  -2.40562035  -0.06489453  -0.18559765]
 [-17.95337765 -25.86470525   0.           0.        ]]",[-2.6722765  -2.93161436],"[-0.96279742 -0.56878267 -1.59797008 -1.06350492 -0.54670776 -1.60976237
 -0.38046252 -3.60439601 -0.5312999   1.93318384  0.        ]",-1.22197,-0.204009089473,[-2.43496513 -2.9169662 ]
10,[-0.54942524 -0.39732048],"[[ -2.45278298  -2.95749671  -0.06489453  -0.18559765]
 [-21.56061998 -29.31157017   0.           0.        ]]",[-2.32117365 -3.00588545],"[-1.40267651 -0.85383274 -1.22699674  0.28942567 -0.54670745 -1.60975983
 -0.47000212 -4.13095975  0.05637957  1.95987658  0.        ]",-1.13192,-0.214418929535,[-2.32767773 -3.27028465]
11,[-0.54942524 -0.39732048],"[[ -2.91942726  -3.22327656  -0.06489453  -0.18559765]
 [-25.09201096  -0.75850958   0.           0.        ]]",[-1.42826107 -0.87378046],"[-1.69675389 -0.86981358 -0.60643371  1.0227669  -0.54670714 -1.60975729
 -0.55765889  0.23121767  0.21415649  1.65265579  0.        ]",-0.990856,-0.193225109865,[-2.19576693 -0.84797919]
12,[-0.54942524 -0.39732048],"[[ -3.45600576  -3.17055449  -0.06489453  -0.18559765]
 [-28.55439814   4.0259529    0.           0.        ]]",[-1.63589179 -0.73141936],"[-1.66141205 -0.87324745  0.18496812  0.8769149  -0.54670682 -1.60975475
 -0.64360277  0.96216069  0.18608504  1.67076895  0.        ]",-0.993044,-0.193548523341,[-2.32841635 -1.079059  ]
13,[-0.54942524 -0.39732048],"[[ -4.06114743  -3.09659544  -0.06489453  -0.18559765]
 [-31.94846057   3.07765252   0.           0.        ]]",[-1.56898777 -0.77001412],"[-1.16293436 -0.87254825  0.91132515  0.67202876 -0.54670651 -1.6097522
 -0.72785062  0.81728397  0.19938899  1.68719656  0.        ]",-1.04079,-0.195556879361,[-2.54968691 -1.62039578]
14,[-0.54942524 -0.39732048],"[[ -4.73349605  -3.04923996  -0.06489453  -0.18559765]
 [-35.27530925   1.7182145    0.           0.        ]]",[-2.64508422 -1.98977891],"[-0.25608735 -0.86871906  1.21683434  0.54112893 -0.5467062  -1.60974966
 -0.81042998  0.60959611  0.19993675  1.63569329  0.        ]",-0.92957,-0.19111854605,[-2.59906435 -1.92077744]
15,[-0.54942524 -0.39732048],"[[ -5.47172061  -3.02464969  -0.06489453  -0.18559765]
 [-38.53627737   0.83158659   0.           0.        ]]",[-1.86117617 -1.10227728],"[ 0.70866119 -0.86569195  0.80666661  0.47336398 -0.54670589 -1.60974712
 -0.89137393  0.47414167  0.13894434  1.57387192  0.        ]",-1.06019,-0.183081406678,[-2.54071689 -1.77970541]
16,[-0.54942524 -0.39732048],"[[ -6.27451674  -3.01307853  -0.06489453  -0.18559765]
 [-41.73268353   0.37966483   0.           0.        ]]",[-2.01084337 -0.83626976],"[ 1.1590271  -0.86402222 -0.2642172   0.44154161 -0.54670558 -1.60974458
 -0.97071519  0.40509929  0.0349845   1.58842077  0.        ]",-1.06051,-0.180305627939,[-2.47257471 -1.19496751]
17,[-0.54942524 -0.39732048],"[[ -7.1406061   -3.00771435  -0.06489453  -0.18559765]
 [-44.865811     0.17895611   0.           0.        ]]",[-2.08913342 -1.34041673],"[ 0.65943864 -0.86319472 -1.40712366  0.42680511 -0.54670526 -1.60974204
 -1.04848559  0.37443589 -0.03508529  1.70963058  0.        ]",-1.11786,-0.188972854662,[-2.22824597 -0.83746511]
18,[-0.54942524 -0.39732048],"[[ -8.06873571  -3.00541729  -0.06489453  -0.18559765]
 [-47.93691595   0.06836627   0.           0.        ]]",[-2.16491358 -0.632189  ],"[-0.59468649 -0.86282971 -1.73717726  0.4204977  -0.54670495 -1.6097395
 -1.1247163   0.35754038  0.00263266  1.86660096  0.        ]",-1.13142,-0.204339413955,[-2.05775046 -0.70592988]
19,[-0.54942524 -0.39732048],"[[ -9.05767741  -3.00414977  -0.06489453  -0.18559765]
 [-50.94722197   0.05306464   0.           0.        ]]",[-2.91589619 -2.00725365],"[-1.63595839 -0.86262536 -0.81350032  0.41701804 -0.54670464 -1.60973696
 -1.19943766  0.3552025   0.13897649  1.92326314  0.        ]",-1.04554,-0.213925895819,[-2.39505219 -1.0419184 ]
20,[-0.54942524 -0.39732048],"[[ -1.01062273e+01  -3.00372055e+00  -6.48945264e-02  -1.85597646e-01]
 [ -5.38979384e+01   2.86661506e-03   0.00000000e+00   0.00000000e+00]]",[-2.54997513  0.03185916],"[-1.40940174 -0.8625553   0.66414405  0.4158397  -0.54670433 -1.60973442
 -1.27267968  0.34753334  0.25690264  1.80428105  0.        ]",-1.08455,-0.208256027063,[-2.70039892 -1.63190806]
21,[-0.54942524 -0.39732048],"[[-11.21320542  -3.002286    -0.06489453  -0.18559765]
 [-56.79022952   0.13538404   0.           0.        ]]",[-2.73642748 -1.57862748],"[ 0.02554945 -0.86232114  1.18191902  0.4119025  -0.54670402 -1.60973188
 -1.34447124  0.36777849  0.22642443  1.61142338  0.        ]",-0.940886,-0.190246973411,[-2.68473077 -2.07887959]
