timestep,logstd_action_dist,human_obs,actions,obs,rewards,original_rewards,avg_action_dist
0,[-0.7496891  -0.53687495],"[[-0.05871071 -0.05551362 -0.142225   -0.0996094 ]
 [-0.00467531  0.00371633  0.          0.        ]]",[-1.67817388 -2.69834725],"[ 1.18062315  1.20287434 -0.38307946  0.74575858 -1.2192087  -0.87030286
  0.04555519  0.32250656  2.83928369  0.69284574  0.        ]",-3.35206,-0.360598177168,[-1.35615981 -2.36808848]
1,[-0.7496891  -0.53687495],"[[-0.09847842 -0.09515244 -0.142225   -0.0996094 ]
 [-3.95893873 -3.9544112   0.          0.        ]]",[-1.37816051 -1.89750078],"[ 1.17594064  1.19942528 -0.44094862  0.63965074 -1.21920788 -0.87030244
 -0.0634905  -0.33398644  2.82330782  0.54229375  0.        ]",-3.31837,-0.356354102318,[-1.10675967 -1.94983447]
2,[-0.7496891  -0.53687495],"[[-0.21654761 -0.21316777 -0.142225   -0.0996094 ]
 [-7.83511176 -7.83419059  0.          0.        ]]",[-0.9124675  -0.87452441],"[ 1.14818346  1.1784897  -0.61107162  0.32675969 -1.21920705 -0.87030202
 -0.17038271 -0.9774844   2.72851542  0.10797288  0.        ]",-3.17695,-0.341421999694,[-0.77549726 -1.50010252]
3,[-0.7496891  -0.53687495],"[[ -0.40790207  -0.40302419  -0.142225    -0.0996094 ]
 [-11.28893756 -11.14041716   0.           0.        ]]",[-0.26688309 -0.30645319],"[ 1.06017436  1.11203847 -0.87649719 -0.15820911 -1.21920622 -0.87030161
 -0.26562794 -1.52585228  2.43727161 -0.51511147  0.        ]",-2.66505,-0.310426246563,[-0.18977816 -1.07412004]
4,[-0.7496891  -0.53687495],"[[ -0.64203799  -0.63578859  -0.142225    -0.0996094 ]
 [-12.1219764  -12.1326939    0.           0.        ]]",[ 1.94972495 -0.34936863],"[ 0.88460972  0.97878735 -1.17158417 -0.69946204 -1.2192054  -0.87030119
 -0.28860037 -1.69042902  1.89814035 -1.0627312   0.        ]",-2.10515,-0.262409672126,[ 0.82028115 -0.229137  ]
5,[-0.7496891  -0.53687495],"[[ -0.84238509  -0.88992294  -0.142225    -0.0996094 ]
 [ -7.92668741 -13.27692432   0.           0.        ]]",[ 2.00915161 -0.39942048],"[ 0.68188228  0.77634657 -1.38676154 -1.19131923 -1.21920457 -0.87030077
 -0.1729078  -1.88020808  1.28869187 -1.27797382  0.        ]",-1.57696,-0.208580907171,[ 1.62584686  0.15355089]
6,[-0.7496891  -0.53687495],"[[ -0.95965665  -1.16870273  -0.142225    -0.0996094 ]
 [ -3.81410419 -14.59664287   0.           0.        ]]",[ 1.83482181 -0.57738394],"[ 0.54409804  0.50108876 -1.49297664 -1.57581483 -1.21920374 -0.87030036
 -0.05949599 -2.09909258  0.80772877 -1.18286088  0.        ]",-1.21388,-0.160355175717,[ 2.15016961  0.16747746]
7,[-0.7496891  -0.53687495],"[[ -0.99548694  -1.48068361  -0.142225    -0.0996094 ]
 [  0.21773454 -16.59474801   0.           0.        ]]",[ 2.24807717 -0.31761458],"[ 0.49955104  0.15274266 -1.52221389 -1.77903795 -1.21920292 -0.87029994
  0.05168915 -2.43049201  0.50484997 -0.90271102  0.        ]",-1.03885,-0.121850568004,[ 2.18008137 -0.65585816]
8,[-0.7496891  -0.53687495],"[[ -0.95147591  -1.82190682  -0.142225    -0.0996094 ]
 [  4.17036883 -17.52441207   0.           0.        ]]",[ 0.87367425 -2.53633945],"[ 0.55411574 -0.23850655 -1.48608164 -1.7057304  -1.21920209 -0.87029952
  0.16069008 -2.58467967  0.38431491 -0.53441474  0.        ]",-0.929338,-0.0999643532993,[ 1.27402556 -2.33416796]
9,[-0.7496891  -0.53687495],"[[ -0.83420229  -2.20864386  -0.142225    -0.0996094 ]
 [  7.54582478 -21.13718597   0.           0.        ]]",[ 1.73217    -3.99902976],"[ 0.69100467 -0.63960101 -1.37876851 -1.26207062 -1.21920126 -0.87029911
  0.25377428 -3.18387986  0.40649801 -0.10267399  0.        ]",-1.0241,-0.101010282441,[ 0.83470041 -3.92488575]
