timestep,logstd_action_dist,human_obs,actions,obs,rewards,original_rewards,avg_action_dist
0,[-0.7036438  -0.54901361],"[[-0.01864529  0.09544044 -0.06636484  0.16231821]
 [-0.00069987  0.00025013  0.          0.        ]]",[ 5.41802076  2.5212632 ],"[ 1.17109397  1.26606153 -0.33129138  1.13411303 -0.56190464  1.4088404
  0.05794836  0.32939641  2.06786938 -2.09866516  0.        ]",-2.63725,-0.316930376637,[ 5.41718626  2.30512929]
1,[-0.7036438  -0.54901361],"[[ 0.02101608  0.13515782 -0.06636484  0.16231821]
 [ 3.95368172  3.95830121  0.          0.        ]]",[ 4.78897219  0.90470209],"[ 1.17102339  1.26077358 -0.27274875  1.24047507 -0.56190441  1.40883912
  0.16350386  0.97137763  2.05824281 -1.95124338  0.        ]",-2.5859,-0.310014131243,[ 4.6367054   1.35612404]
2,[-0.7036438  -0.54901361],"[[ 0.13898291  0.2494642  -0.06636484  0.16231821]
 [ 7.83013297  7.46066258  0.          0.        ]]",[ 4.43754927  0.22602409],"[ 1.15704711  1.23550598 -0.09926864  1.54280588 -0.56190418  1.40883783
  0.26697913  1.53944659  1.98457341 -1.52750289  0.        ]",-2.35757,-0.287762395351,[ 3.84282351 -0.04876214]
3,[-0.7036438  -0.54901361],"[[  0.33372267   0.40615935  -0.06636484   0.16231821]
 [ 11.63124651   8.20635149   0.           0.        ]]",[ 2.11968757 -2.06946309],"[ 1.08951403  1.17718489  0.17976458  1.94235888 -0.56190396  1.40883655
  0.36844338  1.66039273  1.74728744 -0.92755187  0.        ]",-2.11136,-0.248348648273,[ 2.59581232 -1.26309323]
4,[-0.7036438  -0.54901361],"[[  0.60375086   0.52891151  -0.06636484   0.16231821]
 [ 15.35913837   4.08257181   0.           0.        ]]",[ 0.77557982 -2.09569135],"[ 0.90911613  1.11320745  0.5342958   2.23760083 -0.56190373  1.40883526
  0.46795308  0.99153037  1.30576626 -0.35020783  0.        ]",-1.68099,-0.19544447082,[ 1.079656   -1.65365446]
5,[-0.7036438  -0.54901361],"[[  0.93868712   0.57000819  -0.06636484   0.16231821]
 [ 18.12522145   0.04053094   0.           0.        ]]",[-0.39306101 -2.22375854],"[ 0.56444617  1.08837396  0.88716944  2.33208005 -0.56190351  1.40883398
  0.54178887  0.33592624  0.70986117  0.04759171  0.        ]",-1.07421,-0.135238313593,[-0.85670847 -2.08979034]
6,[-0.7036438  -0.54901361],"[[  1.28200563   0.53108264  -0.06636484   0.16231821]
 [ 16.21295642  -3.91985609   0.           0.        ]]",[-1.68376174 -1.4288225 ],"[ 0.11047014  1.1119359   1.11125833  2.2426427  -0.56190328  1.4088327
  0.49074393 -0.30643391  0.10686686  0.18974657  0.        ]",-0.646921,-0.0794449848378,[-2.3459332  -1.84205806]
7,[-0.7036438  -0.54901361],"[[  1.56336602   0.41374729  -0.06636484   0.16231821]
 [ 11.93734385  -7.80068667   0.           0.        ]]",[-3.2666475  -0.15121227],"[-0.30094718  1.17368222  1.17234598  1.96110678 -0.56190306  1.40883141
  0.37661335 -0.93589003 -0.31656693  0.17100719  0.        ]",-0.544652,-0.0453610165162,[-2.92388582 -0.790748  ]
8,[-0.7036438  -0.54901361],"[[ 1.76005227  0.25328976 -0.06636484  0.16231821]
 [ 7.74528105 -8.24355627  0.          0.        ]]",[-3.17910175 -0.33201365],"[-0.59102228  1.23439993  1.14602835  1.55277897 -0.56190283  1.40883013
  0.26471302 -1.00772126 -0.53560537  0.13104943  0.        ]",-0.555617,-0.0353008390669,[-2.86407709 -0.30092043]
9,[-0.7036438  -0.54901361],"[[ 1.87373407  0.07688144 -0.06636484  0.16231821]
 [ 3.63660056 -9.39343499  0.          0.        ]]",[-1.94822116  0.29491599],"[-0.7544796   1.26790164  1.10516711  1.08424593 -0.5619026   1.40882884
  0.15503844 -1.19422654 -0.57997092  0.13092344  0.        ]",-0.702582,-0.0355428201269,[-2.37181568  0.51823127]
