timestep,original_rewards,logstd_action_dist,avg_action_dist,rewards,obs,human_obs,actions
0,-0.344703361426,[-0.04196789 -0.18220918],[ 0.56262499  1.95313787],-0.882125,"[ 1.12697391  2.12815781 -0.26048549 -1.00718555 -0.81193038 -1.70012531
 -0.6936768  -0.35278791  1.97874544  1.21671059  0.        ]","[[-0.0960608  -0.09360051 -0.09441867 -0.19653806]
 [ 0.00390536  0.00165283  0.          0.        ]]",[ 0.01279811  1.32680191]
1,-0.347516006162,[-0.04196789 -0.18220918],[ 0.53575373  1.93855131],-0.88678,"[ 1.12704459  2.13213713 -0.25962531 -0.88059394 -0.81192809 -1.70011406
 -0.69102845  0.178447    1.98418456  1.25159337  0.        ]","[[-0.09549092 -0.05384013 -0.09441867 -0.19653806]
 [ 0.05292285  3.96118846  0.          0.        ]]",[-0.41564774  1.89104199]
2,-0.353193927595,[-0.04196789 -0.18220918],[ 0.51047593  1.93333292],-0.907222,"[ 1.12484645  2.13127095 -0.28293706 -0.50353481 -0.8119258  -1.70010281
 -0.77994245  0.69925214  1.99101493  1.32803995  0.        ]","[[-0.11095539  0.06433105 -0.09441867 -0.19653806]
 [-1.59387895  7.84299083  0.          0.        ]]",[-0.00413066  1.03097769]
3,-0.360099222818,[-0.04196789 -0.18220918],[ 0.47207618  1.91858196],-0.894117,"[ 1.11931519  2.08839782 -0.33065139  0.1100222  -0.8119235  -1.70009157
 -0.77919678  1.20965694  1.98354402  1.44451072  0.        ]","[[ -0.14269506   0.25936071  -0.09441867  -0.19653806]
 [ -1.58010793  11.64729614   0.           0.        ]]",[-1.00640088  2.32406327]
4,-0.363219562075,[-0.04196789 -0.18220918],[ 0.41306704  1.88550282],-0.928567,"[ 1.10199009  1.94687119 -0.43651857  0.9044959  -0.81192121 -1.70008032
 -0.99117121  1.71014295  1.94038502  1.55800145  0.        ]","[[ -0.21368792   0.52973553  -0.09441867  -0.19653806]
 [ -5.50610979  15.37772267   0.           0.        ]]",[ 0.51730845  0.58584167]
5,-0.361680652556,[-0.04196789 -0.18220918],[ 0.34745765  1.81548297],-0.87587,"[ 1.07091555  1.66194869 -0.56616452  1.7055463  -0.81191892 -1.70006908
 -0.87480183  1.98039857  1.84379881  1.67812488  0.        ]","[[ -0.30218755   0.85750151  -0.09441867  -0.19653806]
 [ -3.35090222  17.39218628   0.           0.        ]]",[ 1.14005073  2.64215169]
6,-0.35894918353,[-0.04196789 -0.18220918],[ 0.24095903  1.68782473],-0.854128,"[ 1.05952433  1.20980997 -0.60456574  2.31243191 -0.81191663 -1.70005783
 -0.65757249  2.46525824  1.6481102   1.88696025  0.        ]","[[ -0.32884293   1.24160633  -0.09441867  -0.19653806]
 [  0.67233167  21.00630874   0.           0.        ]]",[ 0.32955291  1.13045524]
7,-0.345533143606,[-0.04196789 -0.18220918],[ 0.08529273  1.49475718],-0.78452,"[ 1.07080868  0.59600392 -0.56651173  2.45832752 -0.81191434 -1.70004659
 -0.5877755   2.94061301  1.30635577  2.07435967  0.        ]","[[ -0.3024294    1.69728487  -0.09441867  -0.19653806]
 [  1.96500238  24.54975536   0.           0.        ]]",[ 0.15708075  0.26411084]
8,-0.313067746369,[-0.04196789 -0.18220918],[-0.04338346  1.27934968],-0.670472,"[ 1.08798256 -0.02869288 -0.50071087  1.88384108 -0.81191205 -1.70003534
 -0.55614914  3.0156466   0.89103405  2.06457702  0.        ]","[[ -0.25725235   2.19389515  -0.09441867  -0.19653806]
 [  2.55072396  25.10941608   0.           0.        ]]",[-0.17512513 -0.32162717]
9,-0.266408173629,[-0.04196789 -0.18220918],[-0.10246675  1.09751129],-0.560304,"[ 1.10197307 -0.45349417 -0.43649772  0.71791482 -0.81190976 -1.7000241
 -0.59620245  2.77805648  0.56247505  1.83149092  0.        ]","[[ -0.2136782    2.67831818  -0.09441867  -0.19653806]
 [  1.8088813   23.33878242   0.           0.        ]]",[ 0.08457321  0.19972898]
