timestep,rewards,obs,actions,original_rewards,avg_action_dist,logstd_action_dist,human_obs
0,-3.85928,"[ 0.88855205  1.84202541  0.02301481  1.0024482  -1.25418226  0.74937557
 -0.66059129  0.36103001  2.79747125 -0.76553055  0.        ]",[ 1.79032499 -1.46381352],-0.367238889644,[ 1.45164943 -1.54651785],[-0.58871567 -0.50282919],"[[-0.00310466 -0.07199297 -0.14488576  0.08704409]
 [-0.00444999 -0.00134971  0.          0.        ]]"
1,-3.86061,"[ 0.88751953  1.83700286  0.08537534  0.89917811 -1.25418133  0.74937523
 -0.54097993 -0.26200365  2.79685203 -0.71760187  0.        ]",[ 1.46452921 -1.0541853 ],-0.366167018633,[ 1.58598518 -1.04479039],[-0.58871567 -0.50282919],"[[ 0.03651321 -0.11176295 -0.14488576  0.08704409]
 [ 3.95305617 -3.96243988  0.          0.        ]]"
2,-3.74247,"[ 0.86998179  1.80936204  0.27017024  0.59558493 -1.2541804   0.74937489
 -0.42373433 -0.87269219  2.78661346 -0.57520865  0.        ]",[ 2.89641035  0.34289811],-0.362313319186,[ 1.54268456 -0.70740736],[-0.58871567 -0.50282919],"[[ 0.15449576 -0.22996735 -0.14488576  0.08704409]
 [ 7.83228887 -7.84504423  0.          0.        ]]"
3,-3.84234,"[ 0.79438765  1.75162198  0.56667737  0.24286123 -1.25417947  0.74937455
 -0.30886593 -0.63491214  2.74516468 -0.27545283  0.        ]",[ 0.9184632  -0.60732101],-0.3531759548,[ 1.31127548 -1.0607779 ],[-0.58871567 -0.50282919],"[[  0.34927354  -0.37170079  -0.14488576   0.08704409]
 [ 11.63286917  -6.33330122   0.           0.        ]]"
4,-3.7213,"[ 0.60180398  1.66285674  0.93765013 -0.10857323 -1.25417854  0.74937422
 -0.205969   -0.99357131  2.62873042  0.16764061  0.        ]",[ 2.24078989 -1.27386796],-0.336534736414,[ 1.26682818 -0.91894513],[-0.58871567 -0.50282919],"[[  0.6160887   -0.52124605  -0.14488576   0.08704409]
 [ 15.03735711  -8.61356751   0.           0.        ]]"
5,-3.54598,"[ 0.23159322  1.49354263  1.31177702 -0.55205258 -1.25417761  0.74937388
 -0.09532879 -1.58963039  2.39301868  0.62435434  0.        ]",[ 1.03424447 -0.69590153],-0.31062992845,[ 1.5249083  -0.46899045],[-0.58871567 -0.50282919],"[[  0.95356364  -0.73154079  -0.14488576   0.08704409]
 [ 18.69804189 -12.40316806   0.           0.        ]]"
6,-3.14646,"[-0.35015547  1.20751768  1.56857733 -1.01111167 -1.25417668  0.74937354
  0.013133   -1.9843664   2.01502341  0.9976747   0.        ]",[ 0.82906062 -0.04560056],-0.272977009363,[ 1.71150684 -0.30603534],[-0.58871567 -0.50282919],"[[  1.36352853  -1.00478595  -0.14488576   0.08704409]
 [ 22.28665101 -14.91281707   0.           0.        ]]"
7,-2.71409,"[-1.08257774  0.83521793  1.54649849 -1.32408278 -1.25417575  0.74937321
  0.09901307 -1.96609028  1.51186227  1.19392395  0.        ]",[-0.23847984  0.39988487],-0.222948895796,[ 1.71141815 -0.5632847 ],[-0.58871567 -0.50282919],"[[  1.83776926  -1.30187834  -0.14488576   0.08704409]
 [ 25.12811259 -14.79663952   0.           0.        ]]"
8,-2.11599,"[-1.74004907  0.45842182  1.17436688 -1.41772346 -1.25417482  0.74937287
  0.05551294 -1.67051887  1.00285617  1.13228924  0.        ]",[ 1.28772871 -1.32737157],-0.168317382234,[ 1.74038696 -0.88915753],[-0.58871567 -0.50282919],"[[  2.3258915   -1.5789564   -0.14488576   0.08704409]
 [ 23.6888518  -12.91748021   0.           0.        ]]"
9,-1.54333,"[-2.1579126   0.0582392   0.50351017 -1.29850411 -1.25417389  0.74937253
  0.16105049 -2.25272755  0.59905317  0.8014511   0.        ]",[ 1.17093315 -1.79925121],-0.117440757289,[ 1.8702203  -0.97701114],[-0.58871567 -0.50282919],"[[  2.83470194  -1.87444649  -0.14488576   0.08704409]
 [ 27.18070666 -16.61904798   0.           0.        ]]"
10,-1.46193,"[-2.17382882 -0.38740033 -0.39366175 -0.85010984 -1.25417296  0.74937219
  0.26452037 -2.8233025   0.40722823  0.24402109  0.        ]",[ 0.81565621 -0.49711464],-0.0923683581127,[ 1.91251504 -1.00642407],[-0.58871567 -0.50282919],"[[  3.41266381  -2.24322527  -0.14488576   0.08704409]
 [ 30.60414991 -20.24667686   0.           0.        ]]"
