timestep,rewards,obs,actions,original_rewards,avg_action_dist,logstd_action_dist,human_obs
0,-0.599847,"[ 1.01209736  2.02858854 -0.11645522  1.01741156  1.42586718  0.88122755
 -0.61028594  0.33605398  0.08992055 -0.82358883  0.        ]",[ 1.40643362 -2.56662035],-0.11493039171,[ 2.02348518 -1.14878333],[-0.20640521 -0.15072462],"[[-0.05896877  0.09213504  0.16467221  0.10346874]
 [ 0.00402888  0.00379702  0.          0.        ]]"
1,-0.591913,"[ 1.01429107  2.03243366 -0.05508373  0.90371747  1.4258604   0.88122509
 -0.41596384 -0.19753683  0.09104099 -0.7893037   0.        ]",[ 3.1760606  -1.96981271],-0.111337377473,[ 1.88403618 -1.08140647],[-0.20640521 -0.15072462],"[[-0.01918303  0.05246696  0.16467221  0.10346874]
 [ 3.96136319 -3.95739916  0.          0.        ]]"
2,-0.460763,"[ 1.00763144  2.03136977  0.12706347  0.56451495  1.42585361  0.88122264
 -0.22548687 -0.72055875  0.08763578 -0.68779956  0.        ]",[ 1.75654285  0.19116113],-0.100456613873,[ 1.63978708 -1.02035785],[-0.20640521 -0.15072462],"[[ 0.09896373 -0.06563792  0.16467221  0.10346874]
 [ 7.84039479 -7.84014012  0.          0.        ]]"
3,-0.282545,"[ 0.95393147  2.00371453  0.42176171  0.14466072  1.42584682  0.88122018
 -0.038865   -0.59787702  0.05802754 -0.47901565  0.        ]",[ 0.95286573  0.00131243],-0.0772312399362,[ 1.23962891 -1.08373201],[-0.20640521 -0.15072462],"[[  0.29390318  -0.21330327   0.16467221   0.10346874]
 [ 11.64091837  -6.92940485   0.           0.        ]]"
4,-0.0115445,"[ 0.7969467   1.9523187   0.79750755 -0.23368286  1.42584003  0.88121772
  0.13493193 -0.57884659 -0.0374657  -0.14704384  0.        ]",[ 1.02942299 -1.36741472],-0.0385547127068,[ 0.72664368 -1.08544064],[-0.20640521 -0.15072462],"[[  0.56223252  -0.35047446   0.16467221   0.10346874]
 [ 15.18026417  -6.78813899   0.           0.        ]]"
5,0.228465,"[ 0.47684807  1.85298822  1.18627723 -0.68643254  1.42583324  0.88121526
  0.31453474 -1.0942257  -0.23958594  0.21975316  0.        ]",[-0.38215461 -0.56464781],-0.0156150655469,[ 0.34593964 -0.92267549],[-0.20640521 -0.15072462],"[[  0.90253473  -0.52462569   0.16467221   0.10346874]
 [ 18.83784659 -10.61414687   0.           0.        ]]"
6,0.171619,"[ 0.03272255  1.66598101  1.44457215 -1.22098858  1.42582646  0.88121281
  0.2220656  -1.36688478 -0.50928183  0.47077683  0.        ]",[ 0.75678897 -0.89038213],-0.0585915862135,[ 0.26639658 -0.75737971],[-0.20640521 -0.15072462],"[[  1.26039794  -0.75721776   0.16467221   0.10346874]
 [ 16.95474315 -12.63831125   0.           0.        ]]"
7,-0.0185809,"[-0.47730184  1.36547768  1.51597304 -1.72946011  1.42581967  0.88121035
  0.35272855 -1.80803291 -0.80314089  0.57543849  0.        ]",[ 0.19731776 -2.70798501],-0.0969112781256,[ 0.2910035  -0.62066865],[-0.20640521 -0.15072462],"[[  1.62618956  -1.04284449   0.16467221   0.10346874]
 [ 19.61567012 -15.91332384   0.           0.        ]]"
8,-0.198775,"[-1.016023    0.9187477   1.36351813 -2.07777019  1.42581288  0.88120789
  0.3721317  -2.29874475 -1.09748588  0.52280176  0.        ]",[ 0.95199    -1.33189267],-0.129501431604,[ 0.39634588 -0.57623923],[-0.20640521 -0.15072462],"[[  2.02246748  -1.39766335   0.16467221   0.10346874]
 [ 20.01082294 -19.55637066   0.           0.        ]]"
9,-0.392306,"[-1.49368661  0.34819961  0.95130852 -2.0286394   1.42580609  0.88120543
  0.53782328 -2.77972427 -1.34516592  0.29862734  0.        ]",[ 1.11855995 -0.26328453],-0.155340423846,[ 0.58267808 -0.5921247 ],[-0.20640521 -0.15072462],"[[  2.45653762  -1.82462067   0.16467221   0.10346874]
 [ 23.38509837 -23.12730636   0.           0.        ]]"
